GeographyCode,QS408NI0001,QS408NI0002,QS408NI0003,QS408NI0004,QS408NI0005
95MM15,1570,1146,400,21,3
95MM16,2079,1406,633,35,5
95MM17,1347,830,474,36,7
95MM18,1766,1141,601,17,7
95MM19,1269,895,358,13,3
95MM20,1469,1047,396,19,7
95MM21,1254,841,393,19,1
95MM22,973,702,259,9,3
95MM23,1074,746,295,25,8
95MM24,892,508,338,36,10
95MM25,2188,1136,958,73,21
95MM26,1056,604,408,36,8
95MM27,1614,1191,376,38,9
95MM28,1095,791,279,20,5
95MM29,1490,1051,412,21,6
95MM30,903,614,263,21,5
95NN01,1201,808,368,21,4
95NN02,836,603,224,7,2
95NN03,1133,808,314,10,1
95NN04,1175,755,396,18,6
95NN05,1075,761,285,24,5
95NN06,1237,749,450,33,5
95NN07,1246,771,451,19,5
95NN08,1196,852,327,16,1
95NN09,1092,787,299,5,1
95NN10,1290,940,337,11,2
95NN11,1297,851,426,16,4
95NN12,1128,777,330,17,4
95NN13,1064,779,267,14,4
95NN14,1205,809,376,12,8
95NN15,1230,829,374,20,7
95NN16,1128,823,297,6,2
95NN17,928,634,270,19,5
95NN18,1023,777,232,13,1
95NN19,1336,1031,295,8,2
95NN20,1073,784,276,8,5
95NN21,1151,873,259,11,8
95NN22,1003,705,285,11,2
95NN23,1159,765,359,29,6
95OO01,809,507,273,24,5
95OO02,703,462,231,8,2
95OO03,914,615,275,20,4
95OO04,877,575,287,11,4
95OO05,1021,590,386,31,14
95OO06,941,599,320,20,2
95OO07,854,574,257,22,1
95OO08,887,582,290,13,2
95OO09,744,486,235,19,4
95OO10,1163,679,452,27,5
95OO11,956,604,329,19,4
95OO12,999,652,326,17,4
95OO13,976,623,300,35,18
95OO14,866,581,262,17,6
95OO15,870,524,321,18,7
95OO16,853,627,213,11,2
95OO17,978,689,273,14,2
95OO18,1099,745,303,33,18
95OO19,1046,699,324,19,4
95OO20,854,624,214,10,6
95OO21,904,591,275,30,8
95OO22,956,569,356,24,7
95PP01,950,695,240,11,4
95PP02,933,634,276,12,11
95PP03,971,703,248,14,6
95PP04,1081,741,321,15,4
95PP05,822,591,212,17,2
95PP06,1554,1126,404,22,2
95PP07,987,698,275,10,4
95PP08,960,673,269,14,4
95PP09,757,548,196,6,7
95PP10,798,515,273,9,1
95PP11,1040,744,281,9,6
95PP12,891,601,263,20,7
95PP13,1060,748,291,19,2
95PP14,1347,972,352,19,4
95PP15,1089,758,309,20,2
95PP16,705,534,157,12,2
95PP17,1028,725,281,18,4
95PP18,1093,773,303,12,5
95PP19,933,637,282,12,2
95PP20,1379,1021,335,16,7
95PP21,783,540,233,4,6
95PP22,1010,756,240,12,2
95PP23,898,633,253,7,5
95QQ01,707,546,153,8,0
95QQ02,996,764,227,4,1
95QQ03,507,383,117,7,0
95QQ04,692,493,191,6,2
95QQ05,1127,892,234,1,0
95QQ06,754,489,247,15,3
95QQ07,919,757,152,5,5
95QQ08,698,538,151,8,1
95QQ09,838,669,164,3,2
95QQ10,688,498,176,13,1
95QQ11,776,600,167,8,1
95QQ12,758,591,162,4,1
95QQ13,1031,801,225,4,1
95QQ14,2045,1482,550,11,2
95QQ15,761,588,165,7,1
95RR01,1502,1038,450,12,2
95RR02,647,438,191,11,7
95RR03,617,423,183,10,1
95RR04,752,499,238,12,3
95RR05,966,642,313,9,2
95RR06,708,431,254,15,8
95RR07,859,570,277,8,4
95RR08,713,490,208,15,0
95RR09,1381,919,435,25,2
95RR10,582,389,183,8,2
95RR11,652,464,178,10,0
95RR12,606,465,138,3,0
95RR13,657,535,103,8,11
95RR14,654,413,229,10,2
95RR15,802,504,279,17,2
95SS01,1681,1248,414,17,2
95SS02,1530,1097,417,14,2
95SS03,1189,970,211,5,3
95SS04,2935,1937,961,31,6
95SS05,1441,1112,311,16,2
95SS06,1935,854,937,117,27
95SS07,3406,2011,1309,75,11
95SS08,1670,1260,396,14,0
95SS09,1334,1097,229,3,5
95SS10,1607,1065,527,9,6
95SS11,1863,1207,625,29,2
95SS12,1251,949,289,9,4
95SS13,1336,947,356,27,6
95SS14,1246,918,310,17,1
95SS15,1516,1266,241,6,3
95SS16,1152,709,414,22,7
95SS17,1749,1172,543,25,9
95SS18,1342,950,369,22,1
95SS19,1236,885,335,13,3
95SS20,1096,842,244,8,2
95SS21,1656,1188,455,12,1
95SS22,1254,870,375,7,2
95SS23,1532,1154,364,14,0
95SS24,1914,1479,414,20,1
95SS25,1117,714,378,21,4
95SS26,1314,686,575,44,9
95SS27,1194,907,275,9,3
95SS28,1071,727,311,27,6
95SS29,1031,571,402,48,10
95SS30,1125,885,230,9,1
95TT01,838,504,315,15,4
95TT02,857,524,306,24,3
95TT03,1175,774,375,21,5
95TT04,1018,654,338,18,8
95TT05,1129,770,342,12,5
95TT06,886,552,310,19,5
95TT07,874,593,267,9,5
95TT08,851,558,270,21,2
95TT09,874,524,331,17,2
95TT10,1056,684,330,35,7
95TT11,945,570,355,18,2
95TT12,898,615,268,12,3
95TT13,1107,719,367,17,4
95TT14,830,566,245,12,7
95TT15,833,539,277,15,2
95TT16,866,534,314,13,5
95UU01,384,251,121,10,2
95UU02,439,321,114,3,1
95UU03,381,315,64,1,1
95UU04,350,261,81,5,3
95UU05,373,275,91,6,1
95UU06,569,421,141,5,2
95UU07,307,233,65,9,0
95UU08,461,312,137,11,1
95UU09,594,391,190,11,2
95UU10,420,289,122,7,2
95UU11,355,255,89,11,0
95UU12,564,399,154,10,1
95UU13,333,235,93,3,2
95UU14,718,518,191,6,3
95UU15,360,254,95,9,2
95VV01,1171,790,355,22,4
95VV02,985,666,303,11,5
95VV03,996,667,301,24,4
95VV04,1052,717,316,17,2
95VV05,1364,807,523,29,5
95VV06,1153,703,418,29,3
95VV07,1657,1109,517,27,4
95VV08,1006,612,357,28,9
95VV09,967,609,312,41,5
95VV10,1186,698,439,37,12
95VV11,1484,936,516,25,7
95VV12,1164,729,396,30,9
95VV13,1054,646,389,17,2
95VV14,1287,867,388,28,4
95VV15,1140,670,433,27,10
95VV16,1043,691,328,19,5
95VV17,1410,855,512,35,8
95VV18,1402,945,419,31,7
95VV19,1172,812,337,18,5
95VV20,925,593,301,29,2
95VV21,1253,753,473,19,8
95VV22,956,603,327,22,4
95VV23,1123,794,304,20,5
95VV24,1258,922,314,17,5
95VV25,1227,783,417,22,5
95VV26,1172,726,411,30,5
95VV27,912,583,300,24,5
95VV28,1343,905,398,29,11
95VV29,1071,663,381,24,3
95VV30,1098,778,309,10,1
95WW01,1257,948,297,11,1
95WW02,1533,1131,386,11,5
95WW03,1583,1148,419,14,2
95WW04,1098,718,366,14,0
95WW05,1157,832,307,16,2
95WW06,1198,956,239,2,1
95WW07,1602,1220,378,4,0
95WW08,1037,736,294,6,1
95WW09,1111,840,263,8,0
95WW10,1176,807,358,8,3
95WW11,1106,747,342,16,1
95WW12,1100,817,272,9,2
95WW13,1433,1081,341,9,2
95WW14,1043,761,263,16,3
95WW15,1229,799,419,10,1
95WW16,1260,854,383,17,6
95WW17,991,715,268,7,1
95WW18,1000,742,244,12,2
95WW19,2204,1676,512,9,7
95WW20,2974,2068,885,13,8
95WW21,1481,955,501,22,3
95WW22,1228,822,388,12,6
95WW23,1455,1094,345,15,1
95WW24,1578,1122,428,26,2
95WW25,1137,914,210,10,3
95XX01,1849,1377,464,5,3
95XX02,1066,888,174,4,0
95XX03,1057,836,214,6,1
95XX04,1402,1006,387,5,4
95XX05,1238,1006,224,4,4
95XX06,1598,1122,455,14,7
