GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
95SS14,1246,405,22,363,3,17,686,55,595,5,31,155,21,56,60,18,0
95SS15,1516,400,24,356,5,15,936,67,849,5,15,180,17,58,89,15,1
95SS16,1152,300,268,26,0,6,780,754,20,1,5,72,24,5,36,6,1
95SS17,1749,495,93,384,3,15,985,218,701,3,63,269,28,93,124,22,2
95SS18,1342,517,68,419,4,26,652,117,498,7,30,173,17,65,59,29,3
95SS19,1236,436,30,378,12,16,638,46,551,6,35,162,16,83,58,4,1
95SS20,1096,284,25,248,4,7,673,77,573,4,19,139,17,51,61,9,1
95SS21,1656,253,27,208,6,12,1160,99,1026,3,32,243,9,117,89,28,0
95SS22,1254,255,57,191,2,5,781,204,520,5,52,218,23,91,73,30,1
95SS23,1532,394,33,335,7,19,924,44,837,7,36,214,12,107,75,18,2
95SS24,1914,431,44,351,7,29,1166,196,940,6,24,317,29,112,131,45,0
95SS25,1117,374,68,290,1,15,592,163,380,3,46,151,16,58,53,21,3
95SS26,1314,224,197,21,0,6,1023,993,24,0,6,67,17,7,40,3,0
95SS27,1194,509,49,432,7,21,539,54,468,6,11,146,15,84,38,8,1
95SS28,1071,341,111,216,3,11,573,237,312,2,22,157,29,41,67,20,0
95SS29,1031,277,244,28,0,5,685,649,30,0,6,69,22,4,37,6,0
95SS30,1125,253,46,197,4,6,698,120,546,8,24,174,18,61,73,21,1
95TT01,838,157,97,54,2,4,623,501,119,0,3,58,5,13,32,8,0
95TT02,857,153,112,38,0,3,660,558,98,0,4,44,2,7,32,3,0
95TT03,1175,265,107,154,1,3,780,414,358,3,5,130,17,23,79,11,0
95TT04,1018,256,235,18,0,3,706,674,27,1,4,56,8,2,41,5,0
95TT05,1129,302,193,100,2,7,705,485,206,8,6,122,11,11,83,15,2
95TT06,886,185,96,88,0,1,650,442,204,0,4,51,6,12,29,4,0
95TT07,874,152,65,84,3,0,631,305,320,2,4,91,4,15,49,23,0
95TT08,851,138,49,88,0,1,628,291,329,1,7,85,4,17,57,7,0
95TT09,874,141,126,14,1,0,693,652,41,0,0,40,8,3,29,0,0
95TT10,1056,235,162,67,2,4,721,585,129,0,7,100,13,3,72,12,0
95TT11,945,144,114,29,1,0,752,679,71,0,2,49,3,1,35,10,0
95TT12,898,198,46,146,4,2,628,210,407,3,8,72,1,14,52,5,0
95TT13,1107,291,137,139,3,12,680,375,292,2,11,136,24,24,72,12,4
95TT14,830,210,110,92,0,8,523,284,228,6,5,97,14,15,60,8,0
95TT15,833,178,30,146,0,2,566,171,388,2,5,89,4,26,50,9,0
95TT16,866,169,95,71,0,3,623,455,166,0,2,74,4,8,54,7,1
95UU01,384,83,36,47,0,0,244,107,131,0,6,57,12,10,28,7,0
95UU02,439,124,5,116,1,2,288,6,277,0,5,27,2,13,12,0,0
95UU03,381,162,100,59,1,2,173,122,47,2,2,46,13,2,29,1,1
95UU04,350,145,8,133,1,3,185,6,176,0,3,20,0,10,9,1,0
95UU05,373,91,2,86,1,2,264,13,244,0,7,18,1,4,10,3,0
95UU06,569,159,111,43,1,4,333,290,37,1,5,77,18,3,53,3,0
95UU07,307,73,8,62,2,1,193,10,179,2,2,41,5,10,17,9,0
95UU08,461,141,123,13,0,5,302,288,14,0,0,18,5,0,12,1,0
95UU09,594,141,126,13,0,2,417,395,17,2,3,36,6,3,27,0,0
95UU10,420,114,98,16,0,0,278,273,3,1,1,28,4,1,20,3,0
95UU11,355,90,77,9,1,3,234,222,12,0,0,31,4,3,22,2,0
95UU12,564,196,151,42,0,3,309,262,43,0,4,59,14,7,37,1,0
95UU13,333,100,42,57,0,1,189,82,105,0,2,44,5,8,27,4,0
95UU14,718,232,168,57,2,5,388,312,73,1,2,98,21,3,69,5,0
95UU15,360,99,17,79,0,3,225,32,190,0,3,36,2,10,19,5,0
95VV01,1171,297,129,158,0,10,739,303,428,2,6,135,16,25,66,28,0
95VV02,985,393,350,28,2,13,533,499,17,9,8,59,15,2,28,13,1
95VV03,996,289,174,110,1,4,584,410,169,1,4,123,22,14,79,8,0
95VV04,1052,214,120,90,0,4,731,332,393,2,4,107,11,17,57,21,1
95VV05,1364,195,172,19,2,2,1053,1009,39,2,3,116,23,5,67,21,0
95VV06,1153,255,248,5,0,2,836,820,13,1,2,62,20,3,35,4,0
95VV07,1657,472,414,51,2,5,1060,973,76,1,10,125,32,8,76,9,0
95VV08,1006,233,220,10,0,3,728,697,30,0,1,45,8,5,26,6,0
95VV09,967,252,246,5,0,1,685,668,15,0,2,30,6,1,17,6,0
95VV10,1186,280,260,12,4,4,814,793,13,2,6,92,34,4,42,10,2
95VV11,1484,281,235,40,1,5,1072,983,80,4,5,131,25,7,88,11,0
95VV12,1164,283,235,43,2,3,792,749,40,0,3,89,23,7,49,10,0
95VV13,1054,171,88,79,2,2,808,521,281,2,4,75,15,5,50,5,0
95VV14,1287,360,344,13,2,1,831,798,22,3,8,96,37,5,45,9,0
95VV15,1140,288,242,40,0,6,755,696,50,4,5,97,32,7,40,17,1
95VV16,1043,218,209,7,0,2,775,758,16,0,1,50,15,1,31,3,0
95VV17,1410,270,251,13,1,5,1040,1024,15,0,1,100,30,1,58,11,0
95VV18,1402,401,118,271,2,10,847,215,601,4,27,154,22,26,79,26,1
95VV19,1172,333,179,147,1,6,721,425,285,1,10,118,15,7,74,20,2
95VV20,925,166,107,56,1,2,652,439,210,0,3,107,14,12,61,20,0
95VV21,1253,216,186,25,2,3,952,821,127,0,4,85,19,9,49,7,1
95VV22,956,227,157,66,2,2,635,409,222,1,3,94,16,9,57,12,0
95VV23,1123,320,279,37,1,3,699,642,49,2,6,104,37,6,48,12,1
95VV24,1258,440,385,49,1,5,704,638,55,2,9,114,24,4,69,17,0
95VV25,1227,261,247,9,1,4,890,873,13,1,3,76,23,2,42,9,0
95VV26,1172,237,202,32,0,3,856,744,110,1,1,79,15,1,55,8,0
95VV27,912,292,271,16,0,5,562,535,22,0,5,58,25,1,29,3,0
95VV28,1343,394,336,52,1,5,843,798,39,1,5,106,29,4,51,22,0
95VV29,1071,194,114,77,1,2,814,486,324,2,2,63,12,4,40,7,0
95VV30,1098,272,181,82,5,4,711,555,143,6,7,115,28,7,59,21,0
95WW01,1257,457,77,346,7,27,599,118,434,11,36,201,16,74,85,24,2
95WW02,1533,413,13,379,3,18,944,24,890,3,27,176,4,107,46,19,0
95WW03,1583,513,31,462,4,16,847,32,778,1,36,223,8,145,58,12,0
95WW04,1098,200,15,171,1,13,696,53,610,2,31,202,18,86,69,28,1
95WW05,1157,354,81,257,3,13,618,169,423,8,18,185,36,50,75,23,1
95WW06,1198,244,10,216,2,16,835,17,788,4,26,119,3,64,42,10,0
95WW07,1602,337,14,310,1,12,1073,31,1007,3,32,192,7,111,58,16,0
95WW08,1037,232,41,185,1,5,644,106,514,2,22,161,19,60,63,18,1
95WW09,1111,313,22,274,4,13,647,72,555,5,15,151,5,80,50,14,2
95WW10,1176,291,13,262,4,12,715,38,647,5,25,170,8,102,44,15,1
95WW11,1106,203,126,65,4,8,748,597,141,2,8,155,22,16,92,24,1
95WW12,1100,395,6,357,8,24,588,19,533,2,34,117,4,87,23,1,2
95WW13,1433,318,10,301,1,6,947,8,903,3,33,168,8,104,39,16,1
95WW14,1043,400,15,357,5,23,535,7,491,1,36,108,3,80,13,11,1
95WW15,1229,253,138,95,6,14,787,532,232,6,17,189,39,33,98,18,1
95WW16,1260,385,96,274,6,9,676,313,334,1,28,199,22,53,100,23,1
95WW17,991,308,27,267,4,10,559,24,512,0,23,124,8,56,47,13,0
95WW18,1000,349,96,233,7,13,508,158,331,5,14,143,11,49,70,12,1
95WW19,2204,374,29,321,9,15,1439,145,1215,14,65,391,29,163,146,51,2
95WW20,2974,513,198,285,7,23,1907,871,977,17,42,554,80,129,257,83,5
95WW21,1481,485,22,420,5,38,783,68,667,9,39,213,20,129,51,12,1
95WW22,1228,330,13,301,6,10,724,33,648,4,39,174,9,84,62,19,0
95WW23,1455,439,114,291,12,22,748,195,488,20,45,268,30,83,121,33,1
95WW24,1578,584,231,326,7,20,814,444,336,4,30,180,25,52,86,16,1
95WW25,1137,575,30,509,6,30,462,14,421,2,25,100,8,60,27,5,0
95XX01,1849,271,20,228,2,21,1211,66,1088,11,46,367,28,172,130,37,0
95XX02,1066,303,22,272,1,8,547,36,493,3,15,216,14,100,64,36,2
95XX03,1057,204,24,164,5,11,680,38,605,6,31,173,9,88,57,16,3
95XX04,1402,306,32,253,4,17,818,46,733,4,35,278,19,128,102,29,0
95XX05,1238,436,42,369,2,23,606,42,517,2,45,196,12,104,52,26,2
95XX06,1598,495,45,403,4,43,842,48,713,4,77,261,12,154,63,30,2
95XX07,1278,419,34,365,2,18,655,38,583,1,33,204,17,87,68,32,0
95XX08,1173,395,85,294,4,12,574,145,411,4,14,204,20,54,107,19,4
95XX09,1255,454,41,394,4,15,615,35,556,3,21,186,14,75,70,27,0
95XX10,1842,424,37,350,0,37,1080,57,932,6,85,338,25,188,87,35,3
95XX11,2621,733,55,600,13,65,1402,45,1220,6,131,486,44,263,140,38,1
95XX12,1002,238,30,196,1,11,571,49,498,3,21,193,17,75,71,28,2
95XX13,1176,297,22,253,2,20,674,38,604,7,25,205,21,84,83,16,1
95XX14,955,222,39,172,3,8,529,85,422,7,15,204,23,65,85,28,3
95XX15,1192,481,32,410,6,33,543,23,480,1,39,168,7,93,52,14,2
95XX16,1392,420,40,365,6,9,796,21,749,3,23,176,17,85,53,18,3
95XX17,1425,583,120,389,13,61,529,97,373,9,50,313,42,139,97,33,2
95XX18,1348,553,141,365,10,37,538,154,347,3,34,257,36,79,109,31,2
95XX19,1106,340,65,242,8,25,556,91,441,0,24,210,12,63,109,26,0
95XX20,1363,480,100,358,6,16,629,96,453,13,67,254,35,102,90,25,2
95XX21,1176,339,24,291,6,18,630,83,522,2,23,207,21,76,87,20,3
95XX22,1010,328,40,259,2,27,518,42,450,2,24,164,12,81,61,8,2
95XX23,1451,536,69,427,4,36,660,84,517,11,48,255,25,120,80,29,1
95XX24,1184,329,43,270,2,14,693,55,601,4,33,162,11,67,69,14,1
95XX25,1096,406,44,330,6,26,509,44,412,4,49,181,19,95,50,15,2
95YY01,861,195,82,105,2,6,582,251,321,3,7,84,5,10,65,4,0
95YY02,883,275,120,143,5,7,520,300,214,4,2,88,21,21,41,4,1
95YY03,991,187,103,79,4,1,712,481,225,1,5,92,11,12,59,10,0
95YY04,1270,295,246,44,2,3,852,755,85,1,11,123,29,11,76,7,0
95YY05,745,281,186,86,2,7,406,254,137,3,12,58,9,2,45,2,0
95YY06,858,234,172,53,4,5,580,485,87,2,6,44,6,4,30,4,0
95YY07,912,169,131,37,0,1,676,564,109,0,3,67,9,1,54,3,0
95YY08,789,215,138,71,0,6,511,371,136,1,3,63,7,4,50,2,0
95YY09,1014,363,104,244,7,8,584,118,448,8,10,67,10,18,35,4,0
95YY10,705,124,70,53,0,1,524,210,312,0,2,57,3,8,43,3,0
95YY11,820,273,179,91,1,2,479,350,125,1,3,68,6,2,55,5,0
95YY12,932,203,117,84,0,2,640,362,272,1,5,89,11,13,58,7,0
95YY13,1118,315,292,20,0,3,736,686,43,0,7,67,11,8,45,3,0
95YY14,1147,305,264,37,2,2,771,707,56,3,5,71,13,7,44,7,0
95YY15,889,354,265,84,0,5,463,370,82,1,10,72,11,7,48,6,0
95YY16,798,164,102,58,0,4,580,370,209,0,1,54,3,8,43,0,0
95YY17,746,143,129,11,0,3,562,524,37,0,1,41,15,1,25,0,0
95YY18,746,168,120,46,0,2,543,426,115,0,2,35,5,1,26,3,0
95YY19,707,300,221,74,2,3,352,271,74,1,6,55,8,5,41,1,0
95YY20,721,149,135,12,0,2,558,539,17,0,2,14,2,2,10,0,0
95YY21,791,180,113,63,2,2,552,379,169,3,1,59,5,8,45,1,0
95ZZ01,994,221,88,131,1,1,675,290,378,2,5,98,8,14,74,2,0
95ZZ02,751,194,184,10,0,0,536,516,18,0,2,21,2,2,16,0,1
95ZZ03,884,332,194,133,0,5,503,322,181,0,0,49,1,7,40,1,0
