GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N00000209,285,25,28,49,48,113,22,116,3,5,13,9,82,4,76,7,12,16,17,17,7,55,11,7,8,6,12,11,38,4,4,12,16,2,0
N00000210,291,77,35,47,37,73,22,78,4,4,9,8,53,0,59,14,11,13,5,9,7,131,50,18,21,18,10,14,23,9,2,4,6,1,1
N00000211,369,104,63,58,33,80,31,104,12,14,14,6,55,3,84,18,16,20,14,10,6,146,64,27,12,11,10,22,35,10,6,12,2,5,0
N00000212,132,26,23,23,16,29,15,29,3,1,2,1,19,3,29,2,9,4,6,5,3,54,15,11,11,6,4,7,20,6,2,6,3,1,2
N00000213,222,42,23,30,34,75,18,83,6,5,9,10,47,6,48,6,6,10,9,15,2,67,21,10,8,9,10,9,24,9,2,3,6,3,1
N00000214,233,35,24,42,33,82,17,81,2,4,10,4,61,0,64,11,7,14,13,10,9,70,20,12,14,10,8,6,18,2,1,4,6,3,2
N00000215,310,33,44,61,41,110,21,121,1,12,12,11,83,2,105,20,13,26,17,18,11,46,6,12,9,8,4,7,38,6,7,14,5,5,1
N00000216,312,64,39,56,35,90,28,97,4,4,9,9,66,5,104,19,21,27,11,12,14,77,25,12,12,13,7,8,34,16,2,8,2,5,1
N00000217,350,38,31,71,37,151,22,178,7,9,23,11,120,8,94,19,7,24,14,20,10,43,7,12,9,4,7,4,35,5,3,15,8,4,0
N00000218,246,39,30,37,28,96,16,110,8,11,5,13,70,3,76,14,11,14,11,18,8,41,14,7,9,1,6,4,19,3,1,9,3,2,1
N00000219,183,63,42,30,12,14,22,18,2,4,5,1,3,3,33,8,9,4,2,5,5,107,47,22,12,8,6,12,25,6,7,9,1,0,2
N00000220,209,80,35,41,19,15,19,18,1,0,3,3,8,3,28,4,4,10,4,2,4,125,60,20,21,9,5,10,38,15,11,7,3,0,2
N00000221,194,59,33,38,24,24,16,27,0,4,4,4,13,2,30,3,2,11,5,6,3,116,49,20,17,14,5,11,21,7,7,6,1,0,0
N00000222,202,54,24,34,28,39,23,53,8,7,5,7,25,1,64,12,9,12,15,9,7,68,30,7,10,3,3,15,17,4,1,7,3,2,0
N00000223,235,55,35,37,32,60,16,68,5,5,5,7,43,3,50,8,8,14,8,7,5,82,36,16,9,11,5,5,35,6,6,9,6,5,3
N00000224,188,49,19,31,24,38,27,52,5,5,4,6,26,6,40,12,3,8,5,5,7,65,16,9,14,10,4,12,31,16,2,5,3,3,2
N00000225,95,23,16,14,5,20,17,24,1,3,2,2,14,2,28,8,5,5,1,3,6,35,9,7,6,2,2,9,8,5,1,1,0,1,0
N00000226,197,42,29,30,26,57,13,65,6,1,4,9,43,2,62,13,12,16,6,8,7,46,16,11,5,5,5,4,24,7,5,5,6,1,0
N00000227,149,54,16,28,16,24,11,27,2,1,3,2,18,1,41,17,3,9,6,4,2,70,32,11,10,7,2,8,11,3,1,6,1,0,0
N00000228,228,48,35,44,30,37,34,59,3,4,8,9,27,8,58,16,8,11,10,4,9,95,27,22,18,7,5,16,16,2,1,7,4,1,1
N00000229,272,59,40,46,32,64,31,87,7,9,8,12,48,3,62,10,10,15,6,9,12,86,29,16,11,9,6,15,37,13,5,12,5,1,1
N00000230,211,72,37,38,22,22,20,31,6,3,5,4,11,2,36,8,6,9,4,6,3,115,45,22,19,11,5,13,29,13,6,5,3,0,2
N00000231,205,91,36,34,20,12,12,15,2,5,4,0,4,0,22,7,0,4,5,5,1,123,56,25,19,11,2,10,45,26,6,7,4,1,1
N00000232,236,83,31,27,28,41,26,39,4,1,1,8,22,3,42,5,9,5,5,11,7,112,52,17,12,11,6,14,43,22,4,9,4,2,2
N00000233,199,59,39,19,21,43,18,43,3,0,5,8,24,3,41,8,7,6,6,10,4,94,37,27,6,7,6,11,21,11,5,2,0,3,0
N00000234,192,69,31,28,14,33,17,36,5,3,2,3,23,0,32,7,4,8,4,7,2,103,44,20,17,6,2,14,21,13,4,1,1,1,1
