GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N00000143,80,0,10,7,27,5,5,25,1,52,0,6,7,19,4,2,13,1,28,0,4,0,8,1,3,12,0
N00000144,92,5,4,8,31,4,10,27,3,63,3,4,6,23,3,9,14,1,29,2,0,2,8,1,1,13,2
N00000145,34,0,1,5,7,5,2,12,2,19,0,1,2,3,4,1,6,2,15,0,0,3,4,1,1,6,0
N00000146,132,14,11,6,37,3,19,38,4,62,9,6,3,19,1,7,16,1,70,5,5,3,18,2,12,22,3
N00000147,92,3,11,9,26,8,11,19,5,64,1,8,7,21,6,7,12,2,28,2,3,2,5,2,4,7,3
N00000148,278,9,23,21,52,20,34,101,18,207,5,22,16,38,14,25,73,14,71,4,1,5,14,6,9,28,4
N00000149,175,9,21,14,29,10,24,59,9,127,8,16,9,22,8,18,41,5,48,1,5,5,7,2,6,18,4
N00000150,135,3,12,13,18,5,23,53,8,74,2,5,8,10,2,13,28,6,61,1,7,5,8,3,10,25,2
N00000151,111,6,16,15,29,5,7,28,5,62,3,7,10,20,3,4,12,3,49,3,9,5,9,2,3,16,2
N00000152,100,3,7,8,24,8,13,30,7,55,0,4,5,15,0,9,18,4,45,3,3,3,9,8,4,12,3
N00000153,70,1,6,12,17,2,4,23,5,51,1,4,9,13,1,2,18,3,19,0,2,3,4,1,2,5,2
N00000154,111,6,8,11,27,3,14,37,5,67,2,5,7,20,2,6,22,3,44,4,3,4,7,1,8,15,2
N00000155,166,17,14,11,36,8,24,43,13,91,9,6,6,23,5,14,22,6,75,8,8,5,13,3,10,21,7
N00000156,128,2,6,10,33,6,20,46,5,62,0,3,7,17,3,10,21,1,66,2,3,3,16,3,10,25,4
N00000157,183,15,15,21,36,4,28,54,10,96,5,9,10,23,3,17,22,7,87,10,6,11,13,1,11,32,3
N00000158,253,15,18,18,66,13,41,72,10,137,3,11,11,33,9,26,39,5,116,12,7,7,33,4,15,33,5
N00000159,83,0,10,6,23,4,10,27,3,35,0,4,4,11,1,5,8,2,48,0,6,2,12,3,5,19,1
N00000160,132,1,14,8,28,4,22,48,7,72,1,4,5,17,1,15,25,4,60,0,10,3,11,3,7,23,3
N00000161,165,4,14,6,35,8,22,66,10,54,1,9,1,19,3,3,15,3,111,3,5,5,16,5,19,51,7
N00000162,123,0,15,11,35,8,15,32,7,66,0,7,4,20,4,11,15,5,57,0,8,7,15,4,4,17,2
N00000163,107,3,12,7,26,9,18,27,5,64,3,6,3,17,5,9,17,4,43,0,6,4,9,4,9,10,1
N00000164,136,8,9,7,28,8,24,42,10,57,5,1,2,17,4,9,14,5,79,3,8,5,11,4,15,28,5
N00000165,140,4,13,13,26,9,24,44,7,76,1,7,8,14,5,13,25,3,64,3,6,5,12,4,11,19,4
N00000166,106,1,7,5,19,7,11,52,4,47,1,3,3,9,3,8,19,1,59,0,4,2,10,4,3,33,3
N00000167,175,2,11,7,42,12,29,61,11,90,1,3,5,27,7,12,32,3,85,1,8,2,15,5,17,29,8
N00000168,159,2,11,8,32,14,29,56,7,84,0,3,5,23,10,13,27,3,75,2,8,3,9,4,16,29,4
N00000169,370,26,27,34,69,28,55,116,15,163,10,14,17,35,11,23,47,6,207,16,13,17,34,17,32,69,9
N00000170,170,14,11,12,39,18,13,51,12,98,6,6,6,25,9,11,28,7,72,8,5,6,14,9,2,23,5
N00000171,216,22,16,23,38,10,38,59,10,101,9,6,11,19,9,16,24,7,115,13,10,12,19,1,22,35,3
N00000172,388,21,27,41,91,21,69,97,21,198,6,12,20,53,12,39,46,10,190,15,15,21,38,9,30,51,11
N00000173,185,35,17,14,29,11,23,48,8,88,13,9,8,17,6,11,21,3,97,22,8,6,12,5,12,27,5
N00000174,168,7,14,18,29,8,20,57,15,108,5,7,11,25,6,11,37,6,60,2,7,7,4,2,9,20,9
N00000175,199,11,24,8,39,23,31,58,5,126,6,14,5,23,18,23,34,3,73,5,10,3,16,5,8,24,2
N00000176,211,3,26,8,69,19,26,48,12,120,3,10,6,42,8,19,24,8,91,0,16,2,27,11,7,24,4
N00000177,134,4,10,6,33,9,19,40,13,86,2,4,5,26,4,16,21,8,48,2,6,1,7,5,3,19,5
N00000178,256,10,16,12,78,14,20,95,11,162,6,10,7,50,9,15,57,8,94,4,6,5,28,5,5,38,3
N00000179,344,9,21,15,90,26,58,115,10,261,9,10,11,72,17,47,88,7,83,0,11,4,18,9,11,27,3
N00000180,104,2,19,4,23,3,16,33,4,70,1,11,3,17,3,11,20,4,34,1,8,1,6,0,5,13,0
N00000181,145,3,11,4,38,13,17,47,12,103,1,7,1,29,11,12,32,10,42,2,4,3,9,2,5,15,2
N00000182,91,1,10,7,20,4,15,28,6,72,0,10,7,17,1,12,19,6,19,1,0,0,3,3,3,9,0
N00000183,151,2,11,7,39,10,29,47,6,84,2,8,6,24,5,16,20,3,67,0,3,1,15,5,13,27,3
N00000184,156,3,12,10,41,4,17,62,7,108,3,10,8,35,3,13,34,2,48,0,2,2,6,1,4,28,5
N00000185,78,1,1,10,15,3,9,33,6,37,0,1,8,5,2,4,13,4,41,1,0,2,10,1,5,20,2
N00000186,121,1,13,13,33,8,17,32,4,84,1,7,10,27,3,10,23,3,37,0,6,3,6,5,7,9,1
N00000187,92,1,9,6,23,7,12,29,5,65,0,6,6,20,3,8,20,2,27,1,3,0,3,4,4,9,3
N00000188,149,2,17,12,41,3,23,42,9,104,2,10,8,33,1,17,26,7,45,0,7,4,8,2,6,16,2
N00000189,160,11,10,15,31,10,25,50,8,97,8,8,11,20,6,9,28,7,63,3,2,4,11,4,16,22,1
N00000190,147,2,14,6,30,14,26,45,10,79,1,5,4,19,4,18,24,4,68,1,9,2,11,10,8,21,6
N00000191,157,1,20,7,38,6,21,51,13,74,1,7,5,19,5,9,24,4,83,0,13,2,19,1,12,27,9
N00000192,167,10,20,6,46,12,15,54,4,103,5,8,3,32,7,13,34,1,64,5,12,3,14,5,2,20,3
N00000193,113,0,14,7,33,10,14,27,8,82,0,7,7,25,5,12,18,8,31,0,7,0,8,5,2,9,0
N00000194,109,5,7,11,21,9,15,33,8,67,2,3,7,8,7,10,26,4,42,3,4,4,13,2,5,7,4
N00000195,83,2,7,8,18,8,12,25,3,48,1,4,5,12,3,5,15,3,35,1,3,3,6,5,7,10,0
N00000196,69,2,6,7,20,6,7,19,2,41,1,3,3,13,4,6,9,2,28,1,3,4,7,2,1,10,0
N00000197,171,4,17,19,38,11,27,49,6,108,3,11,10,24,8,17,31,4,63,1,6,9,14,3,10,18,2
