GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N00003529,442,69,112,196,65,371,51,90,172,58,18,6,9,3,0,53,12,13,21,7
N00003530,460,50,134,188,88,422,33,129,176,84,16,3,5,8,0,22,14,0,4,4
N00003531,421,56,132,175,58,378,38,122,166,52,0,0,0,0,0,43,18,10,9,6
N00003532,461,54,139,197,71,427,50,129,182,66,0,0,0,0,0,34,4,10,15,5
N00003533,618,139,250,158,71,435,69,184,121,61,29,10,10,9,0,154,60,56,28,10
N00003534,304,50,79,133,42,225,19,60,110,36,9,0,3,4,2,70,31,16,19,4
N00003535,459,48,99,219,93,443,48,93,215,87,5,0,5,0,0,11,0,1,4,6
N00003536,504,80,131,219,74,450,66,114,204,66,8,0,4,2,2,46,14,13,13,6
N00003537,339,80,100,109,50,191,34,48,72,37,83,19,26,31,7,65,27,26,6,6
N00003538,448,85,92,197,74,344,35,58,182,69,19,0,16,2,1,85,50,18,13,4
N00003539,348,96,148,89,15,258,54,124,68,12,7,0,0,7,0,83,42,24,14,3
N00003540,252,38,53,126,35,167,21,38,87,21,19,0,3,11,5,66,17,12,28,9
N00003541,278,71,59,86,62,184,31,31,70,52,31,9,12,3,7,63,31,16,13,3
N00003542,260,62,61,109,28,84,12,20,42,10,117,37,27,44,9,59,13,14,23,9
N00003543,572,111,216,193,52,355,50,126,135,44,3,0,2,0,1,214,61,88,58,7
N00003544,354,41,115,153,45,269,15,100,116,38,3,0,0,3,0,82,26,15,34,7
N00003545,467,38,178,183,68,429,28,165,175,61,7,0,0,1,6,31,10,13,7,1
N00003546,314,63,90,112,49,257,45,85,90,37,13,0,0,6,7,44,18,5,16,5
N00003547,665,190,230,151,94,545,130,199,129,87,18,5,2,11,0,102,55,29,11,7
N00003548,1769,273,613,636,247,1310,136,479,498,197,180,32,48,67,33,279,105,86,71,17
N00003549,550,37,131,263,119,513,21,122,252,118,6,0,0,6,0,31,16,9,5,1
N00003550,470,43,88,276,63,394,23,78,234,59,0,0,0,0,0,76,20,10,42,4
N00003551,465,81,90,219,75,286,14,48,161,63,2,0,0,2,0,177,67,42,56,12
N00003552,418,90,106,165,57,257,24,78,110,45,2,2,0,0,0,159,64,28,55,12
N00003553,396,68,147,158,23,273,20,105,128,20,1,0,0,1,0,122,48,42,29,3
N00003554,243,64,64,95,20,115,29,40,38,8,103,21,21,50,11,25,14,3,7,1
N00003555,340,83,68,120,69,171,19,29,82,41,56,1,14,21,20,113,63,25,17,8
N00003556,686,131,153,297,105,308,30,54,163,61,168,21,26,94,27,210,80,73,40,17
N00003557,249,52,61,71,65,115,19,33,41,22,103,26,25,22,30,31,7,3,8,13
N00003558,496,49,148,216,83,434,26,137,199,72,25,17,0,6,2,37,6,11,11,9
N00003559,565,140,142,213,70,446,81,129,183,53,45,4,2,28,11,74,55,11,2,6
N00003560,533,71,153,225,84,491,56,136,222,77,3,0,0,0,3,39,15,17,3,4
N00003561,459,33,161,199,66,430,33,144,192,61,6,0,0,3,3,23,0,17,4,2
N00003562,421,44,133,184,60,367,34,112,164,57,6,0,0,6,0,48,10,21,14,3
N00003563,467,38,136,234,59,395,25,111,218,41,28,3,2,8,15,44,10,23,8,3
N00003564,369,53,82,193,41,295,18,64,175,38,0,0,0,0,0,74,35,18,18,3
N00003565,435,35,114,205,81,403,29,103,194,77,0,0,0,0,0,32,6,11,11,4
N00003566,541,62,139,254,86,526,55,139,250,82,5,2,0,3,0,10,5,0,1,4
N00003567,480,54,120,237,69,422,36,98,224,64,3,0,0,3,0,55,18,22,10,5
N00003568,412,24,123,193,72,380,16,114,187,63,8,0,6,0,2,24,8,3,6,7
N00003569,488,24,140,250,74,462,20,134,240,68,0,0,0,0,0,26,4,6,10,6
N00003570,526,59,133,259,75,494,37,133,249,75,6,6,0,0,0,26,16,0,10,0
N00003571,308,34,68,140,66,243,20,50,117,56,35,9,4,14,8,30,5,14,9,2
N00003572,491,27,114,287,63,443,17,101,265,60,10,0,0,10,0,38,10,13,12,3
N00003573,450,37,129,228,56,404,24,106,222,52,0,0,0,0,0,46,13,23,6,4
N00003574,461,37,125,219,80,400,25,103,211,61,12,4,3,0,5,49,8,19,8,14
N00003575,511,41,138,246,86,475,36,134,227,78,2,0,0,2,0,34,5,4,17,8
N00003576,518,35,166,199,118,496,29,157,195,115,5,3,2,0,0,17,3,7,4,3
N00003577,409,59,92,158,100,346,45,72,154,75,20,3,3,4,10,43,11,17,0,15
N00003578,551,41,145,244,121,525,38,139,237,111,0,0,0,0,0,26,3,6,7,10
N00003579,503,50,153,208,92,482,36,153,204,89,1,0,0,0,1,20,14,0,4,2
N00003580,425,27,108,242,48,385,10,87,240,48,6,6,0,0,0,34,11,21,2,0
N00003581,698,260,177,227,34,385,102,99,158,26,53,23,9,17,4,260,135,69,52,4
N00003582,557,149,114,214,80,349,80,82,147,40,46,5,0,23,18,162,64,32,44,22
N00003583,666,99,165,263,139,472,46,114,216,96,88,15,24,23,26,106,38,27,24,17
N00003584,298,44,81,122,51,168,11,34,90,33,73,9,25,22,17,57,24,22,10,1
N00003585,333,80,101,103,49,183,12,64,72,35,74,22,14,26,12,76,46,23,5,2
N00003586,300,62,76,107,55,121,14,31,46,30,65,10,17,25,13,114,38,28,36,12
N00003587,465,32,115,246,72,428,27,99,233,69,0,0,0,0,0,37,5,16,13,3
N00003588,622,66,188,289,79,574,64,180,256,74,20,0,0,20,0,28,2,8,13,5
N00003589,554,72,138,262,82,459,42,107,239,71,14,2,9,2,1,81,28,22,21,10
N00003590,658,98,244,238,78,597,73,228,222,74,14,0,8,6,0,47,25,8,10,4
N00003591,565,75,190,204,96,492,59,172,174,87,24,6,9,8,1,49,10,9,22,8
N00003592,369,33,93,164,79,292,13,65,138,76,32,1,17,13,1,45,19,11,13,2
N00003593,587,69,160,226,132,563,61,149,226,127,0,0,0,0,0,24,8,11,0,5
N00003594,914,159,284,301,170,743,111,244,257,131,80,13,12,21,34,91,35,28,23,5
N00003595,363,79,101,127,56,288,43,85,112,48,15,4,6,1,4,60,32,10,14,4
N00003596,301,26,69,122,84,258,21,64,98,75,20,1,3,11,5,23,4,2,13,4
N00003597,476,17,155,204,100,454,15,152,194,93,0,0,0,0,0,22,2,3,10,7
N00003598,382,75,151,138,18,302,36,129,123,14,4,0,4,0,0,76,39,18,15,4
N00003599,403,56,78,213,56,278,15,47,169,47,52,18,21,7,6,73,23,10,37,3
N00003600,367,81,94,162,30,178,23,47,95,13,104,30,18,42,14,85,28,29,25,3
N00003601,368,47,75,211,35,292,33,44,189,26,3,1,0,1,1,73,13,31,21,8
N00003602,392,115,139,109,29,183,31,66,77,9,77,8,47,15,7,132,76,26,17,13
N00003603,356,54,120,126,56,297,27,107,117,46,8,0,4,0,4,51,27,9,9,6
N00003604,330,64,57,100,109,172,15,20,57,80,31,5,6,10,10,127,44,31,33,19
N00003605,320,68,81,118,53,75,5,14,38,18,161,38,38,63,22,84,25,29,17,13
N00003606,353,41,69,207,36,281,15,42,188,36,7,0,3,4,0,65,26,24,15,0
N00003607,502,83,164,183,72,407,44,130,164,69,15,0,11,3,1,80,39,23,16,2
N00003608,475,96,162,157,60,327,35,116,124,52,31,10,13,7,1,117,51,33,26,7
N00003609,324,53,79,120,72,158,11,25,76,46,86,12,25,34,15,80,30,29,10,11
N00003610,294,42,79,98,75,197,20,56,65,56,59,13,17,19,10,38,9,6,14,9
N00003611,263,47,33,114,69,140,12,25,69,34,60,8,3,23,26,63,27,5,22,9
N00003612,472,46,124,216,86,416,41,119,177,79,5,0,0,0,5,51,5,5,39,2
N00003613,450,89,130,136,95,354,61,104,112,77,34,12,5,9,8,62,16,21,15,10
