GeographyCode,LC5101NI0001,LC5101NI0002,LC5101NI0003,LC5101NI0004,LC5101NI0005,LC5101NI0006,LC5101NI0007,LC5101NI0008,LC5101NI0009,LC5101NI0010,LC5101NI0011,LC5101NI0012,LC5101NI0013,LC5101NI0014,LC5101NI0015,LC5101NI0016,LC5101NI0017,LC5101NI0018,LC5101NI0019,LC5101NI0020,LC5101NI0021,LC5101NI0022,LC5101NI0023,LC5101NI0024,LC5101NI0025,LC5101NI0026,LC5101NI0027,LC5101NI0028,LC5101NI0029,LC5101NI0030,LC5101NI0031,LC5101NI0032,LC5101NI0033,LC5101NI0034,LC5101NI0035,LC5101NI0036,LC5101NI0037,LC5101NI0038,LC5101NI0039,LC5101NI0040,LC5101NI0041,LC5101NI0042,LC5101NI0043,LC5101NI0044,LC5101NI0045,LC5101NI0046,LC5101NI0047,LC5101NI0048,LC5101NI0049
N00001320,216,54,28,35,39,30,30,34,3,6,12,9,3,1,28,0,4,5,10,7,2,29,1,5,4,4,11,4,36,4,4,8,11,2,7,31,10,5,3,3,6,4,58,36,4,3,2,1,12
N00001321,228,77,39,35,34,36,7,39,3,7,10,15,3,1,22,0,3,3,4,12,0,36,3,12,10,4,6,1,50,15,12,8,8,4,3,26,10,3,4,2,5,2,55,46,2,0,1,6,0
N00001322,212,65,37,31,20,38,21,27,4,11,7,3,1,1,53,5,9,11,6,20,2,28,7,6,6,3,5,1,41,11,10,3,4,7,6,17,8,0,1,4,4,0,46,30,1,3,0,1,11
N00001323,257,99,27,36,29,43,23,32,2,6,8,10,4,2,47,6,5,9,10,8,9,43,9,4,12,6,9,3,45,17,9,2,1,12,4,26,15,2,3,1,2,3,64,50,1,2,1,8,2
N00001324,205,66,22,28,20,46,23,25,4,8,7,6,0,0,28,2,2,5,4,12,3,27,5,5,3,3,9,2,36,7,2,8,2,11,6,32,6,5,4,1,8,8,57,42,0,1,4,6,4
N00001325,1040,94,54,102,114,647,29,155,14,15,37,55,32,2,194,3,6,13,16,153,3,147,10,5,10,12,105,5,174,12,7,16,9,126,4,183,15,12,10,11,130,5,187,40,9,16,11,101,10
N00001326,293,16,10,35,37,188,7,34,4,1,9,16,4,0,34,0,2,5,3,22,2,25,1,1,3,2,18,0,63,1,1,6,6,48,1,59,1,3,5,2,46,2,78,9,2,7,8,50,2
N00001327,262,21,12,36,19,154,20,32,3,5,9,9,6,0,16,0,0,0,0,15,1,28,0,1,3,1,19,4,58,2,1,4,4,46,1,42,2,2,8,2,24,4,86,14,3,12,3,44,10
N00001328,830,66,26,83,89,533,33,132,10,11,34,40,36,1,89,1,2,5,7,70,4,113,2,3,4,11,89,4,164,6,4,19,12,118,5,134,4,2,10,7,108,3,198,43,4,11,12,112,16
N00001329,243,28,12,26,43,124,10,42,0,3,9,25,5,0,24,2,0,0,3,18,1,34,4,3,4,3,19,1,48,1,2,2,5,37,1,47,10,3,5,5,22,2,48,11,1,6,2,23,5
N00001330,265,23,15,22,25,174,6,37,4,4,9,11,9,0,25,0,0,0,1,24,0,33,3,3,1,1,25,0,54,5,4,3,6,36,0,61,4,2,4,3,46,2,55,7,2,5,3,34,4
N00001331,224,12,11,25,20,144,12,34,6,3,8,6,9,2,39,0,0,3,2,34,0,24,0,1,3,2,15,3,41,1,3,2,8,26,1,46,2,2,1,2,37,2,40,3,2,8,0,23,4
N00001332,170,16,8,20,17,97,12,32,2,0,7,5,17,1,74,2,4,5,8,50,5,26,0,2,5,1,17,1,22,5,2,2,0,8,5,7,3,0,0,3,1,0,9,4,0,1,0,4,0
N00001333,264,9,5,26,30,187,7,43,2,1,13,17,10,0,41,0,2,0,2,37,0,55,0,1,2,4,47,1,41,1,0,5,3,31,1,39,0,0,3,3,33,0,45,6,1,3,1,29,5
N00001334,287,25,12,31,30,172,17,54,5,8,14,13,12,2,30,0,1,0,0,29,0,48,3,1,1,5,37,1,52,2,0,5,6,33,6,35,1,2,3,2,25,2,68,14,0,8,4,36,6
N00001335,185,16,11,12,25,117,4,22,1,1,1,7,11,1,92,2,5,5,11,68,1,32,5,2,3,2,20,0,17,1,2,1,2,10,1,7,0,1,0,1,4,1,15,7,0,2,2,4,0
N00001336,228,27,5,19,16,156,5,30,4,1,8,8,9,0,13,3,1,0,1,7,1,35,0,0,1,1,32,1,60,2,1,1,4,51,1,41,2,2,2,2,32,1,49,16,0,7,0,25,1
N00001337,243,20,8,26,26,150,13,37,2,4,13,12,5,1,43,0,1,2,4,36,0,34,0,0,1,2,28,3,52,3,2,6,4,36,1,39,3,1,1,3,26,5,38,12,0,3,1,19,3
N00001338,247,76,27,23,18,75,28,36,7,8,9,6,5,1,32,4,1,5,1,18,3,43,2,7,3,7,22,2,41,9,6,2,3,16,5,36,14,3,2,1,9,7,59,40,2,2,0,5,10
N00001339,282,111,42,33,24,49,23,38,9,11,12,5,0,1,41,7,6,8,9,7,4,57,7,12,8,4,20,6,45,20,4,3,2,14,2,45,27,6,2,1,6,3,56,41,3,0,3,2,7
N00001340,621,217,77,76,68,132,51,71,20,11,15,17,5,3,101,7,13,16,20,36,9,95,18,16,12,12,32,5,127,25,26,14,13,36,13,76,39,7,7,4,10,9,151,108,4,12,2,13,12
N00001341,271,49,32,41,48,75,26,54,7,6,12,19,8,2,32,1,2,7,5,14,3,41,5,6,2,7,17,4,47,7,6,12,4,13,5,52,11,9,4,9,14,5,45,18,3,4,4,9,7
N00001342,318,51,35,49,41,117,25,60,6,10,13,19,12,0,43,2,2,7,6,23,3,40,2,4,5,6,19,4,65,4,5,15,8,30,3,59,16,9,5,1,19,9,51,21,5,4,1,14,6
N00001343,243,41,24,31,37,85,25,41,2,4,10,14,9,2,32,1,1,4,9,13,4,39,2,6,2,2,23,4,53,8,8,8,5,16,8,43,9,3,5,5,16,5,35,19,2,2,2,8,2
N00001344,285,64,26,37,39,99,20,54,3,7,13,17,12,2,33,3,1,9,1,19,0,36,2,1,3,10,17,3,60,13,5,6,6,24,6,44,12,9,3,4,14,2,58,31,3,3,1,13,7
N00001345,217,48,20,19,32,82,16,23,1,2,5,9,6,0,23,0,1,2,4,16,0,27,3,2,3,5,13,1,35,7,6,5,3,10,4,39,5,6,2,5,19,2,70,32,3,2,6,18,9
N00001346,694,109,43,81,89,341,31,85,7,13,19,31,12,3,109,3,3,5,14,83,1,114,3,6,8,12,81,4,134,10,8,17,18,75,6,102,12,7,17,9,53,4,150,74,6,15,5,37,13
N00001347,432,88,32,58,43,191,20,51,7,6,11,13,12,2,144,5,7,19,13,97,3,80,11,7,10,10,38,4,48,12,6,8,5,14,3,52,21,3,7,1,17,3,57,32,3,3,1,13,5
N00001348,242,28,26,31,34,109,14,30,0,2,12,9,7,0,45,1,5,1,7,30,1,48,0,6,3,9,27,3,49,4,9,5,5,22,4,42,10,2,7,4,17,2,28,13,2,3,0,6,4
N00001349,205,28,7,14,30,106,20,22,1,2,4,8,7,0,57,1,1,0,7,41,7,32,0,1,3,4,19,5,29,5,1,1,2,16,4,25,3,1,3,5,13,0,40,18,1,3,4,10,4
N00001350,739,430,85,89,48,56,31,110,25,27,38,14,6,0,106,27,13,19,18,25,4,105,50,18,17,5,8,7,123,84,15,5,4,10,5,103,70,7,7,7,6,6,192,174,5,3,0,1,9
N00001351,312,166,30,40,29,31,16,64,15,7,21,8,10,3,57,15,8,7,11,11,5,40,18,5,6,5,5,1,52,33,7,3,1,5,3,38,28,2,1,4,0,3,61,57,1,2,0,0,1
N00001352,270,113,19,28,27,60,23,35,7,6,3,10,7,2,81,13,6,12,12,30,8,41,14,1,7,2,12,5,35,19,5,1,2,5,3,34,24,0,5,0,3,2,44,36,1,0,1,3,3
N00001353,285,170,20,34,12,34,15,40,11,8,7,7,6,1,39,13,3,7,2,9,5,30,17,4,8,0,1,0,46,30,3,5,1,5,2,46,37,1,2,0,4,2,84,62,1,5,2,9,5
N00001354,626,352,76,60,51,58,29,86,22,12,21,18,6,7,108,31,20,15,19,21,2,103,53,20,12,5,8,5,117,80,16,6,4,7,4,94,64,5,5,4,10,6,118,102,3,1,1,6,5
N00001355,226,104,32,31,20,28,11,35,6,6,9,7,5,2,35,6,5,6,7,6,5,51,14,12,12,2,11,0,44,27,6,2,3,4,2,29,24,2,0,0,2,1,32,27,1,2,1,0,1
N00001356,226,122,36,28,10,23,7,38,8,8,16,1,2,3,45,11,11,8,5,10,0,27,13,8,3,1,2,0,42,27,7,0,2,3,3,30,23,1,0,0,5,1,44,40,1,1,1,1,0
N00001357,128,81,12,16,6,9,4,21,8,3,6,2,1,1,14,7,1,1,2,3,0,20,7,2,8,2,1,0,37,26,6,1,0,1,3,15,14,0,0,0,1,0,21,19,0,0,0,2,0
N00001358,252,118,36,29,24,25,20,34,8,10,4,9,2,1,53,12,8,12,6,12,3,46,17,5,6,6,8,4,46,27,7,5,0,2,5,27,18,3,0,1,1,4,46,36,3,2,2,0,3
N00001359,213,70,27,37,28,34,17,41,6,5,13,8,8,1,73,16,15,12,13,13,4,37,12,4,5,4,9,3,23,10,2,6,1,1,3,15,9,0,1,0,2,3,24,17,1,0,2,1,3
N00001360,191,89,24,25,13,32,8,31,12,6,6,4,1,2,53,11,7,9,3,21,2,36,9,8,8,2,5,4,25,17,0,2,3,3,0,27,21,3,0,1,2,0,19,19,0,0,0,0,0
N00001361,218,103,35,25,21,21,13,51,12,14,12,8,5,0,43,8,6,6,7,9,7,35,22,3,3,3,4,0,37,18,11,2,1,3,2,22,16,1,1,2,0,2,30,27,0,1,0,0,2
N00001362,245,148,26,35,14,13,9,41,9,8,12,5,5,2,42,11,8,15,4,2,2,39,23,5,5,1,4,1,38,30,3,2,2,0,1,38,32,2,1,0,2,1,47,43,0,0,2,0,2
N00001363,213,47,30,27,28,54,27,28,8,3,7,6,1,3,42,2,3,5,7,25,0,39,2,8,4,9,14,2,51,10,11,7,5,8,10,14,3,3,1,1,4,2,39,22,2,3,0,2,10
N00001364,452,110,63,51,54,126,48,40,2,11,9,9,5,4,138,9,9,18,21,70,11,90,7,14,10,14,36,9,62,9,21,8,6,10,8,36,24,4,1,1,0,6,86,59,4,5,3,5,10
N00001365,314,55,22,39,47,108,43,38,5,1,7,14,10,1,78,3,3,8,11,44,9,66,3,9,8,9,32,5,47,7,4,9,6,13,8,33,6,4,5,4,5,9,52,31,1,2,3,4,11
N00001366,205,47,10,29,15,84,20,13,0,1,6,5,1,0,52,2,0,4,1,37,8,45,4,6,6,0,25,4,45,7,3,10,8,11,6,13,7,0,0,0,5,1,37,27,0,3,1,5,1
N00001367,297,111,34,32,26,61,33,39,10,1,7,11,6,4,59,10,9,2,7,24,7,41,3,8,10,4,13,3,52,19,10,5,1,13,4,46,24,4,5,1,4,8,60,45,2,3,2,1,7
N00001368,244,55,21,30,27,90,21,20,1,2,7,7,2,1,34,0,1,1,4,26,2,48,2,3,4,6,32,1,45,4,7,9,5,16,4,38,16,4,4,2,9,3,59,32,4,5,3,5,10
N00001369,307,83,34,49,32,84,25,24,2,2,13,5,1,1,64,6,4,9,9,33,3,66,4,8,14,8,26,6,56,9,16,9,7,12,3,33,18,3,2,2,7,1,64,44,1,2,1,5,11
N00001370,323,77,40,44,38,98,26,36,1,8,12,9,4,2,27,0,4,2,3,17,1,52,5,3,11,7,24,2,60,3,12,6,10,23,6,41,7,7,6,3,14,4,107,61,6,7,6,16,11
N00001371,245,45,22,32,34,93,19,39,6,3,11,13,3,3,46,1,2,6,3,33,1,48,1,6,6,6,28,1,57,7,9,8,10,20,3,20,10,1,1,2,1,5,35,20,1,0,0,8,6
N00001372,463,109,57,57,60,137,43,46,5,11,10,12,6,2,61,1,8,7,12,28,5,115,8,14,11,11,65,6,83,21,14,9,16,18,5,70,22,6,11,5,13,13,88,52,4,9,4,7,12
N00001373,233,40,22,43,37,66,25,33,4,4,8,11,3,3,30,1,3,3,4,19,0,48,2,3,6,9,24,4,43,7,8,13,6,8,1,34,10,1,5,4,5,9,45,16,3,8,3,7,8
N00001374,237,39,31,41,34,65,27,35,2,4,14,8,4,3,27,0,3,6,7,11,0,38,1,4,3,7,17,6,59,7,13,10,8,16,5,34,7,3,4,3,11,6,44,22,4,4,1,6,7
N00001375,278,76,37,38,28,68,31,38,3,5,7,12,6,5,30,2,3,1,2,19,3,50,5,12,9,6,17,1,44,4,8,10,4,13,5,39,15,3,8,2,7,4,77,47,6,3,2,6,13
N00001376,163,49,14,20,16,45,19,19,4,1,5,2,4,3,43,2,4,8,6,21,2,27,4,3,1,4,14,1,26,5,6,3,4,4,4,20,14,0,2,0,1,3,28,20,0,1,0,1,6
N00001377,238,51,27,42,32,68,18,37,2,6,12,16,1,0,26,1,0,5,3,16,1,39,3,6,8,6,15,1,38,5,8,6,3,14,2,35,5,5,6,3,14,2,63,35,2,5,1,8,12
N00001378,204,27,24,27,36,72,18,20,0,6,4,7,2,1,58,0,2,5,16,33,2,35,1,3,7,3,19,2,41,4,9,7,8,8,5,17,4,3,2,0,6,2,33,18,1,2,2,4,6
N00001379,209,52,30,31,24,52,20,22,2,6,8,6,0,0,52,2,5,7,9,27,2,18,4,1,1,1,8,3,43,9,12,6,3,9,4,32,11,5,4,3,4,5,42,24,1,5,2,4,6
N00001380,325,55,14,32,33,178,13,31,3,1,9,9,9,0,53,1,0,3,6,39,4,61,2,6,4,5,41,3,64,10,0,6,6,41,1,55,4,4,6,5,34,2,61,35,3,4,2,14,3
N00001381,333,31,14,28,28,211,21,37,5,5,5,9,12,1,151,4,3,6,10,117,11,69,6,3,3,6,48,3,41,5,3,7,3,21,2,22,3,0,5,0,11,3,13,8,0,2,0,2,1
N00001382,254,16,14,30,21,161,12,41,3,3,16,9,7,3,29,1,0,0,2,26,0,50,1,3,1,0,44,1,42,0,0,4,3,34,1,45,0,5,8,1,29,2,47,11,3,1,6,21,5
N00001383,287,46,8,28,32,148,25,42,3,0,15,10,11,3,12,1,1,0,3,7,0,28,0,0,1,3,23,1,56,2,0,3,9,36,6,42,3,3,1,2,31,2,107,37,4,8,5,40,13
N00001384,232,42,18,17,28,103,24,25,3,5,4,5,6,2,27,0,0,2,6,18,1,54,3,3,5,8,32,3,52,7,4,3,3,31,4,36,6,3,3,4,12,8,38,23,3,0,2,4,6
N00001385,283,30,18,27,36,163,9,35,2,5,12,10,5,1,42,3,4,5,4,25,1,43,5,3,2,2,31,0,65,0,5,2,7,50,1,61,5,1,3,9,40,3,37,15,0,3,4,12,3
N00001386,456,73,43,52,55,189,44,68,6,10,14,11,20,7,146,4,9,13,23,86,11,103,8,9,13,9,54,10,57,15,8,7,6,17,4,27,10,3,4,2,5,3,55,30,4,1,4,7,9
N00001387,226,46,19,20,20,100,21,26,5,2,8,3,6,2,87,8,4,4,5,54,12,51,7,5,4,7,25,3,25,3,7,2,4,7,2,16,7,1,1,0,7,0,21,16,0,1,1,1,2
N00001388,237,84,28,25,16,56,28,22,1,5,9,5,2,0,30,1,6,4,3,16,0,19,1,4,0,2,11,1,42,7,4,3,5,20,3,28,12,5,3,1,3,4,96,62,4,6,0,4,20
N00001389,159,34,12,11,16,69,17,11,3,1,0,5,1,1,64,3,2,5,6,39,9,38,4,4,1,4,25,0,12,2,2,3,1,3,1,13,6,2,1,0,1,3,21,16,1,1,0,0,3
N00001390,228,39,12,36,21,102,18,26,3,3,11,5,4,0,29,1,1,3,3,19,2,54,1,1,10,5,35,2,47,3,4,2,2,30,6,39,13,1,5,6,10,4,33,18,2,5,0,4,4
N00001391,239,26,18,30,19,125,21,32,2,3,7,9,8,3,30,2,1,5,0,21,1,50,1,2,5,2,40,0,73,5,7,9,4,41,7,25,2,1,4,4,11,3,29,14,4,0,0,4,7
N00001392,232,57,19,22,26,96,12,31,6,1,6,7,11,0,76,2,5,6,8,51,4,40,7,4,4,3,21,1,33,12,6,4,5,5,1,17,8,2,2,3,0,2,35,22,1,0,0,8,4
N00001393,243,28,13,13,26,142,21,21,2,1,0,6,9,3,120,2,4,4,12,84,14,50,2,3,4,7,33,1,21,1,3,4,1,11,1,8,4,0,0,0,4,0,23,17,2,1,0,1,2
N00001394,223,35,16,22,19,112,19,26,3,2,6,5,9,1,56,3,2,7,6,32,6,46,1,3,0,3,36,3,40,4,4,3,4,22,3,26,7,4,4,1,10,0,29,17,1,2,0,3,6
N00001395,211,40,23,27,19,86,16,17,1,2,5,3,6,0,37,0,2,10,3,21,1,57,3,9,5,5,32,3,35,2,4,4,6,15,4,25,5,4,3,2,9,2,40,29,2,0,0,3,6
N00001396,568,41,36,50,58,338,45,76,4,6,10,10,37,9,323,4,8,24,31,239,17,90,9,13,7,12,39,10,38,4,8,1,5,16,4,13,5,0,5,0,2,1,28,15,1,3,0,5,4
N00001397,169,48,9,16,16,64,16,10,1,1,2,2,4,0,49,1,0,9,8,29,2,24,2,4,1,2,14,1,22,3,2,2,2,10,3,15,5,1,1,2,4,2,49,36,1,1,0,3,8
N00001398,213,54,16,23,28,76,16,18,2,2,3,4,6,1,70,1,2,10,12,39,6,47,3,4,10,4,25,1,22,9,4,0,4,4,1,22,10,3,0,3,2,4,34,29,1,0,1,0,3
N00001399,740,107,27,64,54,467,21,63,3,6,22,15,17,0,163,5,2,10,13,131,2,107,3,2,3,7,92,0,123,3,1,10,5,102,2,103,8,10,5,7,68,5,181,85,6,14,7,57,12
N00001400,264,24,10,20,23,178,9,22,1,0,4,8,8,1,32,1,2,0,2,26,1,51,1,1,3,3,43,0,53,0,1,1,5,44,2,36,3,3,2,0,28,0,70,18,3,10,5,29,5
N00001401,731,113,35,47,82,415,39,98,9,8,11,29,38,3,298,11,6,13,29,233,6,120,12,9,8,11,73,7,79,15,9,5,9,36,5,56,18,2,4,4,16,12,80,48,1,6,0,19,6
N00001402,568,69,27,51,41,350,30,81,9,5,18,16,33,0,209,2,4,11,16,167,9,95,5,4,6,3,70,7,80,9,9,7,3,49,3,46,9,3,4,2,23,5,57,35,2,5,1,8,6
N00001403,330,39,24,44,34,173,16,53,8,4,14,11,15,1,83,5,3,7,7,59,2,57,4,4,7,4,34,4,58,4,6,4,6,34,4,34,5,4,5,1,16,3,45,13,3,7,5,15,2
N00001404,606,128,41,57,55,278,47,71,7,9,18,23,13,1,145,10,6,8,12,97,12,94,11,8,8,7,53,7,94,11,9,16,7,49,2,59,12,2,4,2,34,5,143,77,7,3,4,32,20
N00001405,195,64,20,23,14,58,16,25,9,4,4,3,5,0,37,3,0,0,6,26,2,39,7,7,5,0,18,2,32,5,5,8,3,6,5,16,10,0,3,1,1,1,46,30,4,3,1,2,6
N00001406,175,58,12,19,15,57,14,14,5,2,3,1,1,2,39,2,2,4,7,21,3,31,3,0,1,1,23,3,34,13,6,3,3,7,2,16,4,0,4,1,3,4,41,31,2,4,2,2,0
N00001407,229,50,9,20,21,125,4,18,4,1,4,6,3,0,92,2,3,7,9,71,0,38,6,3,1,4,23,1,18,5,0,3,0,9,1,22,8,0,2,0,11,1,41,25,2,3,2,8,1
N00001408,386,32,11,35,49,252,7,45,1,1,16,16,11,0,113,3,1,5,16,88,0,55,4,2,3,3,43,0,76,3,4,6,3,59,1,53,5,1,3,8,35,1,44,16,2,2,3,16,5
N00001409,220,19,17,38,12,124,10,19,1,1,9,4,3,1,39,1,1,6,4,25,2,44,1,2,4,1,35,1,53,2,7,7,3,32,2,32,3,2,6,0,20,1,33,11,4,6,0,9,3
N00001410,232,27,11,29,23,134,8,23,4,1,8,3,7,0,38,1,1,3,3,30,0,44,4,1,1,2,36,0,50,7,2,6,5,29,1,35,0,2,2,5,22,4,42,11,4,9,5,10,3
N00001411,236,29,20,22,15,135,15,24,3,2,6,5,7,1,43,0,3,2,4,32,2,40,5,2,2,3,28,0,57,2,1,4,2,44,4,31,5,5,1,0,17,3,41,14,7,7,1,7,5
N00001412,153,47,9,14,17,56,10,15,0,1,5,6,3,0,22,1,3,0,4,11,3,15,1,2,0,3,9,0,25,4,2,3,3,11,2,21,7,1,1,1,9,2,55,34,0,5,0,13,3
N00001413,225,33,19,27,26,108,12,27,7,3,5,9,3,0,46,0,1,4,5,34,2,36,1,1,4,4,25,1,50,2,7,6,4,28,3,22,3,3,2,3,10,1,44,20,4,6,1,8,5
N00001414,221,34,16,18,26,115,12,20,2,3,6,9,0,0,47,2,3,1,9,31,1,45,1,2,2,4,36,0,41,3,4,2,1,29,2,23,8,1,2,1,7,4,45,18,3,5,2,12,5
N00001415,209,115,23,31,8,21,11,41,11,5,19,2,3,1,45,20,8,3,2,8,4,38,19,4,5,1,6,3,29,18,5,1,2,2,1,36,30,1,2,0,1,2,20,17,0,1,1,1,0
N00001416,821,156,39,58,86,394,88,97,10,12,14,28,26,7,400,10,5,23,44,263,55,118,26,9,7,5,62,9,75,20,5,6,6,29,9,59,30,7,5,2,10,5,72,60,1,3,1,4,3
N00001417,227,127,32,17,17,18,16,36,13,11,5,5,1,1,33,8,3,8,3,8,3,36,9,15,3,6,2,1,32,28,1,0,1,1,1,33,20,0,0,1,6,6,57,49,2,1,1,0,4
N00001418,572,165,51,66,56,187,47,88,10,12,21,14,24,7,227,19,18,28,27,116,19,86,26,11,10,7,27,5,76,46,6,5,5,12,2,47,28,0,1,2,8,8,48,36,4,1,1,0,6
N00001419,205,64,22,23,16,68,12,46,6,13,7,4,14,2,62,6,4,9,8,31,4,39,16,5,3,1,12,2,18,9,0,1,0,6,2,16,7,0,2,3,4,0,24,20,0,1,0,1,2
N00001420,196,76,23,22,13,40,22,27,5,4,6,6,5,1,44,4,5,7,4,18,6,37,7,5,5,3,11,6,28,13,9,2,0,3,1,27,20,0,2,0,2,3,33,27,0,0,0,1,5
N00001421,1210,274,70,90,202,479,95,262,20,14,27,111,77,13,416,21,17,32,46,254,46,207,45,21,12,27,89,13,120,49,4,6,12,34,15,81,38,7,8,4,20,4,124,101,7,5,2,5,4
N00001422,176,91,18,15,14,22,16,27,16,4,2,3,0,2,30,4,3,5,6,8,4,26,12,5,3,0,4,2,28,13,2,3,4,3,3,28,16,3,1,1,4,3,37,30,1,1,0,3,2
N00001423,347,199,29,39,23,39,18,56,17,7,14,8,8,2,48,14,8,7,6,12,1,52,23,7,5,2,10,5,44,30,2,3,2,3,4,54,41,3,3,4,1,2,93,74,2,7,1,5,4
N00001424,186,88,23,18,9,27,21,28,12,5,4,4,2,1,46,10,9,5,3,10,9,21,7,4,1,0,8,1,30,16,2,3,1,4,4,23,10,2,3,1,3,4,38,33,1,2,0,0,2
N00001425,212,106,36,16,13,21,20,45,13,13,8,8,2,1,41,13,11,4,3,9,1,26,14,2,0,1,6,3,41,21,10,1,0,1,8,23,15,0,2,1,0,5,36,30,0,1,0,3,2
N00001426,173,99,16,22,6,13,17,24,12,3,7,0,2,0,29,5,4,9,4,5,2,33,16,5,4,1,3,4,18,9,2,1,0,1,5,20,18,0,1,0,1,0,49,39,2,0,1,1,6
N00001427,202,117,22,22,14,12,15,36,12,11,6,5,0,2,34,19,3,7,2,3,0,28,14,3,3,4,2,2,31,14,4,4,3,2,4,33,22,1,2,0,4,4,40,36,0,0,0,1,3
N00001428,240,89,23,25,56,37,10,84,10,8,7,47,11,1,40,6,2,7,3,22,0,19,3,4,6,4,2,0,25,18,3,1,0,1,2,28,14,5,3,1,1,4,44,38,1,1,1,0,3
N00001429,960,287,61,78,160,308,66,293,30,17,23,117,89,17,238,17,15,25,23,142,16,120,33,13,14,16,36,8,106,51,10,10,3,23,9,69,39,5,4,1,13,7,134,117,1,2,0,5,9
N00001430,198,107,23,23,16,16,13,36,12,9,6,2,3,4,35,10,7,9,3,6,0,36,13,4,5,6,5,3,25,15,1,1,4,1,3,23,17,1,2,1,1,1,43,40,1,0,0,0,2
N00001431,252,125,40,25,24,21,17,45,13,11,11,8,2,0,39,9,7,7,8,7,1,49,14,17,1,5,9,3,34,19,3,3,3,2,4,37,30,1,3,0,0,3,48,40,1,0,0,1,6
N00001432,217,127,28,33,8,12,9,41,11,16,12,1,1,0,36,9,7,12,5,3,0,33,19,3,5,0,2,4,43,31,2,3,1,4,2,28,23,0,1,1,1,2,36,34,0,0,0,1,1
N00001433,192,88,18,34,19,21,12,29,8,2,9,4,5,1,50,10,5,13,13,8,1,28,8,7,5,2,5,1,34,18,3,7,0,1,5,17,14,0,0,0,1,2,34,30,1,0,0,1,2
N00001434,233,131,28,31,16,15,12,40,11,8,11,6,3,1,41,14,10,9,2,4,2,33,12,3,5,6,4,3,35,17,6,4,0,4,4,22,19,1,1,0,0,1,62,58,0,1,2,0,1
N00001435,190,127,20,14,9,14,6,30,14,3,6,4,2,1,37,17,6,5,3,5,1,18,11,4,0,1,2,0,26,18,3,2,0,3,0,31,21,3,1,1,2,3,48,46,1,0,0,0,1
N00001436,210,112,32,29,20,7,10,49,13,16,11,8,1,0,36,10,3,11,9,2,1,38,21,10,2,3,1,1,38,23,3,4,0,3,5,19,18,0,0,0,0,1,30,27,0,1,0,0,2
N00001437,151,90,14,13,17,14,3,36,14,7,4,7,3,1,32,9,3,5,7,7,1,15,10,1,1,2,1,0,34,23,3,3,1,3,1,11,11,0,0,0,0,0,23,23,0,0,0,0,0
N00001438,225,115,34,24,25,15,12,44,7,13,11,8,4,1,24,10,4,2,3,4,1,41,14,8,5,6,5,3,35,17,5,4,6,1,2,30,23,4,2,1,0,0,51,44,0,0,1,1,5
N00001439,236,111,17,26,24,38,20,31,5,4,7,5,9,1,59,10,3,10,11,19,6,25,11,5,1,4,3,1,42,17,3,7,4,5,6,29,20,2,1,0,1,5,50,48,0,0,0,1,1
N00001440,225,142,22,21,17,8,15,29,10,6,6,7,0,0,20,4,6,3,4,2,1,26,10,5,4,4,3,0,33,21,3,3,0,0,6,33,25,1,4,1,2,0,84,72,1,1,1,1,8
N00001441,211,114,29,25,16,15,12,33,14,8,8,0,2,1,44,12,14,9,6,2,1,44,21,2,3,6,9,3,32,16,4,3,4,0,5,23,18,1,2,0,1,1,35,33,0,0,0,1,1
N00001442,279,163,24,26,13,30,23,37,17,3,9,3,1,4,50,14,10,11,3,11,1,22,9,5,1,0,3,4,37,25,0,2,4,2,4,28,19,0,2,1,3,3,105,79,6,1,2,10,7
N00001443,184,120,14,12,8,15,15,17,9,1,2,2,2,1,31,9,2,5,6,4,5,20,8,8,3,0,1,0,29,21,2,2,0,3,1,29,21,1,0,0,1,6,58,52,0,0,0,4,2
N00001444,215,131,18,30,14,12,10,42,17,8,9,6,1,1,37,13,5,10,5,3,1,18,7,3,7,1,0,0,31,24,1,1,0,2,3,35,26,1,3,1,3,1,52,44,0,0,1,3,4
N00001445,307,29,20,47,32,163,16,36,2,5,15,6,6,2,22,0,3,3,1,14,1,39,0,1,3,11,24,0,69,4,4,7,9,40,5,50,2,1,8,4,31,4,91,21,6,11,1,48,4
N00001446,264,41,25,40,34,107,17,28,1,1,7,14,5,0,14,1,2,1,1,8,1,29,0,7,2,4,16,0,52,4,6,8,2,31,1,48,3,1,9,9,22,4,93,32,8,13,4,25,11
N00001447,280,63,25,47,20,114,11,24,4,3,10,2,4,1,21,2,1,2,1,13,2,27,2,1,4,5,15,0,41,3,6,5,4,22,1,54,6,4,14,4,24,2,113,46,10,12,4,36,5
N00001448,286,20,24,37,39,161,5,43,3,5,8,16,11,0,12,1,0,1,2,8,0,44,0,4,5,5,28,2,77,6,5,12,7,47,0,62,2,5,4,5,45,1,48,8,5,7,4,22,2
N00001449,253,22,18,39,24,140,10,15,3,3,4,4,1,0,21,1,1,3,2,14,0,63,0,2,4,6,49,2,58,3,3,12,5,33,2,35,2,3,7,2,18,3,61,13,6,9,5,25,3
N00001450,229,21,22,33,26,118,9,24,2,1,8,7,6,0,13,0,1,2,2,8,0,23,0,3,2,3,14,1,46,2,10,6,3,23,2,38,3,1,4,5,20,5,85,14,6,11,6,47,1
