GeographyCode,LC2114NI0001,LC2114NI0002,LC2114NI0003,LC2114NI0004,LC2114NI0005,LC2114NI0006,LC2114NI0007,LC2114NI0008,LC2114NI0009,LC2114NI0010,LC2114NI0011,LC2114NI0012,LC2114NI0013,LC2114NI0014,LC2114NI0015
N00001380,370,39,331,76,6,70,114,5,109,119,23,96,61,5,56
N00001381,378,13,365,82,3,79,220,3,217,63,7,56,13,0,13
N00001382,306,22,284,93,1,92,79,2,77,87,7,80,47,12,35
N00001383,340,18,322,95,2,93,40,1,39,98,6,92,107,9,98
N00001384,279,23,256,72,2,70,81,6,75,88,11,77,38,4,34
N00001385,346,35,311,98,5,93,85,8,77,126,20,106,37,2,35
N00001386,510,36,474,122,3,119,249,21,228,84,7,77,55,5,50
N00001387,251,22,229,51,2,49,138,13,125,41,7,34,21,0,21
N00001388,264,18,246,49,2,47,49,3,46,70,6,64,96,7,89
N00001389,181,20,161,33,1,32,102,13,89,25,1,24,21,5,16
N00001390,276,18,258,74,0,74,83,6,77,86,8,78,33,4,29
N00001391,271,27,244,64,6,58,80,5,75,98,13,85,29,3,26
N00001392,257,17,240,56,0,56,116,10,106,50,3,47,35,4,31
N00001393,262,16,246,40,2,38,170,9,161,29,5,24,23,0,23
N00001394,266,22,244,69,3,66,102,13,89,66,5,61,29,1,28
N00001395,260,20,240,66,0,66,94,7,87,60,9,51,40,4,36
N00001396,588,41,547,96,8,88,413,24,389,51,7,44,28,2,26
N00001397,181,18,163,22,0,22,73,12,61,37,3,34,49,3,46
N00001398,238,14,224,43,0,43,117,9,108,44,2,42,34,3,31
N00001399,851,55,796,174,5,169,270,9,261,226,20,206,181,21,160
N00001400,316,25,291,74,3,71,83,2,81,89,10,79,70,10,60
N00001401,816,36,780,183,5,178,418,16,402,135,11,124,80,4,76
N00001402,626,32,594,139,4,135,304,16,288,126,8,118,57,4,53
N00001403,367,9,358,90,0,90,140,5,135,92,3,89,45,1,44
N00001404,681,44,637,146,4,142,239,11,228,153,23,130,143,6,137
N00001405,226,14,212,56,1,55,76,2,74,48,6,42,46,5,41
N00001406,203,12,191,42,0,42,70,5,65,50,5,45,41,2,39
N00001407,251,15,236,40,2,38,130,5,125,40,8,32,41,0,41
N00001408,447,20,427,106,3,103,168,2,166,129,13,116,44,2,42
N00001409,276,15,261,75,0,75,83,5,78,85,8,77,33,2,31
N00001410,282,22,260,73,1,72,82,3,79,85,17,68,42,1,41
N00001411,268,23,245,56,5,51,83,7,76,88,10,78,41,1,40
N00001412,162,7,155,24,0,24,37,0,37,46,3,43,55,4,51
N00001413,267,17,250,69,0,69,82,6,76,72,6,66,44,5,39
N00001414,262,8,254,61,0,61,92,2,90,64,2,62,45,4,41
N00001415,259,6,253,91,1,90,83,2,81,65,2,63,20,1,19
N00001416,898,26,872,174,5,169,518,13,505,134,8,126,72,0,72
N00001417,264,24,240,73,5,68,69,3,66,65,9,56,57,7,50
N00001418,643,32,611,159,5,154,313,18,295,123,8,115,48,1,47
N00001419,236,10,226,77,3,74,101,5,96,34,0,34,24,2,22
N00001420,236,17,219,67,3,64,81,6,75,55,8,47,33,0,33
N00001421,1301,78,1223,353,19,334,623,35,588,201,18,183,124,6,118
N00001422,197,9,188,48,3,45,56,3,53,56,3,53,37,0,37
N00001423,429,10,419,138,2,136,100,5,95,98,1,97,93,2,91
N00001424,212,18,194,54,6,48,67,5,62,53,6,47,38,1,37
N00001425,256,10,246,89,3,86,67,3,64,64,1,63,36,3,33
N00001426,214,7,207,65,0,65,62,0,62,38,3,35,49,4,45
N00001427,246,8,238,80,1,79,62,2,60,64,3,61,40,2,38
N00001428,273,23,250,117,6,111,59,8,51,53,4,49,44,5,39
N00001429,1033,91,942,366,32,334,358,28,330,175,19,156,134,12,122
N00001430,255,19,236,93,5,88,71,4,67,48,3,45,43,7,36
N00001431,317,24,293,110,4,106,88,7,81,71,8,63,48,5,43
N00001432,264,12,252,88,3,85,69,3,66,71,4,67,36,2,34
N00001433,241,12,229,78,2,76,78,4,74,51,3,48,34,3,31
N00001434,290,13,277,97,1,96,74,2,72,57,6,51,62,4,58
N00001435,229,20,209,69,9,60,55,7,48,57,4,53,48,0,48
N00001436,284,14,270,123,3,120,74,7,67,57,2,55,30,2,28
N00001437,196,14,182,81,7,74,47,2,45,45,5,40,23,0,23
N00001438,278,23,255,97,5,92,65,2,63,65,10,55,51,6,45
N00001439,255,15,240,50,3,47,84,4,80,71,7,64,50,1,49
N00001440,243,24,219,47,2,45,46,3,43,66,11,55,84,8,76
N00001441,264,22,242,86,9,77,88,7,81,55,5,50,35,1,34
N00001442,334,21,313,92,5,87,72,10,62,65,3,62,105,3,102
N00001443,203,17,186,36,3,33,51,3,48,58,8,50,58,3,55
N00001444,256,15,241,83,2,81,55,3,52,66,7,59,52,3,49
N00001445,361,48,313,90,4,86,61,4,57,119,21,98,91,19,72
