GeographyCode,LC2408NI0001,LC2408NI0002,LC2408NI0003,LC2408NI0004,LC2408NI0005,LC2408NI0006,LC2408NI0007,LC2408NI0008,LC2408NI0009,LC2408NI0010,LC2408NI0011,LC2408NI0012,LC2408NI0013,LC2408NI0014,LC2408NI0015,LC2408NI0016
N00000368,170,130,36,4,10,6,4,0,58,44,12,2,102,80,20,2
N00000369,141,58,77,6,11,2,9,0,46,20,23,3,84,36,45,3
N00000370,172,76,94,2,16,8,8,0,59,24,34,1,97,44,52,1
N00000371,141,77,62,2,8,6,2,0,53,26,26,1,80,45,34,1
N00000372,135,82,44,9,9,6,0,3,54,36,15,3,72,40,29,3
N00000373,178,100,68,10,10,7,2,1,83,52,29,2,85,41,37,7
N00000374,132,76,51,5,10,6,4,0,50,27,21,2,72,43,26,3
N00000375,134,70,61,3,19,10,8,1,56,30,25,1,59,30,28,1
N00000376,116,53,61,2,19,9,10,0,53,23,28,2,44,21,23,0
N00000377,119,47,70,2,14,6,8,0,65,25,39,1,40,16,23,1
N00000378,118,74,43,1,32,21,11,0,61,42,18,1,25,11,14,0
N00000379,164,77,82,5,9,4,5,0,70,33,37,0,85,40,40,5
N00000380,168,152,16,0,6,6,0,0,53,46,7,0,109,100,9,0
N00000381,333,296,32,5,54,49,4,1,170,149,17,4,109,98,11,0
N00000382,183,165,16,2,9,8,1,0,75,65,9,1,99,92,6,1
N00000383,144,74,67,3,9,6,3,0,53,27,24,2,82,41,40,1
N00000384,145,132,13,0,11,8,3,0,50,48,2,0,84,76,8,0
N00000385,135,83,50,2,3,3,0,0,38,23,14,1,94,57,36,1
N00000386,125,112,8,5,51,45,2,4,55,50,4,1,19,17,2,0
N00000387,106,94,9,3,45,42,3,0,46,40,5,1,15,12,1,2
N00000388,603,552,40,11,166,151,10,5,276,253,20,3,161,148,10,3
N00000389,156,145,8,3,27,24,3,0,57,52,3,2,72,69,2,1
N00000390,321,41,274,6,13,0,12,1,88,14,72,2,220,27,190,3
N00000391,173,16,144,13,5,0,3,2,49,4,40,5,119,12,101,6
N00000392,518,32,468,18,22,2,19,1,215,20,188,7,281,10,261,10
N00000393,178,11,162,5,7,0,7,0,68,6,58,4,103,5,97,1
N00000394,141,17,118,6,5,0,5,0,47,6,37,4,89,11,76,2
N00000395,142,39,98,5,5,0,5,0,44,15,29,0,93,24,64,5
N00000396,134,28,104,2,1,0,1,0,49,12,37,0,84,16,66,2
N00000397,189,70,110,9,10,4,4,2,66,26,38,2,113,40,68,5
N00000398,165,8,155,2,15,1,13,1,49,2,47,0,101,5,95,1
N00000399,130,3,123,4,16,1,15,0,55,1,53,1,59,1,55,3
N00000400,112,104,7,1,47,42,4,1,42,40,2,0,23,22,1,0
N00000401,117,109,4,4,30,28,1,1,51,46,3,2,36,35,0,1
