GeographyCode,LC2407NI0001,LC2407NI0002,LC2407NI0003,LC2407NI0004,LC2407NI0005,LC2407NI0006,LC2407NI0007,LC2407NI0008,LC2407NI0009,LC2407NI0010,LC2407NI0011,LC2407NI0012,LC2407NI0013,LC2407NI0014,LC2407NI0015,LC2407NI0016,LC2407NI0017,LC2407NI0018,LC2407NI0019,LC2407NI0020,LC2407NI0021,LC2407NI0022,LC2407NI0023,LC2407NI0024,LC2407NI0025,LC2407NI0026,LC2407NI0027,LC2407NI0028
N00003810,109,13,78,55,20,3,18,49,6,35,26,8,1,8,50,6,34,24,9,1,10,10,1,9,5,3,1,0
N00003811,141,18,108,75,26,7,15,16,1,13,7,6,0,2,63,10,44,28,14,2,9,62,7,51,40,6,5,4
N00003812,127,82,34,26,8,0,11,30,23,4,4,0,0,3,68,44,16,14,2,0,8,29,15,14,8,6,0,0
N00003813,127,56,55,36,13,6,16,21,10,10,7,3,0,1,60,21,26,16,6,4,13,46,25,19,13,4,2,2
N00003814,151,128,15,8,6,1,8,28,23,4,4,0,0,1,69,56,6,2,4,0,7,54,49,5,2,2,1,0
N00003815,227,165,23,15,4,4,39,41,34,3,2,1,0,4,118,82,11,6,2,3,25,68,49,9,7,1,1,10
N00003816,143,117,8,6,0,2,18,40,35,2,1,0,1,3,75,58,5,4,0,1,12,28,24,1,1,0,0,3
N00003817,149,115,16,11,3,2,18,13,10,1,0,0,1,2,41,29,7,5,1,1,5,95,76,8,6,2,0,11
N00003818,156,76,63,37,7,19,17,13,8,4,2,0,2,1,64,33,25,13,4,8,6,79,35,34,22,3,9,10
N00003819,135,68,53,41,8,4,14,15,3,4,2,2,0,8,55,30,21,16,3,2,4,65,35,28,23,3,2,2
N00003820,179,115,39,29,3,7,25,7,5,2,2,0,0,0,59,39,8,7,0,1,12,113,71,29,20,3,6,13
N00003821,139,85,44,40,1,3,10,20,14,4,4,0,0,2,55,34,17,16,0,1,4,64,37,23,20,1,2,4
N00003822,167,84,65,52,5,8,18,17,9,6,5,1,0,2,46,21,19,16,0,3,6,104,54,40,31,4,5,10
N00003823,190,113,52,32,8,12,25,14,7,1,1,0,0,6,67,42,17,13,2,2,8,109,64,34,18,6,10,11
N00003824,226,176,35,29,3,3,15,20,13,6,5,1,0,1,53,41,6,5,0,1,6,153,122,23,19,2,2,8
N00003825,325,295,7,2,3,2,23,32,30,0,0,0,0,2,148,128,5,1,3,1,15,145,137,2,1,0,1,6
N00003826,201,182,8,5,0,3,11,12,8,3,2,0,1,1,60,59,0,0,0,0,1,129,115,5,3,0,2,9
N00003827,311,229,68,46,5,17,14,21,17,4,2,0,2,0,88,64,18,14,1,3,6,202,148,46,30,4,12,8
N00003828,139,18,101,58,14,29,20,9,1,7,4,2,1,1,36,9,22,13,2,7,5,94,8,72,41,10,21,14
N00003829,150,89,39,13,22,4,22,8,6,2,0,2,0,0,51,26,15,3,11,1,10,91,57,22,10,9,3,12
N00003830,166,120,16,5,7,4,30,19,16,1,0,0,1,2,50,29,6,3,2,1,15,97,75,9,2,5,2,13
N00003831,125,54,43,20,19,4,28,32,15,9,4,5,0,8,51,21,19,10,6,3,11,42,18,15,6,8,1,9
N00003832,183,107,52,26,20,6,24,15,9,2,1,1,0,4,64,44,13,6,4,3,7,104,54,37,19,15,3,13
N00003833,193,130,29,15,6,8,34,56,38,11,6,3,2,7,87,57,8,3,2,3,22,50,35,10,6,1,3,5
N00003834,157,124,9,4,3,2,24,46,37,2,2,0,0,7,68,55,5,0,3,2,8,43,32,2,2,0,0,9
N00003835,243,168,18,6,8,4,57,64,48,5,3,0,2,11,102,67,6,1,4,1,29,77,53,7,2,4,1,17
N00003836,147,111,10,6,4,0,26,17,11,3,0,3,0,3,72,51,2,2,0,0,19,58,49,5,4,1,0,4
N00003837,113,89,6,2,2,2,18,10,7,1,0,0,1,2,41,30,1,0,1,0,10,62,52,4,2,1,1,6
N00003838,179,134,13,4,5,4,32,33,25,3,2,1,0,5,96,71,6,0,3,3,19,50,38,4,2,1,1,8
N00003839,132,86,12,3,5,4,34,16,12,1,0,1,0,3,42,24,5,2,0,3,13,74,50,6,1,4,1,18
N00003840,152,113,16,6,9,1,23,11,7,1,0,0,1,3,52,35,8,3,5,0,9,89,71,7,3,4,0,11
N00003841,114,82,13,3,6,4,19,28,21,2,1,0,1,5,57,39,9,2,4,3,9,29,22,2,0,2,0,5
N00003842,165,127,12,4,5,3,26,12,11,0,0,0,0,1,75,56,4,1,1,2,15,78,60,8,3,4,1,10
N00003843,130,89,14,7,5,2,27,42,32,2,1,1,0,8,44,29,5,2,2,1,10,44,28,7,4,2,1,9
N00003844,182,126,25,4,13,8,31,10,5,2,0,1,1,3,58,32,12,3,7,2,14,114,89,11,1,5,5,14
N00003845,121,96,10,2,7,1,15,23,18,1,0,1,0,4,53,41,4,2,2,0,8,45,37,5,0,4,1,3
N00003846,294,232,15,4,5,6,47,126,97,7,2,4,1,22,125,98,5,2,1,2,22,43,37,3,0,0,3,3
N00003847,114,91,8,4,3,1,15,35,28,2,1,1,0,5,55,46,1,1,0,0,8,24,17,5,2,2,1,2
N00003848,138,113,6,3,3,0,19,38,35,1,0,1,0,2,66,54,3,2,1,0,9,34,24,2,1,1,0,8
N00003849,181,145,2,1,1,0,34,20,18,0,0,0,0,2,63,45,2,1,1,0,16,98,82,0,0,0,0,16
N00003850,143,119,0,0,0,0,24,18,13,0,0,0,0,5,61,48,0,0,0,0,13,64,58,0,0,0,0,6
N00003851,149,131,1,1,0,0,17,14,10,0,0,0,0,4,54,46,0,0,0,0,8,81,75,1,1,0,0,5
N00003852,141,120,0,0,0,0,21,40,34,0,0,0,0,6,65,52,0,0,0,0,13,36,34,0,0,0,0,2
N00003853,167,146,1,0,1,0,20,9,8,0,0,0,0,1,75,64,1,0,1,0,10,83,74,0,0,0,0,9
N00003854,137,115,1,0,0,1,21,8,7,0,0,0,0,1,41,33,0,0,0,0,8,88,75,1,0,0,1,12
N00003855,150,131,2,1,0,1,17,6,5,0,0,0,0,1,57,50,1,1,0,0,6,87,76,1,0,0,1,10
N00003856,159,135,3,1,2,0,21,19,17,1,0,1,0,1,58,48,0,0,0,0,10,82,70,2,1,1,0,10
N00003857,169,136,20,12,3,5,13,17,12,3,2,0,1,2,58,46,8,5,1,2,4,94,78,9,5,2,2,7
N00003858,159,127,10,8,2,0,22,14,8,2,1,1,0,4,59,44,5,5,0,0,10,86,75,3,2,1,0,8
N00003859,179,148,9,7,1,1,22,45,36,3,3,0,0,6,75,63,5,4,1,0,7,59,49,1,0,0,1,9
N00003860,360,319,16,12,1,3,25,41,39,0,0,0,0,2,140,120,7,7,0,0,13,179,160,9,5,1,3,10
N00003861,169,135,18,15,0,3,16,12,9,1,1,0,0,2,55,40,6,6,0,0,9,102,86,11,8,0,3,5
N00003862,136,52,70,60,6,4,14,8,3,5,5,0,0,0,41,15,19,17,2,0,7,87,34,46,38,4,4,7
N00003863,117,87,7,2,1,4,23,69,49,4,1,1,2,16,40,33,2,1,0,1,5,8,5,1,0,0,1,2
N00003864,130,113,2,1,0,1,15,35,31,0,0,0,0,4,58,50,1,0,0,1,7,37,32,1,1,0,0,4
N00003865,100,78,4,3,1,0,18,58,44,1,1,0,0,13,26,24,0,0,0,0,2,16,10,3,2,1,0,3
N00003866,147,130,5,3,1,1,12,56,52,1,0,1,0,3,71,60,3,2,0,1,8,20,18,1,1,0,0,1
N00003867,276,234,14,2,5,7,28,61,56,2,1,0,1,3,144,119,7,1,2,4,18,71,59,5,0,3,2,7
N00003868,142,125,1,0,0,1,16,51,45,1,0,0,1,5,71,61,0,0,0,0,10,20,19,0,0,0,0,1
N00003869,445,331,41,17,10,14,73,132,95,16,6,4,6,21,202,151,16,7,4,5,35,111,85,9,4,2,3,17
N00003870,117,83,12,3,7,2,22,53,35,4,1,3,0,14,51,39,5,1,3,1,7,13,9,3,1,1,1,1
N00003871,239,198,19,5,7,7,22,12,10,2,1,0,1,0,77,60,11,3,5,3,6,150,128,6,1,2,3,16
N00003872,129,92,4,1,1,2,33,63,41,2,1,1,0,20,54,40,2,0,0,2,12,12,11,0,0,0,0,1
N00003873,413,362,14,5,3,6,37,145,128,5,2,2,1,12,186,163,6,2,1,3,17,82,71,3,1,0,2,8
N00003874,173,53,105,65,22,18,15,8,1,6,4,1,1,1,50,21,26,18,4,4,3,115,31,73,43,17,13,11
N00003875,140,118,11,6,3,2,11,23,19,2,2,0,0,2,66,56,3,1,2,0,7,51,43,6,3,1,2,2
N00003876,167,108,49,32,13,4,10,8,7,1,1,0,0,0,43,24,13,8,3,2,6,116,77,35,23,10,2,4
N00003877,129,40,81,40,30,11,8,18,4,13,7,6,0,1,43,11,28,14,9,5,4,68,25,40,19,15,6,3
N00003878,142,63,69,50,9,10,10,12,10,0,0,0,0,2,37,17,18,12,5,1,2,93,36,51,38,4,9,6
N00003879,147,82,54,25,23,6,11,7,4,3,2,1,0,0,42,27,12,4,8,0,3,98,51,39,19,14,6,8
N00003880,173,136,25,17,6,2,12,18,17,1,1,0,0,0,73,56,8,4,2,2,9,82,63,16,12,4,0,3
N00003881,149,113,15,7,2,6,21,4,4,0,0,0,0,0,35,23,4,2,0,2,8,110,86,11,5,2,4,13
N00003882,125,104,11,5,5,1,10,7,4,1,0,0,1,2,75,66,8,4,4,0,1,43,34,2,1,1,0,7
N00003883,299,225,32,10,13,9,42,28,19,3,1,1,1,6,141,104,15,4,7,4,22,130,102,14,5,5,4,14
N00003884,289,158,85,45,25,15,46,56,30,15,6,8,1,11,160,83,52,27,13,12,25,73,45,18,12,4,2,10
N00003885,119,40,59,35,18,6,20,15,1,11,5,4,2,3,69,23,33,21,10,2,13,35,16,15,9,4,2,4
N00003886,117,66,35,18,13,4,16,25,10,12,6,5,1,3,66,43,13,7,5,1,10,26,13,10,5,3,2,3
N00003887,254,19,161,55,50,56,74,86,5,55,20,19,16,26,115,7,71,26,17,28,37,53,7,35,9,14,12,11
N00003888,98,22,52,22,17,13,24,12,5,5,3,2,0,2,39,11,16,6,7,3,12,47,6,31,13,8,10,10
N00003889,157,53,61,26,22,13,43,38,13,12,6,5,1,13,72,28,30,12,12,6,14,47,12,19,8,5,6,16
N00003890,127,48,51,25,9,17,28,49,21,16,10,1,5,12,58,22,26,11,6,9,10,20,5,9,4,2,3,6
N00003891,136,12,76,31,17,28,48,35,4,23,9,7,7,8,74,6,34,17,5,12,34,27,2,19,5,5,9,6
N00003892,123,7,90,39,18,33,26,37,2,26,13,6,7,9,67,4,50,22,11,17,13,19,1,14,4,1,9,4
N00003893,116,11,66,22,19,25,39,28,3,14,3,6,5,11,67,5,39,13,11,15,23,21,3,13,6,2,5,5
N00003894,122,10,72,34,14,24,40,40,3,25,11,3,11,12,51,7,29,19,5,5,15,31,0,18,4,6,8,13
N00003895,124,17,69,39,14,16,38,35,5,21,10,5,6,9,68,9,34,24,5,5,25,21,3,14,5,4,5,4
N00003896,381,11,297,180,66,51,73,175,3,136,81,33,22,36,143,8,111,75,22,14,24,63,0,50,24,11,15,13
N00003897,103,4,73,34,26,13,26,45,1,31,13,14,4,13,34,1,26,14,9,3,7,24,2,16,7,3,6,6
N00003898,127,3,103,51,20,32,21,5,0,3,2,1,0,2,33,1,28,12,7,9,4,89,2,72,37,12,23,15
N00003899,131,6,99,58,20,21,26,11,0,9,7,1,1,2,27,0,23,13,5,5,4,93,6,67,38,14,15,20
N00003900,132,2,102,52,29,21,28,46,0,35,19,12,4,11,60,2,46,24,8,14,12,26,0,21,9,9,3,5
N00003901,116,3,88,42,29,17,25,54,1,43,21,14,8,10,51,2,37,16,14,7,12,11,0,8,5,1,2,3
N00003902,130,0,110,53,24,33,20,14,0,14,5,5,4,0,52,0,43,20,11,12,9,64,0,53,28,8,17,11
N00003903,211,6,158,79,38,41,47,7,0,7,3,4,0,0,61,1,40,21,6,13,20,143,5,111,55,28,28,27
N00003904,202,9,158,96,32,30,35,19,1,10,6,4,0,8,92,5,71,43,12,16,16,91,3,77,47,16,14,11
N00003905,153,10,114,67,33,14,29,69,2,55,34,14,7,12,66,6,46,25,18,3,14,18,2,13,8,1,4,3
N00003906,111,8,82,55,15,12,21,42,2,36,21,9,6,4,50,4,34,24,4,6,12,19,2,12,10,2,0,5
N00003907,136,8,87,47,18,22,41,22,2,8,5,3,0,12,70,2,49,30,10,9,19,44,4,30,12,5,13,10
N00003908,110,3,87,57,10,20,20,51,1,42,26,8,8,8,47,2,35,25,2,8,10,12,0,10,6,0,4,2
N00003909,144,6,103,50,27,26,35,40,1,31,16,10,5,8,66,4,47,24,12,11,15,38,1,25,10,5,10,12
N00003910,113,4,95,48,26,21,14,27,3,24,14,5,5,0,55,1,44,18,15,11,10,31,0,27,16,6,5,4
N00003911,507,24,365,190,78,97,118,48,2,34,18,9,7,12,201,6,141,81,26,34,54,258,16,190,91,43,56,52
N00003912,188,10,130,67,29,34,48,14,0,12,6,4,2,2,83,7,54,30,8,16,22,91,3,64,31,17,16,24
N00003913,121,7,97,58,25,14,17,44,4,35,21,12,2,5,60,2,49,29,10,10,9,17,1,13,8,3,2,3
N00003914,130,17,78,44,18,16,35,14,2,9,5,3,1,3,62,6,34,23,8,3,22,54,9,35,16,7,12,10
N00003915,122,6,71,31,18,22,45,35,2,20,9,4,7,13,68,3,40,18,11,11,25,19,1,11,4,3,4,7
N00003916,129,10,92,50,22,20,27,6,0,0,0,0,0,6,60,7,42,22,10,10,11,63,3,50,28,12,10,10
N00003917,112,3,90,45,27,18,19,19,0,12,7,3,2,7,62,1,52,25,16,11,9,31,2,26,13,8,5,3
N00003918,121,1,91,40,34,17,29,35,1,23,9,10,4,11,72,0,55,25,19,11,17,14,0,13,6,5,2,1
N00003919,122,16,80,48,14,18,26,8,1,6,5,1,0,1,61,7,42,25,10,7,12,53,8,32,18,3,11,13
N00003920,118,15,78,41,25,12,25,8,1,3,1,2,0,4,62,11,39,24,9,6,12,48,3,36,16,14,6,9
N00003921,121,13,75,43,21,11,33,9,0,6,5,0,1,3,62,7,39,23,9,7,16,50,6,30,15,12,3,14
N00003922,123,13,86,44,18,24,24,11,1,7,4,0,3,3,67,6,46,24,9,13,15,45,6,33,16,9,8,6
