GeographyCode,LC6109NI0001,LC6109NI0002,LC6109NI0003,LC6109NI0004,LC6109NI0005,LC6109NI0006,LC6109NI0007,LC6109NI0008,LC6109NI0009,LC6109NI0010,LC6109NI0011,LC6109NI0012,LC6109NI0013,LC6109NI0014,LC6109NI0015,LC6109NI0016,LC6109NI0017,LC6109NI0018
N00000256,398,106,292,39,10,29,61,12,49,81,25,56,111,26,85,106,33,73
N00000257,214,62,152,23,6,17,51,11,40,53,15,38,55,19,36,32,11,21
N00000258,171,56,115,15,5,10,15,10,5,39,12,27,67,16,51,35,13,22
N00000259,226,58,168,27,13,14,44,6,38,64,20,44,52,11,41,39,8,31
N00000260,225,60,165,28,6,22,56,10,46,76,26,50,44,13,31,21,5,16
N00000261,261,70,191,26,13,13,54,10,44,74,21,53,52,11,41,55,15,40
N00000262,186,47,139,15,5,10,40,7,33,51,14,37,53,11,42,27,10,17
N00000263,102,23,79,14,3,11,22,5,17,22,4,18,26,5,21,18,6,12
N00000264,246,71,175,43,11,32,53,15,38,54,17,37,66,20,46,30,8,22
N00000265,142,42,100,22,9,13,31,6,25,32,10,22,31,7,24,26,10,16
N00000266,158,40,118,26,14,12,25,4,21,40,9,31,46,9,37,21,4,17
N00000267,216,56,160,21,11,10,21,0,21,47,14,33,66,17,49,61,14,47
N00000268,204,66,138,27,12,15,39,9,30,48,10,38,43,14,29,47,21,26
N00000269,177,49,128,27,11,16,12,0,12,34,7,27,58,19,39,46,12,34
N00000270,181,50,131,22,7,15,31,7,24,37,12,25,47,11,36,44,13,31
N00000271,179,45,134,16,6,10,24,3,21,44,11,33,60,15,45,35,10,25
N00000272,137,37,100,8,0,8,22,2,20,30,7,23,37,15,22,40,13,27
N00000273,214,54,160,16,9,7,29,3,26,49,11,38,75,18,57,45,13,32
N00000274,250,71,179,25,5,20,41,6,35,53,17,36,64,17,47,67,26,41
N00000275,131,38,93,16,8,8,18,4,14,31,9,22,36,8,28,30,9,21
N00000276,178,43,135,17,8,9,32,8,24,51,15,36,40,4,36,38,8,30
N00000277,181,52,129,19,8,11,26,5,21,62,15,47,48,14,34,26,10,16
N00000278,164,55,109,20,8,12,34,10,24,45,15,30,41,13,28,24,9,15
N00000279,109,16,93,15,1,14,43,7,36,35,5,30,8,3,5,8,0,8
N00000280,153,59,94,17,12,5,57,17,40,44,17,27,33,13,20,2,0,2
N00000281,176,46,130,30,11,19,20,2,18,30,6,24,52,13,39,44,14,30
N00000282,179,51,128,26,11,15,30,5,25,40,6,34,45,18,27,38,11,27
N00000283,167,55,112,13,7,6,35,7,28,48,19,29,48,10,38,23,12,11
