GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N00000088,74,23,51,9,2,7,25,4,21,33,14,19,7,3,4,39,4,35,4,1,3,21,3,18,12,0,12,2,0,2,35,19,16,5,1,4,4,1,3,21,14,7,5,3,2
N00000089,236,58,178,56,7,49,64,6,58,100,38,62,16,7,9,112,13,99,23,1,22,48,2,46,33,8,25,8,2,6,124,45,79,33,6,27,16,4,12,67,30,37,8,5,3
N00000090,197,46,151,52,9,43,40,4,36,82,25,57,23,8,15,93,10,83,20,1,19,32,3,29,32,6,26,9,0,9,104,36,68,32,8,24,8,1,7,50,19,31,14,8,6
N00000091,243,70,173,65,12,53,64,7,57,85,37,48,29,14,15,123,15,108,32,3,29,46,1,45,31,8,23,14,3,11,120,55,65,33,9,24,18,6,12,54,29,25,15,11,4
N00000092,231,59,172,55,11,44,75,6,69,85,35,50,16,7,9,127,14,113,26,2,24,58,2,56,34,8,26,9,2,7,104,45,59,29,9,20,17,4,13,51,27,24,7,5,2
N00000093,186,53,133,39,8,31,54,6,48,73,31,42,20,8,12,87,10,77,13,0,13,45,5,40,20,3,17,9,2,7,99,43,56,26,8,18,9,1,8,53,28,25,11,6,5
N00000094,254,69,185,77,14,63,87,14,73,83,38,45,7,3,4,137,12,125,37,2,35,67,5,62,30,5,25,3,0,3,117,57,60,40,12,28,20,9,11,53,33,20,4,3,1
N00000095,235,71,164,57,13,44,70,10,60,89,40,49,19,8,11,116,12,104,25,0,25,55,4,51,29,7,22,7,1,6,119,59,60,32,13,19,15,6,9,60,33,27,12,7,5
N00000096,245,69,176,66,12,54,84,11,73,82,38,44,13,8,5,126,16,110,36,2,34,57,4,53,27,8,19,6,2,4,119,53,66,30,10,20,27,7,20,55,30,25,7,6,1
N00000097,467,126,341,93,19,74,113,9,104,196,68,128,65,30,35,236,29,207,41,2,39,88,6,82,76,16,60,31,5,26,231,97,134,52,17,35,25,3,22,120,52,68,34,25,9
N00000098,698,148,550,210,23,187,138,16,122,243,75,168,107,34,73,352,43,309,103,8,95,97,7,90,92,15,77,60,13,47,346,105,241,107,15,92,41,9,32,151,60,91,47,21,26
N00000099,99,37,62,12,3,9,23,5,18,47,20,27,17,9,8,48,7,41,8,0,8,16,2,14,14,3,11,10,2,8,51,30,21,4,3,1,7,3,4,33,17,16,7,7,0
N00000100,164,38,126,29,3,26,28,2,26,80,24,56,27,9,18,70,8,62,7,1,6,13,1,12,36,6,30,14,0,14,94,30,64,22,2,20,15,1,14,44,18,26,13,9,4
N00000101,112,34,78,18,4,14,20,3,17,45,16,29,29,11,18,55,10,45,10,2,8,16,2,14,15,4,11,14,2,12,57,24,33,8,2,6,4,1,3,30,12,18,15,9,6
N00000102,159,47,112,41,7,34,31,7,24,73,27,46,14,6,8,87,15,72,20,0,20,24,4,20,35,9,26,8,2,6,72,32,40,21,7,14,7,3,4,38,18,20,6,4,2
N00000103,253,68,185,36,6,30,54,4,50,109,35,74,54,23,31,129,17,112,17,0,17,40,1,39,42,8,34,30,8,22,124,51,73,19,6,13,14,3,11,67,27,40,24,15,9
N00000104,163,45,118,22,3,19,31,5,26,81,24,57,29,13,16,80,10,70,11,0,11,21,2,19,32,3,29,16,5,11,83,35,48,11,3,8,10,3,7,49,21,28,13,8,5
N00000105,163,51,112,9,3,6,28,0,28,78,27,51,48,21,27,89,14,75,4,1,3,22,0,22,36,8,28,27,5,22,74,37,37,5,2,3,6,0,6,42,19,23,21,16,5
N00000106,67,19,48,4,2,2,10,0,10,30,8,22,23,9,14,32,5,27,1,1,0,9,0,9,9,1,8,13,3,10,35,14,21,3,1,2,1,0,1,21,7,14,10,6,4
