GeographyCode,LC1105NI0001,LC1105NI0002,LC1105NI0003,LC1105NI0004,LC1105NI0005,LC1105NI0006,LC1105NI0007,LC1105NI0008,LC1105NI0009,LC1105NI0010,LC1105NI0011,LC1105NI0012,LC1105NI0013,LC1105NI0014,LC1105NI0015,LC1105NI0016,LC1105NI0017,LC1105NI0018,LC1105NI0019,LC1105NI0020,LC1105NI0021,LC1105NI0022,LC1105NI0023,LC1105NI0024,LC1105NI0025,LC1105NI0026,LC1105NI0027,LC1105NI0028,LC1105NI0029,LC1105NI0030,LC1105NI0031,LC1105NI0032,LC1105NI0033,LC1105NI0034,LC1105NI0035,LC1105NI0036
N00004070,110,45,65,56,36,20,54,9,45,28,8,20,13,5,8,15,3,12,47,22,25,29,19,10,18,3,15,35,15,20,14,12,2,21,3,18
N00004071,135,34,101,63,23,40,72,11,61,70,17,53,28,11,17,42,6,36,39,9,30,23,5,18,16,4,12,26,8,18,12,7,5,14,1,13
N00004072,119,61,58,60,45,15,59,16,43,56,28,28,30,22,8,26,6,20,43,27,16,22,19,3,21,8,13,20,6,14,8,4,4,12,2,10
N00004073,373,238,135,225,181,44,148,57,91,240,152,88,146,116,30,94,36,58,114,77,37,72,59,13,42,18,24,19,9,10,7,6,1,12,3,9
N00004074,143,70,73,78,55,23,65,15,50,72,41,31,43,32,11,29,9,20,44,19,25,26,14,12,18,5,13,27,10,17,9,9,0,18,1,17
N00004075,147,114,33,100,91,9,47,23,24,31,23,8,18,16,2,13,7,6,88,76,12,66,62,4,22,14,8,28,15,13,16,13,3,12,2,10
N00004076,128,64,64,67,45,22,61,19,42,45,20,25,23,15,8,22,5,17,56,39,17,34,27,7,22,12,10,27,5,22,10,3,7,17,2,15
N00004077,131,95,36,80,71,9,51,24,27,53,34,19,32,27,5,21,7,14,53,42,11,35,32,3,18,10,8,25,19,6,13,12,1,12,7,5
N00004078,132,64,68,72,50,22,60,14,46,46,26,20,28,20,8,18,6,12,46,24,22,26,19,7,20,5,15,40,14,26,18,11,7,22,3,19
N00004079,133,63,70,74,45,29,59,18,41,41,12,29,24,10,14,17,2,15,58,35,23,32,24,8,26,11,15,34,16,18,18,11,7,16,5,11
N00004080,129,48,81,66,40,26,63,8,55,50,17,33,23,15,8,27,2,25,49,20,29,25,14,11,24,6,18,30,11,19,18,11,7,12,0,12
N00004081,129,65,64,65,42,23,64,23,41,51,21,30,19,12,7,32,9,23,46,30,16,30,22,8,16,8,8,32,14,18,16,8,8,16,6,10
N00004082,165,68,97,78,49,29,87,19,68,75,31,44,34,21,13,41,10,31,59,24,35,30,19,11,29,5,24,31,13,18,14,9,5,17,4,13
N00004083,134,59,75,62,38,24,72,21,51,53,22,31,24,16,8,29,6,23,49,25,24,22,12,10,27,13,14,32,12,20,16,10,6,16,2,14
N00004084,136,86,50,82,61,21,54,25,29,25,18,7,16,13,3,9,5,4,49,39,10,33,26,7,16,13,3,62,29,33,33,22,11,29,7,22
