GeographyCode,KS603NI0001,KS603NI0002,KS603NI0003,KS603NI0004,KS603NI0005,KS603NI0006,KS603NI0007,KS603NI0008,KS603NI0009,KS603NI0010,KS603NI0011,KS603NI0012,KS603NI0013,KS603NI0014,KS603NI0015,KS603NI0016,KS603NI0017,KS603NI0018,KS603NI0019,KS603NI0020,KS603NI0021,KS603NI0022,KS603NI0023,KS603NI0024,KS603NI0025,KS603NI0026,KS603NI0027,KS603NI0028,KS603NI0029,KS603NI0030,KS603NI0031
N00003772,77,10,13,1,5,3,18,5,5,13,4,11,3,0,0,1,12.99,16.88,1.30,6.49,3.90,23.38,6.49,6.49,16.88,5.19,14.29,60.00,0,0,20.00
N00003773,125,20,46,3,7,2,23,6,7,10,1,17,2,0,1,3,16.00,36.80,2.40,5.60,1.60,18.40,4.80,5.60,8.00,0.80,13.60,28.57,0,14.29,42.86
N00003774,126,23,44,1,4,4,23,8,10,7,2,19,1,1,1,2,18.25,34.92,0.79,3.17,3.17,18.25,6.35,7.94,5.56,1.59,15.08,25.00,25.00,25.00,50.00
N00003775,204,39,72,10,4,7,32,9,18,7,6,43,0,2,0,2,19.12,35.29,4.90,1.96,3.43,15.69,4.41,8.82,3.43,2.94,21.08,0,50.00,0,50.00
N00003776,143,26,39,1,5,2,30,12,5,17,6,22,2,1,1,1,18.18,27.27,0.70,3.50,1.40,20.98,8.39,3.50,11.89,4.20,15.38,40.00,20.00,20.00,20.00
N00003777,111,16,25,0,4,4,16,4,12,24,6,8,1,0,0,3,14.41,22.52,0,3.60,3.60,14.41,3.60,10.81,21.62,5.41,7.21,25.00,0,0,75.00
N00003778,135,24,37,2,5,3,12,9,18,18,7,15,1,2,0,5,17.78,27.41,1.48,3.70,2.22,8.89,6.67,13.33,13.33,5.19,11.11,20.00,40.00,0,100.00
N00003779,129,26,15,1,3,8,12,16,25,16,7,12,1,0,1,1,20.16,11.63,0.78,2.33,6.20,9.30,12.40,19.38,12.40,5.43,9.30,33.33,0,33.33,33.33
N00003780,161,52,41,2,2,11,6,18,9,18,2,26,0,0,0,2,32.30,25.47,1.24,1.24,6.83,3.73,11.18,5.59,11.18,1.24,16.15,0,0,0,100.00
N00003781,159,25,52,4,4,15,18,15,8,15,3,17,2,0,0,1,15.72,32.70,2.52,2.52,9.43,11.32,9.43,5.03,9.43,1.89,10.69,50.00,0,0,25.00
N00003782,227,36,92,9,6,12,22,16,13,18,3,31,3,1,3,2,15.86,40.53,3.96,2.64,5.29,9.69,7.05,5.73,7.93,1.32,13.66,50.00,16.67,50.00,33.33
N00003783,124,24,29,5,7,2,13,8,12,19,5,13,2,2,1,4,19.35,23.39,4.03,5.65,1.61,10.48,6.45,9.68,15.32,4.03,10.48,28.57,28.57,14.29,57.14
N00003784,174,30,46,9,5,9,17,18,22,7,11,32,1,0,0,1,17.24,26.44,5.17,2.87,5.17,9.77,10.34,12.64,4.02,6.32,18.39,20.00,0,0,20.00
N00003785,209,49,58,11,8,10,26,11,14,13,9,29,3,1,0,5,23.44,27.75,5.26,3.83,4.78,12.44,5.26,6.70,6.22,4.31,13.88,37.50,12.50,0,62.50
N00003786,194,47,61,9,3,8,18,13,16,15,4,29,1,0,0,0,24.23,31.44,4.64,1.55,4.12,9.28,6.70,8.25,7.73,2.06,14.95,33.33,0,0,0
N00003787,146,31,43,5,1,7,19,14,14,10,2,26,0,1,0,1,21.23,29.45,3.42,0.68,4.79,13.01,9.59,9.59,6.85,1.37,17.81,0,100.00,0,100.00
N00003788,143,20,35,5,5,1,16,17,12,19,13,14,3,1,0,5,13.99,24.48,3.50,3.50,0.70,11.19,11.89,8.39,13.29,9.09,9.79,60.00,20.00,0,100.00
N00003789,151,32,32,15,4,8,20,11,16,8,5,23,0,2,0,4,21.19,21.19,9.93,2.65,5.30,13.25,7.28,10.60,5.30,3.31,15.23,0,50.00,0,100.00
