GeographyCode,KS102NI0001,KS102NI0002,KS102NI0003,KS102NI0004,KS102NI0005,KS102NI0006,KS102NI0007,KS102NI0008,KS102NI0009,KS102NI0010,KS102NI0011,KS102NI0012,KS102NI0013,KS102NI0014,KS102NI0015,KS102NI0016,KS102NI0017,KS102NI0018,KS102NI0019,KS102NI0020,KS102NI0021,KS102NI0022,KS102NI0023,KS102NI0024,KS102NI0025,KS102NI0026,KS102NI0027,KS102NI0028,KS102NI0029,KS102NI0030,KS102NI0031,KS102NI0032,KS102NI0033,KS102NI0034,KS102NI0035
N00001159,365,24,17,8,25,2,12,11,24,22,76,73,23,18,23,5,2,37.66,38,6.58,4.66,2.19,6.85,0.55,3.29,3.01,6.58,6.03,20.82,20.00,6.30,4.93,6.30,1.37,0.55
N00001160,357,28,12,12,15,2,11,15,28,25,66,54,16,32,27,11,3,39.29,38,7.84,3.36,3.36,4.20,0.56,3.08,4.20,7.84,7.00,18.49,15.13,4.48,8.96,7.56,3.08,0.84
N00001161,250,21,5,6,11,1,5,13,23,28,47,56,6,7,15,5,1,36.00,33,8.40,2.00,2.40,4.40,0.40,2.00,5.20,9.20,11.20,18.80,22.40,2.40,2.80,6.00,2.00,0.40
N00001162,169,1,3,2,9,4,2,6,12,13,31,43,9,19,8,6,1,44.38,45,0.59,1.78,1.18,5.33,2.37,1.18,3.55,7.10,7.69,18.34,25.44,5.33,11.24,4.73,3.55,0.59
N00001163,336,7,7,2,7,1,1,3,13,13,21,52,34,66,69,23,17,59.82,65,2.08,2.08,0.60,2.08,0.30,0.30,0.89,3.87,3.87,6.25,15.48,10.12,19.64,20.54,6.85,5.06
N00001164,342,31,12,2,28,6,14,15,30,25,57,87,11,19,3,1,1,33.13,32,9.06,3.51,0.58,8.19,1.75,4.09,4.39,8.77,7.31,16.67,25.44,3.22,5.56,0.88,0.29,0.29
N00001165,322,16,8,3,19,10,9,9,28,18,50,73,16,30,19,6,8,41.48,43,4.97,2.48,0.93,5.90,3.11,2.80,2.80,8.70,5.59,15.53,22.67,4.97,9.32,5.90,1.86,2.48
N00001166,593,31,16,11,34,7,13,21,52,49,105,131,21,62,29,7,4,39.56,41,5.23,2.70,1.85,5.73,1.18,2.19,3.54,8.77,8.26,17.71,22.09,3.54,10.46,4.89,1.18,0.67
N00001167,342,14,6,8,27,2,10,15,26,19,46,79,19,34,22,8,7,42.69,44,4.09,1.75,2.34,7.89,0.58,2.92,4.39,7.60,5.56,13.45,23.10,5.56,9.94,6.43,2.34,2.05
N00001168,353,21,20,7,25,7,15,11,30,31,58,84,12,17,13,2,0,34.49,31,5.95,5.67,1.98,7.08,1.98,4.25,3.12,8.50,8.78,16.43,23.80,3.40,4.82,3.68,0.57,0
N00001169,320,23,12,8,13,5,8,14,24,27,50,71,12,27,18,6,2,38.62,39,7.19,3.75,2.50,4.06,1.56,2.50,4.38,7.50,8.44,15.63,22.19,3.75,8.44,5.63,1.88,0.63
N00001170,333,21,15,8,22,3,9,5,20,14,63,79,28,32,13,0,1,39.38,42,6.31,4.50,2.40,6.61,0.90,2.70,1.50,6.01,4.20,18.92,23.72,8.41,9.61,3.90,0,0.30
N00001171,408,21,11,11,25,6,10,6,27,28,72,67,26,57,34,6,1,42.07,41,5.15,2.70,2.70,6.13,1.47,2.45,1.47,6.62,6.86,17.65,16.42,6.37,13.97,8.33,1.47,0.25
N00001172,307,14,9,5,21,1,12,4,19,22,46,82,15,17,24,13,3,42.45,46,4.56,2.93,1.63,6.84,0.33,3.91,1.30,6.19,7.17,14.98,26.71,4.89,5.54,7.82,4.23,0.98
N00001173,262,12,12,4,20,2,9,4,6,16,54,55,14,37,15,2,0,41.10,43,4.58,4.58,1.53,7.63,0.76,3.44,1.53,2.29,6.11,20.61,20.99,5.34,14.12,5.73,0.76,0
N00001174,343,26,16,13,21,6,12,6,15,12,56,79,26,30,20,4,1,39.52,42,7.58,4.66,3.79,6.12,1.75,3.50,1.75,4.37,3.50,16.33,23.03,7.58,8.75,5.83,1.17,0.29
N00001175,306,18,9,6,18,4,9,6,19,17,50,72,28,36,14,0,0,40.96,43,5.88,2.94,1.96,5.88,1.31,2.94,1.96,6.21,5.56,16.34,23.53,9.15,11.76,4.58,0,0
N00001176,241,11,6,2,6,1,3,4,6,12,44,56,15,48,25,1,1,48.86,53,4.56,2.49,0.83,2.49,0.41,1.24,1.66,2.49,4.98,18.26,23.24,6.22,19.92,10.37,0.41,0.41
N00001177,266,17,5,3,16,4,4,6,10,20,59,59,19,33,11,0,0,41.37,43,6.39,1.88,1.13,6.02,1.50,1.50,2.26,3.76,7.52,22.18,22.18,7.14,12.41,4.14,0,0
N00001178,406,17,14,14,32,6,11,9,29,23,79,77,27,37,19,10,2,39.74,39,4.19,3.45,3.45,7.88,1.48,2.71,2.22,7.14,5.67,19.46,18.97,6.65,9.11,4.68,2.46,0.49
N00001179,342,13,12,11,35,7,8,17,20,11,50,91,22,24,17,1,3,38.93,42,3.80,3.51,3.22,10.23,2.05,2.34,4.97,5.85,3.22,14.62,26.61,6.43,7.02,4.97,0.29,0.88
N00001180,157,4,3,1,6,3,3,4,15,12,27,28,7,17,14,9,4,46.43,46,2.55,1.91,0.64,3.82,1.91,1.91,2.55,9.55,7.64,17.20,17.83,4.46,10.83,8.92,5.73,2.55
N00001181,295,13,2,3,19,1,11,5,12,5,38,57,10,19,47,27,26,53.57,55,4.41,0.68,1.02,6.44,0.34,3.73,1.69,4.07,1.69,12.88,19.32,3.39,6.44,15.93,9.15,8.81
N00001182,352,11,9,8,29,10,14,13,30,24,40,95,25,35,6,3,0,38.86,43,3.13,2.56,2.27,8.24,2.84,3.98,3.69,8.52,6.82,11.36,26.99,7.10,9.94,1.70,0.85,0
N00001183,444,17,12,7,20,4,9,12,25,48,95,87,21,42,31,11,3,41.65,39,3.83,2.70,1.58,4.50,0.90,2.03,2.70,5.63,10.81,21.40,19.59,4.73,9.46,6.98,2.48,0.68
N00001184,283,16,8,5,14,2,9,9,21,21,48,55,20,28,18,6,3,41.39,43,5.65,2.83,1.77,4.95,0.71,3.18,3.18,7.42,7.42,16.96,19.43,7.07,9.89,6.36,2.12,1.06
N00001185,268,9,10,0,8,1,3,6,13,13,49,51,19,51,32,1,2,48.16,51,3.36,3.73,0,2.99,0.37,1.12,2.24,4.85,4.85,18.28,19.03,7.09,19.03,11.94,0.37,0.75
N00001186,267,27,8,4,10,2,5,5,12,18,65,39,17,30,21,3,1,40.58,40,10.11,3.00,1.50,3.75,0.75,1.87,1.87,4.49,6.74,24.34,14.61,6.37,11.24,7.87,1.12,0.37
N00001187,323,29,12,5,16,2,4,10,28,15,71,69,20,28,11,3,0,37.81,39,8.98,3.72,1.55,4.95,0.62,1.24,3.10,8.67,4.64,21.98,21.36,6.19,8.67,3.41,0.93,0
N00001188,806,35,21,12,29,8,19,8,37,42,86,168,59,100,121,28,33,50.93,54,4.34,2.61,1.49,3.60,0.99,2.36,0.99,4.59,5.21,10.67,20.84,7.32,12.41,15.01,3.47,4.09
N00001189,304,15,14,10,15,2,12,9,22,13,66,66,17,26,9,6,2,38.79,39,4.93,4.61,3.29,4.93,0.66,3.95,2.96,7.24,4.28,21.71,21.71,5.59,8.55,2.96,1.97,0.66
N00001190,278,22,7,0,10,2,5,7,18,26,75,59,6,20,15,3,3,38.69,38,7.91,2.52,0,3.60,0.72,1.80,2.52,6.47,9.35,26.98,21.22,2.16,7.19,5.40,1.08,1.08
N00001191,245,11,8,1,20,3,7,6,11,14,54,48,12,22,24,2,2,41.44,41,4.49,3.27,0.41,8.16,1.22,2.86,2.45,4.49,5.71,22.04,19.59,4.90,8.98,9.80,0.82,0.82
N00001192,256,15,8,5,15,4,2,3,16,19,60,52,10,24,15,7,1,40.39,39,5.86,3.13,1.95,5.86,1.56,0.78,1.17,6.25,7.42,23.44,20.31,3.91,9.38,5.86,2.73,0.39
N00001193,232,12,5,4,19,3,4,6,22,18,49,45,5,20,12,3,5,38.95,37,5.17,2.16,1.72,8.19,1.29,1.72,2.59,9.48,7.76,21.12,19.40,2.16,8.62,5.17,1.29,2.16
N00001194,269,14,3,6,12,4,7,11,26,16,41,55,21,38,12,2,1,41.43,43,5.20,1.12,2.23,4.46,1.49,2.60,4.09,9.67,5.95,15.24,20.45,7.81,14.13,4.46,0.74,0.37
N00001195,184,15,5,3,13,0,1,6,15,14,53,30,12,16,0,1,0,35.57,34,8.15,2.72,1.63,7.07,0,0.54,3.26,8.15,7.61,28.80,16.30,6.52,8.70,0,0.54,0
N00001196,354,19,7,7,16,4,10,9,27,17,59,79,16,44,30,9,1,43.20,45,5.37,1.98,1.98,4.52,1.13,2.82,2.54,7.63,4.80,16.67,22.32,4.52,12.43,8.47,2.54,0.28
N00001197,266,29,8,4,13,4,1,6,22,27,68,35,12,23,9,4,1,35.84,34,10.90,3.01,1.50,4.89,1.50,0.38,2.26,8.27,10.15,25.56,13.16,4.51,8.65,3.38,1.50,0.38
N00001198,467,41,17,9,27,2,11,9,17,21,99,87,25,40,24,19,19,42.29,40,8.78,3.64,1.93,5.78,0.43,2.36,1.93,3.64,4.50,21.20,18.63,5.35,8.57,5.14,4.07,4.07
N00001199,194,12,5,1,6,0,3,4,13,22,38,46,5,23,14,2,0,41.96,43,6.19,2.58,0.52,3.09,0,1.55,2.06,6.70,11.34,19.59,23.71,2.58,11.86,7.22,1.03,0
N00001200,395,36,16,18,24,6,14,11,17,7,88,74,24,22,21,9,8,38.16,39,9.11,4.05,4.56,6.08,1.52,3.54,2.78,4.30,1.77,22.28,18.73,6.08,5.57,5.32,2.28,2.03
N00001201,311,20,16,10,14,4,10,3,21,15,60,73,18,23,17,4,3,39.46,42,6.43,5.14,3.22,4.50,1.29,3.22,0.96,6.75,4.82,19.29,23.47,5.79,7.40,5.47,1.29,0.96
N00001202,323,41,12,13,29,5,23,9,23,30,54,47,14,12,7,3,1,29.49,26,12.69,3.72,4.02,8.98,1.55,7.12,2.79,7.12,9.29,16.72,14.55,4.33,3.72,2.17,0.93,0.31
N00001203,315,21,14,6,19,5,10,10,24,20,48,79,14,31,14,0,0,37.83,40,6.67,4.44,1.90,6.03,1.59,3.17,3.17,7.62,6.35,15.24,25.08,4.44,9.84,4.44,0,0
N00001204,956,39,20,15,57,11,30,26,74,65,153,228,37,76,100,16,9,42.58,44,4.08,2.09,1.57,5.96,1.15,3.14,2.72,7.74,6.80,16.00,23.85,3.87,7.95,10.46,1.67,0.94
N00001205,564,35,22,14,29,9,15,13,39,40,86,109,45,42,38,20,8,41.29,41,6.21,3.90,2.48,5.14,1.60,2.66,2.30,6.91,7.09,15.25,19.33,7.98,7.45,6.74,3.55,1.42
N00001206,229,12,8,1,20,6,9,9,17,14,48,53,5,12,13,2,0,36.41,36,5.24,3.49,0.44,8.73,2.62,3.93,3.93,7.42,6.11,20.96,23.14,2.18,5.24,5.68,0.87,0
N00001207,400,13,9,8,29,7,23,17,48,28,41,111,15,23,22,6,0,37.77,40,3.25,2.25,2.00,7.25,1.75,5.75,4.25,12.00,7.00,10.25,27.75,3.75,5.75,5.50,1.50,0
N00001208,339,20,7,6,17,11,12,15,32,32,31,85,21,27,11,8,4,39.12,42,5.90,2.06,1.77,5.01,3.24,3.54,4.42,9.44,9.44,9.14,25.07,6.19,7.96,3.24,2.36,1.18
N00001209,254,14,12,5,7,4,7,7,15,18,48,71,12,14,18,2,0,39.96,43,5.51,4.72,1.97,2.76,1.57,2.76,2.76,5.91,7.09,18.90,27.95,4.72,5.51,7.09,0.79,0
N00001210,332,15,10,6,20,7,8,12,32,23,37,101,9,11,26,11,4,40.23,40,4.52,3.01,1.81,6.02,2.11,2.41,3.61,9.64,6.93,11.14,30.42,2.71,3.31,7.83,3.31,1.20
N00001211,285,16,6,11,17,6,15,9,19,13,48,64,12,17,17,11,4,39.76,39,5.61,2.11,3.86,5.96,2.11,5.26,3.16,6.67,4.56,16.84,22.46,4.21,5.96,5.96,3.86,1.40
N00001212,301,18,8,6,14,5,11,11,26,14,54,62,15,20,25,11,1,40.88,42,5.98,2.66,1.99,4.65,1.66,3.65,3.65,8.64,4.65,17.94,20.60,4.98,6.64,8.31,3.65,0.33
N00001213,299,19,8,5,28,2,7,14,29,17,57,67,14,15,11,6,0,35.88,35,6.35,2.68,1.67,9.36,0.67,2.34,4.68,9.70,5.69,19.06,22.41,4.68,5.02,3.68,2.01,0
N00001214,289,30,7,7,20,4,11,13,21,21,53,54,3,24,18,3,0,35.52,31,10.38,2.42,2.42,6.92,1.38,3.81,4.50,7.27,7.27,18.34,18.69,1.04,8.30,6.23,1.04,0
N00001215,281,22,8,5,19,8,9,11,24,15,55,51,8,24,12,9,1,36.97,34,7.83,2.85,1.78,6.76,2.85,3.20,3.91,8.54,5.34,19.57,18.15,2.85,8.54,4.27,3.20,0.36
N00001216,406,38,17,13,23,10,15,21,48,30,90,91,3,4,2,1,0,29.29,27,9.36,4.19,3.20,5.67,2.46,3.69,5.17,11.82,7.39,22.17,22.41,0.74,0.99,0.49,0.25,0
N00001217,413,43,23,6,20,2,6,8,25,45,74,45,15,37,47,11,6,39.48,34,10.41,5.57,1.45,4.84,0.48,1.45,1.94,6.05,10.90,17.92,10.90,3.63,8.96,11.38,2.66,1.45
N00001218,279,19,11,1,19,3,7,9,15,22,57,51,18,27,15,5,0,39.14,40,6.81,3.94,0.36,6.81,1.08,2.51,3.23,5.38,7.89,20.43,18.28,6.45,9.68,5.38,1.79,0
N00001219,301,23,16,6,24,1,15,9,18,27,58,44,14,32,11,3,0,35.15,32,7.64,5.32,1.99,7.97,0.33,4.98,2.99,5.98,8.97,19.27,14.62,4.65,10.63,3.65,1.00,0
N00001220,231,23,8,3,17,3,5,9,16,24,38,31,18,24,10,1,1,36.26,31,9.96,3.46,1.30,7.36,1.30,2.16,3.90,6.93,10.39,16.45,13.42,7.79,10.39,4.33,0.43,0.43
N00001221,258,20,16,0,18,0,8,11,13,30,55,33,18,24,9,2,1,35.72,32,7.75,6.20,0,6.98,0,3.10,4.26,5.04,11.63,21.32,12.79,6.98,9.30,3.49,0.78,0.39
N00001222,213,12,7,4,17,4,8,9,19,19,41,37,8,19,8,0,1,35.34,33,5.63,3.29,1.88,7.98,1.88,3.76,4.23,8.92,8.92,19.25,17.37,3.76,8.92,3.76,0,0.47
N00001223,300,18,9,6,30,3,9,10,17,21,52,57,14,30,20,4,0,38.43,38,6.00,3.00,2.00,10.00,1.00,3.00,3.33,5.67,7.00,17.33,19.00,4.67,10.00,6.67,1.33,0
N00001224,265,15,7,6,15,3,7,5,18,21,55,47,14,35,13,1,3,39.94,40,5.66,2.64,2.26,5.66,1.13,2.64,1.89,6.79,7.92,20.75,17.74,5.28,13.21,4.91,0.38,1.13
N00001225,242,20,10,3,7,1,12,3,14,17,37,37,20,31,23,4,3,42.80,44,8.26,4.13,1.24,2.89,0.41,4.96,1.24,5.79,7.02,15.29,15.29,8.26,12.81,9.50,1.65,1.24
N00001226,236,13,7,5,12,4,9,5,21,20,44,50,9,16,18,2,1,38.73,38,5.51,2.97,2.12,5.08,1.69,3.81,2.12,8.90,8.47,18.64,21.19,3.81,6.78,7.63,0.85,0.42
N00001227,246,15,10,4,19,3,8,3,14,12,50,43,8,33,18,5,1,40.71,42,6.10,4.07,1.63,7.72,1.22,3.25,1.22,5.69,4.88,20.33,17.48,3.25,13.41,7.32,2.03,0.41
N00001228,212,14,12,4,9,4,3,4,8,11,37,31,12,14,35,9,5,45.24,45,6.60,5.66,1.89,4.25,1.89,1.42,1.89,3.77,5.19,17.45,14.62,5.66,6.60,16.51,4.25,2.36
N00001229,255,16,11,8,15,0,5,6,14,9,51,43,16,32,24,1,4,42.51,43,6.27,4.31,3.14,5.88,0,1.96,2.35,5.49,3.53,20.00,16.86,6.27,12.55,9.41,0.39,1.57
N00001230,298,21,6,5,14,6,9,13,25,16,42,64,20,37,16,4,0,40.42,43,7.05,2.01,1.68,4.70,2.01,3.02,4.36,8.39,5.37,14.09,21.48,6.71,12.42,5.37,1.34,0
N00001231,401,21,17,7,20,3,7,14,33,15,68,85,23,42,26,11,9,42.59,44,5.24,4.24,1.75,4.99,0.75,1.75,3.49,8.23,3.74,16.96,21.20,5.74,10.47,6.48,2.74,2.24
N00001232,375,25,20,8,39,9,19,16,37,24,68,92,4,9,5,0,0,30.75,28,6.67,5.33,2.13,10.40,2.40,5.07,4.27,9.87,6.40,18.13,24.53,1.07,2.40,1.33,0,0
N00001233,421,33,29,23,51,13,21,17,36,14,108,63,11,2,0,0,0,26.49,23,7.84,6.89,5.46,12.11,3.09,4.99,4.04,8.55,3.33,25.65,14.96,2.61,0.48,0,0,0
N00001234,351,33,11,6,26,4,17,11,35,28,98,56,2,11,11,1,1,31.51,30,9.40,3.13,1.71,7.41,1.14,4.84,3.13,9.97,7.98,27.92,15.95,0.57,3.13,3.13,0.28,0.28
N00001235,953,71,36,30,89,19,36,47,74,55,223,165,40,53,14,1,0,31.97,31,7.45,3.78,3.15,9.34,1.99,3.78,4.93,7.76,5.77,23.40,17.31,4.20,5.56,1.47,0.10,0
N00001236,372,35,20,10,34,11,17,12,37,26,66,67,11,20,6,0,0,30.42,26,9.41,5.38,2.69,9.14,2.96,4.57,3.23,9.95,6.99,17.74,18.01,2.96,5.38,1.61,0,0
N00001237,289,12,15,9,14,2,8,10,13,19,64,40,20,36,22,5,0,40.99,39,4.15,5.19,3.11,4.84,0.69,2.77,3.46,4.50,6.57,22.15,13.84,6.92,12.46,7.61,1.73,0
N00001238,297,15,9,7,18,4,5,7,31,25,53,54,26,33,8,2,0,38.58,36,5.05,3.03,2.36,6.06,1.35,1.68,2.36,10.44,8.42,17.85,18.18,8.75,11.11,2.69,0.67,0
N00001239,313,11,7,2,16,3,15,9,28,13,48,62,15,45,34,4,1,44.27,46,3.51,2.24,0.64,5.11,0.96,4.79,2.88,8.95,4.15,15.34,19.81,4.79,14.38,10.86,1.28,0.32
N00001240,1095,75,41,24,49,11,33,31,91,108,272,197,48,73,36,4,2,35.44,34,6.85,3.74,2.19,4.47,1.00,3.01,2.83,8.31,9.86,24.84,17.99,4.38,6.67,3.29,0.37,0.18
N00001241,352,22,11,4,28,8,16,13,31,19,68,51,21,39,21,0,0,37.27,36,6.25,3.13,1.14,7.95,2.27,4.55,3.69,8.81,5.40,19.32,14.49,5.97,11.08,5.97,0,0
N00001242,335,32,13,9,24,4,14,11,25,20,72,48,23,34,5,1,0,34.33,33,9.55,3.88,2.69,7.16,1.19,4.18,3.28,7.46,5.97,21.49,14.33,6.87,10.15,1.49,0.30,0
N00001243,275,9,8,7,16,5,7,7,23,22,61,47,16,28,15,3,1,39.87,39,3.27,2.91,2.55,5.82,1.82,2.55,2.55,8.36,8.00,22.18,17.09,5.82,10.18,5.45,1.09,0.36
N00001244,335,20,9,8,19,4,10,7,20,25,52,53,13,40,35,14,6,43.96,43,5.97,2.69,2.39,5.67,1.19,2.99,2.09,5.97,7.46,15.52,15.82,3.88,11.94,10.45,4.18,1.79
N00001245,334,32,16,12,22,2,6,7,30,25,72,55,14,22,18,1,0,34.43,32,9.58,4.79,3.59,6.59,0.60,1.80,2.10,8.98,7.49,21.56,16.47,4.19,6.59,5.39,0.30,0
N00001246,608,58,22,16,35,5,12,19,24,69,182,72,22,37,30,3,2,34.30,32,9.54,3.62,2.63,5.76,0.82,1.97,3.13,3.95,11.35,29.93,11.84,3.62,6.09,4.93,0.49,0.33
N00001247,245,15,5,8,15,4,9,7,18,13,35,55,14,27,15,4,1,39.95,40,6.12,2.04,3.27,6.12,1.63,3.67,2.86,7.35,5.31,14.29,22.45,5.71,11.02,6.12,1.63,0.41
N00001248,430,43,18,11,27,9,9,13,29,37,94,90,17,25,6,1,1,33.27,33,10.00,4.19,2.56,6.28,2.09,2.09,3.02,6.74,8.60,21.86,20.93,3.95,5.81,1.40,0.23,0.23
N00001249,403,13,20,11,20,11,14,7,27,16,88,80,16,36,40,3,1,40.86,42,3.23,4.96,2.73,4.96,2.73,3.47,1.74,6.70,3.97,21.84,19.85,3.97,8.93,9.93,0.74,0.25
N00001250,463,49,24,13,38,8,11,10,27,25,131,85,16,16,8,2,0,31.60,33,10.58,5.18,2.81,8.21,1.73,2.38,2.16,5.83,5.40,28.29,18.36,3.46,3.46,1.73,0.43,0
N00001251,327,24,18,8,38,2,6,11,25,18,70,58,21,22,3,3,0,33.78,32,7.34,5.50,2.45,11.62,0.61,1.83,3.36,7.65,5.50,21.41,17.74,6.42,6.73,0.92,0.92,0
N00001252,321,25,12,2,10,4,8,12,19,22,86,59,13,15,23,7,4,39.06,36,7.79,3.74,0.62,3.12,1.25,2.49,3.74,5.92,6.85,26.79,18.38,4.05,4.67,7.17,2.18,1.25
N00001253,233,10,3,4,20,3,3,10,11,14,39,46,14,34,19,1,2,43.45,44,4.29,1.29,1.72,8.58,1.29,1.29,4.29,4.72,6.01,16.74,19.74,6.01,14.59,8.15,0.43,0.86
N00001254,314,20,13,5,18,5,10,12,17,22,63,68,13,24,18,2,4,38.61,39,6.37,4.14,1.59,5.73,1.59,3.18,3.82,5.41,7.01,20.06,21.66,4.14,7.64,5.73,0.64,1.27
N00001255,276,13,10,7,22,1,4,3,18,12,44,62,23,29,21,5,2,42.97,45,4.71,3.62,2.54,7.97,0.36,1.45,1.09,6.52,4.35,15.94,22.46,8.33,10.51,7.61,1.81,0.72
N00001256,262,11,9,3,17,3,7,5,10,8,49,61,18,33,15,11,2,44.86,47,4.20,3.44,1.15,6.49,1.15,2.67,1.91,3.82,3.05,18.70,23.28,6.87,12.60,5.73,4.20,0.76
N00001257,233,16,11,10,14,5,6,3,15,18,42,50,9,22,12,0,0,36.71,36,6.87,4.72,4.29,6.01,2.15,2.58,1.29,6.44,7.73,18.03,21.46,3.86,9.44,5.15,0,0
N00001258,250,23,12,2,13,3,5,4,27,17,40,55,15,19,12,2,1,37.22,38,9.20,4.80,0.80,5.20,1.20,2.00,1.60,10.80,6.80,16.00,22.00,6.00,7.60,4.80,0.80,0.40
N00001259,285,26,15,9,19,8,10,8,19,14,49,58,10,22,13,3,2,35.34,33,9.12,5.26,3.16,6.67,2.81,3.51,2.81,6.67,4.91,17.19,20.35,3.51,7.72,4.56,1.05,0.70
N00001260,363,38,19,13,29,5,16,26,29,21,84,38,15,21,6,2,1,29.87,25,10.47,5.23,3.58,7.99,1.38,4.41,7.16,7.99,5.79,23.14,10.47,4.13,5.79,1.65,0.55,0.28
N00001261,249,13,4,4,21,2,14,10,16,16,43,56,17,20,11,1,1,38.40,38,5.22,1.61,1.61,8.43,0.80,5.62,4.02,6.43,6.43,17.27,22.49,6.83,8.03,4.42,0.40,0.40
N00001262,389,33,17,6,27,3,5,7,21,47,82,70,19,24,21,4,3,36.50,33,8.48,4.37,1.54,6.94,0.77,1.29,1.80,5.40,12.08,21.08,17.99,4.88,6.17,5.40,1.03,0.77
N00001263,289,16,6,6,12,1,5,5,21,30,75,58,13,26,12,0,3,39.31,37,5.54,2.08,2.08,4.15,0.35,1.73,1.73,7.27,10.38,25.95,20.07,4.50,9.00,4.15,0,1.04
N00001264,204,36,9,6,11,2,7,4,14,20,55,25,3,7,5,0,0,27.68,28,17.65,4.41,2.94,5.39,0.98,3.43,1.96,6.86,9.80,26.96,12.25,1.47,3.43,2.45,0,0
N00001265,971,81,50,24,62,12,15,18,66,187,243,101,34,40,32,3,3,31.43,29,8.34,5.15,2.47,6.39,1.24,1.54,1.85,6.80,19.26,25.03,10.40,3.50,4.12,3.30,0.31,0.31
N00001266,188,15,12,5,19,5,5,5,4,6,45,41,7,11,7,0,1,34.51,32,7.98,6.38,2.66,10.11,2.66,2.66,2.66,2.13,3.19,23.94,21.81,3.72,5.85,3.72,0,0.53
N00001267,322,19,15,8,29,6,11,7,17,12,63,66,14,27,17,8,3,39.03,40,5.90,4.66,2.48,9.01,1.86,3.42,2.17,5.28,3.73,19.57,20.50,4.35,8.39,5.28,2.48,0.93
N00001268,283,10,5,3,13,5,7,9,20,21,48,56,9,41,30,3,3,44.38,45,3.53,1.77,1.06,4.59,1.77,2.47,3.18,7.07,7.42,16.96,19.79,3.18,14.49,10.60,1.06,1.06
N00001269,522,43,9,2,15,3,13,11,43,70,141,77,14,32,36,7,6,37.90,34,8.24,1.72,0.38,2.87,0.57,2.49,2.11,8.24,13.41,27.01,14.75,2.68,6.13,6.90,1.34,1.15
N00001270,278,23,6,1,6,0,1,6,17,33,68,44,19,36,13,5,0,41.46,39,8.27,2.16,0.36,2.16,0,0.36,2.16,6.12,11.87,24.46,15.83,6.83,12.95,4.68,1.80,0
N00001271,1514,134,57,29,99,19,32,27,119,212,431,187,39,65,41,21,2,32.09,30,8.85,3.76,1.92,6.54,1.25,2.11,1.78,7.86,14.00,28.47,12.35,2.58,4.29,2.71,1.39,0.13
N00001272,222,13,6,5,12,2,5,3,12,16,62,35,5,26,12,4,4,40.00,37,5.86,2.70,2.25,5.41,0.90,2.25,1.35,5.41,7.21,27.93,15.77,2.25,11.71,5.41,1.80,1.80
N00001273,221,16,4,3,11,1,2,8,8,37,71,30,9,14,7,0,0,35.24,33,7.24,1.81,1.36,4.98,0.45,0.90,3.62,3.62,16.74,32.13,13.57,4.07,6.33,3.17,0,0
N00001274,238,13,6,2,9,4,6,6,13,8,53,47,10,16,33,11,1,44.61,44,5.46,2.52,0.84,3.78,1.68,2.52,2.52,5.46,3.36,22.27,19.75,4.20,6.72,13.87,4.62,0.42
N00001275,210,12,4,4,8,4,2,6,12,9,45,46,7,24,18,4,5,44.45,44,5.71,1.90,1.90,3.81,1.90,0.95,2.86,5.71,4.29,21.43,21.90,3.33,11.43,8.57,1.90,2.38
N00001276,218,18,8,11,15,2,9,8,11,12,37,37,9,16,23,1,1,37.36,35,8.26,3.67,5.05,6.88,0.92,4.13,3.67,5.05,5.50,16.97,16.97,4.13,7.34,10.55,0.46,0.46
N00001277,266,20,10,6,12,3,6,4,11,12,50,70,18,15,21,6,2,41.85,44,7.52,3.76,2.26,4.51,1.13,2.26,1.50,4.14,4.51,18.80,26.32,6.77,5.64,7.89,2.26,0.75
N00001278,291,24,7,1,16,9,5,7,13,20,80,52,17,25,12,2,1,38.36,38,8.25,2.41,0.34,5.50,3.09,1.72,2.41,4.47,6.87,27.49,17.87,5.84,8.59,4.12,0.69,0.34
N00001279,168,7,4,0,10,5,4,3,13,10,39,36,3,13,14,5,2,41.88,42,4.17,2.38,0,5.95,2.98,2.38,1.79,7.74,5.95,23.21,21.43,1.79,7.74,8.33,2.98,1.19
N00001280,213,11,9,3,11,1,5,3,7,15,38,36,17,27,14,13,3,45.40,46,5.16,4.23,1.41,5.16,0.47,2.35,1.41,3.29,7.04,17.84,16.90,7.98,12.68,6.57,6.10,1.41
N00001281,334,20,11,10,21,6,12,9,13,13,61,70,15,21,31,18,3,42.39,43,5.99,3.29,2.99,6.29,1.80,3.59,2.69,3.89,3.89,18.26,20.96,4.49,6.29,9.28,5.39,0.90
N00001282,330,18,9,5,26,7,10,6,13,26,53,79,15,34,20,5,4,40.97,43,5.45,2.73,1.52,7.88,2.12,3.03,1.82,3.94,7.88,16.06,23.94,4.55,10.30,6.06,1.52,1.21
N00001283,338,27,17,11,24,5,11,7,15,6,71,69,25,28,17,5,0,38.51,42,7.99,5.03,3.25,7.10,1.48,3.25,2.07,4.44,1.78,21.01,20.41,7.40,8.28,5.03,1.48,0
N00001284,352,21,6,10,19,6,15,9,21,10,77,90,21,31,15,1,0,39.44,42,5.97,1.70,2.84,5.40,1.70,4.26,2.56,5.97,2.84,21.88,25.57,5.97,8.81,4.26,0.28,0
