GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N00000078,380,24,2,32,1,161,92,33,5,2,27,1,370,34,10,0,6.32,0.53,8.42,0.26,42.37,24.21,8.68,1.32,0.53,7.11,0.26,9.19,0
N00000079,430,57,2,46,2,191,91,27,0,1,10,3,426,48,4,0,13.26,0.47,10.70,0.47,44.42,21.16,6.28,0,0.23,2.33,0.70,11.27,0
N00000080,315,26,1,39,1,152,60,27,1,0,5,3,315,40,0,0,8.25,0.32,12.38,0.32,48.25,19.05,8.57,0.32,0,1.59,0.95,12.70,0
N00000081,220,15,2,39,0,106,24,23,1,0,6,4,217,41,3,0,6.82,0.91,17.73,0,48.18,10.91,10.45,0.45,0,2.73,1.82,18.89,0
N00000082,245,35,0,32,0,119,42,12,0,0,4,1,244,32,1,0,14.29,0,13.06,0,48.57,17.14,4.90,0,0,1.63,0.41,13.11,0
N00000083,514,70,5,66,2,225,83,39,4,0,14,6,507,71,7,0,13.62,0.97,12.84,0.39,43.77,16.15,7.59,0.78,0,2.72,1.17,14.00,0
N00000084,321,48,1,37,1,144,55,28,1,0,3,3,321,38,0,0,14.95,0.31,11.53,0.31,44.86,17.13,8.72,0.31,0,0.93,0.93,11.84,0
N00000085,221,16,0,26,1,81,45,18,5,1,27,1,190,21,31,5,7.24,0,11.76,0.45,36.65,20.36,8.14,2.26,0.45,12.22,0.45,11.05,16.13
N00000086,266,23,1,34,0,110,29,21,1,2,42,3,241,28,25,7,8.65,0.38,12.78,0,41.35,10.90,7.89,0.38,0.75,15.79,1.13,11.62,28.00
N00000087,666,58,10,82,1,301,108,45,3,5,48,5,646,90,20,2,8.71,1.50,12.31,0.15,45.20,16.22,6.76,0.45,0.75,7.21,0.75,13.93,10.00
N00000088,94,3,1,11,1,44,12,6,2,0,12,2,88,10,6,2,3.19,1.06,11.70,1.06,46.81,12.77,6.38,2.13,0,12.77,2.13,11.36,33.33
N00000089,340,20,2,41,0,152,47,37,1,1,37,2,335,42,5,1,5.88,0.59,12.06,0,44.71,13.82,10.88,0.29,0.29,10.88,0.59,12.54,20.00
N00000090,286,22,3,42,1,116,34,21,1,2,41,3,273,42,12,3,7.69,1.05,14.69,0.35,40.56,11.89,7.34,0.35,0.70,14.34,1.05,15.38,25.00
