GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N00000149,432,9,167,124,14,37,5,56,20,2.08,38.66,28.70,3.24,8.56,1.16,12.96,4.63
N00000150,365,4,154,69,13,41,5,43,36,1.10,42.19,18.90,3.56,11.23,1.37,11.78,9.86
N00000151,283,13,107,90,0,16,2,40,15,4.59,37.81,31.80,0,5.65,0.71,14.13,5.30
N00000152,270,5,119,74,10,18,3,25,16,1.85,44.07,27.41,3.70,6.67,1.11,9.26,5.93
N00000153,250,8,86,75,6,29,1,40,5,3.20,34.40,30.00,2.40,11.60,0.40,16.00,2.00
N00000154,259,10,124,29,4,32,1,41,18,3.86,47.88,11.20,1.54,12.36,0.39,15.83,6.95
N00000155,337,26,116,62,11,33,6,52,31,7.72,34.42,18.40,3.26,9.79,1.78,15.43,9.20
N00000156,301,16,105,75,19,20,0,52,14,5.32,34.88,24.92,6.31,6.64,0,17.28,4.65
N00000157,368,44,143,34,18,36,11,65,17,11.96,38.86,9.24,4.89,9.78,2.99,17.66,4.62
N00000158,678,28,230,93,47,83,9,151,37,4.13,33.92,13.72,6.93,12.24,1.33,22.27,5.46
N00000159,221,15,79,38,14,16,2,41,16,6.79,35.75,17.19,6.33,7.24,0.90,18.55,7.24
N00000160,322,25,114,38,28,36,3,46,32,7.76,35.40,11.80,8.70,11.18,0.93,14.29,9.94
N00000161,342,10,131,63,20,37,3,62,16,2.92,38.30,18.42,5.85,10.82,0.88,18.13,4.68
N00000162,242,15,96,33,15,22,8,27,26,6.20,39.67,13.64,6.20,9.09,3.31,11.16,10.74
N00000163,311,25,120,34,12,13,1,63,43,8.04,38.59,10.93,3.86,4.18,0.32,20.26,13.83
N00000164,288,7,124,52,24,24,1,40,16,2.43,43.06,18.06,8.33,8.33,0.35,13.89,5.56
N00000165,325,24,117,59,13,47,0,42,23,7.38,36.00,18.15,4.00,14.46,0,12.92,7.08
N00000166,273,18,105,37,16,35,3,52,7,6.59,38.46,13.55,5.86,12.82,1.10,19.05,2.56
N00000167,379,13,138,81,24,54,0,50,19,3.43,36.41,21.37,6.33,14.25,0,13.19,5.01
N00000168,345,21,136,70,24,35,1,53,5,6.09,39.42,20.29,6.96,10.14,0.29,15.36,1.45
N00000169,704,25,331,95,30,78,12,102,31,3.55,47.02,13.49,4.26,11.08,1.70,14.49,4.40
N00000170,370,3,156,59,14,45,15,45,33,0.81,42.16,15.95,3.78,12.16,4.05,12.16,8.92
N00000171,416,16,184,83,8,33,6,65,21,3.85,44.23,19.95,1.92,7.93,1.44,15.63,5.05
N00000172,772,20,296,136,36,78,13,145,48,2.59,38.34,17.62,4.66,10.10,1.68,18.78,6.22
N00000173,373,2,176,59,26,29,1,55,25,0.54,47.18,15.82,6.97,7.77,0.27,14.75,6.70
N00000174,393,4,137,123,12,34,2,64,17,1.02,34.86,31.30,3.05,8.65,0.51,16.28,4.33
N00000175,373,9,171,90,9,31,1,44,18,2.41,45.84,24.13,2.41,8.31,0.27,11.80,4.83
N00000176,474,31,184,69,27,25,7,88,43,6.54,38.82,14.56,5.70,5.27,1.48,18.57,9.07
