GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95FF02W1,2817,2660,52,18,1,26,7,35,18,94.43,1.85,0.64,0.04,0.92,0.25,1.24,0.64
95FF03W1,3006,2720,123,21,7,31,15,50,39,90.49,4.09,0.70,0.23,1.03,0.50,1.66,1.30
95FF04W1,2629,2478,67,17,5,33,2,5,22,94.26,2.55,0.65,0.19,1.26,0.08,0.19,0.84
95FF05W1,2563,2294,89,21,4,36,11,66,42,89.50,3.47,0.82,0.16,1.40,0.43,2.58,1.64
95FF06S1,2036,1833,48,31,6,22,11,55,30,90.03,2.36,1.52,0.29,1.08,0.54,2.70,1.47
95FF06S2,2080,1903,88,14,4,22,10,8,31,91.49,4.23,0.67,0.19,1.06,0.48,0.38,1.49
95FF07W1,2769,2509,104,15,3,49,15,28,46,90.61,3.76,0.54,0.11,1.77,0.54,1.01,1.66
95FF08W1,2364,2163,88,20,4,32,13,14,30,91.50,3.72,0.85,0.17,1.35,0.55,0.59,1.27
95FF09W1,2522,2292,96,25,2,36,11,32,28,90.88,3.81,0.99,0.08,1.43,0.44,1.27,1.11
95FF10W1,3473,3260,109,12,2,22,16,7,45,93.87,3.14,0.35,0.06,0.63,0.46,0.20,1.30
95FF11W1,2582,2416,73,20,5,25,7,7,29,93.57,2.83,0.77,0.19,0.97,0.27,0.27,1.12
95FF12W1,2724,2532,88,19,4,37,6,5,33,92.95,3.23,0.70,0.15,1.36,0.22,0.18,1.21
95FF13W1,2708,2517,81,16,0,43,11,15,25,92.95,2.99,0.59,0,1.59,0.41,0.55,0.92
95FF14W1,2432,2296,55,20,4,30,6,6,15,94.41,2.26,0.82,0.16,1.23,0.25,0.25,0.62
95FF15W1,2740,2493,77,21,4,31,8,77,29,90.99,2.81,0.77,0.15,1.13,0.29,2.81,1.06
95FF16W1,2374,2170,91,30,9,32,7,9,26,91.41,3.83,1.26,0.38,1.35,0.29,0.38,1.10
95FF17W1,1724,1543,77,13,1,25,3,35,27,89.50,4.47,0.75,0.06,1.45,0.17,2.03,1.57
95GG01S1,1768,1710,13,5,1,26,4,0,9,96.72,0.74,0.28,0.06,1.47,0.23,0,0.51
95GG01S2,1523,1427,19,7,1,35,2,6,26,93.70,1.25,0.46,0.07,2.30,0.13,0.39,1.71
95GG01S3,1616,1528,25,3,1,41,3,4,11,94.55,1.55,0.19,0.06,2.54,0.19,0.25,0.68
