GeographyCode,KS609NI0001,KS609NI0002,KS609NI0003,KS609NI0004,KS609NI0005,KS609NI0006,KS609NI0007,KS609NI0008,KS609NI0009,KS609NI0010,KS609NI0011,KS609NI0012,KS609NI0013,KS609NI0014,KS609NI0015,KS609NI0016,KS609NI0017,KS609NI0018,KS609NI0019
95CC16W1,636,63,54,37,39,217,15,36,117,58,9.91,8.49,5.82,6.13,34.12,2.36,5.66,18.40,9.12
95CC17W1,723,76,88,60,32,231,20,40,119,57,10.51,12.17,8.30,4.43,31.95,2.77,5.53,16.46,7.88
95CC18W1,527,65,106,49,36,97,14,34,68,58,12.33,20.11,9.30,6.83,18.41,2.66,6.45,12.90,11.01
95CC19W1,691,68,81,55,42,244,14,41,107,39,9.84,11.72,7.96,6.08,35.31,2.03,5.93,15.48,5.64
95CC20S1,329,38,35,43,35,63,10,24,43,38,11.55,10.64,13.07,10.64,19.15,3.04,7.29,13.07,11.55
95CC20S2,422,36,48,34,53,94,10,19,79,49,8.53,11.37,8.06,12.56,22.27,2.37,4.50,18.72,11.61
95CC21W1,750,72,72,73,78,170,16,40,144,85,9.60,9.60,9.73,10.40,22.67,2.13,5.33,19.20,11.33
95CC22W1,398,26,35,24,24,96,24,31,71,67,6.53,8.79,6.03,6.03,24.12,6.03,7.79,17.84,16.83
95DD01W1,481,73,88,49,41,81,7,27,67,48,15.18,18.30,10.19,8.52,16.84,1.46,5.61,13.93,9.98
95DD02S1,346,23,31,24,20,104,5,33,69,37,6.65,8.96,6.94,5.78,30.06,1.45,9.54,19.94,10.69
95DD02S2,654,66,87,69,47,173,14,42,99,57,10.09,13.30,10.55,7.19,26.45,2.14,6.42,15.14,8.72
95DD03W1,871,109,158,97,61,180,19,48,124,75,12.51,18.14,11.14,7.00,20.67,2.18,5.51,14.24,8.61
95DD04W1,338,20,14,20,15,66,15,29,84,75,5.92,4.14,5.92,4.44,19.53,4.44,8.58,24.85,22.19
95DD05W1,338,20,17,19,15,78,7,34,73,75,5.92,5.03,5.62,4.44,23.08,2.07,10.06,21.60,22.19
95DD06W1,617,82,92,88,44,108,13,33,89,68,13.29,14.91,14.26,7.13,17.50,2.11,5.35,14.42,11.02
95DD07S1,381,44,55,32,26,80,8,19,73,44,11.55,14.44,8.40,6.82,21.00,2.10,4.99,19.16,11.55
95DD07S2,426,51,54,60,27,106,2,17,72,37,11.97,12.68,14.08,6.34,24.88,0.47,3.99,16.90,8.69
95DD08W1,503,24,29,35,26,98,18,44,140,89,4.77,5.77,6.96,5.17,19.48,3.58,8.75,27.83,17.69
95DD09W1,716,71,80,61,33,258,9,34,113,57,9.92,11.17,8.52,4.61,36.03,1.26,4.75,15.78,7.96
95DD10W1,651,46,62,44,41,189,16,43,138,72,7.07,9.52,6.76,6.30,29.03,2.46,6.61,21.20,11.06
95DD11W1,450,48,25,31,20,106,8,35,119,58,10.67,5.56,6.89,4.44,23.56,1.78,7.78,26.44,12.89
95DD12W1,738,69,97,46,34,290,3,38,105,56,9.35,13.14,6.23,4.61,39.30,0.41,5.15,14.23,7.59
95DD13W1,387,25,49,32,28,82,15,16,85,55,6.46,12.66,8.27,7.24,21.19,3.88,4.13,21.96,14.21
95DD14S1,390,42,44,41,29,106,11,20,64,33,10.77,11.28,10.51,7.44,27.18,2.82,5.13,16.41,8.46
95DD14S2,457,102,94,50,32,70,6,30,45,28,22.32,20.57,10.94,7.00,15.32,1.31,6.56,9.85,6.13
95DD15W1,920,93,127,57,51,335,13,41,130,73,10.11,13.80,6.20,5.54,36.41,1.41,4.46,14.13,7.93
95DD16W1,855,96,116,62,40,299,15,40,135,52,11.23,13.57,7.25,4.68,34.97,1.75,4.68,15.79,6.08
95DD17W1,920,91,127,71,35,366,12,31,107,80,9.89,13.80,7.72,3.80,39.78,1.30,3.37,11.63,8.70
95DD18W1,421,31,40,32,27,82,19,37,85,68,7.36,9.50,7.60,6.41,19.48,4.51,8.79,20.19,16.15
95DD19S1,443,41,42,43,24,101,13,34,85,60,9.26,9.48,9.71,5.42,22.80,2.93,7.67,19.19,13.54
95DD19S2,390,52,46,36,24,105,8,16,65,38,13.33,11.79,9.23,6.15,26.92,2.05,4.10,16.67,9.74
95DD20W1,342,10,13,17,15,76,10,23,97,81,2.92,3.80,4.97,4.39,22.22,2.92,6.73,28.36,23.68
95DD21W1,530,48,53,54,26,114,14,41,107,73,9.06,10.00,10.19,4.91,21.51,2.64,7.74,20.19,13.77
95DD22S1,400,40,56,25,16,145,6,25,47,40,10.00,14.00,6.25,4.00,36.25,1.50,6.25,11.75,10.00
95DD22S2,395,37,41,27,14,144,7,25,50,50,9.37,10.38,6.84,3.54,36.46,1.77,6.33,12.66,12.66
95DD23W1,739,65,84,64,22,298,9,37,110,50,8.80,11.37,8.66,2.98,40.32,1.22,5.01,14.88,6.77
95DD24W1,689,65,82,64,52,164,12,45,135,70,9.43,11.90,9.29,7.55,23.80,1.74,6.53,19.59,10.16
95EE01W1,426,33,33,22,22,212,5,15,63,21,7.75,7.75,5.16,5.16,49.77,1.17,3.52,14.79,4.93
95EE02W1,508,41,56,39,29,162,11,23,90,57,8.07,11.02,7.68,5.71,31.89,2.17,4.53,17.72,11.22
95EE03W1,421,43,41,50,32,99,13,29,69,45,10.21,9.74,11.88,7.60,23.52,3.09,6.89,16.39,10.69
95EE04W1,460,49,38,30,26,155,11,18,84,49,10.65,8.26,6.52,5.65,33.70,2.39,3.91,18.26,10.65
95EE05W1,383,25,47,31,20,138,8,15,67,32,6.53,12.27,8.09,5.22,36.03,2.09,3.92,17.49,8.36
95EE06W1,513,46,37,32,14,233,5,19,76,51,8.97,7.21,6.24,2.73,45.42,0.97,3.70,14.81,9.94
95EE07W1,350,19,27,26,22,103,11,16,74,52,5.43,7.71,7.43,6.29,29.43,3.14,4.57,21.14,14.86
95EE08W1,370,38,59,40,34,76,12,30,47,34,10.27,15.95,10.81,9.19,20.54,3.24,8.11,12.70,9.19
95EE09W1,485,35,49,35,15,203,13,19,67,49,7.22,10.10,7.22,3.09,41.86,2.68,3.92,13.81,10.10
95EE10W1,452,43,37,25,9,182,8,22,84,42,9.51,8.19,5.53,1.99,40.27,1.77,4.87,18.58,9.29
95EE11W1,443,37,37,20,16,195,3,19,75,41,8.35,8.35,4.51,3.61,44.02,0.68,4.29,16.93,9.26
95EE12W1,502,46,47,49,33,123,12,29,98,65,9.16,9.36,9.76,6.57,24.50,2.39,5.78,19.52,12.95
95EE13W1,300,37,39,41,21,54,9,29,37,33,12.33,13.00,13.67,7.00,18.00,3.00,9.67,12.33,11.00
95EE14W1,616,68,81,50,42,156,18,34,91,76,11.04,13.15,8.12,6.82,25.32,2.92,5.52,14.77,12.34
95EE15W1,438,35,30,31,21,184,2,18,74,43,7.99,6.85,7.08,4.79,42.01,0.46,4.11,16.89,9.82
95EE16W1,504,44,51,33,22,198,8,22,72,54,8.73,10.12,6.55,4.37,39.29,1.59,4.37,14.29,10.71
95FF01S1,551,65,76,75,65,93,13,39,71,54,11.80,13.79,13.61,11.80,16.88,2.36,7.08,12.89,9.80
95FF01S2,711,89,160,86,94,112,12,42,60,56,12.52,22.50,12.10,13.22,15.75,1.69,5.91,8.44,7.88
