GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
95XX11S1,998,5,199,29,656,32,1,76,0.50,19.94,2.91,65.73,3.21,0.10,7.62
95XX11S2,905,0,226,22,587,9,2,59,0,24.97,2.43,64.86,0.99,0.22,6.52
95XX11S3,718,0,287,55,301,44,3,28,0,39.97,7.66,41.92,6.13,0.42,3.90
95XX12W1,1002,7,239,24,641,11,6,74,0.70,23.85,2.40,63.97,1.10,0.60,7.39
95XX13W1,1176,7,416,19,646,6,1,81,0.60,35.37,1.62,54.93,0.51,0.09,6.89
95XX14W1,955,6,344,11,502,8,4,80,0.63,36.02,1.15,52.57,0.84,0.42,8.38
95XX15W1,1192,4,350,163,588,34,6,47,0.34,29.36,13.67,49.33,2.85,0.50,3.94
95XX16W1,1392,3,522,44,682,27,3,111,0.22,37.50,3.16,48.99,1.94,0.22,7.97
95XX17S1,763,28,339,56,261,11,4,64,3.67,44.43,7.34,34.21,1.44,0.52,8.39
95XX17S2,662,5,258,38,303,11,3,44,0.76,38.97,5.74,45.77,1.66,0.45,6.65
95XX18W1,1348,15,636,84,502,11,4,96,1.11,47.18,6.23,37.24,0.82,0.30,7.12
95XX19W1,1106,9,500,24,499,5,1,68,0.81,45.21,2.17,45.12,0.45,0.09,6.15
95XX20S1,909,3,378,59,372,33,3,61,0.33,41.58,6.49,40.92,3.63,0.33,6.71
95XX20S2,454,1,137,30,250,5,2,29,0.22,30.18,6.61,55.07,1.10,0.44,6.39
95XX21W1,1176,2,530,50,511,4,2,77,0.17,45.07,4.25,43.45,0.34,0.17,6.55
95XX22W1,1010,15,223,34,634,24,0,80,1.49,22.08,3.37,62.77,2.38,0,7.92
95XX23W1,1451,11,586,45,670,28,1,110,0.76,40.39,3.10,46.18,1.93,0.07,7.58
95XX24S1,540,0,95,31,375,1,0,38,0,17.59,5.74,69.44,0.19,0,7.04
95XX24S2,644,10,155,49,396,6,2,26,1.55,24.07,7.61,61.49,0.93,0.31,4.04
95XX25W1,1096,13,367,29,548,34,5,100,1.19,33.49,2.65,50.00,3.10,0.46,9.12
95YY01W1,861,6,4,6,567,21,10,247,0.70,0.46,0.70,65.85,2.44,1.16,28.69
95YY02W1,883,0,12,15,652,27,8,169,0,1.36,1.70,73.84,3.06,0.91,19.14
95YY03W1,991,13,2,2,663,33,12,266,1.31,0.20,0.20,66.90,3.33,1.21,26.84
95YY04W1,1270,2,18,22,975,36,10,207,0.16,1.42,1.73,76.77,2.83,0.79,16.30
95YY05W1,745,5,3,19,522,38,3,155,0.67,0.40,2.55,70.07,5.10,0.40,20.81
95YY06W1,858,3,4,3,593,38,13,204,0.35,0.47,0.35,69.11,4.43,1.52,23.78
95YY07W1,912,10,2,2,543,42,16,297,1.10,0.22,0.22,59.54,4.61,1.75,32.57
95YY08W1,789,8,1,5,471,56,7,241,1.01,0.13,0.63,59.70,7.10,0.89,30.54
95YY09W1,1014,6,20,55,655,42,3,233,0.59,1.97,5.42,64.60,4.14,0.30,22.98
95YY10W1,705,4,0,5,423,26,8,239,0.57,0,0.71,60.00,3.69,1.13,33.90
95YY11W1,820,8,20,8,534,69,8,173,0.98,2.44,0.98,65.12,8.41,0.98,21.10
95YY12W1,932,6,34,10,567,27,7,281,0.64,3.65,1.07,60.84,2.90,0.75,30.15
95YY13S1,542,0,10,1,393,13,1,124,0,1.85,0.18,72.51,2.40,0.18,22.88
95YY13S2,576,1,1,21,432,17,6,98,0.17,0.17,3.65,75.00,2.95,1.04,17.01
95YY14S1,559,0,1,2,417,8,6,125,0,0.18,0.36,74.60,1.43,1.07,22.36
95YY14S2,588,1,7,0,399,21,6,154,0.17,1.19,0,67.86,3.57,1.02,26.19
95YY15S1,200,1,1,4,155,5,1,33,0.50,0.50,2.00,77.50,2.50,0.50,16.50
95YY15S2,689,0,2,6,577,14,4,86,0,0.29,0.87,83.74,2.03,0.58,12.48
95YY16W1,798,8,5,2,510,20,12,241,1.00,0.63,0.25,63.91,2.51,1.50,30.20
95YY17W1,746,4,2,1,421,56,9,253,0.54,0.27,0.13,56.43,7.51,1.21,33.91
95YY18W1,746,6,3,8,467,33,12,217,0.80,0.40,1.07,62.60,4.42,1.61,29.09
95YY19W1,707,3,10,28,487,20,9,150,0.42,1.41,3.96,68.88,2.83,1.27,21.22
95YY20W1,721,1,2,3,461,34,12,208,0.14,0.28,0.42,63.94,4.72,1.66,28.85
95YY21W1,791,14,0,3,493,41,6,234,1.77,0,0.38,62.33,5.18,0.76,29.58
95ZZ01W1,994,5,2,5,633,38,4,307,0.50,0.20,0.50,63.68,3.82,0.40,30.89
95ZZ02W1,751,1,2,9,624,15,3,97,0.13,0.27,1.20,83.09,2.00,0.40,12.92
95ZZ03W1,884,2,6,14,647,19,10,186,0.23,0.68,1.58,73.19,2.15,1.13,21.04
95ZZ04W1,911,6,6,5,546,35,7,306,0.66,0.66,0.55,59.93,3.84,0.77,33.59
95ZZ05W1,769,8,0,2,459,41,2,257,1.04,0,0.26,59.69,5.33,0.26,33.42
95ZZ06W1,786,1,6,14,659,16,12,78,0.13,0.76,1.78,83.84,2.04,1.53,9.92
95ZZ07W1,1010,2,1,5,688,38,8,268,0.20,0.10,0.50,68.12,3.76,0.79,26.53
95ZZ08W1,934,3,3,2,597,41,6,282,0.32,0.32,0.21,63.92,4.39,0.64,30.19
95ZZ09W1,881,6,1,18,616,22,7,211,0.68,0.11,2.04,69.92,2.50,0.79,23.95
95ZZ10W1,1262,3,19,63,908,22,3,244,0.24,1.51,4.99,71.95,1.74,0.24,19.33
95ZZ11W1,745,6,4,7,409,58,8,253,0.81,0.54,0.94,54.90,7.79,1.07,33.96
95ZZ12W1,868,2,1,10,636,39,4,176,0.23,0.12,1.15,73.27,4.49,0.46,20.28
95ZZ13W1,879,8,2,2,557,29,10,271,0.91,0.23,0.23,63.37,3.30,1.14,30.83
95ZZ14S1,617,0,0,4,505,7,6,95,0,0,0.65,81.85,1.13,0.97,15.40
95ZZ14S2,494,0,5,5,367,6,1,110,0,1.01,1.01,74.29,1.21,0.20,22.27
95ZZ15W1,804,12,1,5,469,48,8,261,1.49,0.12,0.62,58.33,5.97,1.00,32.46
95ZZ16S1,664,1,2,7,515,3,4,132,0.15,0.30,1.05,77.56,0.45,0.60,19.88
95ZZ16S2,564,0,1,6,449,9,5,94,0,0.18,1.06,79.61,1.60,0.89,16.67
