GeographyCode,QS409NI0001,QS409NI0002,QS409NI0003,QS409NI0004,QS409NI0005
95LL18S1,1954,1201,737,12,4
95LL18S2,1377,819,530,28,0
95LL19S1,2283,1430,815,23,15
95LL19S2,2865,1579,1173,113,0
95LL20W1,2401,1042,1240,99,20
95LL21W1,3983,2018,1810,111,44
95LL22W1,3728,1567,1999,142,20
95LL23W1,2157,1105,958,71,23
95LL24S1,2027,1141,838,41,7
95LL24S2,1716,921,715,49,31
95LL25S1,2583,1590,957,22,14
95LL25S2,1953,1211,732,6,4
95LL26S1,1517,821,593,85,18
95LL26S2,2179,1075,1043,61,0
95MM01S1,1427,624,676,91,36
95MM01S2,1734,858,804,56,16
95MM01S3,1614,822,770,16,6
95MM02S1,1507,974,508,23,2
95MM02S2,1685,984,641,60,0
95MM03W1,3508,1619,1687,176,26
95MM04W1,2151,1001,1037,80,33
95MM05W1,2473,948,1289,205,31
95MM06S1,1376,450,810,85,31
95MM06S2,1176,404,675,81,16
95MM07W1,2578,1444,1059,52,23
95MM08S1,1291,540,696,32,23
95MM08S2,1651,992,647,12,0
95MM09S1,1588,756,766,53,13
95MM09S2,1974,943,919,105,7
95MM10S1,1456,428,787,170,71
95MM10S2,1294,468,697,115,14
95MM11W1,2277,802,1244,181,50
95MM12S1,2022,825,1043,88,66
95MM12S2,1298,448,734,108,8
95MM12S3,2538,699,1549,209,81
95MM13S1,1205,578,607,20,0
95MM13S2,1236,450,642,105,39
95MM13S3,1569,532,939,71,27
95MM13S4,2553,978,1435,110,30
95MM13S5,2309,983,1242,66,18
95MM14S1,768,461,284,23,0
95MM14S2,1676,850,688,104,34
95MM15S1,1681,1078,572,27,4
95MM15S2,2648,1428,1108,98,14
95MM16S1,2407,1019,1252,114,22
95MM16S2,3271,1855,1320,89,7
95MM17S1,1962,720,1109,117,16
95MM17S2,1787,846,819,97,25
95MM18S1,2241,1036,1107,68,30
95MM18S2,2875,1402,1421,39,13
95MM19S1,1558,858,673,27,0
95MM19S2,1486,700,726,44,16
95MM20S1,1606,881,667,41,17
95MM20S2,1752,883,776,77,16
95MM21S1,1619,674,881,59,5
95MM21S2,1762,1026,693,43,0
95MM22S1,1219,610,550,45,14
95MM22S2,1253,698,544,6,5
95MM23W1,2476,1217,1086,119,54
95MM24W1,2503,909,1304,227,63
95MM25S1,1289,370,795,107,17
95MM25S2,1458,416,880,127,35
95MM25S3,1550,472,976,61,41
95MM25S4,2057,804,1092,121,40
95MM26S1,1743,541,1002,176,24
95MM26S2,1386,618,695,49,24
95MM27S1,1945,1027,741,151,26
95MM27S2,1272,712,516,34,10
95MM28W1,2269,1142,1002,108,17
95MM29W1,3408,1723,1538,116,31
95MM30W1,2083,955,967,134,27
95NN01S1,1448,660,715,55,18
95NN01S2,1686,832,781,68,5
95NN02W1,2211,1215,951,35,10
95NN03S1,1319,766,525,28,0
95NN03S2,1481,752,698,24,7
95NN04W1,2861,1259,1466,103,33
95NN05W1,2472,1280,1041,127,24
95NN06S1,1095,489,524,82,0
95NN06S2,2355,882,1340,100,33
95NN07S1,1687,626,991,64,6
95NN07S2,1541,743,733,44,21
95NN08S1,1501,887,574,35,5
95NN08S2,1768,931,775,62,0
95NN09S1,1684,960,714,10,0
95NN09S2,1298,741,535,17,5
95NN10S1,1425,853,547,23,2
95NN10S2,1686,872,771,39,4
95NN11S1,1784,835,863,68,18
95NN11S2,2092,1066,984,34,8
95NN12W1,2851,1404,1319,105,23
95NN13W1,3012,1754,1163,75,20
95NN14S1,1781,903,828,24,26
95NN14S2,1561,715,778,44,24
95NN15W1,2944,1382,1401,115,46
95NN16S1,1545,943,580,18,4
95NN16S2,1693,938,729,15,11
95NN17W1,2252,1093,1034,102,23
95NN18S1,1179,694,443,33,9
95NN18S2,1439,882,516,41,0
95NN19S1,1695,934,729,28,4
95NN19S2,1686,1215,452,15,4
95NN20W1,2980,1685,1222,47,26
95NN21W1,2680,1561,1022,57,40
95NN22W1,2685,1419,1192,62,12
95NN23S1,1562,669,758,117,18
95NN23S2,1775,906,786,63,20
95OO01W1,2546,1110,1265,143,28
95OO02W1,2166,1018,1088,48,12
95OO03W1,2621,1307,1178,120,16
95OO04W1,2507,1167,1261,55,24
95OO05W1,2688,996,1455,159,78
95OO06W1,2860,1302,1434,113,11
95OO07W1,2510,1191,1172,137,10
95OO08W1,2674,1307,1283,74,10
95OO09W1,2223,1007,1054,132,30
95OO10W1,3460,1363,1913,158,26
95OO11W1,2485,1028,1329,113,15
95OO12W1,2788,1340,1336,87,25
95OO13W1,2667,1205,1171,192,99
95OO14W1,2588,1256,1188,106,38
95OO15W1,2353,944,1277,102,30
95OO16W1,2114,1203,843,58,10
95OO17W1,2724,1474,1150,90,10
95OO18W1,2891,1441,1190,156,104
95OO19W1,2989,1491,1365,110,23
95OO20W1,2155,1180,889,53,33
95OO21W1,2351,1071,1083,152,45
95OO22W1,3102,1271,1639,143,49
95PP01W1,2586,1434,1075,56,21
95PP02W1,2541,1184,1191,75,91
95PP03W1,2512,1311,1068,89,44
95PP04W1,3171,1615,1442,94,20
95PP05W1,2329,1265,954,102,8
95PP06S1,1953,931,909,108,5
95PP06S2,1840,1174,643,21,2
95PP07W1,2728,1444,1202,57,25
95PP08W1,2678,1410,1172,78,18
95PP09W1,1607,837,698,39,33
95PP10W1,2387,1075,1249,59,4
95PP11W1,2553,1346,1122,54,31
95PP12W1,2602,1261,1181,116,44
95PP13W1,2585,1311,1157,104,13
95PP14S1,1555,690,753,81,31
95PP14S2,2046,1192,815,39,0
95PP15W1,3182,1633,1394,143,12
95PP16W1,1877,1104,681,79,13
95PP17W1,2486,1270,1094,106,16
95PP18W1,3117,1650,1355,72,40
95PP19W1,2502,1239,1184,72,7
95PP20W1,3103,1699,1244,88,72
95PP21W1,2167,1090,1011,27,39
95PP22W1,2442,1402,970,59,11
95PP23W1,2515,1353,1091,44,27
95QQ01W1,1483,892,544,47,0
95QQ02W1,2582,1619,938,23,2
95QQ03W1,1096,638,422,36,0
95QQ04W1,1635,881,712,33,9
95QQ05W1,2872,1903,963,6,0
95QQ06W1,2005,900,1002,91,12
95QQ07W1,1775,1180,554,25,16
95QQ08W1,1455,849,557,47,2
95QQ09W1,1846,1202,617,14,13
95QQ10W1,1851,1015,762,72,2
95QQ11W1,2027,1278,701,42,6
95QQ12W1,1697,1046,621,25,5
95QQ13W1,2568,1656,884,24,4
95QQ14S1,3660,2019,1599,37,5
95QQ14S2,1770,1122,621,22,5
95QQ15W1,1592,953,603,34,2
95RR01S1,2491,1305,1150,27,9
95RR01S2,1876,1095,732,45,4
95RR02W1,1751,878,762,66,45
95RR03W1,1422,674,690,56,2
95RR04W1,2022,954,971,68,29
95RR05S1,1275,672,585,12,6
95RR05S2,1194,534,613,39,8
95RR06W1,2206,926,1135,88,57
95RR07W1,2449,1220,1162,47,20
95RR08W1,2106,1128,891,87,0
95RR09S1,2146,977,1040,116,13
95RR09S2,1525,766,723,36,0
95RR10W1,1338,624,666,39,9
95RR11W1,1803,1016,736,51,0
95RR12W1,1452,893,542,17,0
95RR13W1,1367,876,392,41,58
95RR14W1,1969,893,999,62,15
95RR15W1,2458,1104,1242,102,10
95SS01S1,1920,1302,565,46,7
95SS01S2,2830,1582,1192,52,4
95SS02S1,2205,1164,957,75,9
95SS02S2,2013,1225,781,7,0
95SS03S1,1580,1101,463,12,4
95SS03S2,1790,1270,493,17,10
95SS04S1,2315,1000,1252,53,10
95SS04S2,1885,962,869,54,0
95SS04S3,3352,1685,1571,70,26
95SS05S1,1572,884,640,38,10
95SS05S2,1803,1240,518,45,0
95SS06S1,1565,469,893,164,39
95SS06S2,2365,580,1438,307,40
95SS06S3,1969,540,1159,188,82
95SS07S1,3775,1159,2318,263,35
95SS07S2,1697,459,1132,85,21
95SS07S3,3872,2072,1703,95,2
95SS08S1,1934,1294,597,43,0
95SS08S2,2724,1604,1077,43,0
95SS09S1,1697,1256,422,0,19
95SS09S2,1667,1088,554,19,6
95SS10S1,2199,1096,1037,41,25
95SS10S2,2136,998,1130,4,4
95SS11S1,2946,1319,1550,68,9
95SS11S2,2751,1438,1196,105,12
95SS12W1,3054,1831,1159,40,24
95SS13S1,1528,789,647,67,25
95SS13S2,1376,691,601,74,10
95SS14S1,1420,735,616,63,6
95SS14S2,1485,877,572,36,0
95SS15S1,1793,1273,491,24,5
95SS15S2,1925,1414,495,7,9
95SS16S1,1427,634,768,25,0
95SS16S2,1687,702,858,101,26
95SS17S1,2675,1317,1247,77,34
95SS17S2,1549,707,762,68,12
95SS18S1,1415,650,693,72,0
95SS18S2,1526,841,627,53,5
95SS19S1,1305,763,502,27,13
95SS19S2,1432,693,697,37,5
95SS20W1,2605,1577,978,43,7
95SS21S1,2332,1274,1012,41,5
95SS21S2,2382,1416,934,32,0
95SS22S1,1603,717,855,26,5
95SS22S2,1642,997,627,13,5
95SS23S1,2155,1400,727,28,0
95SS23S2,1658,937,676,45,0
95SS24S1,2757,1770,931,56,0
95SS24S2,2317,1472,785,53,7
95SS25W1,2589,1093,1355,118,23
95SS26S1,1986,596,1179,172,39
95SS26S2,1795,691,1011,71,22
95SS27W1,2471,1400,1018,41,12
95SS28W1,2557,1216,1159,154,28
95SS29S1,1261,393,667,164,37
95SS29S2,1386,512,746,102,26
95SS30S1,640,406,227,7,0
95SS30S2,2230,1462,720,39,9
95TT01W1,2748,1155,1487,83,23
95TT02W1,2685,1144,1381,143,17
95TT03S1,1586,789,700,71,26
95TT03S2,1707,750,891,61,5
95TT04W1,2984,1299,1499,120,66
95TT05S1,1749,968,759,22,0
95TT05S2,1269,531,657,49,32
95TT06W1,2723,1163,1416,114,30
95TT07W1,2704,1389,1210,65,40
95TT08W1,2724,1339,1255,124,6
95TT09S1,1438,570,806,57,5
95TT09S2,1479,647,774,49,9
95TT10W1,2852,1290,1330,192,40
95TT11S1,1641,721,860,55,5
95TT11S2,1592,614,904,64,10
95TT12W1,2641,1335,1225,63,18
95TT13S1,1520,692,736,73,19
95TT13S2,1398,642,717,34,5
95TT14W1,2211,1096,1009,66,40
95TT15W1,2480,1171,1212,84,13
95TT16W1,2691,1153,1423,85,30
95UU06W1,1452,816,597,35,4
95UU09W1,1688,786,831,61,10
95UU14W1,1723,935,744,33,11
95UU99C1,2042,999,908,109,26
95UU99C2,1777,992,723,46,16
95UU99C3,1795,1056,661,70,8
95UU99C4,1802,1059,656,82,5
95UU99C5,2383,1139,1117,107,20
95UU99C6,2245,1144,1012,69,20
95VV01S1,1650,747,816,56,31
95VV01S2,1555,777,713,65,0
95VV02W1,2182,999,1084,65,34
95VV03W1,2543,1188,1198,142,15
95VV04W1,3138,1609,1417,101,11
95VV05S1,1949,785,1066,93,5
95VV05S2,2542,1144,1305,77,16
95VV06W1,3482,1450,1838,175,19
95VV07S1,2052,1017,938,92,5
95VV07S2,2341,1067,1200,57,17
95VV08W1,3052,1182,1645,174,51
95VV09W1,2665,1099,1261,267,38
95VV10S1,1580,548,908,84,40
95VV10S2,1575,676,743,116,40
95VV11S1,2046,865,1116,46,19
95VV11S2,2380,1121,1148,98,13
95VV12S1,1652,681,827,122,22
95VV12S2,1523,659,780,61,23
