GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
95GG47S2,699,345,69,184,0,3,7,21,53,8,354,113,6,57,129,49
95GG47S3,724,449,69,263,2,1,13,24,73,4,275,86,4,49,97,39
95GG48S1,558,321,115,150,1,3,4,5,39,4,237,77,1,41,83,35
95GG48S2,800,321,132,134,1,2,0,5,39,8,479,73,12,118,220,56
95GG48S3,544,266,106,114,0,2,3,6,33,2,278,57,2,61,125,33
95GG49S1,673,558,47,377,2,42,11,36,20,23,115,65,14,7,24,5
95GG49S2,886,721,49,458,1,14,12,25,16,146,165,53,66,2,30,14
95GG49S3,777,632,62,380,2,2,8,13,24,141,145,33,59,8,31,14
95GG49S4,769,619,47,351,1,10,6,21,23,160,150,34,53,6,53,4
95GG50S1,706,519,63,376,0,9,7,13,48,3,187,65,3,31,73,15
95GG50S2,876,539,80,355,0,9,7,23,57,8,337,97,9,66,126,39
95GG50S3,819,561,79,389,2,7,4,22,48,10,258,105,6,41,85,21
95GG51S1,590,314,74,182,0,1,1,8,46,2,276,89,1,37,112,37
95GG51S2,578,318,87,159,0,3,5,10,49,5,260,98,0,39,106,17
95GG51S3,591,304,82,166,1,2,2,5,44,2,287,85,3,48,119,32
95HH01W1,751,515,66,349,1,10,15,39,34,1,236,167,1,12,42,14
95HH02S1,467,358,48,264,0,12,4,15,14,1,109,93,0,8,7,1
95HH02S2,526,464,45,333,2,17,13,43,8,3,62,51,0,4,5,2
95HH03W1,569,381,38,262,1,18,14,31,16,1,188,164,3,3,15,3
95HH04S1,593,473,43,378,2,8,8,26,6,2,120,96,2,4,15,3
95HH04S2,454,350,34,266,1,12,9,22,5,1,104,87,0,2,11,4
95HH05W1,833,581,106,374,0,12,4,26,56,3,252,116,2,36,76,22
95HH06S1,725,637,59,464,0,38,8,52,14,2,88,57,1,9,15,6
95HH06S2,852,700,82,522,2,17,14,46,15,2,152,99,3,16,24,10
95HH07W1,618,438,90,262,3,7,6,19,46,5,180,86,3,15,59,17
95HH08W1,963,741,60,528,8,38,22,55,21,9,222,155,3,16,38,10
95HH09W1,1171,783,118,518,1,16,16,37,65,12,388,219,4,26,110,29
95HH10W1,833,677,63,497,1,41,16,37,19,3,156,115,2,9,23,7
95HH11W1,563,371,79,213,0,5,7,18,47,2,192,85,3,23,63,18
95HH12W1,570,401,68,274,0,5,11,26,17,0,169,112,1,21,27,8
95HH13W1,565,371,79,227,2,2,7,18,32,4,194,58,2,39,76,19
95HH14W1,636,372,72,230,0,4,5,14,43,4,264,140,3,28,74,19
95HH15W1,910,699,84,513,1,7,17,45,28,4,211,140,3,13,46,9
95HH16W1,759,553,62,375,0,24,18,43,28,3,206,147,3,19,29,8
95HH17W1,855,679,63,468,8,26,12,79,17,6,176,126,2,9,25,14
95II01S1,552,413,41,304,2,28,6,24,8,0,139,108,1,9,13,8
95II01S2,525,407,44,277,2,32,11,35,3,3,118,112,1,0,5,0
95II02S1,477,415,30,309,2,35,7,27,3,2,62,42,1,0,19,0
95II02S2,600,463,54,330,1,11,13,32,20,2,137,75,0,12,42,8
95II02S3,610,411,53,295,1,12,5,18,26,1,199,114,3,13,58,11
95II03S1,547,492,32,392,0,23,9,27,6,3,55,38,0,4,8,5
95II03S2,663,533,45,402,1,20,7,49,5,4,130,113,2,3,6,6
95II04S1,818,688,70,512,1,33,13,43,11,5,130,89,1,12,23,5
95II04S2,746,531,94,361,1,6,7,29,29,4,215,112,6,27,55,15
95II05S1,455,359,35,253,2,25,7,31,6,0,96,87,0,1,7,1
95II05S2,622,480,53,356,0,12,5,39,8,7,142,96,2,3,28,13
95II06S1,488,402,36,290,1,31,9,28,7,0,86,70,0,5,8,3
95II06S2,677,559,58,423,2,16,4,38,17,1,118,87,4,7,13,7
