GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
95GG39S3,1042,496,154,342,546,96,154,65,54,11,32,134
95GG40S1,802,317,125,192,485,134,95,63,76,9,38,70
95GG40S2,1059,539,179,360,520,114,120,86,68,13,34,85
95GG41S1,789,193,119,74,596,13,128,174,101,21,42,117
95GG41S2,596,155,105,50,441,5,77,113,78,32,27,109
95GG41S3,788,257,99,158,531,23,139,97,125,30,33,84
95GG42S1,689,163,83,80,526,9,111,114,79,46,47,120
95GG42S2,209,72,37,35,137,0,25,29,16,7,17,43
95GG42S3,740,197,41,156,543,8,141,51,54,23,17,249
95GG42S4,968,309,96,213,659,25,210,99,123,28,36,138
95GG43S1,720,312,107,205,408,49,140,62,57,10,21,69
95GG43S2,734,224,72,152,510,42,164,89,84,11,32,88
95GG43S3,862,353,126,227,509,69,189,61,93,10,23,64
95GG44S1,1390,584,118,466,806,156,246,79,106,19,54,146
95GG44S2,1315,567,142,425,748,131,226,94,119,20,53,105
95GG45S1,694,176,93,83,518,25,101,177,68,21,29,97
95GG45S2,686,244,103,141,442,82,99,51,67,11,32,100
95GG45S3,749,292,110,182,457,40,112,94,93,16,26,76
95GG46S1,663,176,49,127,487,77,81,60,71,11,64,123
95GG46S2,646,127,45,82,519,110,75,60,65,18,71,120
95GG46S3,623,182,61,121,441,62,68,80,41,11,71,108
95GG47S1,1025,466,86,380,559,97,145,40,66,29,62,120
95GG47S2,801,349,120,229,452,91,99,60,62,13,44,83
95GG47S3,815,344,110,234,471,83,116,45,66,16,44,101
95GG48S1,620,158,52,106,462,98,84,47,62,15,51,105
95GG48S2,842,187,36,151,655,222,102,36,76,25,77,117
95GG48S3,589,133,26,107,456,79,82,37,55,18,73,112
95GG49S1,748,302,86,216,446,16,184,38,61,23,20,104
95GG49S2,948,299,75,224,649,17,261,36,61,7,9,258
95GG49S3,821,259,51,208,562,21,197,17,58,7,17,245
95GG49S4,834,274,66,208,560,15,184,39,33,5,18,266
95GG50S1,764,325,71,254,439,53,189,35,58,12,23,69
