GeographyCode,QS105NI0001,QS105NI0002,QS105NI0003
95RR12W1,1452,731,721
95RR13W1,1429,695,734
95RR14W1,1969,1005,964
95RR15W1,2458,1217,1241
95SS01S1,2263,1332,931
95SS01S2,2865,1436,1429
95SS02S1,2233,1043,1190
95SS02S2,2054,991,1063
95SS03S1,1580,795,785
95SS03S2,1792,929,863
95SS04S1,2325,1102,1223
95SS04S2,1885,911,974
95SS04S3,3362,1669,1693
95SS05S1,1572,760,812
95SS05S2,1803,913,890
95SS06S1,1565,730,835
95SS06S2,2365,1053,1312
95SS06S3,1969,932,1037
95SS07S1,3775,1742,2033
95SS07S2,1697,830,867
95SS07S3,3992,1883,2109
95SS08S1,1974,978,996
95SS08S2,2724,1339,1385
95SS09S1,1697,831,866
95SS09S2,1667,829,838
95SS10S1,2199,1020,1179
95SS10S2,2180,1111,1069
95SS11S1,2946,1425,1521
95SS11S2,2751,1394,1357
95SS12W1,3054,1457,1597
95SS13S1,1528,744,784
95SS13S2,1376,674,702
95SS14S1,1420,677,743
95SS14S2,1485,725,760
95SS15S1,1793,854,939
95SS15S2,1965,950,1015
95SS16S1,1476,745,731
95SS16S2,1688,841,847
95SS17S1,2749,1286,1463
95SS17S2,1549,714,835
95SS18S1,1415,676,739
95SS18S2,1638,787,851
95SS19S1,1305,650,655
95SS19S2,1432,677,755
95SS20W1,2605,1261,1344
95SS21S1,2332,1190,1142
95SS21S2,2384,1196,1188
95SS22S1,1603,797,806
95SS22S2,1687,824,863
95SS23S1,2158,1071,1087
95SS23S2,1658,841,817
95SS24S1,2822,1424,1398
95SS24S2,2317,1116,1201
95SS25W1,2589,1219,1370
95SS26S1,1986,914,1072
95SS26S2,1795,862,933
95SS27W1,2502,1212,1290
95SS28W1,2594,1239,1355
95SS29S1,1261,617,644
95SS29S2,1386,664,722
95SS30S1,1095,695,400
95SS30S2,2283,1081,1202
95TT01W1,2748,1390,1358
95TT02W1,2685,1355,1330
95TT03S1,1586,792,794
95TT03S2,1743,863,880
95TT04W1,2984,1508,1476
95TT05S1,1799,870,929
95TT05S2,1280,607,673
95TT06W1,2723,1387,1336
95TT07W1,2747,1398,1349
95TT08W1,2724,1390,1334
95TT09S1,1438,731,707
95TT09S2,1479,742,737
95TT10W1,2852,1385,1467
95TT11S1,1699,849,850
95TT11S2,1592,830,762
95TT12W1,2641,1349,1292
95TT13S1,1520,776,744
95TT13S2,1398,659,739
95TT14W1,2211,1090,1121
95TT15W1,2498,1285,1213
95TT16W1,2691,1342,1349
95UU06W1,1452,707,745
95UU09W1,1690,876,814
95UU14W1,1732,800,932
95UU99C1,2045,1038,1007
95UU99C2,1781,857,924
95UU99C3,1872,944,928
95UU99C4,1806,951,855
95UU99C5,2421,1265,1156
95UU99C6,2251,1122,1129
95VV01S1,1656,828,828
95VV01S2,1555,770,785
95VV02W1,2192,1101,1091
95VV03W1,2579,1295,1284
95VV04W1,3138,1582,1556
95VV05S1,1964,1008,956
95VV05S2,2542,1300,1242
95VV06W1,3482,1753,1729
95VV07S1,2052,1003,1049
95VV07S2,2341,1151,1190
95VV08W1,3088,1530,1558
95VV09W1,2665,1329,1336
95VV10S1,1580,754,826
95VV10S2,1575,768,807
95VV11S1,2046,984,1062
95VV11S2,2412,1177,1235
95VV12S1,1652,824,828
95VV12S2,1543,745,798
95VV13S1,2057,1043,1014
95VV13S2,1416,753,663
95VV14S1,1966,968,998
95VV14S2,1386,687,699
95VV15S1,1419,717,702
95VV15S2,1679,791,888
95VV16W1,3110,1541,1569
95VV17S1,2205,1081,1124
95VV17S2,2151,1056,1095
95VV18S1,1862,913,949
95VV18S2,1825,904,921
95VV19S1,1302,609,693
95VV19S2,1681,830,851
95VV20W1,2990,1566,1424
95VV21S1,2302,1184,1118
95VV21S2,1735,886,849
95VV22W1,2836,1439,1397
95VV23W1,2893,1411,1482
95VV24S1,1532,764,768
95VV24S2,1535,702,833
95VV25S1,1845,901,944
95VV25S2,1925,977,948
95VV26W1,3583,1792,1791
95VV27W1,2284,1158,1126
95VV28S1,2210,1105,1105
95VV28S2,1320,652,668
95VV29W1,3366,1695,1671
95VV30S1,1614,778,836
95VV30S2,1389,676,713
95WW01S1,1441,693,748
95WW01S2,1373,641,732
95WW02S1,1786,868,918
95WW02S2,2065,964,1101
95WW03S1,1627,799,828
95WW03S2,2011,971,1040
95WW04S1,1611,774,837
95WW04S2,1255,614,641
95WW05S1,1517,750,767
95WW05S2,1255,589,666
95WW06S1,1525,762,763
95WW06S2,1622,804,818
95WW07S1,1809,924,885
95WW07S2,2446,1160,1286
95WW08S1,1219,585,634
95WW08S2,1340,613,727
95WW09S1,1276,594,682
95WW09S2,1258,619,639
95WW10S1,1718,827,891
95WW10S2,1228,570,658
95WW11S1,1697,829,868
95WW11S2,1381,682,699
95WW12W1,2409,1116,1293
95WW13S1,1840,904,936
95WW13S2,1834,903,931
95WW14W1,2262,1066,1196
95WW15S1,1661,779,882
95WW15S2,1655,797,858
95WW16S1,1668,795,873
95WW16S2,1297,595,702
95WW17W1,2266,1075,1191
95WW18W1,2237,1072,1165
95WW19S1,1872,919,953
95WW19S2,2047,1029,1018
95WW19S3,2306,1153,1153
95WW20S1,1827,892,935
95WW20S2,4574,2266,2308
95WW20S3,1937,938,999
95WW21S1,1517,693,824
95WW21S2,2026,973,1053
95WW22S1,1414,696,718
95WW22S2,1571,740,831
95WW23S1,2250,1087,1163
95WW23S2,2644,1316,1328
95WW24S1,1568,719,849
95WW24S2,1926,906,1020
95WW25W1,2071,987,1084
95XX01S1,1730,871,859
95XX01S2,1930,969,961
95XX01S3,1634,775,859
95XX02W1,2652,1270,1382
95XX03S1,1246,598,648
95XX03S2,1475,700,775
95XX04S1,1748,851,897
95XX04S2,1934,925,1009
95XX05W1,2627,1257,1370
95XX06S1,1724,793,931
95XX06S2,2054,966,1088
95XX07S1,1420,683,737
95XX07S2,1425,670,755
95XX08S1,1323,659,664
95XX08S2,1267,577,690
95XX09S1,1369,605,764
95XX09S2,1448,684,764
95XX10S1,1777,868,909
95XX10S2,1862,910,952
95XX10S3,1255,602,653
95XX11S1,2449,1177,1272
95XX11S2,2269,1111,1158
95XX11S3,1545,697,848
95XX12W1,2540,1281,1259
95XX13W1,2770,1306,1464
95XX14W1,2477,1172,1305
95XX15W1,2449,1135,1314
95XX16W1,3005,1442,1563
95XX17S1,1495,801,694
95XX17S2,1527,759,768
95XX18W1,3012,1468,1544
95XX19W1,2675,1300,1375
95XX20S1,1981,918,1063
95XX20S2,1453,819,634
95XX21W1,2846,1347,1499
95XX22W1,2215,1093,1122
95XX23W1,3155,1497,1658
95XX24S1,1336,628,708
95XX24S2,1369,642,727
95XX25W1,2469,1168,1301
95YY01W1,2508,1272,1236
95YY02W1,2283,1092,1191
95YY03W1,3177,1594,1583
95YY04W1,3489,1725,1764
95YY05W1,1675,830,845
95YY06W1,2394,1188,1206
95YY07W1,2916,1465,1451
95YY08W1,2231,1162,1069
95YY09W1,2315,1183,1132
95YY10W1,2142,1097,1045
95YY11W1,2046,1027,1019
95YY12W1,2836,1377,1459
95YY13S1,1488,690,798
95YY13S2,1345,654,691
95YY14S1,1532,723,809
95YY14S2,1564,740,824
95YY15S1,364,172,192
95YY15S2,1669,795,874
95YY16W1,2392,1235,1157
95YY17W1,2350,1199,1151
95YY18W1,2374,1227,1147
95YY19W1,1496,759,737
95YY20W1,2330,1192,1138
95YY21W1,2440,1274,1166
95ZZ01W1,2760,1363,1397
95ZZ02W1,1827,797,1030
95ZZ03W1,2109,1033,1076
95ZZ04W1,2670,1406,1264
95ZZ05W1,2187,1111,1076
95ZZ06W1,1714,860,854
95ZZ07W1,2807,1362,1445
95ZZ08W1,2593,1319,1274
95ZZ09W1,2269,1150,1119
95ZZ10W1,3179,1536,1643
95ZZ11W1,2223,1175,1048
95ZZ12W1,2190,1099,1091
95ZZ13W1,2533,1317,1216
95ZZ14S1,1876,899,977
95ZZ14S2,1356,651,705
95ZZ15W1,2288,1194,1094
95ZZ16S1,1911,900,1011
95ZZ16S2,1351,655,696
