GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
95GG35S3,1502,522,211,306,5,739,549,190,187,175,0,9,3,54
95GG36S1,1794,1295,437,845,13,168,46,122,315,285,0,15,15,16
95GG36S2,1926,1678,585,1086,7,100,22,78,136,125,0,9,2,12
95GG36S3,1899,1545,570,958,17,124,21,103,211,197,0,14,0,19
95GG37S1,1972,1516,497,1016,3,59,33,26,379,364,1,12,2,18
95GG37S2,1786,1230,446,766,18,68,48,20,479,438,0,35,6,9
95GG37S3,2133,1082,385,682,15,173,74,99,864,829,0,34,1,14
95GG38S1,3044,2040,696,1335,9,235,104,131,728,673,0,52,3,41
95GG38S2,1752,1016,338,670,8,249,151,98,457,419,0,34,4,30
95GG38S3,1583,1274,475,799,0,84,36,48,207,203,0,4,0,18
95GG39S1,2401,687,181,503,3,839,695,144,790,747,4,28,11,85
95GG39S2,2709,624,234,381,9,1243,957,286,729,670,0,37,22,113
95GG39S3,2062,452,176,275,1,851,765,86,652,609,2,41,0,107
95GG40S1,1697,550,83,460,7,854,645,209,208,194,0,9,5,85
95GG40S2,2008,447,157,284,6,1330,1143,187,130,120,0,6,4,101
95GG41S1,1891,1764,878,881,5,13,10,3,94,85,0,5,4,20
95GG41S2,1524,1334,629,705,0,78,31,47,82,67,0,7,8,30
95GG41S3,1857,1500,602,894,4,128,111,17,211,191,0,17,3,18
95GG42S1,1826,1592,751,841,0,26,21,5,197,194,0,2,1,11
95GG42S2,516,334,187,147,0,26,22,4,149,147,0,2,0,7
95GG42S3,2003,698,285,392,21,46,29,17,1244,1150,0,94,0,15
95GG42S4,2247,1479,700,774,5,51,25,26,704,678,0,21,5,13
95GG43S1,1424,751,238,485,28,408,330,78,231,227,0,2,2,34
95GG43S2,1635,1253,476,766,11,77,65,12,298,280,0,18,0,7
95GG43S3,1724,955,287,654,14,328,167,161,412,376,0,32,4,29
95GG44S1,2864,693,228,434,31,1280,971,309,805,780,7,13,5,86
95GG44S2,2727,768,261,500,7,1055,527,528,837,783,0,38,16,67
95GG45S1,1646,1452,748,703,1,67,64,3,117,105,0,12,0,10
95GG45S2,1554,688,230,452,6,690,649,41,154,146,0,5,3,22
95GG45S3,1617,1067,416,641,10,250,223,27,261,240,0,19,2,39
95GG46S1,1712,983,315,659,9,603,539,64,94,75,0,3,16,32
95GG46S2,1828,948,302,629,17,786,696,90,58,51,0,3,4,36
95GG46S3,1664,754,230,513,11,788,621,167,79,69,0,8,2,43
95GG47S1,2270,783,297,476,10,991,287,704,455,403,0,28,24,41
95GG47S2,1696,751,228,512,11,644,324,320,244,228,0,5,11,57
95GG47S3,1798,818,279,536,3,521,80,441,417,395,0,16,6,42
95GG48S1,1612,952,281,660,11,384,330,54,232,226,0,6,0,44
95GG48S2,2321,554,115,436,3,1560,842,718,112,94,0,10,8,95
95GG48S3,1668,733,182,548,3,811,782,29,61,54,0,3,4,63
95GG49S1,1617,726,332,390,4,84,70,14,782,759,0,17,6,25
95GG49S2,2214,414,200,198,16,93,26,67,1681,1581,0,69,31,26
95GG49S3,2139,305,110,171,24,167,103,64,1648,1545,2,96,5,19
95GG49S4,2066,366,181,169,16,191,73,118,1475,1387,12,63,13,34
95GG50S1,1499,652,183,461,8,310,253,57,518,491,1,18,8,19
95GG50S2,2061,528,168,349,11,957,683,274,522,512,0,6,4,54
95GG50S3,1885,572,255,313,4,731,224,507,533,502,0,13,18,49
95GG51S1,1353,625,325,291,9,351,150,201,357,325,0,8,24,20
95GG51S2,1399,565,277,288,0,516,225,291,273,256,0,6,11,45
95GG51S3,1321,370,150,213,7,766,407,359,129,120,0,8,1,56
95HH01W1,1981,1512,569,918,25,198,190,8,256,231,2,16,7,15
95HH02S1,1358,1224,475,740,9,9,9,0,92,85,0,7,0,33
95HH02S2,1604,1520,311,1205,4,12,8,4,60,54,0,6,0,12
95HH03W1,1663,1448,716,728,4,71,3,68,130,127,0,3,0,14
95HH04S1,1709,1580,413,1140,27,0,0,0,107,97,0,10,0,22
95HH04S2,1358,1257,403,853,1,44,15,29,48,43,0,5,0,9
95HH05W1,2171,1287,310,937,40,460,446,14,386,378,0,8,0,38
