Geography,GeographyCode,AllHouseholds
Ballymoney_A,N21000386,1030
Ballymoney_B,N21000387,992
Ballymoney_C,N21000388,884
Ballymoney_D,N21000389,1018
Ballymoney_E,N21000390,987
Ballymoney_F,N21000391,912
Ballymoney_G,N21000392,602
Ballymoney_H,N21000393,1127
Ballymoney_J,N21000394,530
Ballymoney_K,N21000395,1147
Ballymoney_L,N21000396,527
The_Moor_A,N21000397,1023
The_Moor_B,N21000398,1313
The_Moor_C,N21000399,797
The_Moor_D,N21000400,1127
The_Moor_E,N21000401,657
The_Moor_F,N21000402,1069
The_Moor_G,N21000403,938
The_Moor_H,N21000404,701
Foyleside_A,N21000405,1150
Foyleside_B,N21000406,858
Foyleside_C,N21000407,942
Foyleside_D,N21000408,1328
Foyleside_E,N21000409,1202
Foyleside_F,N21000410,992
Foyleside_G,N21000411,926
Ballyarnett_A,N21000412,818
Ballyarnett_B,N21000413,866
Ballyarnett_C,N21000414,525
Ballyarnett_D,N21000415,1114
Ballyarnett_E,N21000416,751
Ballyarnett_F,N21000417,855
Ballyarnett_G,N21000418,1176
Ballyarnett_H,N21000419,734
Ballyarnett_J,N21000420,817
Ballyarnett_K,N21000421,941
Ballyarnett_L,N21000422,1042
Waterside_A,N21000423,1003
Waterside_B,N21000424,946
Waterside_C,N21000425,1004
Waterside_D,N21000426,905
Waterside_E,N21000427,1010
Waterside_F,N21000428,987
Waterside_G,N21000429,998
Waterside_H,N21000430,749
Waterside_J,N21000431,1020
Waterside_K,N21000432,927
Waterside_L,N21000433,999
Waterside_N,N21000434,841
Waterside_P,N21000435,875
Faughan_A,N21000436,999
Faughan_B,N21000437,509
Faughan_C,N21000438,850
Faughan_D,N21000439,915
Faughan_E,N21000440,1186
Faughan_F,N21000441,1116
Faughan_G,N21000442,1193
Faughan_H,N21000443,544
Sperrin_A,N21000444,745
Sperrin_B,N21000445,1111
Sperrin_C,N21000446,1003
Sperrin_D,N21000447,1072
Sperrin_E,N21000448,723
Sperrin_F,N21000449,1044
Sperrin_G,N21000450,1233
Sperrin_H,N21000451,1292
Sperrin_J,N21000452,521
Sperrin_K,N21000453,938
Derg_A,N21000454,716
Derg_B,N21000455,890
Derg_C,N21000456,898
Derg_D,N21000457,756
Derg_E,N21000458,631
Derg_F,N21000459,1296
Derg_G,N21000460,730
Derg_H,N21000461,1102
Erne_East_A,N21000462,989
Erne_East_B,N21000463,1011
Erne_East_C,N21000464,770
Erne_East_D,N21000465,1272
Erne_East_E,N21000466,998
Erne_East_F,N21000467,1008
Erne_West_A,N21000468,883
Erne_West_B,N21000469,648
Erne_West_C,N21000470,1035
Erne_West_D,N21000471,972
Erne_West_E,N21000472,922
Erne_West_F,N21000473,962
Enniskillen_A,N21000474,751
Enniskillen_B,N21000475,1138
Enniskillen_C,N21000476,865
Enniskillen_D,N21000477,1069
Enniskillen_E,N21000478,943
Enniskillen_F,N21000479,966
Enniskillen_G,N21000480,1125
Enniskillen_H,N21000481,1024
Erne_North_A,N21000482,959
Erne_North_B,N21000483,1059
Erne_North_C,N21000484,659
Erne_North_D,N21000485,1051
Erne_North_E,N21000486,588
Erne_North_F,N21000487,918
Erne_North_G,N21000488,884
West_Tyrone_A,N21000489,923
West_Tyrone_B,N21000490,637
West_Tyrone_C,N21000491,974
West_Tyrone_D,N21000492,583
West_Tyrone_E,N21000493,994
West_Tyrone_F,N21000494,1003
West_Tyrone_G,N21000495,971
Omagh_A,N21000496,1324
Omagh_B,N21000497,539
Omagh_C,N21000498,1220
Omagh_D,N21000499,911
Omagh_E,N21000500,1031
Omagh_F,N21000501,790
Omagh_G,N21000502,1013
Omagh_H,N21000503,1195
Mid_Tyrone_A,N21000504,1007
Mid_Tyrone_B,N21000505,1000
Mid_Tyrone_C,N21000506,731
Mid_Tyrone_D,N21000507,928
Mid_Tyrone_E,N21000508,1009
Mid_Tyrone_F,N21000509,644
Mid_Tyrone_G,N21000510,821
Downshire_West_A,N21000511,1253
Downshire_West_B,N21000512,1056
Downshire_West_C,N21000513,1013
Downshire_West_D,N21000514,1065
Downshire_West_E,N21000515,812
Downshire_West_F,N21000516,824
Downshire_West_G,N21000517,1197
Killultagh_A,N21000518,827
Killultagh_B,N21000519,952
Killultagh_C,N21000520,1129
Killultagh_D,N21000521,785
Killultagh_E,N21000522,1317
Killultagh_F,N21000523,836
Killultagh_G,N21000524,821
Killultagh_H,N21000525,1135
Lisburn_South_A,N21000526,551
Lisburn_South_B,N21000527,995
Lisburn_South_C,N21000528,1121
Lisburn_South_D,N21000529,929
Lisburn_South_E,N21000530,1283
Lisburn_South_F,N21000531,617
Lisburn_South_G,N21000532,1143
Lisburn_South_H,N21000533,1166
Lisburn_South_J,N21000534,1056
Lisburn_South_K,N21000535,1136
Lisburn_North_A,N21000536,851
Lisburn_North_B,N21000537,644
Lisburn_North_C,N21000538,1263
Lisburn_North_D,N21000539,829
Lisburn_North_E,N21000540,800
Lisburn_North_F,N21000541,1316
Lisburn_North_G,N21000542,1290
Lisburn_North_H,N21000543,886
Lisburn_North_J,N21000544,1027
Lisburn_North_K,N21000545,1169
Downshire_East_A,N21000546,1272
Downshire_East_B,N21000547,742
Downshire_East_C,N21000548,743
Downshire_East_D,N21000549,867
Downshire_East_E,N21000550,1284
Downshire_East_F,N21000551,796
Downshire_East_G,N21000552,788
Castlereagh_South_A,N21000553,1165
Castlereagh_South_B,N21000554,1304
Castlereagh_South_C,N21000555,935
Castlereagh_South_D,N21000556,1114
Castlereagh_South_E,N21000557,1282
Castlereagh_South_F,N21000558,541
Castlereagh_South_G,N21000559,860
Castlereagh_South_H,N21000560,966
Castlereagh_South_J,N21000561,1116
Castlereagh_East_A,N21000562,982
Castlereagh_East_B,N21000563,944
Castlereagh_East_C,N21000564,988
Castlereagh_East_D,N21000565,910
Castlereagh_East_E,N21000566,949
Castlereagh_East_F,N21000567,1046
Castlereagh_East_G,N21000568,999
Castlereagh_East_H,N21000569,991
Castlereagh_East_J,N21000570,832
Castlereagh_East_K,N21000571,641
Bannside_A,N21000572,866
Bannside_B,N21000573,1205
Bannside_C,N21000574,791
Bannside_D,N21000575,587
Bannside_E,N21000576,1172
Bannside_F,N21000577,780
Bannside_G,N21000578,677
Bannside_H,N21000579,749
Bannside_J,N21000580,914
Ballymena_A,N21000581,805
Ballymena_B,N21000582,1242
Ballymena_C,N21000583,1022
Ballymena_D,N21000584,1104
Ballymena_E,N21000585,1033
Ballymena_F,N21000586,1113
Ballymena_G,N21000587,1173
Ballymena_H,N21000588,995
Ballymena_J,N21000589,576
Ballymena_K,N21000590,1184
Braid_A,N21000591,1062
Braid_B,N21000592,740
Braid_C,N21000593,1273
Braid_D,N21000594,634
Braid_E,N21000595,747
Braid_F,N21000596,1109
Braid_G,N21000597,1083
Braid_H,N21000598,1289
Braid_J,N21000599,503
Braid_K,N21000600,881
Coast_Road_A,N21000601,610
Coast_Road_B,N21000602,519
Coast_Road_C,N21000603,753
Coast_Road_D,N21000604,906
Coast_Road_E,N21000605,1010
Coast_Road_F,N21000606,1005
Coast_Road_G,N21000607,928
Coast_Road_H,N21000608,995
Coast_Road_J,N21000609,935
Larne_Lough_A,N21000610,561
Larne_Lough_B,N21000611,1114
Larne_Lough_C,N21000612,1195
Larne_Lough_D,N21000613,860
Larne_Lough_E,N21000614,870
Larne_Lough_F,N21000615,1047
Larne_Lough_G,N21000616,613
Larne_Lough_H,N21000617,728
Larne_Lough_J,N21000618,910
Carrick_Castle_A,N21000619,858
Carrick_Castle_B,N21000620,834
Carrick_Castle_C,N21000621,973
Carrick_Castle_D,N21000622,910
Carrick_Castle_E,N21000623,933
Carrick_Castle_F,N21000624,977
Carrick_Castle_G,N21000625,989
Carrick_Castle_H,N21000626,643
Carrick_Castle_J,N21000627,936
Knockagh_A,N21000628,567
Knockagh_B,N21000629,727
Knockagh_C,N21000630,953
Knockagh_D,N21000631,654
Knockagh_E,N21000632,687
Knockagh_F,N21000633,1155
Knockagh_G,N21000634,871
Knockagh_H,N21000635,979
Knockagh_J,N21000636,771
Carntogher_A,N21000637,1100
Carntogher_B,N21000638,924
Carntogher_C,N21000639,1103
Carntogher_D,N21000640,1149
Carntogher_E,N21000641,808
Carntogher_F,N21000642,860
Moyola_A,N21000643,670
Moyola_B,N21000644,631
Moyola_C,N21000645,967
Moyola_D,N21000646,725
Moyola_E,N21000647,992
Moyola_F,N21000648,905
Moyola_G,N21000649,819
Moyola_H,N21000650,797
Magherafelt_A,N21000651,1221
Magherafelt_B,N21000652,1175
Magherafelt_C,N21000653,1245
Magherafelt_D,N21000654,1079
Magherafelt_E,N21000655,770
Magherafelt_F,N21000656,834
Magherafelt_G,N21000657,788
Cookstown_A,N21000658,1008
Cookstown_B,N21000659,1158
Cookstown_C,N21000660,1150
Cookstown_D,N21000661,978
Cookstown_E,N21000662,814
Cookstown_F,N21000663,961
Cookstown_G,N21000664,754
Cookstown_H,N21000665,761
Cookstown_J,N21000666,915
Cookstown_K,N21000667,611
Torrent_A,N21000668,957
Torrent_B,N21000669,1007
Torrent_C,N21000670,845
Torrent_D,N21000671,1218
Torrent_E,N21000672,758
Torrent_F,N21000673,1308
Torrent_G,N21000674,831
Torrent_H,N21000675,1186
Dungannon_A,N21000676,1218
Dungannon_B,N21000677,825
Dungannon_C,N21000678,565
Dungannon_D,N21000679,1031
Dungannon_E,N21000680,912
Dungannon_F,N21000681,1313
Dungannon_G,N21000682,997
Dungannon_H,N21000683,1149
Dungannon_J,N21000684,767
Dungannon_K,N21000685,587
Clogher_Valley_A,N21000686,1078
Clogher_Valley_B,N21000687,1178
Clogher_Valley_C,N21000688,642
Clogher_Valley_D,N21000689,1054
Clogher_Valley_E,N21000690,1330
Clogher_Valley_F,N21000691,1108
Clogher_Valley_G,N21000692,844
Clogher_Valley_H,N21000693,626
Slieve_Gullion_A,N21000694,890
Slieve_Gullion_B,N21000695,722
Slieve_Gullion_C,N21000696,1082
Slieve_Gullion_D,N21000697,953
Slieve_Gullion_E,N21000698,1057
Slieve_Gullion_F,N21000699,1133
Slieve_Gullion_G,N21000700,869
Slieve_Gullion_H,N21000701,981
Slieve_Gullion_J,N21000702,728
Slieve_Gullion_K,N21000703,897
Slieve_Gullion_L,N21000704,802
Slieve_Gullion_N,N21000705,661
Newry_A,N21000706,1083
Newry_B,N21000707,808
Newry_C,N21000708,720
Newry_D,N21000709,742
Newry_E,N21000710,1073
Newry_F,N21000711,809
Newry_G,N21000712,790
Newry_H,N21000713,728
Newry_J,N21000714,758
Newry_K,N21000715,821
Newry_L,N21000716,1064
Newry_N,N21000717,758
Newry_P,N21000718,739
