Geography,GeographyCode,AverageHouseholdSize
Benbradagh_C,N21000338,2.552264808362369
Benbradagh_D,N21000339,2.8512476007677545
Benbradagh_E,N21000340,2.910211267605634
Benbradagh_F,N21000341,2.579799537393986
Benbradagh_G,N21000342,2.9477848101265822
Limavady_A,N21000343,2.5805714285714285
Limavady_B,N21000344,1.776141384388807
Limavady_C,N21000345,2.1934235976789167
Limavady_D,N21000346,2.7389830508474575
Limavady_E,N21000347,2.1315175097276264
Limavady_F,N21000348,2.6858974358974357
Limavady_G,N21000349,2.3609625668449197
Bann_A,N21000350,2.0848375451263537
Bann_B,N21000351,2.4848214285714287
Bann_C,N21000352,2.5471898197242844
Bann_D,N21000353,2.706153846153846
Bann_E,N21000354,2.7088791848617175
Bann_F,N21000355,2.2598870056497176
Bann_G,N21000356,3.140969162995595
Bann_H,N21000357,2.4444444444444446
Coleraine_A,N21000358,2.333058532563891
Coleraine_B,N21000359,2.305372290292177
Coleraine_C,N21000360,2.427382053654024
Coleraine_D,N21000361,1.701453104359313
Coleraine_E,N21000362,2.1095066185318894
Coleraine_F,N21000363,2.3025540275049114
Coleraine_G,N21000364,1.970081595648232
Coleraine_H,N21000365,2.2629382303839733
Coleraine_J,N21000366,2.3753191489361702
Coleraine_K,N21000367,2.642682926829268
Causeway_A,N21000368,2.269230769230769
Causeway_B,N21000369,1.6523545706371192
Causeway_C,N21000370,2.0612582781456954
Causeway_D,N21000371,2.111638954869359
Causeway_E,N21000372,2.3627978478093774
Causeway_F,N21000373,2.23943661971831
Causeway_G,N21000374,2.0817610062893084
Causeway_H,N21000375,2.351993865030675
Causeway_J,N21000376,2.4249084249084247
Causeway_K,N21000377,2.501310043668122
Causeway_L,N21000378,2.4801381692573403
The_Glens_A,N21000379,2.5840853158326498
The_Glens_B,N21000380,2.0262529832935563
The_Glens_C,N21000381,2.555452865064695
The_Glens_D,N21000382,2.5564625850340135
The_Glens_E,N21000383,2.4701986754966887
The_Glens_F,N21000384,2.896810506566604
The_Glens_G,N21000385,2.555128205128205
Ballymoney_A,N21000386,2.4970873786407766
Ballymoney_B,N21000387,2.3941532258064515
Ballymoney_C,N21000388,2.3925339366515836
Ballymoney_D,N21000389,1.8794117647058823
Ballymoney_E,N21000390,2.216818642350557
Ballymoney_F,N21000391,2.57628979143798
