Geography,GeographyCode,Total,Unemployed,Unemployed_pct
Comber South,N08001114,3142,59,1.88
Comber West,N08001115,3252,56,1.72
Conway Square,N08001116,3637,144,3.96
Cronstown,N08001117,3654,45,1.23
Cultra,N08001118,3311,48,1.45
Donaghadee,N08001119,3347,68,2.03
Glen,N08001120,3653,70,1.92
Gregstown,N08001121,2703,66,2.44
Groomsport,N08001122,3119,51,1.64
Harbour,N08001123,4107,146,3.55
Helen's Bay,N08001124,3271,36,1.10
Holywood,N08001125,3402,67,1.97
Kilcooley,N08001126,3443,103,2.99
Killinchy,N08001127,3094,31,1.00
Kircubbin,N08001128,3566,69,1.93
Loughries,N08001129,3424,53,1.55
Loughview,N08001130,3737,76,2.03
Movilla,N08001131,3300,89,2.70
Portaferry,N08001132,2926,59,2.02
Portavogie,N08001133,3074,77,2.50
Rathgael,N08001134,3028,66,2.18
Rathmore,N08001135,3121,50,1.60
Scrabo,N08001136,3560,57,1.60
Silverbirch,N08001137,3075,53,1.72
Silverstream,N08001138,3226,77,2.39
Warren,N08001139,3597,80,2.22
West Winds,N08001140,3512,157,4.47
