GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
95DD13,741,399,305,37,272,129,132,11,207,122,76,9,106,58,46,2,156,90,51,15,2.35,2.45,2.14,3.03
95DD14,1233,81,1103,49,259,8,242,9,405,21,372,12,219,26,183,10,350,26,306,18,2.65,3.06,2.61,2.86
95DD15,1174,662,484,28,239,134,97,8,311,154,150,7,217,119,93,5,407,255,144,8,2.94,3.07,2.76,2.86
95DD16,1019,120,857,42,197,24,162,11,280,24,250,6,204,33,167,4,338,39,278,21,2.89,2.93,2.87,3.10
95DD17,1148,409,703,36,192,59,128,5,326,80,235,11,201,78,113,10,429,192,227,10,3.01,3.38,2.81,2.83
95DD18,873,70,749,54,311,20,279,12,333,24,290,19,124,15,95,14,105,11,85,9,2.08,2.37,2.02,2.43
95DD19,1275,68,1158,49,297,11,282,4,408,12,380,16,235,18,203,14,335,27,293,15,2.60,3.13,2.55,2.94
95DD20,826,61,719,46,330,23,294,13,263,19,229,15,122,10,101,11,111,9,95,7,2.11,2.23,2.08,2.46
95DD21,891,281,564,46,242,58,178,6,315,92,206,17,159,46,98,15,175,85,82,8,2.39,2.74,2.19,2.65
95DD22,1156,380,746,30,309,104,196,9,318,86,223,9,185,64,114,7,344,126,213,5,2.70,2.87,2.62,2.37
95DD23,881,110,740,31,154,22,126,6,277,35,233,9,162,23,134,5,288,30,247,11,2.83,2.75,2.84,2.81
95DD24,990,625,326,39,198,118,71,9,318,186,124,8,192,117,63,12,282,204,68,10,2.72,2.85,2.46,2.87
95EE01,592,528,58,6,93,80,12,1,149,130,15,4,111,98,12,1,239,220,19,0,3.20,3.25,2.90,2.00
95EE02,790,48,713,29,186,6,175,5,239,11,220,8,147,7,131,9,218,24,187,7,2.65,3.42,2.60,2.66
95EE03,808,119,646,43,231,27,187,17,255,22,223,10,130,23,98,9,192,47,138,7,2.45,2.94,2.38,2.21
95EE04,736,257,459,20,168,59,108,1,231,69,157,5,127,43,76,8,210,86,118,6,2.70,2.88,2.59,3.10
95EE05,577,45,511,21,135,13,117,5,197,10,177,10,91,5,84,2,154,17,133,4,2.59,2.76,2.59,2.43
95EE06,692,555,131,6,123,99,24,0,141,109,31,1,115,88,24,3,313,259,52,2,3.29,3.33,3.11,3.33
95EE07,740,124,586,30,207,33,170,4,243,42,194,7,131,23,100,8,159,26,122,11,2.43,2.40,2.41,3.00
95EE08,711,102,576,33,224,29,185,10,251,24,214,13,109,22,78,9,127,27,99,1,2.30,2.68,2.24,2.06
95EE09,605,210,376,19,95,35,60,0,165,59,101,5,109,35,70,4,236,81,145,10,3.07,3.04,3.06,3.63
95EE10,598,338,250,10,116,66,48,2,155,78,75,2,101,53,44,4,226,141,83,2,3.01,3.11,2.88,2.60
95EE11,551,158,375,18,82,15,62,5,164,28,128,8,103,28,72,3,202,87,113,2,3.04,3.69,2.81,2.28
95EE12,1059,138,879,42,310,37,259,14,349,49,288,12,189,23,159,7,211,29,173,9,2.36,2.45,2.35,2.29
95EE13,718,167,516,35,297,79,203,15,205,34,162,9,104,27,71,6,112,27,80,5,2.13,2.13,2.13,2.11
95EE14,1016,136,838,42,213,21,182,10,342,45,288,9,185,27,146,12,276,43,222,11,2.64,2.86,2.60,2.74
95EE15,606,114,468,24,129,18,107,4,171,27,136,8,108,20,83,5,198,49,142,7,2.85,3.20,2.77,2.83
95EE16,709,173,514,22,132,34,91,7,194,29,159,6,118,29,84,5,265,81,180,4,2.98,3.36,2.88,2.27
95FF01,1740,530,1126,84,335,93,225,17,550,151,368,31,317,115,189,13,538,171,344,23,2.73,2.86,2.68,2.64
95FF02,923,497,397,29,190,99,80,11,224,103,116,5,149,86,57,6,360,209,144,7,3.05,3.20,2.91,2.41
95FF03,1169,468,654,47,268,116,140,12,390,158,213,19,215,81,128,6,296,113,173,10,2.57,2.53,2.61,2.49
95FF04,862,315,520,27,136,57,72,7,249,81,159,9,143,48,91,4,334,129,198,7,3.05,3.14,3.02,2.63
95FF05,1119,209,853,57,367,72,275,20,350,61,271,18,195,44,144,7,207,32,163,12,2.29,2.24,2.30,2.30
95FF06,1540,226,1227,87,354,59,276,19,508,62,410,36,234,33,189,12,444,72,352,20,2.63,2.75,2.62,2.51
95FF07,1154,511,586,57,363,139,202,22,347,154,179,14,195,95,91,9,249,123,114,12,2.39,2.52,2.30,2.26
95FF08,993,267,687,39,351,99,244,8,276,79,188,9,144,39,95,10,222,50,160,12,2.34,2.26,2.35,2.79
95FF09,1000,391,567,42,300,119,167,14,285,115,161,9,165,77,81,7,250,80,158,12,2.52,2.47,2.55,2.55
95FF10,1216,161,998,57,228,28,191,9,364,46,303,15,225,28,182,15,399,59,322,18,2.86,3.03,2.83,2.84
95FF11,873,249,596,28,157,52,101,4,252,50,191,11,150,46,101,3,314,101,203,10,2.96,3.18,2.87,2.79
95FF12,1018,524,461,33,229,119,99,11,325,164,151,10,184,89,90,5,280,152,121,7,2.67,2.71,2.65,2.42
95FF13,977,324,617,36,218,68,139,11,282,97,178,7,175,64,106,5,302,95,194,13,2.77,2.82,2.75,2.75
95FF14,862,122,706,34,149,30,115,4,291,40,242,9,142,14,118,10,280,38,231,11,2.80,2.72,2.81,2.85
95FF15,1073,391,647,35,335,105,221,9,300,100,187,13,171,69,96,6,267,117,143,7,2.50,2.72,2.38,2.31
95FF16,927,189,700,38,255,53,188,14,281,40,236,5,168,40,121,7,223,56,155,12,2.50,2.69,2.43,2.82
95FF17,857,299,505,53,378,137,219,22,265,84,166,15,95,35,52,8,119,43,68,8,2.00,2.03,1.98,2.08
95GG01,2004,1906,81,17,649,618,25,6,590,562,26,2,350,332,15,3,415,394,15,6,2.42,2.41,2.51,2.59
95GG02,2568,2394,127,47,885,831,39,15,736,704,23,9,442,403,24,15,505,456,41,8,2.33,2.31,2.77,2.43
95GG03,2667,433,1971,263,979,161,746,72,854,140,633,81,364,52,256,56,470,80,336,54,2.20,2.22,2.16,2.45
95GG04,2297,1027,1139,131,960,337,576,47,625,275,315,35,349,199,126,24,363,216,122,25,2.14,2.43,1.86,2.28
95GG05,2800,1590,870,340,1078,582,395,101,905,542,261,102,420,245,103,72,397,221,111,65,2.10,2.13,1.96,2.36
95GG06,2381,182,2046,153,723,61,618,44,789,56,690,43,429,30,368,31,440,35,370,35,2.34,2.33,2.32,2.53
95GG07,2269,2051,160,58,742,675,57,10,615,558,39,18,444,401,28,15,468,417,36,15,2.41,2.40,2.46,2.71
95GG08,2151,1300,741,110,735,399,299,37,667,418,212,37,361,220,124,17,388,263,106,19,2.28,2.38,2.12,2.25
95GG09,2604,210,2205,189,802,72,682,48,881,64,762,55,425,29,365,31,496,45,396,55,2.33,2.44,2.29,2.62
95GG10,2017,243,1522,252,883,64,708,111,625,83,458,84,284,54,199,31,225,42,157,26,1.98,2.41,1.92,1.95
95GG11,2686,389,2022,275,1162,127,923,112,869,135,642,92,310,56,220,34,345,71,237,37,2.01,2.32,1.94,2.05
95GG12,3429,2064,831,534,1140,660,293,187,871,544,190,137,545,336,116,93,873,524,232,117,2.54,2.55,2.61,2.44
95GG13,2116,674,1305,137,819,196,564,59,590,174,388,28,336,107,196,33,371,197,157,17,2.22,2.64,2.01,2.12
95GG14,1817,970,775,72,440,207,211,22,565,267,277,21,296,168,115,13,516,328,172,16,2.65,2.85,2.43,2.43
95GG15,2544,343,2032,169,889,95,741,53,822,104,671,47,353,60,265,28,480,84,355,41,2.24,2.47,2.18,2.44
95GG16,2230,1643,437,150,776,560,168,48,597,433,119,45,370,262,77,31,487,388,73,26,2.41,2.46,2.23,2.33
95GG17,2137,1446,604,87,636,390,225,21,607,391,190,26,385,271,95,19,509,394,94,21,2.49,2.62,2.18,2.61
95GG18,2143,1943,150,50,746,681,54,11,627,576,38,13,371,332,28,11,399,354,30,15,2.32,2.30,2.41,2.88
95GG19,2239,197,1932,110,1004,62,903,39,628,46,541,41,311,34,262,15,296,55,226,15,2.02,2.63,1.95,2.10
95GG20,2359,476,1652,231,1008,138,778,92,701,170,470,61,366,86,235,45,284,82,169,33,2.03,2.34,1.93,2.12
95GG21,2262,1991,163,108,854,752,60,42,639,568,42,29,368,325,22,21,401,346,39,16,2.25,2.24,2.42,2.12
95GG22,2208,2094,80,34,783,752,21,10,574,545,22,7,362,338,21,3,489,459,16,14,2.40,2.38,2.61,2.82
95GG23,1821,789,910,122,490,180,282,28,623,209,370,44,291,134,137,20,417,266,121,30,2.47,2.81,2.17,2.52
95GG24,1945,765,1056,124,714,276,395,43,598,215,339,44,266,95,158,13,367,179,164,24,2.24,2.38,2.14,2.23
95GG25,2194,2094,69,31,668,635,21,12,616,600,11,5,374,356,14,4,536,503,23,10,2.52,2.50,2.91,2.74
95GG26,1654,257,1313,84,563,74,467,22,548,82,438,28,284,43,224,17,259,58,184,17,2.22,2.47,2.16,2.45
95GG27,2467,2316,123,28,686,635,40,11,709,670,31,8,437,415,22,0,635,596,30,9,2.60,2.60,2.54,2.68
95GG28,2325,196,1994,135,636,43,561,32,751,69,642,40,461,37,395,29,477,47,396,34,2.42,2.61,2.40,2.58
95GG29,2430,310,1807,313,1001,101,799,101,745,114,534,97,369,48,254,67,315,47,220,48,2.06,2.22,2.00,2.24
95GG30,2083,162,1768,153,632,36,554,42,750,59,646,45,280,23,230,27,421,44,338,39,2.32,2.71,2.27,2.49
95GG31,2463,2042,343,78,567,433,116,18,772,633,117,22,494,417,59,18,630,559,51,20,2.65,2.72,2.21,2.71
95GG32,2649,1153,1372,124,838,288,509,41,767,301,432,34,466,245,198,23,578,319,233,26,2.41,2.68,2.19,2.38
95GG33,2195,1234,784,177,641,313,272,56,723,389,272,62,311,176,106,29,520,356,134,30,2.48,2.68,2.23,2.28
95GG34,1999,1110,800,89,595,268,304,23,602,318,261,23,357,220,118,19,445,304,117,24,2.43,2.63,2.16,2.54
95GG35,2244,2019,171,54,897,817,63,17,634,576,45,13,351,318,22,11,362,308,41,13,2.17,2.14,2.33,2.65
95GG36,2481,258,2044,179,840,64,722,54,754,83,614,57,430,55,338,37,457,56,370,31,2.26,2.50,2.23,2.30
95GG37,2687,993,1422,272,931,288,561,82,920,351,469,100,402,159,198,45,434,195,194,45,2.19,2.36,2.06,2.27
95GG38,2915,1618,1073,224,1099,560,478,61,893,482,337,74,420,241,138,41,503,335,120,48,2.19,2.32,1.94,2.43
95GG39,3616,1240,1834,542,1667,545,916,206,1025,373,484,168,498,156,239,103,426,166,195,65,1.98,2.04,1.91,2.11
95GG40,1861,97,1660,104,856,30,787,39,503,24,454,25,273,21,231,21,229,22,188,19,1.99,2.57,1.93,2.35
95GG41,2173,257,1778,138,605,44,518,43,747,68,641,38,316,54,237,25,505,91,382,32,2.43,2.93,2.35,2.46
95GG42,2606,1174,1139,293,741,308,359,74,799,329,398,72,403,184,160,59,663,353,222,88,2.53,2.70,2.31,2.71
95GG43,2316,193,1892,231,889,68,750,71,800,57,659,84,320,29,248,43,307,39,235,33,2.07,2.32,2.02,2.22
95GG44,2705,369,1996,340,1151,91,924,136,811,130,587,94,398,89,252,57,345,59,233,53,2.07,2.46,1.98,2.18
95GG45,2129,578,1393,158,712,172,495,45,698,176,475,47,349,93,225,31,370,137,198,35,2.26,2.47,2.16,2.44
95GG46,1932,1820,80,32,485,452,22,11,536,520,14,2,364,342,11,11,547,506,33,8,2.69,2.68,2.99,2.78
95GG47,2641,2332,194,115,1159,1039,80,40,647,564,50,33,372,331,25,16,463,398,39,26,2.18,2.16,2.30,2.37
95GG48,2051,1913,93,45,478,454,16,8,567,537,15,15,458,430,18,10,548,492,44,12,2.73,2.69,3.51,2.82
95GG49,3351,1470,1352,529,1134,464,526,144,1009,494,345,170,518,209,208,101,690,303,273,114,2.40,2.37,2.41,2.45
95GG50,2653,469,1827,357,1090,162,822,106,839,163,544,132,387,68,249,70,337,76,212,49,2.05,2.19,1.98,2.24
95GG51,2081,105,1875,101,943,33,867,43,622,31,564,27,276,22,241,13,240,19,203,18,1.96,2.37,1.92,2.17
95HH01,890,138,681,71,292,43,222,27,310,42,251,17,144,26,107,11,144,27,101,16,2.23,2.32,2.20,2.31
95HH02,1063,73,915,75,172,9,153,10,336,15,294,27,219,21,179,19,336,28,289,19,2.79,3.12,2.77,2.69
95HH03,726,69,620,37,207,18,175,14,282,24,246,12,116,15,96,5,121,12,103,6,2.29,2.36,2.29,2.16
95HH04,1160,73,1011,76,214,12,184,18,385,25,341,19,248,11,218,19,313,25,268,20,2.64,2.86,2.63,2.59
95HH05,908,55,779,74,254,11,220,23,297,18,258,21,184,12,158,14,173,14,143,16,2.39,2.69,2.37,2.41
95HH06,1682,121,1446,115,302,21,259,22,476,27,410,39,308,29,263,16,596,44,514,38,2.85,3.02,2.84,2.76
95HH07,733,57,609,67,313,19,264,30,215,20,176,19,114,7,96,11,91,11,73,7,2.04,2.28,2.02,1.99
95HH08,1083,150,851,82,310,29,255,26,378,45,312,21,173,41,119,13,222,35,165,22,2.36,2.69,2.29,2.44
95HH09,1423,202,1072,149,731,95,576,60,418,54,310,54,163,27,114,22,111,26,72,13,1.79,1.97,1.73,1.94
95HH10,945,98,777,70,188,25,144,19,330,27,286,17,182,16,147,19,245,30,200,15,2.63,2.67,2.64,2.50
95HH11,655,34,571,50,252,10,228,14,211,15,187,9,106,2,93,11,86,7,63,16,2.09,2.29,2.02,2.66
95HH12,626,40,534,52,130,6,116,8,248,17,215,16,136,10,113,13,112,7,90,15,2.48,2.53,2.44,2.88
95HH13,614,35,524,55,188,14,156,18,208,7,187,14,108,4,91,13,110,10,90,10,2.29,2.31,2.29,2.31
95HH14,764,76,640,48,319,29,279,11,250,23,210,17,111,12,87,12,84,12,64,8,2.00,2.18,1.94,2.50
95HH15,1083,113,895,75,334,35,282,17,346,32,290,24,155,14,127,14,248,32,196,20,2.39,2.53,2.35,2.57
95HH16,917,151,683,83,286,48,214,24,291,41,226,24,159,28,116,15,181,34,127,20,2.35,2.40,2.32,2.55
