GeographyCode,LC2102NI0001,LC2102NI0002,LC2102NI0003,LC2102NI0004,LC2102NI0005,LC2102NI0006,LC2102NI0007,LC2102NI0008,LC2102NI0009,LC2102NI0010,LC2102NI0011,LC2102NI0012,LC2102NI0013,LC2102NI0014,LC2102NI0015,LC2102NI0016,LC2102NI0017,LC2102NI0018,LC2102NI0019,LC2102NI0020,LC2102NI0021
95JJ04,3111,3075,36,1951,176,555,429,1535,1517,18,987,88,258,202,1576,1558,18,964,88,297,227
95JJ05,1835,1672,163,969,127,371,368,880,788,92,426,67,184,203,955,884,71,543,60,187,165
95JJ06,2472,2304,168,1254,252,494,472,1191,1109,82,594,127,243,227,1281,1195,86,660,125,251,245
95JJ07,2665,2580,85,1632,99,593,341,1225,1180,45,729,43,278,175,1440,1400,40,903,56,315,166
95JJ08,3276,3230,46,1665,356,719,536,1573,1553,20,817,146,333,277,1703,1677,26,848,210,386,259
95JJ09,1990,1972,18,1319,68,332,271,1013,1003,10,688,36,162,127,977,969,8,631,32,170,144
95JJ10,2795,2755,40,1189,727,580,299,1412,1388,24,596,384,283,149,1383,1367,16,593,343,297,150
95JJ11,3770,3672,98,1960,315,818,677,1801,1748,53,945,137,375,344,1969,1924,45,1015,178,443,333
95JJ12,2724,2626,98,710,926,731,357,1383,1337,46,357,481,366,179,1341,1289,52,353,445,365,178
95JJ13,3895,3794,101,2299,220,645,731,1940,1887,53,1134,110,324,372,1955,1907,48,1165,110,321,359
95JJ14,2325,2313,12,1501,100,355,369,1158,1154,4,740,50,182,186,1167,1159,8,761,50,173,183
95JJ15,1879,1743,136,825,230,387,437,899,831,68,383,107,181,228,980,912,68,442,123,206,209
95JJ16,1799,1756,43,802,298,436,263,866,841,25,381,139,205,141,933,915,18,421,159,231,122
95JJ17,2455,2448,7,1026,533,626,270,1272,1268,4,541,283,306,142,1183,1180,3,485,250,320,128
95JJ18,2032,1944,88,1062,174,418,378,982,942,40,495,97,203,187,1050,1002,48,567,77,215,191
95JJ19,2942,2893,49,1062,660,748,472,1385,1363,22,503,318,333,231,1557,1530,27,559,342,415,241
95JJ20,4092,4023,69,2299,272,816,705,1975,1946,29,1097,133,394,351,2117,2077,40,1202,139,422,354
95JJ21,2873,2738,135,1429,323,595,526,1324,1262,62,661,133,288,242,1549,1476,73,768,190,307,284
95JJ22,2794,2704,90,1418,249,590,537,1310,1266,44,679,106,271,254,1484,1438,46,739,143,319,283
95KK01,2578,2559,19,154,1342,935,147,1315,1304,11,75,698,467,75,1263,1255,8,79,644,468,72
95KK02,2029,2000,29,973,348,480,228,998,985,13,468,168,233,129,1031,1015,16,505,180,247,99
95KK03,2357,2345,12,200,1306,732,119,1176,1168,8,102,654,356,64,1181,1177,4,98,652,376,55
95KK04,2787,2546,241,551,1018,778,440,1348,1208,140,256,502,352,238,1439,1338,101,295,516,426,202
95KK05,2616,2598,18,360,1188,880,188,1333,1327,6,186,617,429,101,1283,1271,12,174,571,451,87
95KK06,1885,1789,96,694,467,472,252,891,841,50,324,216,222,129,994,948,46,370,251,250,123
95KK07,2045,2032,13,943,446,500,156,1068,1059,9,490,244,258,76,977,973,4,453,202,242,80
95KK08,2646,2580,66,1270,519,582,275,1300,1268,32,612,255,286,147,1346,1312,34,658,264,296,128
95KK09,2187,1892,295,939,290,453,505,1106,939,167,451,149,227,279,1081,953,128,488,141,226,226
95KK10,2181,2178,3,939,530,479,233,1129,1126,3,491,275,250,113,1052,1052,0,448,255,229,120
