GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
95NN22,2144,1712,352,80,1071,847,175,49,1073,865,177,31,1220,960,216,44,609,472,108,29,611,488,108,15,924,752,136,36,462,375,67,20,462,377,69,16
95NN23,2598,2107,425,66,1302,1056,208,38,1296,1051,217,28,1444,1165,250,29,717,577,122,18,727,588,128,11,1154,942,175,37,585,479,86,20,569,463,89,17
95OO01,1890,1505,362,23,982,776,192,14,908,729,170,9,1071,859,205,7,534,431,100,3,537,428,105,4,819,646,157,16,448,345,92,11,371,301,65,5
95OO02,1731,1028,673,30,884,529,340,15,847,499,333,15,948,517,415,16,474,253,212,9,474,264,203,7,783,511,258,14,410,276,128,6,373,235,130,8
95OO03,1998,733,1224,41,1019,389,606,24,979,344,618,17,1144,419,705,20,572,208,353,11,572,211,352,9,854,314,519,21,447,181,253,13,407,133,266,8
95OO04,1897,1345,522,30,949,662,268,19,948,683,254,11,1050,743,294,13,526,373,145,8,524,370,149,5,847,602,228,17,423,289,123,11,424,313,105,6
95OO05,2058,1669,309,80,1045,853,151,41,1013,816,158,39,918,718,155,45,464,362,76,26,454,356,79,19,1140,951,154,35,581,491,75,15,559,460,79,20
95OO06,2190,1274,856,60,1121,656,434,31,1069,618,422,29,1244,702,512,30,621,351,254,16,623,351,258,14,946,572,344,30,500,305,180,15,446,267,164,15
95OO07,1950,971,935,44,994,485,485,24,956,486,450,20,1098,533,540,25,549,262,274,13,549,271,266,12,852,438,395,19,445,223,211,11,407,215,184,8
95OO08,2072,1171,848,53,1056,615,412,29,1016,556,436,24,1222,669,521,32,613,337,259,17,609,332,262,15,850,502,327,21,443,278,153,12,407,224,174,9
95OO09,1711,1073,615,23,857,555,288,14,854,518,327,9,888,532,347,9,445,264,177,4,443,268,170,5,823,541,268,14,412,291,111,10,411,250,157,4
95OO10,2579,2405,151,23,1279,1189,74,16,1300,1216,77,7,1322,1227,80,15,660,616,36,8,662,611,44,7,1257,1178,71,8,619,573,38,8,638,605,33,0
95OO11,1889,1742,112,35,917,836,63,18,972,906,49,17,828,759,51,18,417,376,31,10,411,383,20,8,1061,983,61,17,500,460,32,8,561,523,29,9
95OO12,2066,1457,575,34,1004,687,294,23,1062,770,281,11,1112,745,349,18,555,363,183,9,557,382,166,9,954,712,226,16,449,324,111,14,505,388,115,2
95OO13,2112,891,1123,98,1055,484,517,54,1057,407,606,44,1119,449,621,49,560,225,310,25,559,224,311,24,993,442,502,49,495,259,207,29,498,183,295,20
95OO14,1961,1364,554,43,969,657,281,31,992,707,273,12,1134,755,352,27,568,366,185,17,566,389,167,10,827,609,202,16,401,291,96,14,426,318,106,2
95OO15,1773,1500,227,46,865,736,104,25,908,764,123,21,814,683,106,25,409,339,57,13,405,344,49,12,959,817,121,21,456,397,47,12,503,420,74,9
95OO16,1695,410,1230,55,851,215,604,32,844,195,626,23,942,202,709,31,467,101,347,19,475,101,362,12,753,208,521,24,384,114,257,13,369,94,264,11
95OO17,2105,414,1621,70,1048,209,805,34,1057,205,816,36,1300,246,1015,39,647,121,504,22,653,125,511,17,805,168,606,31,401,88,301,12,404,80,305,19
95OO18,2291,1241,960,90,1153,644,461,48,1138,597,499,42,1204,629,535,40,600,307,270,23,604,322,265,17,1087,612,425,50,553,337,191,25,534,275,234,25
95OO19,2219,1358,803,58,1086,661,392,33,1133,697,411,25,1282,781,479,22,643,383,248,12,639,398,231,10,937,577,324,36,443,278,144,21,494,299,180,15
