GeographyCode,LC2402NI0001,LC2402NI0002,LC2402NI0003,LC2402NI0004,LC2402NI0005,LC2402NI0006,LC2402NI0007,LC2402NI0008,LC2402NI0009,LC2402NI0010,LC2402NI0011,LC2402NI0012,LC2402NI0013,LC2402NI0014,LC2402NI0015,LC2402NI0016
95TT11,3233,2866,343,24,2842,2529,299,14,104,97,5,2,287,240,39,8
95TT12,2641,970,1603,68,2306,919,1345,42,115,1,108,6,220,50,150,20
95TT13,2918,1581,1177,160,1777,988,723,66,440,165,255,20,701,428,199,74
95TT14,2211,1207,889,115,1510,802,642,66,258,137,111,10,443,268,136,39
95TT15,2480,806,1586,88,2028,710,1256,62,168,5,154,9,284,91,176,17
95TT16,2691,1897,757,37,2236,1600,612,24,134,79,55,0,321,218,90,13
95UU01,1097,481,551,65,799,386,365,48,152,40,106,6,146,55,80,11
95UU02,1043,50,953,40,736,41,675,20,171,1,163,7,136,8,115,13
95UU03,802,538,221,43,617,424,169,24,41,30,9,2,144,84,43,17
95UU04,734,42,667,25,323,27,288,8,308,5,290,13,103,10,89,4
95UU05,991,69,882,40,804,59,720,25,92,3,85,4,95,7,77,11
95UU06,1452,1186,209,57,1052,879,152,21,130,108,13,9,270,199,44,27
95UU07,811,89,675,47,682,69,576,37,37,1,35,1,92,19,64,9
95UU08,1205,1118,70,17,940,882,46,12,133,119,13,1,132,117,11,4
95UU09,1688,1549,113,26,1344,1238,90,16,90,86,2,2,254,225,21,8
95UU10,1178,1102,60,16,932,885,38,9,49,44,3,2,197,173,19,5
95UU11,993,894,85,14,785,728,53,4,30,30,0,0,178,136,32,10
