GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
95II22,2248,114,1610,729,378,503,524,414,928,60,636,290,127,219,232,190,803,45,564,261,141,162,194,160,517,9,410,178,110,122,98,64
95II23,2190,870,792,354,217,221,528,378,1062,489,298,153,65,80,275,199,708,262,280,117,85,78,166,121,420,119,214,84,67,63,87,58
95JJ01,2499,546,1645,991,432,222,308,200,1247,285,806,493,199,114,156,111,831,167,558,339,141,78,106,61,421,94,281,159,92,30,46,28
95JJ02,2374,609,1183,529,453,201,582,337,1068,314,487,208,180,99,267,157,847,199,440,211,164,65,208,118,459,96,256,110,109,37,107,62
95JJ03,2470,263,1629,648,765,216,578,381,1079,120,693,293,307,93,266,179,824,93,542,208,266,68,189,134,567,50,394,147,192,55,123,68
95JJ04,3111,472,2180,1261,772,147,459,284,1458,222,1023,592,341,90,213,135,1114,168,767,453,274,40,179,115,539,82,390,216,157,17,67,34
95JJ05,1835,438,986,421,410,155,411,229,639,169,301,136,109,56,169,99,631,168,317,140,135,42,146,85,565,101,368,145,166,57,96,45
95JJ06,2472,909,1050,368,563,119,513,253,980,383,361,134,180,47,236,124,878,339,360,126,197,37,179,90,614,187,329,108,186,35,98,39
95JJ07,2665,525,1633,632,829,172,507,274,1118,228,656,247,339,70,234,122,875,163,549,220,270,59,163,104,672,134,428,165,220,43,110,48
95JJ08,3276,688,1968,963,710,295,620,410,1652,390,945,480,312,153,317,216,1099,219,670,327,240,103,210,138,525,79,353,156,158,39,93,56
95JJ09,1990,82,1572,917,500,155,336,189,906,47,699,403,205,91,160,101,688,26,556,327,192,37,106,59,396,9,317,187,103,27,70,29
95JJ10,2795,1269,1260,732,434,94,266,115,1242,654,472,248,186,38,116,53,1008,418,493,320,142,31,97,44,545,197,295,164,106,25,53,18
95JJ11,3770,714,2240,1036,926,278,816,498,1833,386,1028,462,432,134,419,256,1299,221,806,390,330,86,272,172,638,107,406,184,164,58,125,70
95JJ12,2724,1737,698,427,182,89,289,145,1338,924,278,172,73,33,136,76,854,522,236,144,61,31,96,56,532,291,184,111,48,25,57,13
95JJ13,3895,627,2520,1169,901,450,748,492,1986,355,1267,589,443,235,364,249,1330,201,844,403,297,144,285,187,579,71,409,177,161,71,99,56
95JJ14,2325,218,1776,1017,557,202,331,215,1104,118,837,491,259,87,149,106,797,62,610,342,189,79,125,81,424,38,329,184,109,36,57,28
95JJ15,1879,501,971,433,357,181,407,229,791,237,352,148,117,87,202,116,687,179,379,178,136,65,129,78,401,85,240,107,104,29,76,35
95JJ16,1799,507,831,374,330,127,461,255,718,199,296,135,103,58,223,141,573,168,265,119,113,33,140,74,508,140,270,120,114,36,98,40
95JJ17,2455,1152,1038,695,233,110,265,156,1234,614,491,323,119,49,129,70,787,353,348,239,70,39,86,57,434,185,199,133,44,22,50,29
95JJ18,2032,482,1064,489,425,150,486,302,859,237,400,185,152,63,222,144,675,144,371,168,156,47,160,101,498,101,293,136,117,40,104,57
95JJ19,2942,1045,1324,651,411,262,573,362,1507,626,598,290,186,122,283,185,988,298,478,236,147,95,212,131,447,121,248,125,78,45,78,46
95JJ20,4092,787,2629,1191,1077,361,676,461,1994,389,1237,542,504,191,368,264,1427,259,954,455,380,119,214,137,671,139,438,194,193,51,94,60
95JJ21,2873,582,1657,610,726,321,634,430,1261,274,692,254,263,175,295,198,1000,211,568,209,265,94,221,159,612,97,397,147,198,52,118,73
95JJ22,2794,621,1670,830,547,293,503,358,1422,322,847,413,251,183,253,195,932,225,544,279,194,71,163,117,440,74,279,138,102,39,87,46
95KK01,2578,2360,71,19,35,17,147,21,1255,1152,35,5,22,8,68,8,702,639,24,9,9,6,39,8,621,569,12,5,4,3,40,5
95KK02,2029,651,1102,419,467,216,276,117,831,228,454,196,158,100,149,77,710,235,398,142,190,66,77,27,488,188,250,81,119,50,50,13
95KK03,2357,2059,125,48,52,25,173,29,1150,1007,57,19,21,17,86,16,746,652,42,14,23,5,52,10,461,400,26,15,8,3,35,3
95KK04,2787,1949,380,112,188,80,458,202,1366,1002,139,35,79,25,225,94,866,566,146,45,58,43,154,72,555,381,95,32,51,12,79,36
95KK05,2616,2084,287,124,73,90,245,41,1288,1022,162,74,33,55,104,13,799,624,85,29,33,23,90,20,529,438,40,21,7,12,51,8
95KK06,1885,940,692,217,377,98,253,103,784,461,223,69,119,35,100,44,601,286,233,77,130,26,82,32,500,193,236,71,128,37,71,27
95KK07,2045,832,1077,540,335,202,136,52,957,431,453,190,153,110,73,25,690,263,389,216,102,71,38,18,398,138,235,134,80,21,25,9
95KK08,2646,994,1364,482,643,239,288,133,1286,533,603,194,288,121,150,66,809,276,451,179,201,71,82,43,551,185,310,109,154,47,56,24
95KK09,2187,819,1034,399,416,219,334,178,854,360,353,128,129,96,141,75,748,266,361,149,148,64,121,74,585,193,320,122,139,59,72,29
95KK10,2181,852,1142,461,477,204,187,65,1115,490,539,217,235,87,86,33,698,238,391,156,144,91,69,24,368,124,212,88,98,26,32,8
95KK11,2373,669,1363,416,667,280,341,185,959,312,505,145,252,108,142,87,796,216,465,161,220,84,115,55,618,141,393,110,195,88,84,43
95KK12,2309,1742,361,197,140,24,206,58,1166,892,171,102,58,11,103,28,676,495,116,60,50,6,65,21,467,355,74,35,32,7,38,9
95KK13,1817,252,1328,498,624,206,237,126,890,146,634,223,312,99,110,64,546,62,403,163,175,65,81,47,381,44,291,112,137,42,46,15
