GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95YY06,2282,2241,3,6,2,0,9,2,1,2,0,0,11,5,98.20,0.13,0.26,0.09,0,0.39,0.09,0.04,0.09,0,0,0.48,0.22
95YY07,2774,2715,19,15,14,0,0,0,0,0,0,0,4,7,97.87,0.68,0.54,0.50,0,0,0,0,0,0,0,0.14,0.25
95YY08,2136,2109,1,0,4,0,2,0,0,0,0,0,13,7,98.74,0.05,0,0.19,0,0.09,0,0,0,0,0,0.61,0.33
95YY09,2249,2093,61,0,1,1,12,9,11,2,4,0,36,19,93.06,2.71,0,0.04,0.04,0.53,0.40,0.49,0.09,0.18,0,1.60,0.84
95YY10,2090,2083,0,0,4,0,0,0,0,0,0,0,0,3,99.67,0,0,0.19,0,0,0,0,0,0,0,0,0.14
95YY11,1971,1918,41,6,1,0,0,0,0,0,2,0,1,2,97.31,2.08,0.30,0.05,0,0,0,0,0,0.10,0,0.05,0.10
95YY12,2711,2639,44,5,1,0,4,1,0,0,6,0,5,6,97.34,1.62,0.18,0.04,0,0.15,0.04,0,0,0.22,0,0.18,0.22
95YY13,2692,2578,60,10,6,1,4,0,7,0,7,0,8,11,95.77,2.23,0.37,0.22,0.04,0.15,0,0.26,0,0.26,0,0.30,0.41
95YY14,2966,2889,35,8,8,2,2,0,0,1,0,0,12,9,97.40,1.18,0.27,0.27,0.07,0.07,0,0,0.03,0,0,0.40,0.30
95YY15,1898,1744,77,16,9,4,11,0,4,10,2,0,15,6,91.89,4.06,0.84,0.47,0.21,0.58,0,0.21,0.53,0.11,0,0.79,0.32
95YY16,2304,2285,8,7,0,2,0,0,0,2,0,0,0,0,99.18,0.35,0.30,0,0.09,0,0,0,0.09,0,0,0,0
95YY17,2243,2226,0,2,6,0,0,0,0,0,6,3,0,0,99.24,0,0.09,0.27,0,0,0,0,0,0.27,0.13,0,0
95YY18,2256,2217,15,0,12,4,5,0,0,0,1,0,1,1,98.27,0.66,0,0.53,0.18,0.22,0,0,0,0.04,0,0.04,0.04
95YY19,1438,1302,58,0,3,0,16,4,0,8,15,0,23,9,90.54,4.03,0,0.21,0,1.11,0.28,0,0.56,1.04,0,1.60,0.63
95YY20,2238,2202,6,3,18,0,0,0,1,2,0,5,1,0,98.39,0.27,0.13,0.80,0,0,0,0.04,0.09,0,0.22,0.04,0
95YY21,2317,2306,0,0,2,0,0,0,1,0,0,2,3,3,99.53,0,0,0.09,0,0,0,0.04,0,0,0.09,0.13,0.13
95ZZ01,2660,2632,0,0,17,0,0,2,2,0,0,0,1,6,98.95,0,0,0.64,0,0,0.08,0.08,0,0,0,0.04,0.23
95ZZ02,1762,1741,1,0,15,0,0,0,0,0,0,0,2,3,98.81,0.06,0,0.85,0,0,0,0,0,0,0,0.11,0.17
95ZZ03,2027,1939,7,2,4,0,0,0,8,8,1,9,42,7,95.66,0.35,0.10,0.20,0,0,0,0.39,0.39,0.05,0.44,2.07,0.35
95ZZ04,2563,2540,1,0,3,0,0,1,0,0,6,1,1,10,99.10,0.04,0,0.12,0,0,0.04,0,0,0.23,0.04,0.04,0.39
95ZZ05,2100,2097,0,0,0,0,0,0,0,0,0,0,0,3,99.86,0,0,0,0,0,0,0,0,0,0,0,0.14
95ZZ06,1649,1625,0,0,13,0,0,0,0,2,0,0,1,8,98.54,0,0,0.79,0,0,0,0,0.12,0,0,0.06,0.49
95ZZ07,2670,2657,1,0,5,2,0,3,0,0,0,0,1,1,99.51,0.04,0,0.19,0.07,0,0.11,0,0,0,0,0.04,0.04
95ZZ08,2475,2456,2,0,2,0,1,0,0,1,1,0,7,5,99.23,0.08,0,0.08,0,0.04,0,0,0.04,0.04,0,0.28,0.20
95ZZ09,2185,2155,15,3,0,0,0,0,0,0,6,0,0,6,98.63,0.69,0.14,0,0,0,0,0,0,0.27,0,0,0.27
95ZZ10,3030,2981,11,2,19,0,0,0,0,0,0,0,0,17,98.38,0.36,0.07,0.63,0,0,0,0,0,0,0,0,0.56
95ZZ11,2136,2126,0,0,4,0,0,0,0,0,0,0,0,6,99.53,0,0,0.19,0,0,0,0,0,0,0,0,0.28
95ZZ12,2103,2093,3,0,6,0,0,0,1,0,0,0,0,0,99.52,0.14,0,0.29,0,0,0,0.05,0,0,0,0,0
95ZZ13,2417,2395,6,1,5,0,0,4,0,0,0,0,0,6,99.09,0.25,0.04,0.21,0,0,0.17,0,0,0,0,0,0.25
95ZZ14,3106,2948,133,0,18,0,0,0,0,0,0,0,0,7,94.91,4.28,0,0.58,0,0,0,0,0,0,0,0,0.23
95ZZ15,2201,2195,2,0,2,0,0,0,0,0,0,0,0,2,99.73,0.09,0,0.09,0,0,0,0,0,0,0,0,0.09
95ZZ16,3125,3101,10,0,5,0,0,3,0,0,0,0,2,4,99.23,0.32,0,0.16,0,0,0.10,0,0,0,0,0.06,0.13
