GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
95QQ08,1070,143,361,30,52,25,222,52,45,117,23,92,19,9,13,19,13.36,33.74,2.80,4.86,2.34,20.75,4.86,4.21,10.93,2.15,8.60,36.54,17.31,25.00,36.54
95QQ09,1363,160,476,92,53,38,317,65,36,95,31,207,13,20,4,26,11.74,34.92,6.75,3.89,2.79,23.26,4.77,2.64,6.97,2.27,15.19,24.53,37.74,7.55,49.06
95QQ10,1326,181,468,214,41,35,181,70,55,58,23,232,10,4,3,22,13.65,35.29,16.14,3.09,2.64,13.65,5.28,4.15,4.37,1.73,17.50,24.39,9.76,7.32,53.66
95QQ11,1481,209,564,194,45,43,216,73,43,64,30,241,11,19,6,19,14.11,38.08,13.10,3.04,2.90,14.58,4.93,2.90,4.32,2.03,16.27,24.44,42.22,13.33,42.22
95QQ12,1321,163,511,88,74,41,223,56,39,100,26,209,20,18,5,30,12.34,38.68,6.66,5.60,3.10,16.88,4.24,2.95,7.57,1.97,15.82,27.03,24.32,6.76,40.54
95QQ13,1949,238,751,238,66,53,330,88,72,81,32,366,15,16,4,30,12.21,38.53,12.21,3.39,2.72,16.93,4.52,3.69,4.16,1.64,18.78,22.73,24.24,6.06,45.45
95QQ14,3892,541,1856,405,123,119,345,174,125,144,60,567,53,11,23,45,13.90,47.69,10.41,3.16,3.06,8.86,4.47,3.21,3.70,1.54,14.57,43.09,8.94,18.70,36.59
95QQ15,1179,163,447,64,57,30,213,42,43,74,46,124,16,18,8,23,13.83,37.91,5.43,4.83,2.54,18.07,3.56,3.65,6.28,3.90,10.52,28.07,31.58,14.04,40.35
95RR01,3078,421,1145,306,182,99,289,224,153,183,76,432,55,21,31,80,13.68,37.20,9.94,5.91,3.22,9.39,7.28,4.97,5.95,2.47,14.04,30.22,11.54,17.03,43.96
95RR02,1321,149,387,131,97,46,199,85,62,112,53,175,29,14,15,47,11.28,29.30,9.92,7.34,3.48,15.06,6.43,4.69,8.48,4.01,13.25,29.90,14.43,15.46,48.45
