GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95HH04,1160,91,480,442,117,30,1840,7.84,41.38,38.10,10.09,2.59
95HH05,908,333,412,143,15,5,765,36.67,45.37,15.75,1.65,0.55
95HH06,1682,153,625,709,152,43,2690,9.10,37.16,42.15,9.04,2.56
95HH07,733,276,329,109,15,4,609,37.65,44.88,14.87,2.05,0.55
95HH08,1083,137,457,370,84,35,1597,12.65,42.20,34.16,7.76,3.23
95HH09,1423,561,650,190,16,6,1106,39.42,45.68,13.35,1.12,0.42
95HH10,945,93,338,405,83,26,1512,9.84,35.77,42.86,8.78,2.75
95HH11,655,255,320,67,11,2,495,38.93,48.85,10.23,1.68,0.31
95HH12,626,112,294,181,32,7,785,17.89,46.96,28.91,5.11,1.12
95HH13,614,243,293,66,10,2,463,39.58,47.72,10.75,1.63,0.33
95HH14,764,309,343,91,19,2,591,40.45,44.90,11.91,2.49,0.26
95HH15,1083,279,463,251,65,25,1262,25.76,42.75,23.18,6.00,2.31
95HH16,917,159,421,251,70,16,1216,17.34,45.91,27.37,7.63,1.74
95HH17,928,72,370,350,93,43,1534,7.76,39.87,37.72,10.02,4.63
95II01,1260,104,522,459,136,39,2016,8.25,41.43,36.43,10.79,3.10
95II02,1911,336,798,644,112,21,2514,17.58,41.76,33.70,5.86,1.10
95II03,1304,83,545,582,71,23,2018,6.37,41.79,44.63,5.44,1.76
95II04,1672,297,713,545,90,27,2190,17.76,42.64,32.60,5.38,1.61
95II05,1301,151,569,447,101,33,1909,11.61,43.74,34.36,7.76,2.54
95II06,1285,97,529,524,108,27,2030,7.55,41.17,40.78,8.40,2.10
95II07,991,423,423,130,11,4,737,42.68,42.68,13.12,1.11,0.40
95II08,1073,273,509,247,36,8,1143,25.44,47.44,23.02,3.36,0.75
95II09,1417,213,662,442,85,15,1875,15.03,46.72,31.19,6.00,1.06
95II10,1144,369,534,199,38,4,1066,32.26,46.68,17.40,3.32,0.35
95II11,1055,129,502,351,55,18,1447,12.23,47.58,33.27,5.21,1.71
95II12,1007,90,455,378,68,16,1507,8.94,45.18,37.54,6.75,1.59
95II13,1253,368,614,231,32,8,1208,29.37,49.00,18.44,2.55,0.64
