GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95EE07,1798,272,771,271,13,200,17,173,81,15.13,42.88,15.07,0.72,11.12,0.95,9.62,4.51
95EE08,1719,245,748,264,16,157,21,175,93,14.25,43.51,15.36,0.93,9.13,1.22,10.18,5.41
95EE09,1890,602,697,146,7,179,10,145,104,31.85,36.88,7.72,0.37,9.47,0.53,7.67,5.50
95EE10,1797,1011,426,59,5,117,9,75,95,56.26,23.71,3.28,0.28,6.51,0.50,4.17,5.29
95EE11,1677,561,621,158,5,142,9,118,63,33.45,37.03,9.42,0.30,8.47,0.54,7.04,3.76
95EE12,2507,285,997,539,18,248,11,261,148,11.37,39.77,21.50,0.72,9.89,0.44,10.41,5.90
95EE13,1529,307,548,224,17,183,12,152,86,20.08,35.84,14.65,1.11,11.97,0.78,9.94,5.62
95EE14,2684,343,1118,448,15,307,24,296,133,12.78,41.65,16.69,0.56,11.44,0.89,11.03,4.96
95EE15,1728,337,739,282,4,112,12,166,76,19.50,42.77,16.32,0.23,6.48,0.69,9.61,4.40
95EE16,2126,552,843,199,21,238,10,156,107,25.96,39.65,9.36,0.99,11.19,0.47,7.34,5.03
95FF01,4796,1353,1274,931,92,374,40,534,198,28.21,26.56,19.41,1.92,7.80,0.83,11.13,4.13
95FF02,2817,1519,642,230,19,134,5,152,116,53.92,22.79,8.16,0.67,4.76,0.18,5.40,4.12
95FF03,3006,1038,636,558,52,193,18,356,155,34.53,21.16,18.56,1.73,6.42,0.60,11.84,5.16
95FF04,2629,926,923,246,26,196,15,174,123,35.22,35.11,9.36,0.99,7.46,0.57,6.62,4.68
95FF05,2563,419,720,508,94,304,28,338,152,16.35,28.09,19.82,3.67,11.86,1.09,13.19,5.93
95FF06,4116,500,1250,859,152,506,36,583,230,12.15,30.37,20.87,3.69,12.29,0.87,14.16,5.59
95FF07,2769,1232,428,477,45,111,11,274,191,44.49,15.46,17.23,1.63,4.01,0.40,9.90,6.90
95FF08,2364,591,697,496,59,198,8,203,112,25.00,29.48,20.98,2.50,8.38,0.34,8.59,4.74
