GeographyCode,KS501NI0001,KS501NI0002,KS501NI0003,KS501NI0004,KS501NI0005,KS501NI0006,KS501NI0007,KS501NI0008,KS501NI0009,KS501NI0010,KS501NI0011,KS501NI0012,KS501NI0013,KS501NI0014,KS501NI0015,KS501NI0016,KS501NI0017,KS501NI0018,KS501NI0019,KS501NI0020,KS501NI0021,KS501NI0022,KS501NI0023
95GG12,8071,927,496,720,80,3172,2332,344,101,3734,1845,255,1634,11.49,6.15,8.92,0.99,39.30,28.89,4.26,49.41,6.83,43.76
95GG13,3820,1207,415,486,133,424,1042,113,109,168,66,17,85,31.60,10.86,12.72,3.48,11.10,27.28,2.96,39.29,10.12,50.60
95GG14,3890,648,368,579,136,540,1522,97,161,248,115,11,122,16.66,9.46,14.88,3.50,13.88,39.13,2.49,46.37,4.44,49.19
95GG15,4901,978,405,649,171,558,1964,176,136,166,68,11,87,19.96,8.26,13.24,3.49,11.39,40.07,3.59,40.96,6.63,52.41
95GG16,4343,1104,474,618,132,546,1311,158,149,238,91,26,121,25.42,10.91,14.23,3.04,12.57,30.19,3.64,38.24,10.92,50.84
95GG17,4048,1339,609,672,151,455,698,124,143,226,90,20,116,33.08,15.04,16.60,3.73,11.24,17.24,3.06,39.82,8.85,51.33
95GG18,3841,1604,549,582,110,371,503,122,121,200,79,17,104,41.76,14.29,15.15,2.86,9.66,13.10,3.18,39.50,8.50,52.00
95GG19,3619,2062,487,397,101,263,186,123,117,115,41,16,58,56.98,13.46,10.97,2.79,7.27,5.14,3.40,35.65,13.91,50.43
95GG20,3992,1655,511,470,107,377,707,165,107,193,84,23,86,41.46,12.80,11.77,2.68,9.44,17.71,4.13,43.52,11.92,44.56
95GG21,4134,2077,548,466,108,336,432,167,130,226,79,22,125,50.24,13.26,11.27,2.61,8.13,10.45,4.04,34.96,9.73,55.31
95GG22,4400,1468,561,657,193,503,900,118,135,261,110,30,121,33.36,12.75,14.93,4.39,11.43,20.45,2.68,42.15,11.49,46.36
95GG23,3766,768,323,477,158,476,1432,132,109,222,106,21,95,20.39,8.58,12.67,4.20,12.64,38.02,3.51,47.75,9.46,42.79
95GG24,3756,1123,395,487,160,405,1022,164,101,154,86,5,63,29.90,10.52,12.97,4.26,10.78,27.21,4.37,55.84,3.25,40.91
95GG25,4483,1562,604,759,183,572,703,100,189,301,124,38,139,34.84,13.47,16.93,4.08,12.76,15.68,2.23,41.20,12.62,46.18
95GG26,2990,1436,392,428,137,262,227,108,102,100,38,11,51,48.03,13.11,14.31,4.58,8.76,7.59,3.61,38.00,11.00,51.00
95GG27,5057,1845,762,815,199,619,706,111,218,330,138,34,158,36.48,15.07,16.12,3.94,12.24,13.96,2.19,41.82,10.30,47.88
95GG28,4393,1662,624,635,223,514,585,150,134,174,76,11,87,37.83,14.20,14.45,5.08,11.70,13.32,3.41,43.68,6.32,50.00
95GG29,3992,1375,390,463,133,380,1009,242,90,130,62,8,60,34.44,9.77,11.60,3.33,9.52,25.28,6.06,47.69,6.15,46.15
95GG30,3947,1064,403,545,234,464,1117,120,130,165,86,9,70,26.96,10.21,13.81,5.93,11.76,28.30,3.04,52.12,5.45,42.42
95GG31,5115,1605,697,837,241,603,984,148,239,324,131,38,155,31.38,13.63,16.36,4.71,11.79,19.24,2.89,40.43,11.73,47.84
95GG32,4915,1701,672,759,191,566,832,194,170,237,100,16,121,34.61,13.67,15.44,3.89,11.52,16.93,3.95,42.19,6.75,51.05
95GG33,4534,373,189,463,54,491,2843,121,173,329,115,7,207,8.23,4.17,10.21,1.19,10.83,62.70,2.67,34.95,2.13,62.92
95GG34,4057,910,391,493,153,503,1461,146,130,246,113,20,113,22.43,9.64,12.15,3.77,12.40,36.01,3.60,45.93,8.13,45.93
95GG35,3931,2066,458,477,93,303,424,110,112,175,80,22,73,52.56,11.65,12.13,2.37,7.71,10.79,2.80,45.71,12.57,41.71
95GG36,4625,1073,518,632,271,568,1371,192,97,183,82,15,86,23.20,11.20,13.66,5.86,12.28,29.64,4.15,44.81,8.20,46.99
95GG37,5118,825,350,509,155,517,2519,243,107,230,104,14,112,16.12,6.84,9.95,3.03,10.10,49.22,4.75,45.22,6.09,48.70
95GG38,5511,873,308,528,111,507,3025,159,140,294,128,13,153,15.84,5.59,9.58,2.01,9.20,54.89,2.89,43.54,4.42,52.04
95GG39,6134,2160,511,565,139,709,1702,348,129,602,267,55,280,35.21,8.33,9.21,2.27,11.56,27.75,5.67,44.35,9.14,46.51
95GG40,3020,1696,338,343,89,230,237,87,100,101,42,7,52,56.16,11.19,11.36,2.95,7.62,7.85,2.88,41.58,6.93,51.49
95GG41,4523,647,329,608,107,512,2183,137,150,236,77,9,150,14.30,7.27,13.44,2.37,11.32,48.26,3.03,32.63,3.81,63.56
95GG42,7120,424,241,633,60,2378,3148,236,147,2700,1136,251,1313,5.96,3.38,8.89,0.84,33.40,44.21,3.31,42.07,9.30,48.63
95GG43,4087,1314,479,497,193,451,944,209,83,143,82,2,59,32.15,11.72,12.16,4.72,11.03,23.10,5.11,57.34,1.40,41.26
95GG44,4484,1737,516,515,188,447,775,306,104,209,107,23,79,38.74,11.51,11.49,4.19,9.97,17.28,6.82,51.20,11.00,37.80
95GG45,3956,1016,378,437,119,374,1486,146,117,210,71,18,121,25.68,9.56,11.05,3.01,9.45,37.56,3.69,33.81,8.57,57.62
95GG46,4092,1999,577,566,107,398,322,123,171,269,100,38,131,48.85,14.10,13.83,2.61,9.73,7.87,3.01,37.17,14.13,48.70
95GG47,4629,1796,667,639,145,468,747,167,177,246,102,26,118,38.80,14.41,13.80,3.13,10.11,16.14,3.61,41.46,10.57,47.97
95GG48,4142,2107,598,536,83,387,327,104,201,264,78,23,163,50.87,14.44,12.94,2.00,9.34,7.89,2.51,29.55,8.71,61.74
95GG49,7475,653,307,571,82,2487,3037,338,54,2957,1181,167,1609,8.74,4.11,7.64,1.10,33.27,40.63,4.52,39.94,5.65,54.41
95GG50,4477,1514,601,519,122,429,1015,277,100,179,74,20,85,33.82,13.42,11.59,2.73,9.58,22.67,6.19,41.34,11.17,47.49
95GG51,3319,1697,489,365,137,259,238,134,103,87,36,6,45,51.13,14.73,11.00,4.13,7.80,7.17,4.04,41.38,6.90,51.72
95HH01,1711,435,174,268,82,188,487,77,49,59,22,3,34,25.42,10.17,15.66,4.79,10.99,28.46,4.50,37.29,5.08,57.63
95HH02,2293,382,327,421,124,380,587,72,97,142,67,14,61,16.66,14.26,18.36,5.41,16.57,25.60,3.14,47.18,9.86,42.96
95HH03,1404,362,148,191,102,154,397,50,31,42,18,4,20,25.78,10.54,13.60,7.26,10.97,28.28,3.56,42.86,9.52,47.62
