GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
95JJ17,824,375,426,5,18,161,72,86,0,3,88,36,50,0,2,73,36,36,0,1,585,267,302,4,12,54,18,35,1,0,442,204,227,3,8,106,37,65,1,3,236,117,114,1,4,100,50,48,1,1,17,6,8,0,3,11,4,5,0,2,5,2,2,0,1,1,0,1,0,0,72,39,32,0,1,27,17,9,0,1,45,22,23,0,0,78,36,38,1,3,40,18,19,1,2,0,0,0,0,0,8,4,4,0,0,30,14,15,0,1
95JJ18,975,237,666,11,61,464,102,329,8,25,182,31,147,1,3,282,71,182,7,22,445,120,295,3,27,76,15,59,0,2,229,63,154,1,11,84,16,59,1,8,96,33,61,0,2,49,14,34,0,1,58,11,40,1,6,38,8,26,1,3,19,3,13,0,3,1,0,1,0,0,82,31,42,1,8,54,23,24,1,6,28,8,18,0,2,66,15,42,0,9,22,5,17,0,0,3,1,0,0,2,1,0,1,0,0,40,9,24,0,7
95JJ19,1128,394,680,9,45,300,88,200,3,9,157,29,126,1,1,143,59,74,2,8,595,223,357,6,9,136,31,105,0,0,341,145,187,5,4,119,35,83,1,0,153,71,76,4,2,69,39,28,0,2,46,18,25,0,3,30,14,13,0,3,15,3,12,0,0,1,1,0,0,0,72,29,40,1,2,41,20,20,0,1,31,9,20,1,1,233,83,123,0,27,18,5,13,0,0,162,55,83,0,24,1,0,1,0,0,52,23,26,0,3
95JJ20,1618,348,1213,12,45,388,90,285,2,11,141,23,117,0,1,247,67,168,2,10,1169,246,882,8,33,133,26,106,1,0,720,145,550,5,20,215,38,171,0,6,374,84,273,4,13,131,23,106,1,1,108,29,74,0,5,62,15,46,0,1,38,11,23,0,4,8,3,5,0,0,208,46,152,2,8,127,31,89,1,6,81,15,63,1,2,61,12,46,2,1,25,8,17,0,0,0,0,0,0,0,4,2,2,0,0,32,2,27,2,1
95JJ21,962,192,726,12,32,289,61,220,2,6,126,21,102,2,1,163,40,118,0,5,556,108,418,7,23,54,8,46,0,0,300,56,227,3,14,108,21,79,1,7,129,24,96,2,7,63,11,52,0,0,57,19,32,0,6,26,9,13,0,4,28,10,16,0,2,3,0,3,0,0,145,25,113,4,3,88,16,65,4,3,57,9,48,0,0,117,23,88,3,3,17,3,14,0,0,24,3,20,0,1,8,1,7,0,0,68,16,47,3,2
95JJ22,1088,270,762,21,35,244,49,188,2,5,132,27,105,0,0,112,22,83,2,5,785,202,540,15,28,118,21,95,1,1,521,131,362,10,18,190,50,128,4,8,244,59,170,5,10,87,22,64,1,0,50,15,29,1,5,25,7,14,1,3,22,7,14,0,1,3,1,1,0,1,96,35,54,3,4,60,22,31,3,4,36,13,23,0,0,59,19,34,4,2,28,10,14,3,1,1,0,0,0,1,8,0,8,0,0,22,9,12,1,0
95KK01,836,781,50,3,2,172,154,17,0,1,72,64,8,0,0,100,90,9,0,1,603,574,25,3,1,41,40,1,0,0,439,422,14,3,0,82,77,4,1,0,257,248,8,1,0,100,97,2,1,0,25,21,4,0,0,10,9,1,0,0,13,10,3,0,0,2,2,0,0,0,98,91,6,0,1,55,49,5,0,1,43,42,1,0,0,61,53,8,0,0,28,26,2,0,0,0,0,0,0,0,4,4,0,0,0,29,23,6,0,0
95KK02,722,244,455,15,8,164,60,101,3,0,85,31,52,2,0,79,29,49,1,0,509,163,327,11,8,45,12,32,1,0,356,107,234,9,6,84,23,57,2,2,190,52,128,7,3,82,32,49,0,1,33,14,17,1,1,22,11,9,1,1,10,2,8,0,0,1,1,0,0,0,75,30,44,0,1,38,14,23,0,1,37,16,21,0,0,49,21,27,1,0,18,7,11,0,0,0,0,0,0,0,9,3,6,0,0,22,11,10,1,0
95KK03,704,639,60,1,4,130,118,11,0,1,67,62,5,0,0,63,56,6,0,1,515,469,42,1,3,25,22,3,0,0,396,368,28,0,0,58,52,6,0,0,242,227,15,0,0,96,89,7,0,0,27,21,3,0,3,15,13,1,0,1,10,6,2,0,2,2,2,0,0,0,67,58,8,1,0,30,23,6,1,0,37,35,2,0,0,59,52,7,0,0,24,22,2,0,0,0,0,0,0,0,5,5,0,0,0,30,25,5,0,0
95KK04,974,743,192,6,33,188,137,47,1,3,61,41,20,0,0,127,96,27,1,3,705,542,133,4,26,38,26,10,2,0,408,314,77,2,15,89,69,18,1,1,235,187,35,0,13,84,58,24,1,1,67,54,6,0,7,23,16,4,0,3,41,35,2,0,4,3,3,0,0,0,192,148,40,0,4,133,102,28,0,3,59,46,12,0,1,81,64,12,1,4,32,24,5,0,3,0,0,0,0,0,2,2,0,0,0,47,38,7,1,1
