GeographyCode,DC2421NI0001,DC2421NI0002,DC2421NI0003,DC2421NI0004,DC2421NI0005,DC2421NI0006,DC2421NI0007,DC2421NI0008,DC2421NI0009,DC2421NI0010,DC2421NI0011,DC2421NI0012,DC2421NI0013,DC2421NI0014,DC2421NI0015,DC2421NI0016,DC2421NI0017,DC2421NI0018,DC2421NI0019,DC2421NI0020,DC2421NI0021,DC2421NI0022,DC2421NI0023,DC2421NI0024,DC2421NI0025,DC2421NI0026,DC2421NI0027,DC2421NI0028,DC2421NI0029,DC2421NI0030,DC2421NI0031,DC2421NI0032,DC2421NI0033,DC2421NI0034,DC2421NI0035
95GG35,2244,2019,171,14,40,897,817,63,3,14,634,576,45,3,10,351,318,22,5,6,229,190,32,1,6,133,118,9,2,4,2.17,2.14,2.33,2.79,2.60
95GG36,2481,258,2044,28,151,840,64,722,9,45,754,83,614,7,50,430,55,338,6,31,340,38,278,5,19,117,18,92,1,6,2.26,2.50,2.23,2.36,2.29
95GG37,2687,993,1422,50,222,931,288,561,16,66,920,351,469,18,82,402,159,198,9,36,309,125,149,5,30,125,70,45,2,8,2.19,2.36,2.06,2.24,2.28
95GG38,2915,1618,1073,53,171,1099,560,478,18,43,893,482,337,11,63,420,241,138,9,32,333,213,89,7,24,170,122,31,8,9,2.19,2.32,1.94,2.60,2.38
95GG39,3616,1240,1834,209,333,1667,545,916,67,139,1025,373,484,57,111,498,156,239,63,40,246,93,114,18,21,180,73,81,4,22,1.98,2.04,1.91,2.22,2.04
95GG40,1861,97,1660,13,91,856,30,787,4,35,503,24,454,4,21,273,21,231,3,18,153,9,131,2,11,76,13,57,0,6,1.99,2.57,1.93,2.23,2.36
95GG41,2173,257,1778,20,118,605,44,518,6,37,747,68,641,4,34,316,54,237,4,21,339,55,263,3,18,166,36,119,3,8,2.43,2.93,2.35,2.85,2.40
95GG42,2606,1174,1139,79,214,741,308,359,21,53,799,329,398,21,51,403,184,160,17,42,385,190,142,15,38,278,163,80,5,30,2.53,2.70,2.31,2.58,2.76
95GG43,2316,193,1892,35,196,889,68,750,9,62,800,57,659,10,74,320,29,248,11,32,227,28,177,4,18,80,11,58,1,10,2.07,2.32,2.02,2.37,2.19
95GG44,2705,369,1996,42,298,1151,91,924,23,113,811,130,587,9,85,398,89,252,6,51,204,32,137,4,31,141,27,96,0,18,2.07,2.46,1.98,1.79,2.23
95GG45,2129,578,1393,41,117,712,172,495,11,34,698,176,475,11,36,349,93,225,7,24,233,77,129,7,20,137,60,69,5,3,2.26,2.47,2.16,2.73,2.34
95GG46,1932,1820,80,4,28,485,452,22,2,9,536,520,14,0,2,364,342,11,1,10,310,286,21,0,3,237,220,12,1,4,2.69,2.68,2.99,3.00,2.75
95GG47,2641,2332,194,26,89,1159,1039,80,10,30,647,564,50,6,27,372,331,25,1,15,251,218,18,5,10,212,180,21,4,7,2.18,2.16,2.30,2.50,2.33
95GG48,2051,1913,93,9,36,478,454,16,0,8,567,537,15,3,12,458,430,18,1,9,286,262,20,3,1,262,230,24,2,6,2.73,2.69,3.51,3.44,2.67
95GG49,3351,1470,1352,160,369,1134,464,526,41,103,1009,494,345,38,132,518,209,208,33,68,376,172,125,31,48,314,131,148,17,18,2.40,2.37,2.41,2.70,2.34
95GG50,2653,469,1827,68,289,1090,162,822,21,85,839,163,544,19,113,387,68,249,17,53,220,54,136,8,22,117,22,76,3,16,2.05,2.19,1.98,2.32,2.22
95GG51,2081,105,1875,11,90,943,33,867,6,37,622,31,564,1,26,276,22,241,1,12,170,12,146,1,11,70,7,57,2,4,1.96,2.37,1.92,2.27,2.16
95HH01,890,138,681,10,61,292,43,222,5,22,310,42,251,3,14,144,26,107,0,11,95,20,65,1,9,49,7,36,1,5,2.23,2.32,2.20,2.00,2.36
95HH02,1063,73,915,11,64,172,9,153,6,4,336,15,294,3,24,219,21,179,1,18,246,20,210,1,15,90,8,79,0,3,2.79,3.12,2.77,1.73,2.86
95HH03,726,69,620,4,33,207,18,175,3,11,282,24,246,1,11,116,15,96,0,5,80,8,69,0,3,41,4,34,0,3,2.29,2.36,2.29,1.25,2.27
95HH04,1160,73,1011,14,62,214,12,184,5,13,385,25,341,3,16,248,11,218,1,18,239,14,208,4,13,74,11,60,1,2,2.64,2.86,2.63,2.50,2.61
95HH05,908,55,779,3,71,254,11,220,1,22,297,18,258,1,20,184,12,158,0,14,114,9,94,1,10,59,5,49,0,5,2.39,2.69,2.37,2.33,2.41
95HH06,1682,121,1446,13,102,302,21,259,1,21,476,27,410,3,36,308,29,263,1,15,413,24,364,6,19,183,20,150,2,11,2.85,3.02,2.84,3.46,2.67
95HH07,733,57,609,8,59,313,19,264,4,26,215,20,176,1,18,114,7,96,2,9,55,6,45,1,3,36,5,28,0,3,2.04,2.28,2.02,2.00,1.98
95HH08,1083,150,851,13,69,310,29,255,5,21,378,45,312,1,20,173,41,119,1,12,162,21,124,3,14,60,14,41,3,2,2.36,2.69,2.29,2.85,2.36
95HH09,1423,202,1072,25,124,731,95,576,14,46,418,54,310,5,49,163,27,114,3,19,80,17,53,3,7,31,9,19,0,3,1.79,1.97,1.73,1.80,1.97
95HH10,945,98,777,9,61,188,25,144,5,14,330,27,286,2,15,182,16,147,1,18,159,19,129,1,10,86,11,71,0,4,2.63,2.67,2.64,1.78,2.61
95HH11,655,34,571,4,46,252,10,228,2,12,211,15,187,1,8,106,2,93,0,11,60,4,43,1,12,26,3,20,0,3,2.09,2.29,2.02,2.00,2.72
95HH12,626,40,534,3,49,130,6,116,0,8,248,17,215,1,15,136,10,113,1,12,63,5,52,0,6,49,2,38,1,8,2.48,2.53,2.44,3.33,2.86
95HH13,614,35,524,4,51,188,14,156,4,14,208,7,187,0,14,108,4,91,0,13,78,9,61,0,8,32,1,29,0,2,2.29,2.31,2.29,1.00,2.41
95HH14,764,76,640,4,44,319,29,279,1,10,250,23,210,1,16,111,12,87,2,10,52,9,41,0,2,32,3,23,0,6,2.00,2.18,1.94,2.25,2.52
95HH15,1083,113,895,16,59,334,35,282,6,11,346,32,290,7,17,155,14,127,1,13,172,20,137,1,14,76,12,59,1,4,2.39,2.53,2.35,2.00,2.73
95HH16,917,151,683,16,67,286,48,214,4,20,291,41,226,4,20,159,28,116,1,14,118,25,81,4,8,63,9,46,3,5,2.35,2.40,2.32,2.94,2.46
95HH17,928,58,814,9,47,182,16,160,0,6,312,17,268,5,22,182,10,163,1,8,167,10,151,0,6,85,5,72,3,5,2.67,2.53,2.67,3.22,2.64
95II01,1260,52,1116,15,77,307,8,283,3,13,483,13,430,6,34,192,12,162,4,14,191,8,168,1,14,87,11,73,1,2,2.43,3.04,2.40,2.40,2.47
95II02,1911,525,1239,39,108,641,98,502,10,31,546,136,357,14,39,266,91,153,6,16,277,107,152,4,14,181,93,75,5,8,2.41,2.99,2.16,2.51,2.35
95II03,1304,553,655,23,73,285,125,149,4,7,382,134,225,4,19,248,118,104,5,21,261,102,134,7,18,128,74,43,3,8,2.70,2.81,2.55,3.13,3.11
95II04,1672,70,1480,16,106,401,15,362,3,21,548,18,500,6,24,296,15,253,5,23,310,13,266,2,29,117,9,99,0,9,2.54,2.83,2.50,2.38,2.86
95II05,1301,553,690,14,44,355,117,225,3,10,374,142,217,4,11,197,90,96,2,9,221,111,103,1,6,154,93,49,4,8,2.62,2.93,2.34,3.21,3.07
95II06,1285,572,645,14,54,284,115,157,3,9,424,165,235,2,22,227,108,107,4,8,213,107,93,2,11,137,77,53,3,4,2.64,2.81,2.48,3.29,2.69
95II07,991,85,829,12,65,436,26,380,4,26,264,30,218,2,14,133,14,99,5,15,109,10,95,0,4,49,5,37,1,6,2.10,2.29,2.06,2.33,2.28
95II08,1073,103,897,6,67,393,24,350,1,18,316,31,274,1,10,157,24,117,1,15,149,13,115,3,18,58,11,41,0,6,2.25,2.70,2.16,3.00,2.79
95II09,1417,111,1192,22,92,435,27,377,5,26,446,32,385,4,25,227,16,187,6,18,225,21,181,4,19,84,15,62,3,4,2.36,2.77,2.31,2.86,2.46
95II10,1144,33,1002,10,99,395,5,361,3,26,347,9,306,3,29,194,11,164,2,17,143,6,119,1,17,65,2,52,1,10,2.27,2.88,2.21,2.50,2.63
95II11,1055,450,541,12,52,259,91,158,2,8,400,153,223,4,20,173,85,78,2,8,152,76,62,3,11,71,45,20,1,5,2.42,2.65,2.20,2.75,2.71
95II12,1007,77,872,8,50,267,13,242,3,9,340,27,300,3,10,153,11,127,0,15,183,16,153,0,14,64,10,50,2,2,2.46,2.91,2.40,2.38,2.84
95II13,1253,65,1071,23,94,445,15,396,5,29,442,14,386,10,32,186,13,154,2,17,114,14,87,5,8,66,9,48,1,8,2.16,2.88,2.09,2.43,2.33
95II14,1026,245,735,8,38,251,52,188,1,10,374,66,296,4,8,177,53,117,1,6,150,45,97,1,7,74,29,37,1,7,2.46,2.78,2.33,2.75,2.84
95II15,1319,559,677,16,67,316,117,186,3,10,453,156,270,5,22,229,130,90,3,6,205,99,84,5,17,116,57,47,0,12,2.55,2.72,2.34,2.63,3.21
95II16,890,44,796,8,42,257,10,229,5,13,289,14,266,1,8,165,11,149,0,5,119,4,102,1,12,60,5,50,1,4,2.39,2.59,2.36,2.00,2.76
95II17,1190,58,1033,19,80,450,20,392,8,30,402,23,358,5,16,170,6,141,2,21,124,8,104,2,10,44,1,38,2,3,2.09,2.09,2.08,2.32,2.28
95II18,1090,80,934,16,60,453,34,389,4,26,339,21,298,4,16,154,15,124,4,11,99,3,88,2,6,45,7,35,2,1,2.04,2.18,2.02,2.69,2.00
95II19,1389,129,1189,13,58,269,13,240,4,12,468,21,419,7,21,239,26,200,2,11,273,35,229,0,9,140,34,101,0,5,2.71,3.54,2.64,1.85,2.59
95II20,1211,438,688,16,69,392,122,249,4,17,417,140,250,6,21,189,81,94,3,11,136,58,63,3,12,77,37,32,0,8,2.27,2.44,2.11,2.31,2.62
95II21,1045,33,932,5,75,331,7,305,2,17,321,12,285,3,21,201,7,184,0,10,139,5,119,0,15,53,2,39,0,12,2.31,2.58,2.27,1.60,2.84
95II22,990,63,866,4,57,315,18,276,3,18,339,15,302,1,21,155,16,131,0,8,128,9,113,0,6,53,5,44,0,4,2.27,2.49,2.26,1.25,2.30
95II23,910,379,473,11,47,273,105,159,0,9,288,106,157,6,19,146,68,70,3,5,134,66,58,0,10,69,34,29,2,4,2.41,2.55,2.26,2.91,2.64
95JJ01,892,195,663,4,30,167,41,115,3,8,303,59,237,1,6,161,32,123,0,6,148,27,115,0,6,113,36,73,0,4,2.80,2.94,2.76,1.25,2.83
95JJ02,1074,299,700,9,66,369,95,240,2,32,382,92,266,7,17,148,46,97,0,5,105,37,60,0,8,70,29,37,0,4,2.20,2.40,2.14,1.78,2.06
95JJ03,1023,137,804,13,69,299,39,236,4,20,330,45,253,6,26,179,17,150,1,11,137,27,105,1,4,78,9,60,1,8,2.41,2.47,2.41,2.15,2.35
95JJ04,1279,200,1028,13,38,340,43,290,0,7,446,52,371,6,17,207,50,149,5,3,191,34,149,2,6,95,21,69,0,5,2.43,2.72,2.37,2.69,2.61
95JJ05,892,231,611,4,46,397,89,292,1,15,283,73,192,3,15,104,32,62,0,10,64,23,38,0,3,44,14,27,0,3,1.99,2.19,1.90,1.75,2.22
95JJ06,1063,416,598,11,38,386,137,236,6,7,299,108,176,2,13,166,75,82,3,6,137,61,66,0,10,75,35,38,0,2,2.29,2.43,2.17,1.73,2.68
95JJ07,1092,222,823,8,39,316,49,258,3,6,356,67,271,4,14,209,55,146,0,8,137,36,94,0,7,74,15,54,1,4,2.38,2.59,2.30,2.13,2.77
95JJ08,1187,244,886,8,49,285,51,220,3,11,352,67,267,1,17,241,43,183,2,13,196,43,146,1,6,113,40,70,1,2,2.61,2.89,2.54,2.63,2.45
95JJ09,839,49,764,7,19,240,15,217,2,6,309,13,285,4,7,125,4,119,0,2,90,10,79,0,1,75,7,64,1,3,2.37,2.63,2.35,2.14,2.37
95JJ10,1027,430,575,7,15,284,94,183,3,4,275,87,182,2,4,168,76,86,1,5,134,66,66,1,1,166,107,58,0,1,2.72,3.17,2.40,2.00,2.47
95JJ11,1542,311,1151,19,61,418,82,309,10,17,547,102,420,5,20,233,46,168,2,17,219,49,165,2,3,125,32,89,0,4,2.44,2.58,2.42,1.79,2.30
95JJ12,1002,637,339,6,20,237,141,91,4,1,321,190,124,2,5,154,104,45,0,5,152,102,44,0,6,138,100,35,0,3,2.70,2.80,2.50,1.33,3.40
95JJ13,1457,232,1148,19,58,297,48,235,4,10,442,47,366,5,24,312,61,238,5,8,281,53,213,3,12,125,23,96,2,4,2.67,2.82,2.65,2.68,2.60
95JJ14,849,83,740,4,22,171,16,150,1,4,277,27,238,1,11,152,13,135,0,4,150,11,137,1,1,99,16,80,1,2,2.74,2.93,2.73,3.00,2.36
95JJ15,779,232,505,5,37,227,63,146,0,18,312,79,222,1,10,110,36,71,1,2,83,36,41,1,5,47,18,25,2,2,2.26,2.45,2.18,4.00,2.00
95JJ16,916,295,569,9,43,436,135,275,6,20,271,92,166,2,11,112,37,72,0,3,58,18,32,0,8,39,13,24,1,1,1.92,1.94,1.90,1.78,2.05
95JJ17,824,375,426,5,18,161,72,86,0,3,235,94,134,2,5,136,54,75,2,5,146,67,76,1,2,146,88,55,0,3,2.96,3.16,2.80,2.80,2.94
95JJ18,975,237,666,11,61,464,102,329,8,25,272,61,184,2,25,97,25,67,0,5,85,23,56,1,5,57,26,30,0,1,1.99,2.23,1.92,1.45,1.89
95JJ19,1128,394,680,9,45,300,88,200,3,9,365,113,241,2,9,179,76,91,0,12,143,58,80,3,2,141,59,68,1,13,2.57,2.76,2.42,2.67,3.02
95JJ20,1618,348,1213,12,45,388,90,285,2,11,548,107,427,3,11,285,58,216,2,9,271,64,190,4,13,126,29,95,1,1,2.53,2.55,2.52,3.00,2.62
95JJ21,962,192,726,12,32,289,61,220,2,6,321,63,242,3,13,158,30,118,2,8,114,18,87,5,4,80,20,59,0,1,2.38,2.40,2.37,2.83,2.41
95JJ22,1088,270,762,21,35,244,49,188,2,5,405,103,280,9,13,183,53,123,1,6,152,36,105,5,6,104,29,66,4,5,2.54,2.64,2.47,3.14,3.03
95KK01,836,781,50,3,2,172,154,17,0,1,199,188,9,1,1,127,113,14,0,0,151,141,9,1,0,187,185,1,1,0,3.08,3.13,2.42,3.67,1.50
95KK02,722,244,455,15,8,164,60,101,3,0,208,68,131,5,4,123,37,82,2,2,130,46,82,0,2,97,33,59,5,0,2.77,2.77,2.77,2.93,2.75
95KK03,704,639,60,1,4,130,118,11,0,1,150,134,14,1,1,99,88,10,0,1,127,111,16,0,0,198,188,9,0,1,3.33,3.36,3.03,2.00,2.75
95KK04,974,743,192,6,33,188,137,47,1,3,272,208,55,4,5,208,157,44,1,6,161,117,30,0,14,145,124,16,0,5,2.86,2.92,2.57,2.00,3.42
95KK05,803,679,116,1,7,153,123,28,1,1,165,138,25,0,2,127,104,21,0,2,174,150,22,0,2,184,164,20,0,0,3.22,3.27,2.98,1.00,2.71
95KK06,737,349,362,4,22,199,84,111,1,3,230,97,124,0,9,121,52,63,2,4,111,64,43,0,4,76,52,21,1,2,2.56,2.81,2.30,3.00,2.73
95KK07,682,277,398,2,5,139,56,82,1,0,174,64,107,1,2,115,34,79,0,2,126,61,64,0,1,128,62,66,0,0,3.00,3.17,2.89,1.50,2.80
95KK08,967,375,566,5,21,215,92,116,1,6,332,105,217,1,9,145,66,74,1,4,142,56,84,1,1,133,56,75,1,1,2.70,2.79,2.66,3.60,2.14
95KK09,947,363,545,5,34,330,138,183,3,6,303,98,190,2,13,134,57,73,0,4,111,38,66,0,7,69,32,33,0,4,2.27,2.29,2.24,1.40,2.71
95KK10,699,267,425,3,4,147,55,91,1,0,157,44,111,0,2,92,32,60,0,0,134,49,84,0,1,169,87,79,2,1,3.12,3.41,2.93,3.67,3.50
95KK11,982,276,665,4,37,303,75,220,1,7,291,65,207,3,16,172,55,108,0,9,132,45,83,0,4,84,36,47,0,1,2.42,2.69,2.31,1.75,2.35
95KK12,776,611,154,2,9,189,143,42,1,3,181,144,34,1,2,114,83,29,0,2,137,117,19,0,1,155,124,30,0,1,2.98,3.01,2.89,1.50,2.44
95KK13,642,92,536,4,10,143,19,123,0,1,195,17,171,3,4,116,18,97,0,1,100,16,83,0,1,88,22,62,1,3,2.76,3.21,2.67,2.75,3.10
95KK14,703,323,372,1,7,161,96,64,0,1,190,72,112,1,5,106,49,56,0,1,121,39,82,0,0,125,67,58,0,0,2.90,2.85,2.97,2.00,2.00
95KK15,921,585,319,5,12,166,100,64,1,1,221,119,100,0,2,147,101,45,0,1,174,111,55,1,7,213,154,55,3,1,3.17,3.32,2.87,4.00,3.42
95KK16,809,561,214,3,31,224,148,72,1,3,218,142,65,1,10,149,107,31,0,11,107,71,31,1,4,111,93,15,0,3,2.63,2.74,2.33,2.33,2.84
95LL01,1579,1294,232,10,43,253,195,43,3,12,381,304,67,2,8,294,239,46,2,7,347,292,48,2,5,304,264,28,1,11,3.12,3.18,2.82,3.20,3.00
95LL02,1367,338,921,21,87,516,108,372,8,28,387,99,250,6,32,232,66,141,5,20,147,47,94,0,6,85,18,64,2,1,2.21,2.34,2.18,2.24,2.08
95LL03,1092,99,917,10,66,403,23,361,7,12,333,38,270,2,23,167,12,134,0,21,119,14,98,0,7,70,12,54,1,3,2.23,2.61,2.18,1.60,2.50
95LL04,1090,883,189,4,14,243,194,46,2,1,329,265,59,2,3,207,168,36,0,3,189,156,27,0,6,122,100,21,0,1,2.70,2.71,2.61,1.50,3.21
95LL05,1454,277,1108,23,46,297,47,239,4,7,419,87,318,5,9,261,44,203,5,9,295,49,234,2,10,182,50,114,7,11,2.81,3.02,2.72,3.61,3.26
95LL06,1408,164,1173,11,60,401,43,343,4,11,471,45,406,0,20,268,34,217,4,13,180,26,141,2,11,88,16,66,1,5,2.36,2.59,2.31,2.82,2.65
95LL07,1001,107,827,15,52,400,25,346,11,18,300,25,262,1,12,145,24,110,2,9,102,21,71,1,9,54,12,38,0,4,2.13,2.75,2.04,1.53,2.46
95LL08,1326,1049,197,8,72,430,351,57,0,22,338,253,67,2,16,250,203,30,4,13,163,131,22,1,9,145,111,21,1,12,2.49,2.47,2.44,3.25,2.79
95LL09,1395,1132,213,13,37,605,454,135,8,8,351,291,44,2,14,201,177,16,1,7,131,115,8,1,7,107,95,10,1,1,2.16,2.24,1.70,1.92,2.43
95LL10,1741,1513,209,2,17,264,219,42,1,2,432,358,65,0,9,326,282,42,0,2,374,340,34,0,0,345,314,26,1,4,3.14,3.20,2.77,3.50,2.88
95LL11,1424,130,1222,14,58,253,24,215,4,10,456,41,390,5,20,269,25,232,2,10,299,21,266,1,11,147,19,119,2,7,2.79,2.87,2.78,2.43,2.76
95LL12,1492,1272,144,17,59,302,256,32,3,11,421,346,50,4,21,327,290,26,4,7,240,206,17,4,13,202,174,19,2,7,2.82,2.83,2.78,3.00,2.78
95LL13,1097,683,334,17,63,309,184,108,2,15,325,190,106,7,22,208,148,48,2,10,157,102,43,3,9,98,59,29,3,7,2.50,2.54,2.37,2.94,2.70
95LL14,970,923,37,1,9,229,222,7,0,0,287,273,12,0,2,188,179,7,0,2,132,122,6,0,4,134,127,5,1,1,2.73,2.70,2.95,10.00,4.11
95LL15,1330,100,1153,22,55,457,17,418,8,14,440,38,382,4,16,196,22,162,2,10,157,17,125,4,11,80,6,66,4,4,2.25,2.69,2.18,2.73,2.56
95LL16,2282,506,1615,30,131,493,82,390,9,12,728,147,528,6,47,437,105,297,6,29,411,120,254,6,31,213,52,146,3,12,2.65,2.86,2.56,2.63,2.90
95LL17,1106,77,957,12,60,338,11,311,2,14,381,22,336,6,17,188,16,154,2,16,143,19,110,2,12,56,9,46,0,1,2.29,2.95,2.22,2.33,2.48
95LL18,1331,75,1184,14,58,290,19,261,3,7,509,19,461,8,21,231,19,200,1,11,207,11,180,2,14,94,7,82,0,5,2.50,2.65,2.48,2.14,2.86
95LL19,1904,417,1406,20,61,391,67,312,1,11,614,119,464,5,26,348,84,251,5,8,348,82,247,5,14,203,65,132,4,2,2.70,2.97,2.62,3.50,2.52
95LL20,942,368,543,9,22,256,88,157,8,3,282,103,169,1,9,160,63,95,0,2,151,67,77,0,7,93,47,45,0,1,2.55,2.72,2.45,1.11,2.73
95LL21,1662,793,800,10,59,550,210,326,4,10,487,208,260,3,16,270,140,114,0,16,193,117,64,2,10,162,118,36,1,7,2.40,2.71,2.05,2.40,2.93
95LL22,1424,1283,96,6,39,373,330,33,0,10,401,365,27,1,8,261,232,16,2,11,233,218,10,0,5,156,138,10,3,5,2.62,2.63,2.39,4.17,2.67
95LL23,973,105,814,4,50,355,28,308,1,18,294,26,256,1,11,157,23,123,0,11,111,18,82,2,9,56,10,45,0,1,2.22,2.64,2.16,2.75,2.28
95LL24,1312,418,856,4,34,251,88,151,0,12,391,107,271,2,11,259,65,187,1,6,223,68,152,1,2,188,90,95,0,3,2.85,3.04,2.78,2.75,2.29
95LL25,1739,156,1509,22,52,385,36,334,3,12,584,55,512,8,9,298,32,241,6,19,311,21,282,2,6,161,12,140,3,6,2.61,2.50,2.61,2.77,2.75
95LL26,1490,1349,100,11,30,484,421,44,7,12,399,371,17,2,9,241,216,19,1,5,198,185,9,0,4,168,156,11,1,0,2.48,2.51,2.30,1.82,2.03
95MM01,1897,772,1064,23,38,476,207,257,1,11,634,247,366,10,11,346,138,194,5,9,278,116,149,6,7,163,64,98,1,0,2.52,2.50,2.53,2.83,2.32
95MM02,1144,1076,54,7,7,245,230,13,0,2,320,302,14,1,3,239,228,9,2,0,182,172,6,2,2,158,144,12,2,0,2.79,2.77,3.04,4.14,2.29
95MM03,1155,758,371,9,17,238,159,73,0,6,264,161,100,3,0,218,144,69,1,4,212,135,67,4,6,223,159,62,1,1,3.04,3.10,2.92,3.33,2.76
95MM04,890,839,35,3,13,302,282,13,2,5,249,233,12,0,4,143,138,3,1,1,102,96,4,0,2,94,90,3,0,1,2.42,2.43,2.23,1.67,2.23
95MM05,1062,1007,49,2,4,426,399,22,2,3,252,238,14,0,0,155,150,4,0,1,119,112,7,0,0,110,108,2,0,0,2.33,2.35,2.04,1.00,1.50
95MM06,949,901,39,3,6,246,234,10,0,2,258,250,4,2,2,186,179,7,0,0,132,125,6,1,0,127,113,12,0,2,2.69,2.65,3.44,2.67,3.17
95MM07,1201,194,962,12,33,460,74,371,5,10,365,60,288,5,12,192,27,159,0,6,128,22,99,2,5,56,11,45,0,0,2.15,2.19,2.14,1.92,2.18
95MM08,1238,790,432,6,10,429,270,154,2,3,345,199,140,1,5,193,132,58,1,2,154,111,41,2,0,117,78,39,0,0,2.38,2.43,2.28,2.50,1.90
95MM09,1220,866,338,5,11,267,192,71,1,3,310,215,89,2,4,219,150,67,1,1,210,143,65,0,2,214,166,46,1,1,2.92,2.96,2.84,2.60,2.45
95MM10,987,949,27,0,11,240,232,4,0,4,271,266,1,0,4,182,176,6,0,0,141,136,3,0,2,153,139,13,0,1,2.79,2.75,4.22,0,2.27
95MM11,855,823,26,0,6,217,208,8,0,1,247,237,8,0,2,152,146,4,0,2,140,135,5,0,0,99,97,1,0,1,2.66,2.67,2.38,0,2.83
95MM12,1976,1791,160,9,16,381,350,27,0,4,525,456,61,1,7,380,357,20,3,0,357,331,22,1,3,333,297,30,4,2,2.96,2.97,2.88,3.89,2.56
95MM13,2990,2758,198,10,24,567,510,48,4,5,786,725,56,0,5,555,512,36,3,4,576,538,27,2,9,506,473,31,1,1,2.97,2.98,2.83,2.70,2.83
95MM14,1176,526,602,20,28,517,224,272,6,15,335,149,173,8,5,147,62,78,3,4,108,56,47,2,3,69,35,32,1,1,2.08,2.15,2.02,2.25,1.93
95MM15,1570,794,733,8,35,353,183,160,1,9,441,206,223,1,11,263,129,125,4,5,330,176,146,1,7,183,100,79,1,3,2.76,2.80,2.71,3.00,2.66
95MM16,2079,1351,628,34,66,468,300,149,5,14,623,396,196,8,23,365,243,102,9,11,361,237,107,7,10,262,175,74,5,8,2.73,2.76,2.67,3.06,2.62
95MM17,1347,1210,115,6,16,314,258,47,2,7,362,327,28,1,6,252,236,15,1,0,243,225,16,1,1,176,164,9,1,2,2.78,2.83,2.34,2.67,2.13
95MM18,1766,1135,589,13,29,359,225,126,3,5,443,280,151,2,10,358,227,120,3,8,342,219,115,3,5,264,184,77,2,1,2.90,2.94,2.83,3.00,2.55
95MM19,1269,448,769,15,37,389,131,237,4,17,398,140,243,4,11,213,80,128,1,4,171,59,106,2,4,98,38,55,4,1,2.40,2.46,2.37,2.93,1.97
95MM20,1469,300,1120,12,37,480,100,366,3,11,475,88,370,4,13,257,48,202,2,5,165,35,120,3,7,92,29,62,0,1,2.29,2.40,2.25,2.42,2.30
95MM21,1254,453,774,7,20,267,94,169,0,4,384,122,255,1,6,239,89,145,2,3,233,91,135,3,4,131,57,70,1,3,2.70,2.81,2.61,3.57,3.00
95MM22,973,911,45,7,10,275,257,14,2,2,297,278,14,2,3,168,155,8,2,3,126,123,2,1,0,107,98,7,0,2,2.54,2.54,2.53,2.29,2.70
95MM23,1074,936,94,12,32,379,334,35,3,7,337,292,29,2,14,158,138,10,4,6,108,99,4,3,2,92,73,16,0,3,2.31,2.28,2.47,2.58,2.38
95MM24,892,864,23,3,2,187,179,5,2,1,272,266,5,0,1,170,166,3,1,0,136,133,3,0,0,127,120,7,0,0,2.81,2.80,3.17,1.67,1.50
95MM25,2188,2094,66,12,16,454,433,13,3,5,549,533,12,2,2,455,440,9,2,4,392,370,18,2,2,338,318,14,3,3,2.90,2.89,3.33,3.08,2.81
95MM26,1056,1021,22,3,10,196,192,2,0,2,296,287,8,0,1,207,196,5,2,4,177,173,2,0,2,180,173,5,1,1,2.96,2.96,3.18,3.67,2.90
95MM27,1614,1398,130,35,51,808,717,52,9,30,410,359,30,12,9,172,151,10,7,4,119,96,16,5,2,105,75,22,2,6,1.99,1.92,2.66,2.40,2.02
95MM28,1095,881,182,3,29,525,419,87,1,18,259,204,45,1,9,136,111,24,0,1,95,78,16,1,0,80,69,10,0,1,2.07,2.10,2.00,2.33,1.55
95MM29,1490,1028,410,18,34,550,342,191,3,14,419,299,108,5,7,226,162,51,5,8,187,137,42,4,4,108,88,18,1,1,2.29,2.39,2.03,2.78,2.15
95MM30,903,860,30,3,10,351,337,11,0,3,238,229,6,1,2,133,125,7,1,0,106,100,5,1,0,75,69,1,0,5,2.31,2.29,2.30,3.00,3.70
95NN01,1201,1015,154,9,23,339,276,53,3,7,342,277,54,3,8,192,173,16,0,3,181,161,15,1,4,147,128,16,2,1,2.61,2.66,2.35,2.56,2.30
95NN02,836,738,84,3,11,194,172,19,1,2,261,231,26,1,3,157,136,17,0,4,128,114,13,0,1,96,85,9,1,1,2.64,2.64,2.67,2.67,2.64
95NN03,1133,202,877,4,50,325,49,269,2,5,338,56,266,1,15,191,39,138,0,14,199,37,148,1,13,80,21,56,0,3,2.47,2.67,2.40,2.00,2.88
95NN04,1175,1047,96,9,23,363,327,30,2,4,348,311,25,5,7,204,177,20,0,7,159,145,9,1,4,101,87,12,1,1,2.43,2.42,2.53,2.44,2.65
95NN05,1075,543,475,10,47,371,177,178,3,13,319,144,152,6,17,178,107,64,0,7,135,77,50,0,8,72,38,31,1,2,2.30,2.40,2.19,2.00,2.34
95NN06,1237,1076,126,12,23,325,283,33,4,5,293,248,37,2,6,220,197,19,1,3,208,181,19,3,5,191,167,18,2,4,2.79,2.80,2.70,2.83,2.96
95NN07,1246,1090,127,5,24,354,291,58,0,5,320,278,31,1,10,243,219,19,0,5,194,179,11,2,2,135,123,8,2,2,2.59,2.64,2.09,4.20,2.67
