ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2614NI0156,Count,PERSONS,"Males, Economically active, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0157,Count,PERSONS,"Males, Economically active, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0158,Count,PERSONS,"Males, Economically active, Other religions "
DC2614NI0159,Count,PERSONS,"Males, Economically active, No religion"
DC2614NI0160,Count,PERSONS,"Males, Economically active, Not stated"
DC2614NI0161,Count,PERSONS,"Males, Economically active: Employee - Part-time, All categories: Religion"
DC2614NI0162,Count,PERSONS,"Males, Economically active: Employee - Part-time, Catholic"
DC2614NI0163,Count,PERSONS,"Males, Economically active: Employee - Part-time, Protestant and other Christian: Total"
DC2614NI0164,Count,PERSONS,"Males, Economically active: Employee - Part-time, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0165,Count,PERSONS,"Males, Economically active: Employee - Part-time, Protestant and other Christian: Church of Ireland"
DC2614NI0166,Count,PERSONS,"Males, Economically active: Employee - Part-time, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0167,Count,PERSONS,"Males, Economically active: Employee - Part-time, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0168,Count,PERSONS,"Males, Economically active: Employee - Part-time, Other religions "
DC2614NI0169,Count,PERSONS,"Males, Economically active: Employee - Part-time, No religion"
DC2614NI0170,Count,PERSONS,"Males, Economically active: Employee - Part-time, Not stated"
DC2614NI0171,Count,PERSONS,"Males, Economically active: Employee - Full-time, All categories: Religion"
DC2614NI0172,Count,PERSONS,"Males, Economically active: Employee - Full-time, Catholic"
DC2614NI0173,Count,PERSONS,"Males, Economically active: Employee - Full-time, Protestant and other Christian: Total"
DC2614NI0174,Count,PERSONS,"Males, Economically active: Employee - Full-time, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0175,Count,PERSONS,"Males, Economically active: Employee - Full-time, Protestant and other Christian: Church of Ireland"
DC2614NI0176,Count,PERSONS,"Males, Economically active: Employee - Full-time, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0177,Count,PERSONS,"Males, Economically active: Employee - Full-time, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0178,Count,PERSONS,"Males, Economically active: Employee - Full-time, Other religions "
DC2614NI0179,Count,PERSONS,"Males, Economically active: Employee - Full-time, No religion"
DC2614NI0180,Count,PERSONS,"Males, Economically active: Employee - Full-time, Not stated"
DC2614NI0181,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, All categories: Religion"
DC2614NI0182,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Catholic"
DC2614NI0183,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Protestant and other Christian: Total"
DC2614NI0184,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0185,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Protestant and other Christian: Church of Ireland"
DC2614NI0186,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0187,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0188,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Other religions "
DC2614NI0189,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, No religion"
DC2614NI0190,Count,PERSONS,"Males, Economically active: Self-employed - Part-time, Not stated"
DC2614NI0191,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, All categories: Religion"
DC2614NI0192,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Catholic"
DC2614NI0193,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Protestant and other Christian: Total"
DC2614NI0194,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0195,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Protestant and other Christian: Church of Ireland"
DC2614NI0196,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0197,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0198,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Other religions "
DC2614NI0199,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, No religion"
DC2614NI0200,Count,PERSONS,"Males, Economically active: Self-employed - Full-time, Not stated"
DC2614NI0201,Count,PERSONS,"Males, Economically active: Unemployed, All categories: Religion"
DC2614NI0202,Count,PERSONS,"Males, Economically active: Unemployed, Catholic"
DC2614NI0203,Count,PERSONS,"Males, Economically active: Unemployed, Protestant and other Christian: Total"
DC2614NI0204,Count,PERSONS,"Males, Economically active: Unemployed, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0205,Count,PERSONS,"Males, Economically active: Unemployed, Protestant and other Christian: Church of Ireland"
DC2614NI0206,Count,PERSONS,"Males, Economically active: Unemployed, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0207,Count,PERSONS,"Males, Economically active: Unemployed, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0208,Count,PERSONS,"Males, Economically active: Unemployed, Other religions "
DC2614NI0209,Count,PERSONS,"Males, Economically active: Unemployed, No religion"
DC2614NI0210,Count,PERSONS,"Males, Economically active: Unemployed, Not stated"
DC2614NI0211,Count,PERSONS,"Males, Economically active: Full-time student, All categories: Religion"
DC2614NI0212,Count,PERSONS,"Males, Economically active: Full-time student, Catholic"
DC2614NI0213,Count,PERSONS,"Males, Economically active: Full-time student, Protestant and other Christian: Total"
DC2614NI0214,Count,PERSONS,"Males, Economically active: Full-time student, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0215,Count,PERSONS,"Males, Economically active: Full-time student, Protestant and other Christian: Church of Ireland"
DC2614NI0216,Count,PERSONS,"Males, Economically active: Full-time student, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0217,Count,PERSONS,"Males, Economically active: Full-time student, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0218,Count,PERSONS,"Males, Economically active: Full-time student, Other religions "
DC2614NI0219,Count,PERSONS,"Males, Economically active: Full-time student, No religion"
DC2614NI0220,Count,PERSONS,"Males, Economically active: Full-time student, Not stated"
DC2614NI0221,Count,PERSONS,"Males, Economically inactive, All categories: Religion"
DC2614NI0222,Count,PERSONS,"Males, Economically inactive, Catholic"
DC2614NI0223,Count,PERSONS,"Males, Economically inactive, Protestant and other Christian: Total"
DC2614NI0224,Count,PERSONS,"Males, Economically inactive, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0225,Count,PERSONS,"Males, Economically inactive, Protestant and other Christian: Church of Ireland"
DC2614NI0226,Count,PERSONS,"Males, Economically inactive, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0227,Count,PERSONS,"Males, Economically inactive, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0228,Count,PERSONS,"Males, Economically inactive, Other religions "
DC2614NI0229,Count,PERSONS,"Males, Economically inactive, No religion"
DC2614NI0230,Count,PERSONS,"Males, Economically inactive, Not stated"
DC2614NI0231,Count,PERSONS,"Males, Economically inactive: Retired, All categories: Religion"
DC2614NI0232,Count,PERSONS,"Males, Economically inactive: Retired, Catholic"
DC2614NI0233,Count,PERSONS,"Males, Economically inactive: Retired, Protestant and other Christian: Total"
DC2614NI0234,Count,PERSONS,"Males, Economically inactive: Retired, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0235,Count,PERSONS,"Males, Economically inactive: Retired, Protestant and other Christian: Church of Ireland"
DC2614NI0236,Count,PERSONS,"Males, Economically inactive: Retired, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0237,Count,PERSONS,"Males, Economically inactive: Retired, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0238,Count,PERSONS,"Males, Economically inactive: Retired, Other religions "
DC2614NI0239,Count,PERSONS,"Males, Economically inactive: Retired, No religion"
DC2614NI0240,Count,PERSONS,"Males, Economically inactive: Retired, Not stated"
DC2614NI0241,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), All categories: Religion"
DC2614NI0242,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Catholic"
DC2614NI0243,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Protestant and other Christian: Total"
DC2614NI0244,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0245,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Protestant and other Christian: Church of Ireland"
DC2614NI0246,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0247,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0248,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Other religions "
DC2614NI0249,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), No religion"
DC2614NI0250,Count,PERSONS,"Males, Economically inactive:Student (including full-time students), Not stated"
DC2614NI0251,Count,PERSONS,"Males, Economically inactive:Looking after home/family, All categories: Religion"
DC2614NI0252,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Catholic"
DC2614NI0253,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Protestant and other Christian: Total"
DC2614NI0254,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0255,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Protestant and other Christian: Church of Ireland"
DC2614NI0256,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0257,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0258,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Other religions "
DC2614NI0259,Count,PERSONS,"Males, Economically inactive:Looking after home/family, No religion"
DC2614NI0260,Count,PERSONS,"Males, Economically inactive:Looking after home/family, Not stated"
DC2614NI0261,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, All categories: Religion"
DC2614NI0262,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Catholic"
DC2614NI0263,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Total"
DC2614NI0264,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0265,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Church of Ireland"
DC2614NI0266,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0267,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0268,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Other religions "
DC2614NI0269,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, No religion"
DC2614NI0270,Count,PERSONS,"Males, Economically inactive:Long-term sick/disabled, Not stated"
DC2614NI0271,Count,PERSONS,"Males, Economically inactive:Other, All categories: Religion"
