GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95RR01,3200,442,2758,2801,358,2443,214,60,154,73,13,60,112,11,101
95RR02,1420,185,1235,1238,153,1085,86,23,63,35,5,30,61,4,57
95RR03,1154,87,1067,1014,69,945,55,12,43,30,1,29,55,5,50
95RR04,1597,225,1372,1389,185,1204,108,31,77,23,2,21,77,7,70
95RR05,1942,232,1710,1655,173,1482,144,44,100,46,10,36,97,5,92
95RR06,1697,208,1489,1497,151,1346,94,37,57,42,5,37,64,15,49
95RR07,1923,226,1697,1661,174,1487,131,34,97,39,6,33,92,12,80
95RR08,1648,223,1425,1425,174,1251,130,40,90,41,5,36,52,4,48
95RR09,2796,325,2471,2444,256,2188,202,50,152,59,10,49,91,9,82
95RR10,1055,78,977,942,63,879,39,7,32,40,4,36,34,4,30
95RR11,2037,241,1796,1808,190,1618,120,31,89,28,4,24,81,16,65
95RR12,1257,201,1056,1086,161,925,86,29,57,38,5,33,47,6,41
95RR13,1242,146,1096,1094,121,973,83,19,64,23,2,21,42,4,38
95RR14,1510,223,1287,1337,171,1166,95,39,56,34,6,28,44,7,37
95RR15,1815,321,1494,1586,247,1339,124,44,80,38,13,25,67,17,50
95SS01,4073,723,3350,3397,547,2850,436,133,303,87,12,75,153,31,122
95SS02,3343,650,2693,2785,469,2316,375,140,235,72,20,52,111,21,90
95SS03,2743,649,2094,2234,480,1754,351,140,211,57,12,45,101,17,84
95SS04,5754,807,4947,4963,611,4352,470,141,329,109,20,89,212,35,177
95SS05,2830,479,2351,2429,380,2049,249,77,172,58,6,52,94,16,78
95SS06,4021,342,3679,3283,269,3014,230,29,201,189,22,167,319,22,297
95SS07,6692,859,5833,5668,670,4998,531,118,413,202,29,173,291,42,249
95SS08,3660,697,2963,3092,537,2555,352,117,235,77,17,60,139,26,113
95SS09,2732,613,2119,2281,447,1834,310,137,173,57,13,44,84,16,68
95SS10,3488,637,2851,2914,462,2452,364,123,241,90,21,69,120,31,89
95SS11,4212,717,3495,3467,522,2945,464,147,317,103,20,83,178,28,150
95SS12,2515,436,2079,2100,319,1781,276,87,189,46,14,32,93,16,77
95SS13,2383,232,2151,2081,196,1885,157,25,132,49,4,45,96,7,89
95SS14,2314,299,2015,2004,224,1780,171,57,114,56,10,46,83,8,75
95SS15,3103,652,2451,2581,492,2089,351,126,225,71,19,52,100,15,85
95SS16,2519,305,2214,2117,226,1891,195,52,143,97,18,79,110,9,101
95SS17,3425,331,3094,2966,259,2707,258,51,207,80,12,68,121,9,112
95SS18,2460,283,2177,2126,215,1911,173,41,132,57,16,41,104,11,93
95SS19,2221,264,1957,1926,203,1723,174,40,134,35,6,29,86,15,71
95SS20,2234,375,1859,1893,280,1613,192,66,126,45,10,35,104,19,85
95SS21,3622,615,3007,3071,458,2613,358,112,246,60,20,40,133,25,108
95SS22,2605,479,2126,2219,350,1869,254,93,161,43,14,29,89,22,67
95SS23,3051,548,2503,2599,438,2161,279,82,197,68,18,50,105,10,95
95SS24,3966,713,3253,3412,561,2851,385,119,266,63,18,45,106,15,91
95SS25,1907,136,1771,1663,101,1562,111,24,87,48,4,44,85,7,78
95SS26,2791,255,2536,2278,182,2096,240,51,189,111,13,98,162,9,153
95SS27,2106,300,1806,1769,235,1534,204,51,153,56,7,49,77,7,70
95SS28,2068,195,1873,1780,149,1631,142,26,116,43,7,36,103,13,90
95SS29,1956,133,1823,1624,103,1521,124,17,107,80,2,78,128,11,117
95SS30,2831,552,2279,2437,429,2008,278,98,180,50,12,38,66,13,53
95TT01,2064,341,1723,1802,254,1548,151,61,90,44,7,37,67,19,48
95TT02,2020,277,1743,1783,218,1565,143,42,101,35,7,28,59,10,49
95TT03,2513,345,2168,2197,263,1934,178,62,116,66,13,53,72,7,65
95TT04,2215,321,1894,1908,245,1663,168,58,110,66,11,55,73,7,66
95TT05,2412,378,2034,2106,280,1826,181,71,110,49,9,40,76,18,58
95TT06,2048,295,1753,1754,214,1540,162,54,108,66,19,47,66,8,58
95TT07,2141,339,1802,1842,259,1583,185,57,128,51,12,39,63,11,52
95TT08,2130,347,1783,1795,256,1539,195,66,129,61,11,50,79,14,65
95TT09,2264,355,1909,1923,257,1666,213,74,139,57,13,44,71,11,60
95TT10,2234,225,2009,1964,166,1798,138,43,95,53,10,43,79,6,73
95TT11,2447,442,2005,2114,333,1781,180,70,110,50,19,31,103,20,83
95TT12,1996,286,1710,1741,230,1511,148,38,110,53,10,43,54,8,46
95TT13,2269,269,2000,1954,204,1750,168,43,125,47,8,39,100,14,86
95TT14,1760,234,1526,1525,178,1347,136,39,97,40,9,31,59,8,51
95TT15,1858,235,1623,1596,171,1425,139,47,92,46,4,42,77,13,64
95TT16,2090,287,1803,1825,215,1610,142,55,87,49,9,40,74,8,66
95UU01,848,112,736,721,81,640,69,23,46,20,1,19,38,7,31
95UU02,819,83,736,725,63,662,49,12,37,13,2,11,32,6,26
95UU03,774,197,577,656,141,515,85,46,39,11,4,7,22,6,16
95UU04,596,78,518,536,64,472,29,12,17,8,1,7,23,1,22
95UU05,767,125,642,667,92,575,52,25,27,14,4,10,34,4,30
95UU06,1180,214,966,1024,172,852,90,24,66,26,8,18,40,10,30
95UU07,674,127,547,577,95,482,51,24,27,20,3,17,26,5,21
95UU08,988,172,816,863,136,727,69,24,45,16,4,12,40,8,32
95UU09,1282,233,1049,1102,171,931,90,36,54,30,13,17,60,13,47
95UU10,989,172,817,832,113,719,88,34,54,29,13,16,40,12,28
95UU11,805,145,660,668,101,567,72,31,41,32,9,23,33,4,29
95UU12,1036,131,905,901,106,795,67,13,54,22,8,14,46,4,42
95UU13,727,131,596,636,102,534,56,21,35,14,7,7,21,1,20
95UU14,1357,166,1191,1181,135,1046,86,24,62,28,2,26,62,5,57
95UU15,761,102,659,634,70,564,71,26,45,27,4,23,29,2,27
95VV01,2519,405,2114,2117,298,1819,223,76,147,76,12,64,103,19,84
95VV02,1763,190,1573,1554,148,1406,82,22,60,45,2,43,82,18,64
95VV03,1990,196,1794,1707,148,1559,124,33,91,60,12,48,99,3,96
95VV04,2369,371,1998,2055,288,1767,180,62,118,55,10,45,79,11,68
95VV05,3214,596,2618,2755,447,2308,297,119,178,78,15,63,84,15,69
95VV06,2565,384,2181,2153,291,1862,230,71,159,68,8,60,114,14,100
95VV07,3362,549,2813,2875,402,2473,264,99,165,86,22,64,137,26,111
95VV08,2291,332,1959,1964,254,1710,168,56,112,70,10,60,89,12,77
95VV09,2097,268,1829,1807,197,1610,119,44,75,70,12,58,101,15,86
95VV10,2419,300,2119,2054,241,1813,159,38,121,75,8,67,131,13,118
95VV11,3366,605,2761,2881,471,2410,275,94,181,87,20,67,123,20,103
95VV12,2413,268,2145,2128,223,1905,120,26,94,60,8,52,105,11,94
95VV13,2555,441,2114,2178,323,1855,200,70,130,70,23,47,107,25,82
95VV14,2680,402,2278,2310,323,1987,181,47,134,61,13,48,128,19,109
95VV15,2436,260,2176,2076,185,1891,183,44,139,67,13,54,110,18,92
95VV16,2431,333,2098,2039,235,1804,203,60,143,77,11,66,112,27,85
95VV17,3166,495,2671,2697,361,2336,229,83,146,75,19,56,165,32,133
95VV18,2936,434,2502,2533,331,2202,220,69,151,68,18,50,115,16,99
95VV19,2315,309,2006,1970,237,1733,166,47,119,57,12,45,122,13,109
95VV20,2277,411,1866,1903,304,1599,191,62,129,69,20,49,114,25,89
95VV21,2921,452,2469,2531,356,2175,196,60,136,81,21,60,113,15,98
95VV22,2096,326,1770,1802,237,1565,166,64,102,50,12,38,78,13,65
95VV23,2312,398,1914,1977,302,1675,198,70,128,59,13,46,78,13,65
95VV24,2504,392,2112,2170,301,1869,182,64,118,59,9,50,93,18,75
95VV25,2703,448,2255,2272,309,1963,242,94,148,73,14,59,116,31,85
95VV26,2630,427,2203,2227,310,1917,235,88,147,58,11,47,110,18,92
95VV27,1905,205,1700,1669,168,1501,93,19,74,65,16,49,78,2,76
95VV28,2824,362,2462,2466,286,2180,186,48,138,63,17,46,109,11,98
95VV29,2442,378,2064,2033,267,1766,277,91,186,53,9,44,79,11,68
95VV30,2461,391,2070,2122,307,1815,190,63,127,57,10,47,92,11,81
95WW01,2339,330,2009,1982,257,1725,214,58,156,52,9,43,91,6,85
95WW02,2990,401,2589,2564,316,2248,245,71,174,71,7,64,110,7,103
95WW03,2892,323,2569,2517,259,2258,211,46,165,55,10,45,109,8,101
95WW04,2237,262,1975,1872,193,1679,205,46,159,66,13,53,94,10,84
95WW05,2281,298,1983,1940,224,1716,213,57,156,53,10,43,75,7,68
95WW06,2527,491,2036,2140,366,1774,288,110,178,42,7,35,57,8,49
