GeographyCode,DC6607NI0001,DC6607NI0002,DC6607NI0003,DC6607NI0004,DC6607NI0005,DC6607NI0006,DC6607NI0007,DC6607NI0008,DC6607NI0009,DC6607NI0010,DC6607NI0011,DC6607NI0012,DC6607NI0013,DC6607NI0014,DC6607NI0015,DC6607NI0016,DC6607NI0017,DC6607NI0018,DC6607NI0019,DC6607NI0020,DC6607NI0021,DC6607NI0022,DC6607NI0023,DC6607NI0024,DC6607NI0025,DC6607NI0026,DC6607NI0027,DC6607NI0028,DC6607NI0029,DC6607NI0030,DC6607NI0031,DC6607NI0032,DC6607NI0033,DC6607NI0034,DC6607NI0035,DC6607NI0036,DC6607NI0037,DC6607NI0038,DC6607NI0039,DC6607NI0040,DC6607NI0041,DC6607NI0042
95GG21,3821,316,3505,1844,208,1636,470,50,420,836,85,751,20,4,16,48,10,38,347,32,315,123,27,96,1977,108,1869,415,26,389,247,37,210,309,15,294,790,25,765,216,5,211
95GG22,3857,508,3349,2362,388,1974,582,76,506,1189,211,978,54,14,40,146,22,124,216,29,187,175,36,139,1495,120,1375,577,58,519,224,32,192,173,11,162,406,11,395,115,8,107
95GG23,3338,656,2682,2312,446,1866,467,78,389,1333,250,1083,50,7,43,207,37,170,96,18,78,159,56,103,1026,210,816,617,133,484,180,46,134,72,11,61,115,15,100,42,5,37
95GG24,3255,534,2721,2167,379,1788,480,78,402,1236,208,1028,56,14,42,155,28,127,124,17,107,116,34,82,1088,155,933,500,73,427,149,40,109,123,15,108,234,13,221,82,14,68
95GG25,4008,513,3495,2483,379,2104,654,87,567,1224,184,1040,40,8,32,120,20,100,228,34,194,217,46,171,1525,134,1391,439,36,403,284,53,231,211,12,199,467,20,447,124,13,111
95GG26,2645,250,2395,1496,179,1317,377,43,334,781,83,698,22,6,16,54,8,46,185,26,159,77,13,64,1149,71,1078,438,25,413,127,18,109,154,10,144,311,11,300,119,7,112
95GG27,4734,472,4262,2840,369,2471,704,68,636,1325,167,1158,65,5,60,147,21,126,371,43,328,228,65,163,1894,103,1791,535,34,501,327,35,292,233,10,223,620,18,602,179,6,173
95GG28,4039,383,3656,2610,298,2312,643,67,576,1458,167,1291,41,7,34,133,17,116,220,18,202,115,22,93,1429,85,1344,502,32,470,197,28,169,193,10,183,401,10,391,136,5,131
95GG29,3704,483,3221,2489,404,2085,435,63,372,1615,255,1360,36,11,25,103,15,88,213,35,178,87,25,62,1215,79,1136,392,28,364,137,23,114,193,9,184,369,12,357,124,7,117
95GG30,3467,620,2847,2408,468,1940,513,96,417,1418,251,1167,74,30,44,185,35,150,97,20,77,121,36,85,1059,152,907,548,81,467,178,39,139,111,17,94,170,7,163,52,8,44
95GG31,4820,584,4236,2918,416,2502,675,87,588,1481,206,1275,87,9,78,160,17,143,285,41,244,230,56,174,1902,168,1734,686,56,630,344,61,283,251,16,235,468,20,448,153,15,138
95GG32,4513,510,4003,2774,365,2409,624,75,549,1531,202,1329,58,12,46,140,20,120,274,25,249,147,31,116,1739,145,1594,566,51,515,272,36,236,275,20,255,461,18,443,165,20,145
95GG33,4066,1072,2994,2868,724,2144,397,108,289,1563,378,1185,143,40,103,492,115,377,122,30,92,151,53,98,1198,348,850,574,177,397,359,117,242,114,25,89,76,6,70,75,23,52
95GG34,3644,631,3013,2578,478,2100,479,93,386,1543,275,1268,77,16,61,169,31,138,146,26,120,164,37,127,1066,153,913,484,72,412,217,51,166,95,10,85,197,11,186,73,9,64
95GG35,3613,317,3296,1771,216,1555,469,52,417,795,105,690,35,4,31,43,12,31,301,23,278,128,20,108,1842,101,1741,459,33,426,168,14,154,264,17,247,702,22,680,249,15,234
95GG36,4080,755,3325,3041,588,2453,611,116,495,1866,345,1521,98,25,73,234,51,183,115,22,93,117,29,88,1039,167,872,514,80,434,167,48,119,128,18,110,174,14,160,56,7,49
95GG37,4686,992,3694,3664,794,2870,475,114,361,2491,496,1995,105,31,74,269,77,192,183,33,150,141,43,98,1022,198,824,451,86,365,207,63,144,104,18,86,173,18,155,87,13,74
95GG38,4917,1088,3829,3779,819,2960,527,101,426,2426,471,1955,109,41,68,372,113,259,177,40,137,168,53,115,1138,269,869,500,122,378,272,96,176,99,16,83,183,17,166,84,18,66
95GG39,5725,819,4906,3474,649,2825,509,105,404,2058,339,1719,56,19,37,161,26,135,338,46,292,352,114,238,2251,170,2081,543,24,519,387,80,307,314,11,303,754,37,717,253,18,235
95GG40,2672,174,2498,1307,124,1183,352,36,316,589,53,536,11,3,8,53,6,47,227,13,214,75,13,62,1365,50,1315,404,10,394,129,20,109,234,6,228,467,10,457,131,4,127
95GG41,3833,1064,2769,2567,689,1878,485,153,332,1468,340,1128,100,46,54,324,92,232,82,24,58,108,34,74,1266,375,891,685,199,486,288,107,181,129,48,81,111,9,102,53,12,41
95GG42,6677,2114,4563,4476,1356,3120,474,119,355,1979,430,1549,133,46,87,381,99,282,103,22,81,1406,640,766,2201,758,1443,489,145,344,1453,562,891,133,29,104,71,7,64,55,15,40
95GG43,3689,499,3190,2570,388,2182,504,66,438,1603,237,1366,64,16,48,118,19,99,182,25,157,99,25,74,1119,111,1008,510,48,462,134,32,102,107,9,98,277,19,258,91,3,88
95GG44,4236,433,3803,2627,330,2297,524,56,468,1544,193,1351,31,3,28,89,17,72,293,26,267,146,35,111,1609,103,1506,433,20,413,170,24,146,270,21,249,543,21,522,193,17,176
95GG45,3392,623,2769,2150,408,1742,411,79,332,1251,227,1024,36,11,25,217,45,172,122,13,109,113,33,80,1242,215,1027,502,114,388,221,60,161,162,15,147,262,11,251,95,15,80
95GG46,3793,375,3418,1926,274,1652,539,61,478,772,114,658,54,11,43,49,12,37,335,34,301,177,42,135,1867,101,1766,403,15,388,271,34,237,295,10,285,689,31,658,209,11,198
95GG47,4310,568,3742,2408,418,1990,471,72,399,1185,201,984,56,16,40,104,25,79,426,67,359,166,37,129,1902,150,1752,428,38,390,276,38,238,297,23,274,662,33,629,239,18,221
95GG48,3863,302,3561,1842,218,1624,586,62,524,724,89,635,25,4,21,39,5,34,323,30,293,145,28,117,2021,84,1937,311,10,301,324,28,296,339,12,327,791,17,774,256,17,239
95GG49,7133,1944,5189,4734,1290,3444,475,146,329,2366,485,1881,86,32,54,209,66,143,245,52,193,1353,509,844,2399,654,1745,284,55,229,1687,545,1142,114,15,99,198,28,170,116,11,105
95GG50,4167,525,3642,2769,423,2346,471,60,411,1682,249,1433,51,8,43,116,28,88,328,50,278,121,28,93,1398,102,1296,398,20,378,163,25,138,253,21,232,430,17,413,154,19,135
95GG51,2919,230,2689,1537,168,1369,438,42,396,731,87,644,15,2,13,43,6,37,237,15,222,73,16,57,1382,62,1320,429,22,407,118,10,108,206,8,198,488,11,477,141,11,130
95HH01,1461,268,1193,921,171,750,191,48,143,544,81,463,27,5,22,60,12,48,68,11,57,31,14,17,540,97,443,310,62,248,79,17,62,50,11,39,73,5,68,28,2,26
95HH02,2190,398,1792,1601,288,1313,346,55,291,951,165,786,40,9,31,104,25,79,56,9,47,104,25,79,589,110,479,295,50,245,136,34,102,71,16,55,67,7,60,20,3,17
95HH03,1194,236,958,728,141,587,142,38,104,417,62,355,27,9,18,69,16,53,43,7,36,30,9,21,466,95,371,328,73,255,46,11,35,34,7,27,40,4,36,18,0,18
95HH04,2381,361,2020,1690,268,1422,341,54,287,1029,147,882,41,9,32,96,20,76,75,8,67,108,30,78,691,93,598,365,48,317,135,28,107,62,9,53,103,5,98,26,3,23
95HH05,1544,134,1410,1009,96,913,231,20,211,558,41,517,9,0,9,51,7,44,114,16,98,46,12,34,535,38,497,197,14,183,79,11,68,76,5,71,140,6,134,43,2,41
95HH06,3471,553,2918,2644,429,2215,544,103,441,1571,228,1343,73,17,56,198,32,166,116,10,106,142,39,103,827,124,703,330,42,288,208,55,153,105,15,90,136,9,127,48,3,45
95HH07,1095,133,962,721,107,614,157,24,133,409,61,348,15,2,13,36,4,32,79,12,67,25,4,21,374,26,348,146,5,141,52,8,44,43,4,39,99,7,92,34,2,32
95HH08,1947,389,1558,1379,271,1108,225,50,175,836,153,683,53,11,42,125,17,108,55,14,41,85,26,59,568,118,450,302,63,239,102,33,69,58,11,47,79,7,72,27,4,23
95HH09,1973,284,1689,1216,188,1028,227,32,195,735,109,626,30,5,25,65,17,48,121,11,110,38,14,24,757,96,661,333,49,284,67,13,54,65,8,57,226,18,208,66,8,58
95HH10,1769,368,1401,1285,263,1022,247,63,184,773,140,633,44,14,30,101,27,74,54,5,49,66,14,52,484,105,379,255,55,200,94,28,66,48,14,34,63,3,60,24,5,19
95HH11,998,84,914,637,57,580,149,9,140,343,31,312,11,1,10,25,4,21,87,9,78,22,3,19,361,27,334,150,14,136,26,3,23,51,5,46,96,3,93,38,2,36
95HH12,1183,159,1024,769,111,658,158,28,130,471,60,411,23,5,18,40,5,35,58,6,52,19,7,12,414,48,366,226,27,199,39,12,27,57,5,52,67,2,65,25,2,23
95HH13,991,93,898,620,79,541,164,24,140,323,40,283,13,1,12,23,4,19,76,5,71,21,5,16,371,14,357,100,6,94,36,3,33,78,2,76,116,1,115,41,2,39
95HH14,1128,133,995,654,84,570,146,26,120,359,34,325,10,2,8,22,3,19,86,8,78,31,11,20,474,49,425,216,24,192,40,9,31,56,5,51,128,11,117,34,0,34
95HH15,1917,270,1647,1358,207,1151,283,50,233,796,96,700,35,8,27,70,16,54,69,8,61,105,29,76,559,63,496,241,25,216,108,22,86,67,7,60,115,6,109,28,3,25
95HH16,1556,310,1246,1026,210,816,186,45,141,598,112,486,37,9,28,105,20,85,59,9,50,41,15,26,530,100,430,279,48,231,96,30,66,51,9,42,64,6,58,40,7,33
95HH17,1859,308,1551,1338,231,1107,248,43,205,761,124,637,56,13,43,131,23,108,59,8,51,83,20,63,521,77,444,260,31,229,110,23,87,58,12,46,60,3,57,33,8,25
95II01,2327,483,1844,1572,339,1233,331,83,248,899,158,741,64,18,46,153,43,110,50,7,43,75,30,45,755,144,611,464,90,374,131,38,93,64,8,56,61,5,56,35,3,32
95II02,3542,678,2864,2360,467,1893,448,80,368,1429,280,1149,69,24,45,182,35,147,110,14,96,122,34,88,1182,211,971,450,75,375,206,70,136,103,18,85,264,17,247,159,31,128
95II03,2626,451,2175,1993,332,1661,351,61,290,1279,200,1079,38,6,32,166,23,143,48,12,36,111,30,81,633,119,514,331,52,279,172,50,122,52,10,42,47,4,43,31,3,28
95II04,3176,458,2718,2304,380,1924,481,75,406,1385,218,1167,57,5,52,140,24,116,116,15,101,125,43,82,872,78,794,397,37,360,125,22,103,108,6,102,178,9,169,64,4,60
95II05,2476,470,2006,1756,362,1394,345,57,288,1036,211,825,46,12,34,134,31,103,68,10,58,127,41,86,720,108,612,334,56,278,166,34,132,59,9,50,111,6,105,50,3,47
95II06,2490,431,2059,1832,304,1528,334,56,278,1139,179,960,48,12,36,153,24,129,72,14,58,86,19,67,658,127,531,323,68,255,162,48,114,62,7,55,79,3,76,32,1,31
95II07,1477,160,1317,914,107,807,208,26,182,514,57,457,18,3,15,51,6,45,79,8,71,44,7,37,563,53,510,225,21,204,66,14,52,70,5,65,150,10,140,52,3,49
95II08,1721,258,1463,1243,195,1048,253,46,207,753,107,646,34,8,26,85,16,69,60,4,56,58,14,44,478,63,415,238,30,208,78,21,57,45,6,39,83,4,79,34,2,32
95II09,2408,391,2017,1796,295,1501,359,63,296,1159,180,979,40,3,37,104,18,86,59,13,46,75,18,57,612,96,516,321,50,271,108,27,81,57,9,48,92,6,86,34,4,30
95II10,1927,221,1706,1233,156,1077,283,29,254,688,82,606,21,3,18,63,7,56,101,16,85,77,19,58,694,65,629,312,27,285,93,15,78,86,12,74,151,4,147,52,7,45
95II11,1889,391,1498,1362,281,1081,253,59,194,882,174,708,41,7,34,91,18,73,42,6,36,53,17,36,527,110,417,292,56,236,106,38,68,45,4,41,54,3,51,30,9,21
95II12,1691,381,1310,1200,270,930,234,52,182,726,170,556,55,17,38,84,13,71,44,5,39,57,13,44,491,111,380,274,66,208,109,29,80,44,7,37,43,2,41,21,7,14
95II13,1928,252,1676,1313,183,1130,294,42,252,739,104,635,43,7,36,79,9,70,98,8,90,60,13,47,615,69,546,298,42,256,71,12,59,73,5,68,140,7,133,33,3,30
95II14,1821,389,1432,1267,278,989,228,60,168,798,161,637,48,15,33,99,17,82,35,7,28,59,18,41,554,111,443,360,72,288,95,28,67,39,6,33,37,3,34,23,2,21
95II15,2407,454,1953,1766,312,1454,295,56,239,1121,196,925,47,9,38,150,21,129,70,9,61,83,21,62,641,142,499,360,82,278,128,34,94,67,11,56,59,10,49,27,5,22
95II16,1495,176,1319,1001,117,884,223,31,192,603,62,541,15,1,14,48,9,39,61,5,56,51,9,42,494,59,435,242,31,211,66,15,51,61,6,55,94,4,90,31,3,28
95II17,1768,310,1458,1217,228,989,269,52,217,703,119,584,38,11,27,84,17,67,73,6,67,50,23,27,551,82,469,283,41,242,78,20,58,47,7,40,115,11,104,28,3,25
95II18,1603,230,1373,1030,165,865,213,22,191,632,101,531,21,8,13,43,9,34,72,14,58,49,11,38,573,65,508,276,30,246,62,18,44,62,4,58,130,9,121,43,4,39
95II19,2801,611,2190,1999,446,1553,392,95,297,1094,241,853,58,16,42,263,44,219,61,11,50,131,39,92,802,165,637,415,63,352,169,72,97,88,18,70,95,6,89,35,6,29
95II20,2016,376,1640,1485,262,1223,226,35,191,999,164,835,37,10,27,82,13,69,74,15,59,67,25,42,531,114,417,270,65,205,95,25,70,50,11,39,61,5,56,55,8,47
95II21,1748,189,1559,1122,147,975,279,35,244,614,76,538,20,3,17,61,6,55,99,17,82,49,10,39,626,42,584,236,12,224,74,9,65,93,9,84,174,9,165,49,3,46
95II22,1652,240,1412,1108,162,946,250,34,216,628,86,542,29,4,25,100,14,86,50,8,42,51,16,35,544,78,466,308,41,267,63,19,44,59,5,54,76,6,70,38,7,31
95II23,1562,312,1250,1109,227,882,203,38,165,673,133,540,31,10,21,88,14,74,43,9,34,71,23,48,453,85,368,195,34,161,96,28,68,46,8,38,71,6,65,45,9,36
95JJ01,1827,354,1473,1282,270,1012,222,58,164,644,122,522,58,12,46,253,57,196,64,5,59,41,16,25,545,84,461,240,38,202,107,24,83,65,11,54,83,4,79,50,7,43
95JJ02,1787,345,1442,1075,233,842,227,47,180,516,99,417,57,14,43,118,38,80,107,20,87,50,15,35,712,112,600,339,75,264,111,19,92,83,8,75,110,5,105,69,5,64
95JJ03,1760,197,1563,1074,140,934,290,46,244,495,58,437,34,7,27,51,2,49,137,12,125,67,15,52,686,57,629,160,18,142,87,15,72,143,6,137,214,14,200,82,4,78
95JJ04,2277,435,1842,1443,267,1176,274,51,223,757,136,621,52,17,35,188,31,157,118,16,102,54,16,38,834,168,666,428,101,327,113,26,87,100,18,82,112,6,106,81,17,64
95JJ05,1346,141,1205,774,103,671,175,21,154,413,47,366,23,6,17,42,11,31,83,10,73,38,8,30,572,38,534,225,15,210,63,6,57,65,4,61,147,8,139,72,5,67
95JJ06,1723,183,1540,1034,121,913,252,25,227,553,57,496,26,9,17,49,8,41,110,15,95,44,7,37,689,62,627,181,15,166,88,15,73,123,13,110,215,14,201,82,5,77
95JJ07,1869,169,1700,1161,134,1027,337,45,292,563,55,508,25,5,20,50,6,44,132,14,118,54,9,45,708,35,673,231,12,219,106,10,96,124,5,119,181,5,176,66,3,63
95JJ08,2477,550,1927,1636,382,1254,268,57,211,699,149,550,82,32,50,218,44,174,86,12,74,283,88,195,841,168,673,333,62,271,258,82,176,80,13,67,117,6,111,53,5,48
95JJ09,1488,279,1209,937,184,753,181,36,145,420,70,350,47,18,29,200,45,155,51,4,47,38,11,27,551,95,456,327,49,278,66,26,40,64,8,56,56,4,52,38,8,30
95JJ10,1919,284,1635,1266,206,1060,249,40,209,583,102,481,48,12,36,233,34,199,107,11,96,46,7,39,653,78,575,235,36,199,92,12,80,113,12,101,137,12,125,76,6,70
95JJ11,2683,537,2146,1704,363,1341,383,79,304,903,192,711,60,11,49,179,46,133,100,16,84,79,19,60,979,174,805,477,93,384,189,56,133,123,11,112,128,10,118,62,4,58
95JJ12,1905,225,1680,1267,167,1100,238,39,199,622,77,545,45,3,42,205,28,177,123,12,111,34,8,26,638,58,580,219,23,196,112,17,95,124,9,115,115,5,110,68,4,64
95JJ13,2871,513,2358,2042,362,1680,461,83,378,1159,189,970,61,17,44,171,39,132,106,16,90,84,18,66,829,151,678,354,73,281,188,47,141,131,14,117,102,6,96,54,11,43
95JJ14,1700,312,1388,1147,224,923,245,47,198,536,90,446,46,14,32,201,44,157,65,12,53,54,17,37,553,88,465,259,47,212,72,20,52,83,9,74,94,8,86,45,4,41
95JJ15,1332,276,1056,851,169,682,174,35,139,472,83,389,37,12,25,77,21,56,72,10,62,19,8,11,481,107,374,262,68,194,62,17,45,57,7,50,54,6,48,46,9,37
95JJ16,1345,243,1102,798,174,624,175,34,141,373,69,304,38,8,30,79,20,59,73,19,54,60,24,36,547,69,478,279,39,240,69,14,55,53,4,49,100,6,94,46,6,40
95JJ17,1747,319,1428,1175,248,927,205,54,151,540,111,429,54,13,41,255,49,206,77,9,68,44,12,32,572,71,501,244,24,220,108,31,77,79,10,69,94,2,92,47,4,43
95JJ18,1522,222,1300,928,156,772,192,36,156,458,80,378,37,8,29,118,19,99,91,7,84,32,6,26,594,66,528,277,32,245,82,15,67,53,5,48,115,5,110,67,9,58
95JJ19,2300,619,1681,1442,393,1049,205,49,156,580,141,439,40,9,31,127,37,90,55,16,39,435,141,294,858,226,632,357,109,248,367,88,279,50,13,37,47,7,40,37,9,28
95JJ20,3037,460,2577,2091,331,1760,450,72,378,1186,179,1007,59,15,44,150,29,121,137,15,122,109,21,88,946,129,817,425,66,359,183,37,146,118,11,107,140,6,134,80,9,71
95JJ21,2300,492,1808,1352,320,1032,225,35,190,479,60,419,30,5,25,79,20,59,111,12,99,428,188,240,948,172,776,240,27,213,389,112,277,82,10,72,182,11,171,55,12,43
95JJ22,2062,463,1599,1316,283,1033,301,81,220,711,130,581,56,13,43,110,31,79,70,15,55,68,13,55,746,180,566,438,117,321,151,50,101,63,6,57,66,6,60,28,1,27
95KK01,1869,215,1654,1108,153,955,233,43,190,488,63,425,61,4,57,176,20,156,109,13,96,41,10,31,761,62,699,212,12,200,149,35,114,109,6,103,210,6,204,81,3,78
95KK02,1450,169,1281,963,130,833,191,22,169,490,66,424,49,13,36,150,15,135,43,5,38,40,9,31,487,39,448,184,12,172,78,14,64,70,7,63,127,5,122,28,1,27
95KK03,1635,207,1428,1092,152,940,210,22,188,489,73,416,52,7,45,201,23,178,80,10,70,60,17,43,543,55,488,134,15,119,114,22,92,95,9,86,134,3,131,66,6,60
95KK04,2061,243,1818,1320,166,1154,288,31,257,703,84,619,50,8,42,97,18,79,116,6,110,66,19,47,741,77,664,190,29,161,162,18,144,108,13,95,178,11,167,103,6,97
95KK05,1884,265,1619,1205,189,1016,208,27,181,573,98,475,42,5,37,220,32,188,91,13,78,71,14,57,679,76,603,178,25,153,164,28,136,122,12,110,161,9,152,54,2,52
95KK06,1431,157,1274,876,104,772,184,18,166,497,52,445,19,3,16,66,9,57,68,8,60,42,14,28,555,53,502,187,26,161,92,10,82,68,2,66,159,8,151,49,7,42
95KK07,1472,231,1241,995,158,837,188,43,145,506,71,435,42,10,32,185,20,165,40,7,33,34,7,27,477,73,404,186,30,156,90,22,68,71,12,59,82,5,77,48,4,44
95KK08,1807,273,1534,1231,197,1034,236,41,195,697,96,601,33,6,27,162,27,135,69,12,57,34,15,19,576,76,500,193,33,160,104,22,82,90,11,79,134,8,126,55,2,53
95KK09,1602,223,1379,1053,146,907,187,26,161,616,75,541,28,5,23,99,17,82,83,12,71,40,11,29,549,77,472,197,27,170,69,23,46,70,8,62,152,11,141,61,8,53
95KK10,1536,245,1291,1082,170,912,215,28,187,505,81,424,40,7,33,215,34,181,40,5,35,67,15,52,454,75,379,157,24,133,106,30,76,73,8,65,77,8,69,41,5,36
95KK11,1725,223,1502,1115,159,956,254,39,215,594,74,520,26,9,17,83,17,66,113,9,104,45,11,34,610,64,546,240,31,209,85,11,74,71,10,61,158,3,155,56,9,47
95KK12,1669,272,1397,1091,216,875,211,43,168,513,95,418,47,9,38,166,40,126,105,12,93,49,17,32,578,56,522,132,10,122,136,30,106,105,7,98,141,5,136,64,4,60
95KK13,1347,213,1134,863,151,712,166,29,137,357,55,302,43,8,35,176,29,147,50,4,46,71,26,45,484,62,422,204,28,176,109,21,88,43,8,35,81,3,78,47,2,45
95KK14,1504,224,1280,933,161,772,182,25,157,446,80,366,32,8,24,154,22,132,71,9,62,48,17,31,571,63,508,191,11,180,142,36,106,70,4,66,105,6,99,63,6,57
95KK15,2047,311,1736,1440,237,1203,258,39,219,739,116,623,51,13,38,242,36,206,89,16,73,61,17,44,607,74,533,178,18,160,152,32,120,103,11,92,125,9,116,49,4,45
95KK16,1606,236,1370,1051,159,892,223,38,185,546,68,478,29,6,23,109,23,86,86,10,76,58,14,44,555,77,478,208,33,175,93,13,80,78,13,65,135,11,124,41,7,34
95LL01,3451,486,2965,2519,375,2144,483,72,411,1346,201,1145,88,7,81,307,39,268,146,19,127,149,37,112,932,111,821,333,35,298,218,44,174,124,15,109,201,7,194,56,10,46
95LL02,2250,263,1987,1542,199,1343,284,39,245,935,110,825,29,8,21,119,16,103,130,16,114,45,10,35,708,64,644,270,24,246,84,21,63,83,3,80,172,9,163,99,7,92
95LL03,1703,171,1532,1089,118,971,200,26,174,646,65,581,26,2,24,72,11,61,106,12,94,39,2,37,614,53,561,217,15,202,88,16,72,86,5,81,164,14,150,59,3,56
95LL04,2136,271,1865,1370,196,1174,309,51,258,732,101,631,31,4,27,104,9,95,129,12,117,65,19,46,766,75,691,272,31,241,137,22,115,106,4,102,184,11,173,67,7,60
95LL05,2976,539,2437,2131,374,1757,409,77,332,1156,193,963,84,14,70,275,48,227,80,13,67,127,29,98,845,165,680,368,87,281,172,44,128,111,12,99,132,10,122,62,12,50
95LL06,2474,324,2150,1607,223,1384,284,47,237,974,115,859,40,5,35,126,23,103,111,11,100,72,22,50,867,101,766,402,54,348,117,17,100,101,12,89,182,12,170,65,6,59
95LL07,1499,129,1370,889,81,808,187,21,166,504,39,465,13,1,12,32,2,30,123,10,113,30,8,22,610,48,562,244,19,225,65,9,56,83,4,79,145,12,133,73,4,69
95LL08,2401,193,2208,1543,140,1403,312,24,288,874,65,809,28,7,21,65,11,54,187,12,175,77,21,56,858,53,805,186,14,172,137,17,120,136,6,130,269,11,258,130,5,125
95LL09,2221,174,2047,1236,110,1126,279,29,250,633,53,580,20,1,19,54,4,50,175,12,163,75,11,64,985,64,921,331,19,312,116,16,100,120,4,116,321,17,304,97,8,89
95LL10,3941,576,3365,2835,443,2392,549,70,479,1555,235,1320,70,13,57,297,54,243,164,22,142,200,49,151,1106,133,973,373,52,321,277,52,225,119,9,110,252,15,237,85,5,80
95LL11,2852,462,2390,2092,357,1735,343,55,288,1219,222,997,75,8,67,272,42,230,84,5,79,99,25,74,760,105,655,304,36,268,160,28,132,129,23,106,116,7,109,51,11,40
95LL12,2919,271,2648,1743,188,1555,398,43,355,940,93,847,28,4,24,84,9,75,196,22,174,97,17,80,1176,83,1093,264,19,245,182,22,160,221,12,209,397,21,376,112,9,103
95LL13,2001,205,1796,1216,138,1078,234,36,198,703,62,641,23,5,18,71,11,60,121,11,110,64,13,51,785,67,718,259,32,227,110,11,99,109,7,102,234,11,223,73,6,67
95LL14,2008,197,1811,1110,123,987,257,18,239,536,68,468,22,1,21,58,8,50,150,14,136,87,14,73,898,74,824,273,29,244,126,23,103,132,7,125,281,10,271,86,5,81
95LL15,2226,394,1832,1373,267,1106,291,71,220,833,156,677,35,9,26,94,13,81,62,3,59,58,15,43,853,127,726,411,69,342,119,34,85,70,10,60,176,9,167,77,5,72
95LL16,4445,787,3658,3222,574,2648,555,113,442,2100,339,1761,64,14,50,246,46,200,132,22,110,125,40,85,1223,213,1010,521,110,411,241,65,176,146,17,129,223,13,210,92,8,84
95LL17,1846,315,1531,1180,206,974,223,37,186,713,121,592,34,10,24,80,14,66,78,11,67,52,13,39,666,109,557,333,74,259,85,18,67,67,4,63,135,5,130,46,8,38
95LL18,2411,458,1953,1601,318,1283,327,74,253,969,173,796,35,12,23,133,26,107,76,14,62,61,19,42,810,140,670,438,85,353,128,34,94,73,8,65,127,4,123,44,9,35
95LL19,3717,642,3075,2687,472,2215,504,108,396,1570,247,1323,88,19,69,272,47,225,136,17,119,117,34,83,1030,170,860,486,72,414,219,65,154,103,13,90,163,14,149,59,6,53
95LL20,1777,170,1607,1122,114,1008,252,22,230,609,54,555,19,3,16,63,5,58,107,11,96,72,19,53,655,56,599,255,23,232,83,13,70,77,8,69,170,9,161,70,3,67
95LL21,2736,324,2412,1864,235,1629,362,49,313,1123,127,996,41,7,34,124,17,107,143,13,130,71,22,49,872,89,783,364,39,325,115,19,96,110,8,102,187,14,173,96,9,87
95LL22,2702,282,2420,1815,211,1604,421,39,382,963,98,865,23,6,17,105,24,81,185,23,162,118,21,97,887,71,816,266,22,244,139,31,108,142,4,138,264,12,252,76,2,74
95LL23,1559,175,1384,922,115,807,197,23,174,560,66,494,19,3,16,43,8,35,76,8,68,27,7,20,637,60,577,257,31,226,65,10,55,85,7,78,175,7,168,55,5,50
95LL24,2680,481,2199,1965,373,1592,351,65,286,1072,212,860,80,14,66,326,52,274,84,8,76,52,22,30,715,108,607,248,36,212,160,45,115,99,12,87,139,9,130,69,6,63
95LL25,3295,653,2642,2444,494,1950,457,109,348,1464,252,1212,81,29,52,248,55,193,90,18,72,104,31,73,851,159,692,406,80,326,173,47,126,85,9,76,135,11,124,52,12,40
95LL26,2835,334,2501,1892,248,1644,324,43,281,1084,131,953,39,4,35,136,23,113,183,19,164,126,28,98,943,86,857,298,38,260,190,26,164,94,4,90,258,13,245,103,5,98
95MM01,3574,504,3070,2320,371,1949,501,66,435,1281,219,1062,70,8,62,148,23,125,241,33,208,79,22,57,1254,133,1121,449,45,404,201,39,162,182,23,159,288,19,269,134,7,127
95MM02,2516,545,1971,1570,368,1202,276,73,203,823,163,660,57,21,36,206,57,149,112,23,89,96,31,65,946,177,769,481,79,402,193,74,119,80,11,69,140,8,132,52,5,47
95MM03,2439,413,2026,1658,315,1343,293,64,229,775,145,630,62,12,50,316,58,258,155,24,131,57,12,45,781,98,683,224,21,203,169,43,126,130,21,109,151,6,145,107,7,100
95MM04,1646,219,1427,873,133,740,196,30,166,409,61,348,22,6,16,42,5,37,149,18,131,55,13,42,773,86,687,257,23,234,109,24,85,89,11,78,252,20,232,66,8,58
95MM05,1812,199,1613,859,131,728,214,28,186,303,47,256,18,1,17,48,8,40,198,35,163,78,12,66,953,68,885,237,21,216,146,19,127,117,7,110,361,15,346,92,6,86
95MM06,1906,193,1713,1016,134,882,287,39,248,426,56,370,36,11,25,60,6,54,143,11,132,64,11,53,890,59,831,309,17,292,130,26,104,120,5,115,261,6,255,70,5,65
95MM07,1863,259,1604,1108,171,937,261,42,219,573,84,489,35,9,26,74,14,60,108,12,96,57,10,47,755,88,667,300,38,262,89,19,70,80,7,73,227,16,211,59,8,51
95MM08,2175,358,1817,1290,251,1039,272,41,231,669,128,541,49,13,36,107,28,79,128,19,109,65,22,43,885,107,778,339,52,287,154,28,126,109,11,98,215,11,204,68,5,63
95MM09,2496,374,2122,1583,272,1311,295,50,245,762,130,632,52,12,40,260,40,220,136,20,116,78,20,58,913,102,811,312,36,276,167,33,134,149,17,132,217,8,209,68,8,60
95MM10,1971,177,1794,968,112,856,256,31,225,341,42,299,24,1,23,39,1,38,222,26,196,86,11,75,1003,65,938,177,4,173,203,30,173,189,16,173,322,10,312,112,5,107
