GeographyCode,LC2118NI0001,LC2118NI0002,LC2118NI0003,LC2118NI0004,LC2118NI0005,LC2118NI0006,LC2118NI0007,LC2118NI0008,LC2118NI0009,LC2118NI0010,LC2118NI0011,LC2118NI0012,LC2118NI0013,LC2118NI0014,LC2118NI0015,LC2118NI0016,LC2118NI0017,LC2118NI0018,LC2118NI0019,LC2118NI0020,LC2118NI0021,LC2118NI0022,LC2118NI0023,LC2118NI0024,LC2118NI0025,LC2118NI0026,LC2118NI0027,LC2118NI0028
95AA15S1,1013,431,499,83,223,106,105,12,726,288,379,59,449,173,236,40,141,66,68,7,136,49,75,12,64,37,15,12
95AA15S2,582,263,264,55,172,87,70,15,365,150,180,35,185,66,100,19,117,56,50,11,63,28,30,5,45,26,14,5
95AA16W1,832,158,610,64,318,60,233,25,465,88,345,32,224,44,167,13,121,18,93,10,120,26,85,9,49,10,32,7
95AA17W1,855,319,466,70,237,76,144,17,571,226,299,46,310,127,162,21,155,59,80,16,106,40,57,9,47,17,23,7
95AA18W1,1004,124,821,59,257,32,204,21,693,81,579,33,426,61,347,18,70,5,62,3,197,15,170,12,54,11,38,5
95AA19W1,832,736,86,10,157,132,22,3,612,551,54,7,427,383,39,5,128,118,9,1,57,50,6,1,63,53,10,0
95BB01S1,548,89,432,27,105,16,85,4,400,58,320,22,290,35,245,10,47,10,34,3,63,13,41,9,43,15,27,1
95BB01S2,759,59,652,48,165,13,140,12,568,38,496,34,391,22,348,21,73,7,62,4,104,9,86,9,26,8,16,2
95BB02W1,1126,95,951,80,438,39,373,26,620,44,530,46,290,20,248,22,164,11,140,13,166,13,142,11,68,12,48,8
95BB03S1,877,25,800,52,263,2,246,15,567,19,514,34,314,11,287,16,107,3,93,11,146,5,134,7,47,4,40,3
95BB03S2,899,77,747,75,214,14,185,15,631,59,515,57,379,37,312,30,78,8,59,11,174,14,144,16,54,4,47,3
95BB04S1,638,55,528,55,192,15,162,15,405,34,337,34,233,14,200,19,64,7,50,7,108,13,87,8,41,6,29,6
95BB04S2,669,38,606,25,157,11,140,6,489,25,445,19,310,18,278,14,47,3,42,2,132,4,125,3,23,2,21,0
95BB05S1,564,25,508,31,107,4,93,10,423,19,383,21,295,15,267,13,39,1,38,0,89,3,78,8,34,2,32,0
95BB05S2,754,26,678,50,175,6,159,10,541,17,487,37,354,10,323,21,71,2,59,10,116,5,105,6,38,3,32,3
95BB06W1,1518,175,1204,139,680,73,555,52,740,84,586,70,324,41,262,21,219,24,167,28,197,19,157,21,98,18,63,17
95BB07S1,819,43,713,63,343,14,311,18,450,25,386,39,179,12,154,13,132,8,111,13,139,5,121,13,26,4,16,6
95BB07S2,496,12,455,29,88,5,78,5,395,5,367,23,250,4,234,12,58,1,51,6,87,0,82,5,13,2,10,1
95BB08S1,589,38,508,43,199,7,183,9,364,24,306,34,196,14,165,17,90,6,73,11,78,4,68,6,26,7,19,0
95BB08S2,479,30,422,27,80,6,70,4,372,21,333,18,285,16,258,11,33,1,29,3,54,4,46,4,27,3,19,5
95BB09S1,561,21,498,42,141,5,126,10,388,12,352,24,240,7,218,15,51,2,46,3,97,3,88,6,32,4,20,8
95BB09S2,692,35,599,58,199,9,171,19,473,22,414,37,325,13,291,21,59,5,47,7,89,4,76,9,20,4,14,2
95BB10S1,874,63,729,82,401,29,338,34,441,28,370,43,221,21,186,14,83,4,65,14,137,3,119,15,32,6,21,5
95BB10S2,635,37,561,37,114,7,97,10,490,27,438,25,328,19,293,16,41,4,35,2,121,4,110,7,31,3,26,2
95BB11S1,621,25,557,39,206,9,183,14,397,15,359,23,195,6,176,13,109,6,95,8,93,3,88,2,18,1,15,2
95BB11S2,717,44,629,44,271,15,240,16,425,28,370,27,240,17,200,23,75,6,67,2,110,5,103,2,21,1,19,1
95BB12S1,626,81,484,61,200,28,155,17,395,48,310,37,159,16,131,12,136,19,103,14,100,13,76,11,31,5,19,7
95BB12S2,504,35,436,33,91,3,80,8,384,29,332,23,244,18,210,16,52,5,44,3,88,6,78,4,29,3,24,2
95BB13S1,508,34,422,52,88,7,72,9,405,25,339,41,256,18,222,16,87,5,63,19,62,2,54,6,15,2,11,2
95BB13S2,603,52,511,40,142,14,123,5,430,35,363,32,227,17,196,14,87,13,66,8,116,5,101,10,31,3,25,3
95BB13S3,576,33,491,52,93,6,79,8,463,27,394,42,328,15,286,27,62,1,54,7,73,11,54,8,20,0,18,2
95BB14S1,551,29,481,41,97,5,85,7,419,24,364,31,295,13,258,24,33,2,29,2,91,9,77,5,35,0,32,3
95BB14S2,621,35,534,52,162,7,145,10,437,26,374,37,286,16,249,21,53,5,45,3,98,5,80,13,22,2,15,5
95BB15S1,706,340,332,34,134,61,69,4,519,256,235,28,366,189,157,20,64,31,29,4,89,36,49,4,53,23,28,2
95BB15S2,581,375,185,21,167,112,50,5,391,248,128,15,219,137,76,6,100,67,28,5,72,44,24,4,23,15,7,1
95BB16S1,562,28,504,30,98,4,89,5,428,23,385,20,314,20,280,14,34,2,29,3,80,1,76,3,36,1,30,5
95BB16S2,614,37,547,30,127,11,111,5,457,23,412,22,322,19,287,16,39,4,34,1,96,0,91,5,30,3,24,3
95BB17S1,727,51,612,64,188,8,166,14,506,40,419,47,314,24,269,21,106,6,80,20,86,10,70,6,33,3,27,3
95BB17S2,672,38,572,62,147,8,132,7,484,29,407,48,283,21,238,24,110,3,93,14,91,5,76,10,41,1,33,7
95BB18S1,726,25,644,57,216,7,194,15,469,15,415,39,248,10,215,23,101,4,90,7,120,1,110,9,41,3,35,3
95BB18S2,912,56,797,59,156,8,138,10,701,41,613,47,501,30,440,31,65,3,58,4,135,8,115,12,55,7,46,2
95BB19S1,641,55,544,42,161,11,144,6,453,39,380,34,290,27,241,22,83,7,69,7,80,5,70,5,27,5,20,2
95BB19S2,599,45,513,41,65,4,58,3,507,40,432,35,396,28,337,31,54,7,45,2,57,5,50,2,27,1,23,3
95BB19S3,484,36,416,32,75,7,65,3,389,27,334,28,290,19,257,14,47,4,38,5,52,4,39,9,20,2,17,1
95BB20S1,677,494,158,25,170,114,48,8,475,356,103,16,332,256,69,7,69,55,10,4,74,45,24,5,32,24,7,1
95BB20S2,613,496,92,25,199,161,35,3,370,299,50,21,217,176,32,9,84,76,5,3,69,47,13,9,44,36,7,1
95BB21S1,932,32,853,47,231,6,213,12,650,23,595,32,413,12,384,17,101,7,84,10,136,4,127,5,51,3,45,3
95BB21S2,889,171,652,66,209,35,167,7,629,126,449,54,442,103,304,35,81,11,65,5,106,12,80,14,51,10,36,5
95BB22S1,596,36,499,61,143,6,126,11,427,29,353,45,241,13,203,25,103,11,84,8,83,5,66,12,26,1,20,5
95BB22S2,598,44,507,47,177,16,152,9,390,23,331,36,175,9,149,17,154,11,129,14,61,3,53,5,31,5,24,2
95BB23S1,638,65,529,44,150,13,125,12,464,50,385,29,307,37,248,22,48,2,43,3,109,11,94,4,24,2,19,3
95BB23S2,523,39,449,35,86,10,70,6,416,26,362,28,298,22,259,17,52,3,43,6,66,1,60,5,21,3,17,1
95CC01W1,904,819,68,17,234,213,16,5,589,533,44,12,320,288,26,6,184,168,12,4,85,77,6,2,81,73,8,0
95CC02W1,875,606,258,11,171,117,51,3,644,449,187,8,470,326,137,7,78,62,16,0,96,61,34,1,60,40,20,0
95CC03W1,1127,953,125,49,367,293,67,7,637,564,46,27,281,251,17,13,251,230,15,6,105,83,14,8,123,96,12,15
95CC04W1,790,534,243,13,177,102,73,2,567,399,159,9,389,277,106,6,101,71,30,0,77,51,23,3,46,33,11,2
