GeographyCode,LC4302NI0001,LC4302NI0002,LC4302NI0003,LC4302NI0004,LC4302NI0005,LC4302NI0006,LC4302NI0007,LC4302NI0008,LC4302NI0009,LC4302NI0010,LC4302NI0011,LC4302NI0012
95RR03W1,1422,399,1023,682,164,518,446,167,279,294,68,226
95RR04W1,2022,483,1539,1428,312,1116,197,83,114,397,88,309
95RR05S1,1275,255,1020,1083,215,868,26,8,18,166,32,134
95RR05S2,1194,289,905,524,108,416,429,135,294,241,46,195
95RR06W1,2206,415,1791,1801,285,1516,100,39,61,305,91,214
95RR07W1,2449,465,1984,2057,358,1699,78,32,46,314,75,239
95RR08W1,2106,371,1735,1851,314,1537,49,18,31,206,39,167
95RR09S1,2146,447,1699,1672,297,1375,229,94,135,245,56,189
95RR09S2,1525,161,1364,1054,97,957,44,8,36,427,56,371
95RR10W1,1338,349,989,581,156,425,448,140,308,309,53,256
95RR11W1,1803,355,1448,1475,272,1203,107,42,65,221,41,180
95RR12W1,1452,367,1085,1086,256,830,168,63,105,198,48,150
95RR13W1,1367,392,975,814,191,623,216,115,101,337,86,251
95RR14W1,1969,347,1622,1639,265,1374,120,40,80,210,42,168
95RR15W1,2458,438,2020,1979,327,1652,103,35,68,376,76,300
95SS01S1,1920,342,1578,1730,306,1424,35,13,22,155,23,132
95SS01S2,2830,367,2463,2484,298,2186,71,16,55,275,53,222
95SS02S1,2205,347,1858,1652,254,1398,357,57,300,196,36,160
95SS02S2,2013,207,1806,1982,200,1782,0,0,0,31,7,24
95SS03S1,1580,265,1315,1408,224,1184,8,5,3,164,36,128
95SS03S2,1790,294,1496,1673,271,1402,22,6,16,95,17,78
95SS04S1,2315,499,1816,1389,175,1214,762,283,479,164,41,123
95SS04S2,1885,292,1593,1414,167,1247,293,103,190,178,22,156
95SS04S3,3352,424,2928,2751,298,2453,202,64,138,399,62,337
95SS05S1,1572,361,1211,1029,240,789,196,71,125,347,50,297
95SS05S2,1803,291,1512,1592,242,1350,55,15,40,156,34,122
95SS06S1,1565,398,1167,739,156,583,717,216,501,109,26,83
95SS06S2,2365,595,1770,640,152,488,1525,399,1126,200,44,156
95SS06S3,1969,503,1466,752,165,587,1111,308,803,106,30,76
95SS07S1,3775,498,3277,2718,291,2427,815,168,647,242,39,203
95SS07S2,1697,235,1462,1524,199,1325,90,25,65,83,11,72
95SS07S3,3872,727,3145,2723,408,2315,664,235,429,485,84,401
95SS08S1,1934,300,1634,1770,251,1519,59,28,31,105,21,84
95SS08S2,2724,456,2268,2366,376,1990,59,20,39,299,60,239
95SS09S1,1697,204,1493,1489,170,1319,16,6,10,192,28,164
95SS09S2,1667,256,1411,1469,212,1257,94,27,67,104,17,87
95SS10S1,2199,377,1822,1629,213,1416,252,120,132,318,44,274
95SS10S2,2136,285,1851,1999,261,1738,16,6,10,121,18,103
95SS11S1,2946,440,2506,2585,373,2212,78,23,55,283,44,239
95SS11S2,2751,474,2277,2561,429,2132,43,10,33,147,35,112
95SS12W1,3054,555,2499,2547,433,2114,161,80,81,346,42,304
95SS13S1,1528,336,1192,859,186,673,308,91,217,361,59,302
95SS13S2,1376,341,1035,776,177,599,380,126,254,220,38,182
95SS14S1,1420,398,1022,713,159,554,513,187,326,194,52,142
95SS14S2,1485,264,1221,1094,174,920,228,67,161,163,23,140
95SS15S1,1793,299,1494,1558,229,1329,100,53,47,135,17,118
95SS15S2,1925,295,1630,1658,216,1442,55,35,20,212,44,168
