GeographyCode,LC2116NI0001,LC2116NI0002,LC2116NI0003,LC2116NI0004,LC2116NI0005,LC2116NI0006,LC2116NI0007,LC2116NI0008,LC2116NI0009
95GG16S3,1419,82,1337,690,45,645,729,37,692
95GG17S1,1913,41,1872,887,24,863,1026,17,1009
95GG17S2,1553,61,1492,757,34,723,796,27,769
95GG17S3,1619,78,1541,764,44,720,855,34,821
95GG18S1,2419,50,2369,1110,23,1087,1309,27,1282
95GG18S2,2301,67,2234,1133,49,1084,1168,18,1150
95GG19S1,1952,125,1827,912,63,849,1040,62,978
95GG19S2,2434,109,2325,1124,50,1074,1310,59,1251
95GG20S1,2678,175,2503,1452,110,1342,1226,65,1161
95GG20S2,1981,135,1846,948,69,879,1033,66,967
95GG21S1,1451,36,1415,703,19,684,748,17,731
95GG21S2,1653,24,1629,740,10,730,913,14,899
95GG21S3,1849,56,1793,925,35,890,924,21,903
95GG22S1,1614,34,1580,744,15,729,870,19,851
95GG22S2,1874,28,1846,862,15,847,1012,13,999
95GG22S3,1659,24,1635,755,15,740,904,9,895
95GG23S1,1366,91,1275,646,45,601,720,46,674
95GG23S2,1523,86,1437,699,49,650,824,37,787
95GG23S3,1524,90,1434,724,48,676,800,42,758
95GG24S1,1349,68,1281,570,28,542,779,40,739
95GG24S2,1489,138,1351,718,78,640,771,60,711
95GG24S3,1545,101,1444,704,53,651,841,48,793
95GG25S1,2070,30,2040,1017,16,1001,1053,14,1039
95GG25S2,1783,34,1749,863,19,844,920,15,905
95GG25S3,1513,25,1488,709,14,695,804,11,793
95GG26S1,1900,108,1792,913,63,850,987,45,942
95GG26S2,1687,105,1582,777,57,720,910,48,862
95GG27S1,1484,30,1454,718,13,705,766,17,749
95GG27S2,1543,20,1523,720,10,710,823,10,813
95GG27S3,1639,24,1615,880,13,867,759,11,748
95GG27S4,1564,33,1531,742,18,724,822,15,807
95GG28S1,2042,124,1918,992,69,923,1050,55,995
95GG28S2,1677,77,1600,800,42,758,877,35,842
95GG28S3,1676,96,1580,770,50,720,906,46,860
95GG29S1,2140,111,2029,1024,57,967,1116,54,1062
95GG29S2,2599,162,2437,1201,84,1117,1398,78,1320
95GG30S1,1535,111,1424,738,62,676,797,49,748
95GG30S2,1622,127,1495,764,72,692,858,55,803
95GG30S3,1497,99,1398,715,53,662,782,46,736
95GG31S1,2138,38,2100,1002,25,977,1136,13,1123
95GG31S2,1970,54,1916,951,32,919,1019,22,997
95GG31S3,2189,46,2143,1025,29,996,1164,17,1147
95GG32S1,3017,103,2914,1408,53,1355,1609,50,1559
95GG32S2,1488,81,1407,699,46,653,789,35,754
95GG32S3,1567,80,1487,742,40,702,825,40,785
95GG33S1,1913,129,1784,917,64,853,996,65,931
95GG33S2,1602,90,1512,778,51,727,824,39,785
95GG33S3,1902,131,1771,920,68,852,982,63,919
95GG34S1,1390,95,1295,627,43,584,763,52,711
95GG34S2,1554,49,1505,761,25,736,793,24,769
95GG34S3,1797,110,1687,885,60,825,912,50,862
95GG35S1,1894,83,1811,912,48,864,982,35,947
95GG35S2,1423,30,1393,705,14,691,718,16,702
95GG35S3,1412,36,1376,669,17,652,743,19,724
95GG36S1,1712,126,1586,829,73,756,883,53,830
95GG36S2,1834,154,1680,882,84,798,952,70,882
95GG36S3,1824,113,1711,856,61,795,968,52,916
95GG37S1,2019,150,1869,969,79,890,1050,71,979
95GG37S2,1753,141,1612,813,74,739,940,67,873
95GG37S3,2052,148,1904,1011,82,929,1041,66,975
95GG38S1,2976,157,2819,1431,90,1341,1545,67,1478
95GG38S2,1808,105,1703,810,62,748,998,43,955
95GG38S3,1517,92,1425,694,46,648,823,46,777
95GG39S1,2300,98,2202,1249,57,1192,1051,41,1010
95GG39S2,2631,142,2489,1356,91,1265,1275,51,1224
95GG39S3,2021,148,1873,996,86,910,1025,62,963
95GG40S1,1625,95,1530,754,53,701,871,42,829
95GG40S2,2029,151,1878,942,74,868,1087,77,1010
95GG41S1,1878,203,1675,909,115,794,969,88,881
95GG41S2,1482,131,1351,728,73,655,754,58,696
95GG41S3,2022,142,1880,952,76,876,1070,66,1004
95GG42S1,1782,121,1661,849,70,779,933,51,882
95GG42S2,1765,113,1652,767,60,707,998,53,945
95GG42S3,2209,203,2006,1060,110,950,1149,93,1056
95GG42S4,2175,168,2007,1088,94,994,1087,74,1013
95GG43S1,1418,94,1324,685,57,628,733,37,696
95GG43S2,1606,93,1513,751,59,692,855,34,821
95GG43S3,1635,114,1521,787,55,732,848,59,789
95GG44S1,2740,186,2554,1385,108,1277,1355,78,1277
95GG44S2,2598,158,2440,1321,88,1233,1277,70,1207
95GG45S1,1625,100,1525,765,49,716,860,51,809
95GG45S2,1484,123,1361,690,69,621,794,54,740
95GG45S3,1549,109,1440,707,62,645,842,47,795
95GG46S1,1657,24,1633,774,10,764,883,14,869
95GG46S2,1777,14,1763,824,10,814,953,4,949
95GG46S3,1615,22,1593,774,10,764,841,12,829
95GG47S1,2222,56,2166,1180,34,1146,1042,22,1020
95GG47S2,1647,34,1613,791,12,779,856,22,834
95GG47S3,1719,46,1673,881,27,854,838,19,819
95GG48S1,1535,21,1514,721,9,712,814,12,802
95GG48S2,2297,22,2275,1059,11,1048,1238,11,1227
95GG48S3,1600,24,1576,747,16,731,853,8,845
95GG49S1,1633,108,1525,764,56,708,869,52,817
95GG49S2,2227,198,2029,1185,118,1067,1042,80,962
95GG49S3,2087,144,1943,991,75,916,1096,69,1027
95GG49S4,2027,150,1877,963,94,869,1064,56,1008
95GG50S1,1433,131,1302,689,72,617,744,59,685
95GG50S2,1964,135,1829,930,76,854,1034,59,975
95GG50S3,1822,143,1679,897,90,807,925,53,872
95GG51S1,1288,76,1212,608,44,564,680,32,648
95GG51S2,1335,87,1248,640,53,587,695,34,661
95GG51S3,1275,70,1205,612,35,577,663,35,628
95HH01W1,1983,212,1771,949,112,837,1034,100,934
95HH02S1,1314,123,1191,646,69,577,668,54,614
95HH02S2,1547,123,1424,790,67,723,757,56,701
95HH03W1,1625,233,1392,765,121,644,860,112,748
95HH04S1,1661,108,1553,804,58,746,857,50,807
95HH04S2,1328,117,1211,658,65,593,670,52,618
95HH05W1,2051,140,1911,970,75,895,1081,65,1016
95HH06S1,2149,187,1962,1079,103,976,1070,84,986
95HH06S2,2453,156,2297,1212,96,1116,1241,60,1181
95HH07W1,1438,111,1327,704,56,648,734,55,679
95HH08W1,2530,234,2296,1198,129,1069,1332,105,1227
95HH09W1,2541,236,2305,1209,118,1091,1332,118,1214
95HH10W1,2407,212,2195,1186,118,1068,1221,94,1127
95HH11W1,1358,138,1220,608,69,539,750,69,681
95HH12W1,1503,157,1346,720,72,648,783,85,698
95HH13W1,1340,102,1238,638,57,581,702,45,657
95HH14W1,1481,129,1352,704,66,638,777,63,714
95HH15W1,2551,220,2331,1159,105,1054,1392,115,1277
95HH16W1,2093,268,1825,999,139,860,1094,129,965
95HH17W1,2386,337,2049,1184,175,1009,1202,162,1040
95II01S1,1502,129,1373,738,71,667,764,58,706
95II01S2,1505,159,1346,739,90,649,766,69,697
95II02S1,1720,102,1618,886,60,826,834,42,792
95II02S2,1642,114,1528,803,58,745,839,56,783
95II02S3,1438,133,1305,689,78,611,749,55,694
95II03S1,1676,70,1606,811,38,773,865,32,833
95II03S2,1704,83,1621,821,44,777,883,39,844
95II04S1,2264,143,2121,1102,74,1028,1162,69,1093
95II04S2,1879,107,1772,890,52,838,989,55,934
95II05S1,1598,98,1500,771,43,728,827,55,772
95II05S2,1831,108,1723,846,57,789,985,51,934
95II06S1,1459,75,1384,715,36,679,744,39,705
95II06S2,1766,100,1666,837,59,778,929,41,888
95II07W1,1999,121,1878,937,64,873,1062,57,1005
95II08W1,2322,200,2122,1098,97,1001,1224,103,1121
95II09S1,1885,137,1748,906,78,828,979,59,920
95II09S2,1353,90,1263,649,48,601,704,42,662
95II10W1,2501,151,2350,1192,85,1107,1309,66,1243
95II11W1,2470,181,2289,1169,101,1068,1301,80,1221
95II12W1,2435,206,2229,1172,120,1052,1263,86,1177
95II13W1,2578,182,2396,1221,98,1123,1357,84,1273
95II14W1,2473,195,2278,1177,105,1072,1296,90,1206
95II15S1,1686,82,1604,811,46,765,875,36,839
95II15S2,1513,135,1378,746,76,670,767,59,708
95II16W1,2060,139,1921,1000,76,924,1060,63,997
95II17W1,2424,226,2198,1159,130,1029,1265,96,1169
95II18W1,2155,165,1990,1003,89,914,1152,76,1076
95II19S1,1797,184,1613,911,109,802,886,75,811
95II19S2,1886,184,1702,951,107,844,935,77,858
95II20W1,2654,169,2485,1207,86,1121,1447,83,1364
95II21W1,2301,138,2163,1059,73,986,1242,65,1177
95II22W1,2164,159,2005,1005,87,918,1159,72,1087
95II23W1,2116,125,1991,981,58,923,1135,67,1068
95JJ01W1,2416,610,1806,1226,321,905,1190,289,901
95JJ02W1,2315,372,1943,1125,204,921,1190,168,1022
95JJ03S1,1315,177,1138,643,98,545,672,79,593
95JJ03S2,1023,116,907,490,65,425,533,51,482
95JJ04S1,1486,246,1240,746,128,618,740,118,622
95JJ04S2,1511,243,1268,728,127,601,783,116,667
95JJ05W1,1771,244,1527,855,126,729,916,118,798
95JJ06W1,2357,254,2103,1139,132,1007,1218,122,1096
95JJ07W1,2517,327,2190,1150,168,982,1367,159,1208
95JJ08S1,1341,357,984,673,186,487,668,171,497
95JJ08S2,1834,222,1612,853,122,731,981,100,881
95JJ09W1,1948,709,1239,989,375,614,959,334,625
95JJ10W1,2679,406,2273,1354,196,1158,1325,210,1115
95JJ11S1,1756,296,1460,842,149,693,914,147,767
95JJ11S2,1883,324,1559,890,169,721,993,155,838
95JJ12W1,2595,310,2285,1310,151,1159,1285,159,1126
95JJ13S1,2037,270,1767,991,151,840,1046,119,927
95JJ13S2,1688,264,1424,847,145,702,841,119,722
95JJ14W1,2242,451,1791,1117,240,877,1125,211,914
95JJ15W1,1813,286,1527,865,155,710,948,131,817
95JJ16W1,1750,217,1533,838,105,733,912,112,800
95JJ17W1,2360,361,1999,1225,188,1037,1135,173,962
95JJ18W1,1983,286,1697,963,146,817,1020,140,880
95JJ19S1,1653,228,1425,798,116,682,855,112,743
95JJ19S2,1221,146,1075,551,72,479,670,74,596
