GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
95FF06S1,1974,162,1812,1643,94,1549,331,68,263,1657,95,1562,91,12,79,1566,83,1483,317,67,250,240,56,184,77,11,66
95FF06S2,2080,83,1997,1830,56,1774,250,27,223,1837,61,1776,76,10,66,1761,51,1710,243,22,221,174,17,157,69,5,64
95FF07W1,2763,603,2160,2123,392,1731,640,211,429,2102,395,1707,132,45,87,1970,350,1620,661,208,453,508,166,342,153,42,111
95FF08W1,2328,352,1976,1791,174,1617,537,178,359,1791,188,1603,116,31,85,1675,157,1518,537,164,373,421,147,274,116,17,99
95FF09W1,2521,352,2169,1934,199,1735,587,153,434,1921,190,1731,128,20,108,1793,170,1623,600,162,438,459,133,326,141,29,112
95FF10W1,3473,93,3380,2954,47,2907,519,46,473,2924,43,2881,142,9,133,2782,34,2748,549,50,499,377,37,340,172,13,159
95FF11W1,2582,70,2512,2150,26,2124,432,44,388,2159,29,2130,100,6,94,2059,23,2036,423,41,382,332,38,294,91,3,88
95FF12W1,2721,168,2553,2168,92,2076,553,76,477,2188,89,2099,139,13,126,2049,76,1973,533,79,454,414,63,351,119,16,103
95FF13W1,2708,123,2585,2197,51,2146,511,72,439,2221,49,2172,127,13,114,2094,36,2058,487,74,413,384,59,325,103,15,88
95FF14W1,2413,58,2355,2021,29,1992,392,29,363,2031,27,2004,99,5,94,1932,22,1910,382,31,351,293,24,269,89,7,82
95FF15W1,2680,333,2347,2103,180,1923,577,153,424,2102,189,1913,131,32,99,1971,157,1814,578,144,434,446,121,325,132,23,109
95FF16W1,2317,208,2109,1892,117,1775,425,91,334,1881,113,1768,110,18,92,1771,95,1676,436,95,341,315,73,242,121,22,99
95FF17W1,1717,442,1275,1258,249,1009,459,193,266,1259,259,1000,96,35,61,1163,224,939,458,183,275,363,158,205,95,25,70
95GG01S1,1765,361,1404,1151,163,988,614,198,416,1202,175,1027,123,28,95,1079,147,932,563,186,377,491,170,321,72,16,56
95GG01S2,1464,442,1022,958,209,749,506,233,273,975,218,757,101,41,60,874,177,697,489,224,265,405,192,213,84,32,52
95GG01S3,1616,463,1153,1124,267,857,492,196,296,1157,267,890,104,30,74,1053,237,816,459,196,263,388,166,222,71,30,41
95GG02S1,1745,915,830,1213,593,620,532,322,210,1192,576,616,82,46,36,1110,530,580,553,339,214,450,276,174,103,63,40
95GG02S2,2018,1194,824,1416,827,589,602,367,235,1389,821,568,96,67,29,1293,754,539,629,373,256,506,300,206,123,73,50
