GeographyCode,LC2103NI0001,LC2103NI0002,LC2103NI0003,LC2103NI0004,LC2103NI0005,LC2103NI0006,LC2103NI0007,LC2103NI0008,LC2103NI0009,LC2103NI0010,LC2103NI0011,LC2103NI0012,LC2103NI0013,LC2103NI0014,LC2103NI0015,LC2103NI0016
95YY04W1,3489,2949,246,294,1234,1090,45,99,563,420,39,104,1692,1439,162,91
95YY05W1,1675,1408,130,137,407,349,30,28,197,141,14,42,1071,918,86,67
95YY06W1,2394,2183,150,61,872,822,31,19,320,283,17,20,1202,1078,102,22
95YY07W1,2916,2673,144,99,1155,1081,20,54,341,294,19,28,1420,1298,105,17
95YY08W1,2231,2096,97,38,789,755,17,17,264,253,9,2,1178,1088,71,19
95YY09W1,2315,1945,164,206,637,552,24,61,286,196,16,74,1392,1197,124,71
95YY10W1,2142,2025,103,14,719,695,19,5,196,190,6,0,1227,1140,78,9
95YY11W1,2046,1835,130,81,653,594,28,31,282,241,12,29,1111,1000,90,21
95YY12W1,2836,2544,181,111,1012,939,32,41,371,317,23,31,1453,1288,126,39
95YY13S1,1488,1334,72,82,579,538,18,23,255,202,16,37,654,594,38,22
95YY13S2,1345,1199,93,53,395,361,15,19,185,156,12,17,765,682,66,17
95YY14S1,1532,1350,111,71,588,551,23,14,229,183,15,31,715,616,73,26
95YY14S2,1564,1404,106,54,597,565,13,19,257,223,19,15,710,616,74,20
95YY15S1,364,313,34,17,66,60,2,4,48,36,3,9,250,217,29,4
95YY15S2,1669,1373,119,177,689,585,38,66,290,210,19,61,690,578,62,50
95YY16W1,2392,2230,117,45,842,805,17,20,307,286,13,8,1243,1139,87,17
95YY17W1,2350,2186,113,51,874,836,17,21,321,297,12,12,1155,1053,84,18
95YY18W1,2374,2201,111,62,933,888,19,26,288,243,26,19,1153,1070,66,17
95YY19W1,1496,1221,96,179,383,320,17,46,257,162,13,82,856,739,66,51
95YY20W1,2330,2186,111,33,868,827,29,12,328,299,22,7,1134,1060,60,14
95YY21W1,2440,2274,133,33,888,853,20,15,336,322,10,4,1216,1099,103,14
95ZZ01W1,2760,2498,230,32,953,921,26,6,320,302,16,2,1487,1275,188,24
95ZZ02W1,1827,1613,199,15,631,604,23,4,235,209,19,7,961,800,157,4
95ZZ03W1,2109,1743,261,105,647,573,36,38,275,221,24,30,1187,949,201,37
95ZZ04W1,2670,2463,175,32,895,853,35,7,351,327,18,6,1424,1283,122,19
95ZZ05W1,2187,2064,116,7,785,761,23,1,242,229,11,2,1160,1074,82,4
95ZZ06W1,1714,1536,158,20,572,545,19,8,211,194,14,3,931,797,125,9
95ZZ07W1,2807,2479,305,23,1012,963,43,6,396,364,24,8,1399,1152,238,9
95ZZ08W1,2593,2256,309,28,910,851,49,10,330,308,16,6,1353,1097,244,12
95ZZ09W1,2269,2086,136,47,738,711,19,8,288,249,24,15,1243,1126,93,24
95ZZ10W1,3179,2715,401,63,1098,1010,67,21,442,381,42,19,1639,1324,292,23
95ZZ11W1,2223,2076,134,13,753,728,22,3,263,246,16,1,1207,1102,96,9
95ZZ12W1,2190,1965,203,22,704,668,29,7,262,245,15,2,1224,1052,159,13
95ZZ13W1,2533,2300,203,30,870,828,37,5,325,302,13,10,1338,1170,153,15
95ZZ14S1,1876,1495,243,138,719,636,39,44,272,189,22,61,885,670,182,33
95ZZ14S2,1356,1170,149,37,460,432,16,12,163,134,14,15,733,604,119,10
95ZZ15W1,2288,2138,133,17,769,746,16,7,259,248,8,3,1260,1144,109,7
95ZZ16S1,1911,1671,193,47,804,754,30,20,304,268,21,15,803,649,142,12
95ZZ16S2,1351,1174,169,8,368,352,13,3,140,138,2,0,843,684,154,5
