GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
N00000832,95,4,3,1,12,2,1,4,5,5,3,1,0,1,0,18,16,2,14,1,4,5,4,9,5,4,10,7,3,7,1,6,16,0,16
N00000833,97,10,7,3,9,2,4,2,1,9,0,3,0,4,2,16,14,2,9,0,0,4,5,11,10,1,13,13,0,5,1,4,15,2,13
N00000834,131,6,4,2,24,7,1,6,10,11,1,4,1,0,5,27,23,4,16,1,6,9,0,12,9,3,9,9,0,11,4,7,15,1,14
N00000835,101,5,3,2,15,2,2,5,6,5,1,2,0,0,2,10,10,0,9,0,4,2,3,18,15,3,21,18,3,7,2,5,11,0,11
N00000836,124,4,3,1,13,4,2,1,6,8,2,2,0,1,3,23,16,7,13,1,3,4,5,18,16,2,15,13,2,11,2,9,19,0,19
N00000837,128,9,6,3,17,1,6,7,3,11,1,2,1,2,5,19,14,5,18,1,3,10,4,11,8,3,15,15,0,6,1,5,22,1,21
N00000838,108,1,1,0,21,1,9,4,7,6,2,0,0,1,3,11,7,4,14,0,8,6,0,15,13,2,14,12,2,6,3,3,20,2,18
N00000839,144,6,3,3,33,6,9,14,4,16,5,3,0,2,6,30,26,4,8,0,3,2,3,17,16,1,13,12,1,6,1,5,15,1,14
N00000840,112,7,6,1,17,3,2,10,2,10,2,4,0,2,2,24,18,6,11,0,5,4,2,12,11,1,14,12,2,4,2,2,13,0,13
N00000841,61,2,2,0,5,1,0,0,4,6,1,1,0,0,4,5,5,0,6,1,4,0,1,7,4,3,10,10,0,2,1,1,18,3,15
N00000842,127,4,1,3,13,4,2,3,4,3,0,0,0,2,1,15,14,1,11,0,4,3,4,17,12,5,27,21,6,11,5,6,26,0,26
N00000843,78,6,2,4,6,0,1,1,4,7,1,1,0,2,3,6,4,2,9,0,3,5,1,12,9,3,11,10,1,8,1,7,13,1,12
N00000844,84,3,2,1,5,0,1,1,3,5,2,0,0,0,3,15,12,3,9,0,5,2,2,10,9,1,19,17,2,4,2,2,14,0,14
N00000845,62,3,2,1,4,1,0,0,3,4,0,2,0,0,2,16,10,6,10,0,6,2,2,5,2,3,8,7,1,3,2,1,9,0,9
N00000846,81,3,3,0,6,2,2,0,2,7,0,2,1,2,2,12,10,2,8,0,5,2,1,8,6,2,9,7,2,6,1,5,22,1,21
N00000847,213,5,3,2,10,1,3,1,5,9,1,0,0,4,4,46,37,9,23,0,9,4,10,24,15,9,38,32,6,10,3,7,48,2,46
N00000848,59,2,1,1,2,1,0,0,1,4,0,1,0,0,3,7,6,1,4,0,1,0,3,12,8,4,5,3,2,3,1,2,20,3,17
N00000849,112,2,2,0,7,2,0,3,2,6,3,1,0,1,1,22,14,8,9,1,3,1,4,20,15,5,19,17,2,10,4,6,17,3,14
N00000850,82,1,1,0,2,0,0,1,1,5,1,1,0,1,2,11,6,5,7,0,2,1,4,13,9,4,17,15,2,8,0,8,18,0,18
N00000851,70,2,1,1,0,0,0,0,0,5,2,1,0,0,2,9,7,2,10,0,6,1,3,8,4,4,16,16,0,6,1,5,14,0,14
N00000852,270,9,6,3,20,5,4,6,5,12,1,2,1,5,3,54,35,19,28,0,13,7,8,35,28,7,57,48,9,12,6,6,43,1,42
N00000853,76,6,4,2,1,0,0,0,1,3,0,2,0,0,1,9,7,2,3,0,0,2,1,15,12,3,18,18,0,8,2,6,13,0,13
N00000854,200,8,3,5,7,1,1,4,1,10,0,1,0,2,7,34,28,6,12,0,3,5,4,26,20,6,46,40,6,12,5,7,45,4,41
N00000855,96,5,4,1,29,8,6,9,6,13,0,3,0,4,6,22,20,2,9,1,3,1,4,5,4,1,4,3,1,1,1,0,8,1,7
N00000856,92,9,7,2,44,8,8,14,14,12,1,1,1,2,7,10,8,2,3,0,1,2,0,4,4,0,6,5,1,2,1,1,2,1,1
N00000857,190,26,20,6,62,13,19,12,18,32,3,1,1,4,23,27,21,6,10,0,3,6,1,9,4,5,9,9,0,5,2,3,10,1,9
N00000858,122,9,6,3,33,4,11,7,11,19,4,2,0,4,9,22,20,2,8,0,2,3,3,7,6,1,8,7,1,6,3,3,10,0,10
N00000859,167,14,7,7,44,7,16,6,15,24,3,4,1,4,12,34,29,5,13,0,5,3,5,10,5,5,7,6,1,5,2,3,16,2,14
N00000860,201,20,11,9,67,13,17,18,19,27,4,3,2,3,15,40,35,5,15,0,6,5,4,7,6,1,12,11,1,4,2,2,9,1,8
N00000861,143,12,10,2,56,11,13,12,20,21,2,3,1,4,11,25,21,4,6,0,2,1,3,13,9,4,5,5,0,2,0,2,3,0,3
N00000862,471,50,31,19,152,17,40,39,56,64,13,7,1,15,28,61,44,17,30,2,11,6,11,29,17,12,45,37,8,10,1,9,30,0,30
N00000863,133,10,5,5,26,7,5,6,8,22,6,3,0,6,7,23,20,3,13,0,6,2,5,12,8,4,13,11,2,9,2,7,5,0,5
N00000864,162,20,11,9,58,8,10,19,21,27,0,4,0,13,10,20,15,5,9,0,5,3,1,9,7,2,8,7,1,4,1,3,7,0,7
N00000865,184,12,8,4,59,15,17,11,16,30,3,1,2,7,17,18,16,2,14,1,2,2,9,20,16,4,16,13,3,7,3,4,8,2,6
N00000866,209,28,16,12,57,13,12,6,26,28,6,1,0,8,13,32,28,4,16,1,3,3,9,10,5,5,14,11,3,8,4,4,16,0,16
N00000867,176,19,13,6,42,14,8,7,13,24,2,2,3,8,9,24,19,5,11,0,7,0,4,20,15,5,12,8,4,8,3,5,16,0,16
N00000868,173,22,15,7,48,12,11,7,18,21,3,3,1,7,7,27,23,4,12,1,5,4,2,14,9,5,18,16,2,3,0,3,8,0,8
N00000869,73,4,3,1,10,0,4,2,4,7,1,1,0,0,5,13,10,3,7,0,2,2,3,8,7,1,8,5,3,7,1,6,9,2,7
N00000870,226,22,11,11,46,9,6,9,22,39,5,8,1,8,17,36,27,9,19,2,9,4,4,12,7,5,24,20,4,10,4,6,18,2,16
N00000871,152,18,12,6,36,8,8,9,11,19,2,1,0,7,9,26,24,2,7,1,5,1,0,13,11,2,19,18,1,4,0,4,10,1,9
N00000872,107,8,4,4,19,6,5,6,2,18,1,2,0,5,10,11,9,2,6,1,1,1,3,8,5,3,17,13,4,5,2,3,15,1,14
N00000873,118,6,3,3,12,1,3,4,4,6,4,0,0,1,1,16,12,4,8,1,1,1,5,13,10,3,16,16,0,11,1,10,30,3,27
N00000874,214,19,12,7,60,34,6,3,17,19,3,3,0,4,9,24,21,3,9,1,0,5,3,13,10,3,22,14,8,10,6,4,38,2,36
N00000875,87,2,0,2,6,3,2,0,1,4,0,2,0,0,2,14,13,1,6,1,2,0,3,13,9,4,6,6,0,8,2,6,28,2,26
N00000876,38,1,0,1,5,0,1,1,3,2,0,0,0,1,1,6,4,2,7,0,1,2,4,2,1,1,7,6,1,4,2,2,4,0,4
N00000877,111,0,0,0,7,1,2,0,4,9,2,1,0,1,5,21,17,4,12,0,4,2,6,17,13,4,19,16,3,5,4,1,21,3,18
N00000878,69,2,0,2,3,1,0,1,1,4,1,0,0,2,1,7,6,1,9,2,4,0,3,10,8,2,8,6,2,3,1,2,23,2,21
N00000879,301,12,7,5,18,4,8,4,2,24,5,6,1,5,7,41,35,6,37,0,11,11,15,32,22,10,43,37,6,16,5,11,78,4,74
N00000880,84,2,1,1,6,0,2,0,4,4,1,1,0,1,1,4,3,1,12,0,3,8,1,12,10,2,18,16,2,3,1,2,23,2,21
N00000881,100,2,2,0,7,1,2,2,2,3,0,0,0,0,3,16,15,1,7,0,3,1,3,13,6,7,15,13,2,13,10,3,24,3,21
N00000882,76,7,3,4,2,0,0,1,1,1,0,0,0,0,1,10,8,2,6,0,2,1,3,12,10,2,11,10,1,10,2,8,17,2,15
N00000883,91,5,4,1,13,4,3,3,3,5,1,1,0,0,3,9,6,3,10,0,3,5,2,9,6,3,15,12,3,6,3,3,19,0,19
N00000884,81,4,3,1,4,1,2,0,1,8,2,0,1,2,3,17,13,4,8,0,2,1,5,12,11,1,8,7,1,9,2,7,11,3,8
N00000885,259,17,10,7,32,10,5,3,14,16,2,3,0,3,8,35,28,7,24,1,6,6,11,24,16,8,37,25,12,19,8,11,55,3,52
N00000886,154,16,12,4,34,6,5,7,16,19,2,4,2,6,5,25,24,1,11,0,4,4,3,6,3,3,19,14,5,1,1,0,23,1,22
N00000887,159,12,7,5,63,10,15,14,24,12,2,0,2,2,6,15,13,2,12,0,1,6,5,16,9,7,9,8,1,7,4,3,13,0,13
N00000888,188,16,6,10,56,13,14,13,16,22,6,0,0,9,7,34,28,6,9,1,4,1,3,11,11,0,17,11,6,6,3,3,17,0,17
N00000889,152,9,4,5,73,14,19,17,23,21,1,1,0,11,8,10,9,1,5,1,1,1,2,15,11,4,11,9,2,1,1,0,7,0,7
N00000890,192,18,10,8,51,11,6,11,23,25,4,1,2,5,13,33,24,9,12,0,2,4,6,16,13,3,12,8,4,8,7,1,17,0,17
N00000891,210,21,9,12,44,7,11,7,19,36,4,3,0,13,16,36,27,9,9,0,5,1,3,13,7,6,22,15,7,5,2,3,24,0,24
N00000892,195,8,3,5,50,10,13,15,12,21,0,1,0,5,15,30,27,3,8,1,3,1,3,18,13,5,22,14,8,9,4,5,29,2,27
N00000893,195,10,5,5,66,19,15,11,21,26,7,0,0,7,12,28,26,2,17,1,10,1,5,13,5,8,12,8,4,5,3,2,18,1,17
N00000894,163,16,10,6,48,13,10,11,14,20,3,3,1,3,10,23,20,3,15,0,4,0,11,8,6,2,14,6,8,4,1,3,15,1,14
N00000895,145,8,5,3,29,6,8,3,12,23,5,5,0,3,10,21,19,2,6,0,2,2,2,14,12,2,12,9,3,10,5,5,22,2,20
N00000896,174,8,3,5,60,13,15,15,17,25,3,5,1,7,9,32,28,4,6,0,2,0,4,15,12,3,14,9,5,1,0,1,13,1,12
N00000897,201,12,9,3,76,27,6,20,23,36,9,5,0,4,18,26,25,1,10,0,2,4,4,11,8,3,10,10,0,10,4,6,10,0,10
N00000898,196,15,7,8,62,14,19,7,22,24,7,3,0,7,7,29,27,2,15,0,3,4,8,17,11,6,14,9,5,5,0,5,15,1,14
N00000899,171,5,4,1,52,22,12,7,11,24,0,2,1,9,12,17,16,1,7,0,2,1,4,11,10,1,14,9,5,17,15,2,24,0,24
N00000900,86,3,2,1,8,3,1,2,2,8,0,3,0,1,4,16,15,1,9,0,4,2,3,11,11,0,11,10,1,4,3,1,16,0,16
N00000901,196,15,11,4,46,16,8,8,14,30,9,3,0,7,11,35,33,2,5,0,1,2,2,9,9,0,21,10,11,7,3,4,28,3,25
N00000902,204,14,11,3,64,26,15,9,14,29,6,3,0,4,16,24,19,5,7,0,2,3,2,15,10,5,23,16,7,3,2,1,25,2,23
N00000903,80,3,1,2,8,4,1,2,1,6,0,0,0,3,3,7,5,2,23,0,4,4,15,6,5,1,9,7,2,4,3,1,14,1,13
N00000904,251,19,10,9,82,23,22,12,25,27,5,2,1,8,11,38,32,6,16,0,3,1,12,20,18,2,17,12,5,8,4,4,24,1,23
N00000905,169,10,7,3,40,10,10,5,15,16,3,6,0,3,4,22,20,2,6,0,0,3,3,23,17,6,18,15,3,6,4,2,28,4,24
N00000906,126,3,2,1,13,1,6,4,2,9,1,1,0,3,4,22,17,5,13,0,8,2,3,15,11,4,19,16,3,16,4,12,16,1,15
N00000907,123,7,5,2,10,1,3,2,4,7,0,2,0,0,5,14,13,1,7,0,3,2,2,19,10,9,24,21,3,14,7,7,21,1,20
N00000908,126,4,3,1,7,0,3,1,3,9,2,1,2,1,3,25,18,7,13,1,5,5,2,18,13,5,19,14,5,5,3,2,26,3,23
N00000909,81,1,1,0,5,1,2,0,2,10,1,2,1,2,4,11,9,2,12,0,7,3,2,10,8,2,8,8,0,7,4,3,17,1,16
N00000910,113,7,5,2,8,1,4,1,2,8,2,1,1,1,3,15,11,4,11,0,5,1,5,17,11,6,16,15,1,11,5,6,20,3,17
N00000911,75,1,1,0,3,1,0,0,2,4,0,0,1,1,2,13,10,3,8,0,5,1,2,11,8,3,6,6,0,6,5,1,23,1,22
N00000912,87,3,3,0,2,0,2,0,0,4,2,0,1,1,0,10,9,1,6,0,2,2,2,21,14,7,13,13,0,7,3,4,21,0,21
N00000913,124,3,3,0,4,2,1,0,1,7,0,3,1,0,3,17,12,5,19,0,11,5,3,13,11,2,17,14,3,12,5,7,32,1,31
N00000914,129,8,5,3,9,1,6,1,1,12,3,0,1,3,5,14,9,5,21,0,12,2,7,14,9,5,10,8,2,11,2,9,30,3,27
N00000915,108,3,3,0,5,2,1,0,2,12,2,1,0,2,7,19,15,4,15,0,5,3,7,16,7,9,9,9,0,10,4,6,19,1,18
N00000916,108,4,4,0,6,2,1,1,2,9,0,2,0,1,6,21,15,6,13,1,5,5,2,11,8,3,15,12,3,14,2,12,15,1,14
N00000917,96,7,5,2,9,2,2,1,4,9,3,3,0,0,3,16,12,4,9,0,2,2,5,13,6,7,15,14,1,7,4,3,11,0,11
N00000918,133,4,2,2,16,3,1,4,8,9,3,3,0,1,2,20,20,0,9,0,4,2,3,10,6,4,19,14,5,16,3,13,30,4,26
N00000919,104,3,2,1,14,1,6,7,0,10,1,2,2,0,5,12,10,2,15,1,7,6,1,15,15,0,17,16,1,8,2,6,10,1,9
N00000920,61,5,3,2,4,0,1,1,2,4,0,1,0,1,2,9,7,2,8,0,6,1,1,4,2,2,12,10,2,2,1,1,13,0,13
N00000921,371,27,20,7,46,15,11,9,11,33,2,4,5,1,21,58,48,10,59,3,29,15,12,41,30,11,38,30,8,24,14,10,45,3,42
N00000922,127,6,5,1,23,6,3,9,5,12,2,3,1,1,5,23,21,2,12,1,5,1,5,11,8,3,21,18,3,5,1,4,14,0,14
N00000923,125,7,4,3,19,2,3,3,11,9,0,2,2,1,4,21,18,3,14,0,9,2,3,16,10,6,14,10,4,4,2,2,21,0,21
N00000924,96,7,6,1,8,2,0,2,4,8,1,0,1,0,6,17,13,4,10,0,5,3,2,16,10,6,8,7,1,11,5,6,11,2,9
N00000925,124,8,7,1,6,2,1,1,2,8,1,1,0,1,5,21,18,3,14,1,3,7,3,15,15,0,17,11,6,13,3,10,22,0,22
N00000926,109,1,0,1,10,2,2,3,3,6,2,1,0,0,3,27,19,8,6,0,3,2,1,16,15,1,15,14,1,9,2,7,19,1,18
N00000927,219,10,9,1,88,4,74,5,5,14,1,4,1,0,8,26,22,4,7,0,4,1,2,24,20,4,19,18,1,5,4,1,26,1,25
N00000928,168,9,6,3,30,5,9,9,7,7,0,0,1,2,4,42,28,14,18,0,5,8,5,13,9,4,20,17,3,11,3,8,18,0,18
N00000929,142,4,1,3,20,4,7,4,5,9,2,2,0,1,4,28,22,6,12,0,5,3,4,19,11,8,22,19,3,6,4,2,22,1,21
N00000930,110,7,2,5,10,2,5,1,2,12,3,1,0,3,5,19,15,4,6,0,4,0,2,19,13,6,11,7,4,8,2,6,18,2,16
N00000931,139,2,0,2,12,1,7,2,2,10,1,5,0,0,4,27,22,5,13,0,5,4,4,20,13,7,15,13,2,10,5,5,30,3,27
N00000932,116,10,7,3,14,2,9,2,1,6,0,0,3,1,2,22,17,5,10,0,4,3,3,16,14,2,12,10,2,9,7,2,17,1,16
N00000933,103,8,3,5,18,2,9,2,5,7,2,1,0,1,3,20,16,4,3,1,1,0,1,13,10,3,15,13,2,8,3,5,11,0,11
N00000934,128,3,2,1,16,2,7,2,5,17,4,3,0,2,8,23,21,2,10,0,3,3,4,13,10,3,12,11,1,8,5,3,26,2,24
N00000935,92,1,0,1,11,2,4,1,4,6,1,1,0,1,3,19,15,4,8,1,1,2,4,9,7,2,9,7,2,2,0,2,27,3,24
N00000936,180,7,3,4,10,3,2,3,2,14,1,2,0,2,9,30,18,12,15,1,8,1,5,28,24,4,24,21,3,12,3,9,40,2,38
N00000937,163,5,5,0,17,2,7,2,6,11,3,0,0,3,5,34,27,7,16,1,5,7,3,14,12,2,20,18,2,10,4,6,36,1,35
N00000938,155,4,1,3,8,0,0,2,6,9,4,1,0,1,3,26,20,6,14,0,5,5,4,16,14,2,28,25,3,14,5,9,36,1,35
N00000939,72,2,2,0,1,0,0,0,1,2,0,0,0,0,2,12,8,4,11,0,3,5,3,10,8,2,12,11,1,4,3,1,18,0,18
N00000940,78,5,3,2,7,1,0,4,2,6,2,0,0,0,4,13,11,2,7,0,3,1,3,10,10,0,11,9,2,7,3,4,12,0,12
N00000941,153,28,24,4,61,12,12,15,22,13,4,1,1,4,3,23,20,3,6,1,3,0,2,7,3,4,9,7,2,3,3,0,3,0,3
N00000942,139,8,4,4,20,3,5,7,5,13,1,3,3,0,6,30,28,2,16,0,7,8,1,12,9,3,20,16,4,9,1,8,11,0,11
N00000943,116,6,5,1,17,3,7,4,3,14,2,5,0,0,7,28,22,6,10,1,6,2,1,5,2,3,9,7,2,13,9,4,14,1,13
N00000944,73,2,1,1,7,1,2,3,1,2,0,1,0,1,0,10,8,2,9,0,4,3,2,15,12,3,9,8,1,7,1,6,12,1,11
N00000945,119,9,6,3,24,4,6,7,7,12,2,5,0,1,4,19,19,0,3,0,0,2,1,20,14,6,12,12,0,10,7,3,10,0,10
N00000946,136,3,2,1,9,2,3,0,4,7,1,1,0,0,5,26,21,5,16,0,6,7,3,9,3,6,12,10,2,19,13,6,35,0,35
N00000947,87,4,4,0,6,1,2,2,1,5,2,0,0,0,3,13,12,1,8,1,4,3,0,17,15,2,16,14,2,7,2,5,11,1,10
N00000948,119,5,4,1,17,8,1,4,4,8,1,2,0,2,3,20,18,2,9,0,1,5,3,16,13,3,16,15,1,7,2,5,21,1,20
N00000949,114,5,4,1,13,5,4,1,3,10,3,2,0,0,5,14,10,4,13,0,3,5,5,14,9,5,16,15,1,7,1,6,22,0,22
N00000950,124,6,4,2,11,4,3,1,3,11,1,3,1,2,4,18,13,5,12,0,5,4,3,15,7,8,11,9,2,8,4,4,32,3,29
N00000951,88,9,5,4,9,0,1,3,5,7,2,2,0,0,3,17,15,2,8,0,3,3,2,10,7,3,5,5,0,8,0,8,15,1,14
N00000952,163,11,9,2,25,6,11,3,5,15,5,1,1,2,6,20,14,6,18,0,5,8,5,16,13,3,12,12,0,15,8,7,31,0,31
N00000953,115,5,3,2,18,3,6,1,8,12,2,1,0,0,9,18,13,5,6,0,4,1,1,11,6,5,15,13,2,9,3,6,21,1,20
N00000954,84,4,2,2,11,2,1,0,8,5,1,1,0,2,1,10,8,2,4,0,2,1,1,9,8,1,11,11,0,8,2,6,22,0,22
N00000955,198,18,10,8,52,9,11,12,20,27,3,2,2,3,17,37,31,6,17,1,8,3,5,9,6,3,8,8,0,8,3,5,22,1,21
N00000956,257,21,15,6,41,10,13,6,12,29,7,3,1,4,14,46,40,6,14,0,6,3,5,27,17,10,30,26,4,22,11,11,27,3,24
N00000957,257,37,24,13,88,11,33,8,36,39,2,1,0,10,26,41,30,11,13,0,5,7,1,15,7,8,12,11,1,4,1,3,8,1,7
N00000958,132,14,11,3,35,12,6,9,8,13,1,2,1,3,6,30,26,4,4,1,1,2,0,7,7,0,11,9,2,3,1,2,15,0,15
N00000959,193,20,16,4,59,16,10,12,21,21,4,1,0,6,10,35,27,8,12,0,7,3,2,5,3,2,23,22,1,7,4,3,11,1,10
N00000960,239,28,16,12,103,26,32,19,26,32,7,0,2,9,14,33,27,6,7,0,1,3,3,9,5,4,15,15,0,3,0,3,9,0,9
N00000961,152,22,16,6,42,7,8,10,17,29,4,4,1,7,13,17,9,8,7,0,2,3,2,12,10,2,9,6,3,3,1,2,11,1,10
N00000962,166,11,8,3,37,6,16,3,12,18,4,3,0,1,10,24,20,4,9,0,4,3,2,16,6,10,17,15,2,9,2,7,25,2,23
N00000963,117,11,8,3,14,6,0,4,4,14,2,2,2,1,7,28,22,6,13,1,5,3,4,3,2,1,15,14,1,5,2,3,14,0,14
N00000964,151,15,13,2,30,11,6,7,6,21,3,2,2,6,8,36,31,5,8,0,5,1,2,13,12,1,14,13,1,4,1,3,10,2,8
N00000965,147,13,7,6,26,6,9,7,4,17,4,2,0,3,8,31,27,4,14,1,9,3,1,7,3,4,17,14,3,11,4,7,11,0,11
N00000966,168,21,14,7,43,10,9,8,16,24,2,1,0,4,17,30,25,5,12,0,5,2,5,9,7,2,13,11,2,6,3,3,10,1,9
N00000967,199,19,11,8,39,9,8,11,11,24,7,2,0,6,9,32,28,4,16,3,3,7,3,20,13,7,25,21,4,6,0,6,18,1,17
N00000968,149,17,14,3,41,9,10,13,9,20,2,3,0,4,11,22,16,6,8,0,4,0,4,8,5,3,11,9,2,12,1,11,10,0,10
N00000969,87,8,6,2,11,3,3,2,3,5,1,0,3,0,1,13,8,5,7,0,5,1,1,11,9,2,10,7,3,6,1,5,16,0,16
N00000970,245,30,18,12,47,14,16,11,6,29,1,2,2,3,21,40,37,3,14,0,5,4,5,22,17,5,19,16,3,12,6,6,32,3,29
N00000971,104,2,2,0,11,2,1,1,7,9,2,0,0,2,5,13,11,2,14,2,5,2,5,13,11,2,15,12,3,8,3,5,19,1,18
N00000972,122,2,1,1,11,3,5,1,2,8,3,0,0,1,4,16,14,2,8,0,2,1,5,13,12,1,24,21,3,9,1,8,31,0,31
N00000973,161,13,10,3,30,7,7,6,10,26,6,2,0,7,11,21,16,5,14,1,4,4,5,15,14,1,16,12,4,8,2,6,18,0,18
N00000974,103,7,4,3,11,5,2,1,3,6,0,1,0,1,4,10,7,3,5,0,1,2,2,12,11,1,19,16,3,7,3,4,26,2,24
N00000975,93,5,1,4,8,1,3,0,4,9,0,3,0,2,4,12,10,2,6,1,3,0,2,13,8,5,14,10,4,6,2,4,20,2,18
N00000976,60,1,1,0,7,0,4,3,0,5,1,0,0,1,3,4,4,0,8,0,3,1,4,5,2,3,5,3,2,6,3,3,19,0,19
N00000977,122,1,1,0,16,6,4,2,4,11,2,4,0,3,2,19,16,3,8,0,1,2,5,15,11,4,18,16,2,8,4,4,26,1,25
N00000978,110,2,2,0,18,5,6,1,6,8,2,1,0,2,3,13,12,1,9,2,4,1,2,11,6,5,19,16,3,5,3,2,25,1,24
N00000979,119,6,3,3,25,6,8,4,7,6,1,1,0,4,0,10,9,1,9,0,5,2,2,18,16,2,18,15,3,5,1,4,22,2,20
N00000980,120,4,4,0,19,9,3,1,6,7,1,0,0,0,6,15,13,2,12,1,6,2,3,7,4,3,22,19,3,5,4,1,29,0,29
N00000981,102,4,1,3,20,6,8,1,5,9,3,1,0,0,5,9,7,2,11,0,2,3,6,9,7,2,11,8,3,8,3,5,21,1,20
N00000982,148,15,9,6,18,4,8,2,4,11,4,3,0,1,3,19,16,3,11,2,3,2,4,10,7,3,15,10,5,12,5,7,37,6,31
N00000983,133,4,3,1,8,1,4,2,1,12,4,4,0,0,4,22,19,3,14,0,5,3,6,13,7,6,23,19,4,6,3,3,31,3,28
N00000984,198,12,6,6,31,12,10,3,6,15,5,0,0,1,9,24,21,3,16,2,4,2,8,16,11,5,49,35,14,9,6,3,26,1,25
N00000985,73,3,2,1,8,5,1,2,0,6,2,1,0,1,2,10,8,2,4,0,1,1,2,8,6,2,6,6,0,6,4,2,22,1,21
N00000986,109,6,2,4,17,4,7,1,5,14,2,1,0,2,9,15,13,2,9,0,3,4,2,7,4,3,7,4,3,6,1,5,28,3,25
N00000987,161,12,11,1,38,6,12,7,13,17,2,2,0,7,6,13,12,1,13,0,8,2,3,16,10,6,13,10,3,13,5,8,26,0,26
N00000988,76,5,2,3,8,4,3,0,1,7,2,2,0,2,1,7,5,2,10,0,3,2,5,8,6,2,9,5,4,5,3,2,17,1,16
N00000989,95,4,3,1,5,2,0,1,2,6,0,1,0,2,3,13,13,0,5,0,0,3,2,17,11,6,14,10,4,5,4,1,26,1,25
N00000990,125,4,2,2,12,5,0,5,2,13,2,5,0,1,5,8,8,0,16,2,4,5,5,10,6,4,19,15,4,10,5,5,33,2,31
N00000991,76,5,3,2,9,4,1,0,4,5,0,2,0,0,3,7,4,3,4,0,2,0,2,11,11,0,10,8,2,12,8,4,13,0,13
N00000992,242,9,7,2,41,11,9,10,11,33,3,3,1,7,19,46,37,9,21,0,6,4,11,21,15,6,22,15,7,18,12,6,31,4,27
N00000993,106,5,3,2,13,3,2,7,1,13,0,3,0,1,9,17,13,4,13,1,1,4,7,8,7,1,14,11,3,5,2,3,18,1,17
N00000994,434,25,17,8,57,19,9,10,19,55,10,6,1,9,29,73,63,10,33,0,10,6,17,42,27,15,42,32,10,37,20,17,70,3,67
N00000995,91,1,0,1,21,2,3,8,8,11,2,1,0,3,5,17,16,1,12,0,5,4,3,10,8,2,8,7,1,3,1,2,8,0,8
N00000996,178,18,10,8,59,11,13,14,21,24,4,2,0,6,12,32,26,6,14,0,6,3,5,11,9,2,6,4,2,3,2,1,11,3,8
N00000997,141,15,7,8,48,7,14,7,20,19,1,4,0,8,6,19,18,1,9,0,3,2,4,11,7,4,5,4,1,2,1,1,13,1,12
N00000998,158,16,11,5,48,9,10,11,18,14,2,1,0,5,6,28,26,2,13,1,3,6,3,11,8,3,11,8,3,4,1,3,13,1,12
N00000999,111,16,11,5,11,2,2,3,4,18,3,1,1,2,11,16,13,3,14,1,6,2,5,10,6,4,6,6,0,6,4,2,14,2,12
N00001000,140,11,8,3,36,4,10,9,13,24,2,0,1,9,12,22,16,6,11,1,7,1,2,9,8,1,7,6,1,10,4,6,10,1,9
N00001001,160,14,10,4,33,11,5,3,14,17,0,1,0,6,10,30,28,2,10,0,3,3,4,14,13,1,13,9,4,9,6,3,20,1,19
N00001002,416,31,20,11,63,18,10,10,25,41,7,4,0,7,23,61,54,7,47,0,20,10,17,34,21,13,39,33,6,24,11,13,76,7,69
N00001003,122,7,3,4,22,4,8,4,6,17,2,5,1,2,7,29,26,3,9,1,3,1,4,3,3,0,15,13,2,3,1,2,17,1,16
N00001004,157,13,6,7,26,8,4,4,10,21,3,1,0,8,9,22,18,4,14,1,2,2,9,12,8,4,25,23,2,4,2,2,20,1,19
N00001005,122,4,2,2,26,7,5,3,11,18,2,4,0,6,6,16,14,2,10,0,4,2,4,8,4,4,15,11,4,5,2,3,20,0,20
N00001006,268,10,6,4,54,17,12,12,13,19,3,1,0,13,2,20,17,3,8,1,1,1,5,11,4,7,110,103,7,2,1,1,34,1,33
N00001007,342,17,10,7,89,29,18,19,23,33,8,3,0,12,10,30,26,4,7,1,0,3,3,15,8,7,92,79,13,5,3,2,54,1,53
N00001008,129,4,4,0,31,11,5,7,8,6,0,1,0,3,2,13,11,2,4,0,1,0,3,6,4,2,35,32,3,3,2,1,27,0,27
N00001009,111,7,4,3,33,7,5,9,12,16,4,3,0,4,5,13,10,3,3,0,1,0,2,6,4,2,12,10,2,2,2,0,19,1,18
N00001010,172,4,2,2,16,9,2,3,2,13,1,3,0,2,7,18,12,6,4,0,2,0,2,14,9,5,65,59,6,0,0,0,38,2,36
N00001011,192,11,9,2,24,16,1,3,4,3,0,1,0,1,1,11,8,3,3,0,1,0,2,11,9,2,78,73,5,6,3,3,45,0,45
N00001012,201,5,5,0,54,24,4,15,11,10,0,0,1,5,4,17,14,3,11,0,1,1,9,9,8,1,39,37,2,3,1,2,53,1,52
N00001013,144,7,2,5,16,3,4,2,7,6,0,1,0,2,3,24,17,7,10,2,1,2,5,9,7,2,36,30,6,3,0,3,33,0,33
