GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N00001620,138,50,14,16,20,56,16,19,21,12,7,4,1,20,9,9,2
N00001621,115,40,11,14,15,39,13,11,15,12,6,5,1,24,11,13,0
N00001622,106,28,5,16,7,50,16,13,21,14,8,5,1,14,9,5,0
N00001623,132,34,13,5,16,57,24,8,25,19,8,9,2,22,10,12,0
N00001624,94,17,8,3,6,28,19,3,6,18,7,11,0,31,21,9,1
N00001625,125,37,15,6,16,49,20,11,18,7,2,5,0,32,15,17,0
N00001626,122,43,16,6,21,33,14,10,9,20,9,11,0,26,15,10,1
N00001627,91,19,3,3,13,32,8,5,19,10,3,7,0,30,18,12,0
N00001628,119,20,4,5,11,41,13,11,17,18,7,8,3,40,19,20,1
N00001629,155,17,6,3,8,39,13,6,20,25,13,9,3,74,46,27,1
N00001630,107,32,9,3,20,38,17,6,15,15,6,7,2,22,12,10,0
N00001631,108,34,10,3,21,41,13,8,20,8,2,6,0,25,12,13,0
N00001632,118,19,7,2,10,35,10,10,15,16,4,12,0,48,28,19,1
N00001633,100,21,8,4,9,38,18,6,14,17,8,7,2,24,13,11,0
N00001634,122,29,12,4,13,46,28,5,13,19,12,7,0,28,17,11,0
N00001635,145,26,8,3,15,44,10,6,28,21,11,10,0,54,34,20,0
N00001636,84,10,0,3,7,33,6,15,12,13,9,4,0,28,26,2,0
N00001637,112,30,13,4,13,44,18,6,20,15,8,7,0,23,10,13,0
N00001638,132,31,11,4,16,50,27,10,13,25,15,9,1,26,17,8,1
N00001639,104,29,13,3,13,39,20,7,12,17,11,6,0,19,11,7,1
N00001640,111,21,8,1,12,38,15,7,16,17,8,9,0,35,19,16,0
N00001641,131,20,4,5,11,52,24,13,15,19,9,9,1,40,28,12,0
N00001642,124,2,0,0,2,35,3,12,20,31,2,24,5,56,17,39,0
N00001643,257,40,6,6,28,107,21,28,58,29,12,17,0,81,40,41,0
N00001644,125,9,0,3,6,59,7,11,41,29,10,16,3,28,9,18,1
N00001645,117,19,5,3,11,34,8,13,13,21,11,9,1,43,22,21,0
N00001646,136,25,12,4,9,45,15,13,17,29,14,13,2,37,13,24,0
N00001647,127,16,1,5,10,39,8,11,20,22,0,21,1,50,23,27,0
N00001648,143,17,2,6,9,51,11,13,27,33,9,23,1,42,22,19,1
N00001649,134,12,0,1,11,79,4,14,61,23,3,18,2,20,6,13,1
N00001650,118,21,0,7,14,51,10,14,27,21,5,14,2,25,6,18,1
N00001651,134,11,1,3,7,90,11,21,58,19,1,13,5,14,4,9,1
N00001652,132,6,1,2,3,72,6,19,47,33,2,24,7,21,7,14,0
N00001653,136,17,2,1,14,96,4,21,71,15,1,12,2,8,0,8,0
N00001654,139,19,3,5,11,75,10,16,49,30,6,23,1,15,3,12,0
N00001655,159,29,3,8,18,78,23,25,30,28,7,15,6,24,10,14,0
N00001656,118,4,1,0,3,26,5,9,12,25,9,12,4,63,33,30,0
N00001657,119,8,2,3,3,35,4,6,25,28,5,21,2,48,14,33,1
N00001658,95,4,0,1,3,17,1,3,13,15,2,13,0,59,33,26,0
N00001659,112,5,1,1,3,21,2,8,11,31,7,24,0,55,23,32,0
N00001660,123,5,0,2,3,35,8,5,22,40,4,34,2,43,10,32,1
N00001661,122,9,1,3,5,83,8,21,54,18,3,14,1,12,4,8,0
N00001662,125,10,1,3,6,54,8,16,30,28,2,23,3,33,9,23,1
N00001663,128,5,1,1,3,49,7,20,22,36,3,28,5,38,16,22,0
N00001664,118,10,2,3,5,67,5,21,41,23,4,18,1,18,10,8,0
N00001665,152,39,15,9,15,63,9,15,39,24,7,14,3,26,9,17,0
N00001666,125,3,0,0,3,59,4,23,32,36,3,27,6,27,5,21,1
N00001667,117,21,7,4,10,54,5,9,40,21,5,13,3,21,7,13,1
N00001668,156,4,0,2,2,68,3,27,38,30,4,23,3,54,35,19,0
N00001669,117,4,0,0,4,46,2,17,27,34,3,28,3,33,7,25,1
N00001670,125,30,9,3,18,52,16,17,19,13,6,7,0,30,17,13,0
N00001671,129,28,5,2,21,55,13,17,25,17,10,5,2,29,16,11,2
N00001672,134,38,3,9,26,63,8,16,39,15,4,10,1,18,8,10,0
N00001673,176,31,6,11,14,86,7,24,55,22,8,14,0,37,17,20,0
N00001674,114,43,9,9,25,37,14,10,13,12,4,7,1,22,12,9,1
N00001675,123,25,5,5,15,57,11,17,29,14,10,4,0,27,13,14,0
N00001676,107,41,9,4,28,40,6,16,18,15,3,10,2,11,5,6,0
N00001677,163,11,1,3,7,118,7,19,92,25,2,21,2,9,2,7,0
N00001678,148,10,2,3,5,68,7,15,46,38,6,25,7,32,11,21,0
N00001679,134,11,3,3,5,101,14,29,58,18,1,15,2,4,2,2,0
N00001680,170,28,6,4,18,114,10,25,79,19,3,12,4,9,2,7,0
N00001681,147,31,6,8,17,52,15,21,16,27,12,15,0,37,21,16,0
N00001682,127,29,7,7,15,55,13,9,33,16,3,11,2,27,7,19,1
N00001683,155,23,1,4,18,63,11,16,36,27,9,16,2,42,19,22,1
N00001684,286,37,3,10,24,201,16,42,143,26,6,15,5,22,10,12,0
N00001685,120,2,0,1,1,72,5,24,43,24,4,17,3,22,9,13,0
N00001686,114,31,5,14,12,55,13,14,28,16,3,13,0,12,5,7,0
N00001687,118,5,1,1,3,51,5,13,33,33,5,25,3,29,9,20,0
N00001688,158,26,4,3,19,56,9,21,26,16,7,9,0,60,33,26,1
N00001689,156,51,25,9,17,55,39,10,6,19,13,5,1,31,17,14,0
N00001690,141,17,3,2,12,62,12,19,31,21,4,16,1,41,19,22,0
N00001691,154,54,23,8,23,59,32,11,16,17,7,9,1,24,12,12,0
N00001692,124,28,9,8,11,42,14,11,17,13,8,4,1,41,23,18,0
N00001693,125,14,3,11,0,38,17,11,10,27,10,16,1,46,17,29,0
N00001694,104,5,1,2,2,49,1,15,33,18,3,11,4,32,9,23,0
N00001695,152,18,4,8,6,85,14,14,57,20,6,11,3,29,12,17,0
N00001696,168,27,6,12,9,67,19,14,34,30,7,20,3,44,15,29,0
N00001697,121,21,7,5,9,38,7,10,21,26,2,21,3,36,14,21,1
N00001698,131,36,10,15,11,41,17,7,17,20,7,9,4,34,18,14,2
N00001699,158,33,10,15,8,79,16,23,40,23,5,17,1,23,4,19,0
N00001700,124,36,12,7,17,43,16,10,17,17,7,10,0,28,14,13,1
N00001701,102,20,5,4,11,29,13,6,10,18,9,8,1,35,21,14,0
N00001702,140,14,2,2,10,60,9,17,34,18,7,10,1,48,22,26,0
