GeographyCode,QS104NI0001,QS104NI0002,QS104NI0003,QS104NI0004,QS104NI0005,QS104NI0006,QS104NI0007,QS104NI0008,QS104NI0009,QS104NI0010,QS104NI0011,QS104NI0012,QS104NI0013,QS104NI0014,QS104NI0015,QS104NI0016,QS104NI0017,QS104NI0018,QS104NI0019,QS104NI0020
N00001024,346,4,0,0,32,172,69,32,12,6,6,8,2,0,0,1,0,2,0,0
N00001025,297,12,7,4,82,124,20,16,10,11,5,2,1,1,1,0,0,0,0,1
N00001026,236,5,2,2,33,87,33,26,11,14,6,7,5,2,3,0,0,0,0,0
N00001027,395,25,28,14,19,57,73,47,32,29,19,21,9,6,3,7,4,2,0,0
N00001028,261,15,12,15,24,14,19,18,14,14,15,22,25,13,11,11,9,8,1,1
N00001029,699,99,70,61,64,72,62,53,52,45,32,24,20,14,10,3,10,5,2,1
N00001030,514,29,23,29,51,104,37,41,43,23,36,29,20,13,9,10,8,7,1,1
N00001031,372,19,16,27,43,70,44,29,16,18,13,22,15,13,11,11,5,0,0,0
N00001032,185,7,9,4,17,4,13,16,10,7,12,15,17,8,14,9,8,8,5,2
N00001033,129,2,0,0,6,9,13,4,12,11,15,16,13,9,8,2,1,3,4,1
N00001034,344,26,19,25,23,16,13,33,25,25,27,26,29,17,10,6,8,9,7,0
N00001035,284,31,21,21,24,20,34,20,13,14,23,24,18,2,5,4,6,4,0,0
N00001036,391,22,17,29,26,23,19,28,22,22,38,26,18,20,19,17,18,17,8,2
N00001037,368,14,26,35,22,18,18,17,18,27,30,26,16,21,19,15,22,12,4,8
N00001038,726,51,53,52,42,44,41,44,49,63,57,47,54,39,39,19,12,10,6,4
N00001039,387,25,17,28,25,18,18,12,22,34,31,21,17,27,22,16,18,17,12,7
N00001040,271,25,28,16,16,12,22,17,9,18,20,10,10,18,13,8,11,5,9,4
N00001041,190,8,5,7,5,13,18,16,7,10,12,14,11,13,10,9,8,8,12,4
N00001042,664,46,32,28,39,38,40,50,35,40,54,50,40,44,27,34,29,16,13,9
N00001043,206,14,6,10,10,12,19,14,13,10,11,10,18,17,15,10,5,6,5,1
N00001044,303,25,19,14,7,24,35,23,18,20,23,13,21,21,8,5,13,9,3,2
N00001045,274,14,11,11,16,18,16,11,13,22,23,22,16,20,20,19,9,2,8,3
N00001046,307,21,16,19,32,26,11,17,14,17,24,20,19,22,17,7,13,7,4,1
N00001047,314,19,13,19,13,19,14,15,22,20,25,29,14,27,16,18,15,8,7,1
N00001048,331,17,20,27,26,14,18,13,17,20,28,19,21,25,13,12,18,11,11,1
N00001049,330,19,18,25,24,20,20,23,19,37,21,19,17,13,13,11,17,12,2,0
N00001050,335,19,23,24,20,19,19,10,24,29,22,25,27,20,18,12,9,12,3,0
N00001051,371,22,21,29,42,26,14,13,10,26,34,34,31,23,13,16,6,8,1,2
N00001052,180,16,6,6,7,11,20,15,13,15,16,15,9,7,9,7,3,5,0,0
N00001053,355,18,11,14,40,27,15,11,17,11,22,27,35,27,34,16,8,11,8,3
N00001054,341,24,14,22,34,23,10,10,16,21,26,35,22,29,18,17,11,9,0,0
N00001055,350,15,11,36,32,23,13,10,15,31,29,33,22,19,22,11,12,10,5,1
N00001056,355,26,13,28,33,20,23,19,13,26,58,36,12,13,12,6,12,3,2,0
N00001057,326,16,17,27,13,23,24,23,19,18,31,30,21,19,13,7,10,13,2,0
N00001058,349,19,16,22,25,18,12,19,18,18,31,24,33,22,22,10,20,12,7,1
N00001059,320,19,14,23,22,28,17,10,15,23,27,34,22,15,8,7,14,7,11,4
N00001060,256,13,16,13,25,10,13,14,12,20,18,26,11,10,12,20,13,7,2,1
N00001061,341,13,9,23,12,11,10,6,14,23,18,19,26,14,18,18,24,31,23,29
N00001062,354,24,21,14,16,8,10,14,15,39,27,25,7,15,14,14,16,25,29,21
N00001063,306,12,11,20,15,15,12,11,13,17,30,27,22,21,19,20,25,10,2,4
N00001064,632,42,41,38,30,24,24,31,51,52,53,46,39,27,41,28,31,13,13,8
N00001065,326,23,18,25,15,13,8,10,24,26,34,24,18,24,14,7,17,12,9,5
N00001066,275,14,12,11,23,15,13,15,21,34,28,18,20,9,13,6,7,9,5,2
N00001067,278,15,10,9,12,14,8,14,20,11,22,24,20,20,12,12,19,23,8,5
N00001068,336,16,9,13,8,28,38,22,16,24,20,19,12,15,20,13,10,13,18,22
N00001069,327,30,24,16,18,14,14,22,25,39,31,32,12,13,17,10,6,4,0,0
N00001070,518,39,35,37,31,20,17,30,39,54,53,30,32,22,18,22,11,20,6,2
N00001071,318,32,13,17,15,14,25,32,41,22,23,24,13,8,12,5,14,6,2,0
N00001072,320,19,8,27,26,7,7,18,22,21,26,28,16,14,22,9,10,20,12,8
N00001073,283,12,20,12,26,24,28,11,19,24,17,20,13,11,15,12,6,7,2,4
N00001074,240,5,12,13,11,6,6,7,13,12,13,16,20,13,22,26,23,15,5,2
N00001075,308,15,18,11,17,13,20,33,26,22,22,16,9,9,10,15,10,18,8,16
N00001076,272,15,17,6,16,16,8,15,16,24,13,18,12,15,18,14,25,15,6,3
N00001077,229,9,7,10,8,9,20,16,5,12,22,20,15,8,15,20,13,9,7,4
N00001078,257,11,13,15,9,12,20,29,23,35,17,11,15,8,13,3,12,5,3,3
N00001079,829,70,43,49,48,63,74,84,70,49,70,55,47,28,35,19,15,5,2,3
N00001080,324,26,11,20,17,23,19,30,34,14,23,24,22,16,12,10,9,8,4,2
N00001081,412,30,23,28,36,30,32,25,37,28,25,27,20,23,18,11,14,3,2,0
N00001082,431,30,23,23,29,47,34,31,34,32,36,33,25,16,15,12,3,4,3,1
N00001083,436,34,27,30,37,35,14,19,34,41,33,30,26,27,9,15,6,7,7,5
N00001084,447,25,26,24,30,34,28,26,26,35,29,30,25,14,14,19,16,21,17,8
N00001085,1087,86,58,55,76,93,92,78,78,72,90,77,76,36,24,20,38,26,11,1
N00001086,336,21,18,17,20,19,21,18,25,28,22,30,21,23,10,16,10,11,4,2
N00001087,307,24,29,27,19,22,24,27,21,25,29,16,17,6,6,6,4,4,0,1
N00001088,305,23,23,16,14,19,17,15,24,28,21,23,19,15,6,15,12,12,2,1
N00001089,316,23,26,19,24,32,25,19,13,17,31,19,15,11,8,15,8,6,4,1
N00001090,222,14,16,13,13,12,19,13,10,12,13,18,8,16,6,10,13,8,6,2
N00001091,384,17,16,25,39,33,30,11,15,20,38,43,26,19,18,16,9,5,3,1
N00001092,398,24,22,39,44,33,28,27,13,23,50,23,24,11,15,9,4,4,4,1
N00001093,642,91,73,82,57,45,50,54,43,26,25,18,22,20,14,7,8,2,1,4
N00001094,239,22,20,16,10,21,18,14,21,17,14,14,13,9,14,4,5,7,0,0
N00001095,368,34,35,30,21,29,29,45,29,23,16,28,10,8,13,7,6,1,3,1
N00001096,397,11,12,37,36,44,20,19,21,18,35,53,27,19,18,6,11,7,3,0
N00001097,316,12,12,21,27,29,23,13,13,20,31,17,27,12,18,13,17,6,3,2
N00001098,308,17,16,21,19,15,10,11,22,20,23,12,27,25,26,20,11,10,2,1
N00001099,282,15,15,18,15,16,18,16,22,22,29,19,11,25,13,10,5,5,5,3
N00001100,292,13,12,16,18,27,13,17,14,18,29,25,19,15,20,16,10,4,4,2
N00001101,304,22,25,24,12,18,23,41,23,19,18,19,12,17,11,3,5,7,4,1
N00001102,569,44,45,41,53,27,40,23,38,30,40,37,23,30,32,28,16,15,3,4
N00001103,219,30,21,15,13,19,15,24,12,13,18,12,8,9,2,2,1,3,1,1
N00001104,303,22,18,18,17,17,22,20,25,23,18,15,13,11,18,14,13,10,8,1
N00001105,309,30,36,21,19,20,23,21,28,21,26,10,11,11,7,7,8,5,2,3
N00001106,283,30,17,18,20,21,29,22,11,15,21,16,15,7,16,13,8,3,1,0
N00001107,309,27,18,20,22,27,31,22,9,24,25,20,16,12,12,5,11,7,1,0
N00001108,217,30,16,10,6,22,22,13,13,10,14,19,8,5,5,7,6,6,4,1
N00001109,393,24,36,38,48,40,27,21,24,28,31,18,17,8,12,9,5,4,3,0
N00001110,345,28,30,32,16,30,33,30,12,19,23,25,16,13,9,9,8,8,3,1
N00001111,687,46,41,58,58,53,44,41,42,44,49,42,32,27,22,23,25,23,12,5
N00001112,319,30,28,25,27,22,17,21,21,32,25,10,15,10,9,8,13,3,2,1
N00001113,1384,123,65,102,95,122,152,143,69,81,84,91,61,64,40,33,29,19,5,6
N00001114,319,25,11,15,25,46,49,17,18,15,22,27,18,6,12,5,5,3,0,0
N00001115,222,12,6,11,16,28,16,14,10,10,18,20,10,14,14,6,7,7,3,0
N00001116,497,26,18,42,26,47,43,30,45,32,41,37,25,23,20,23,10,8,0,1
N00001117,728,40,26,45,56,42,26,25,41,45,66,33,43,52,43,43,37,32,20,13
N00001118,305,22,19,15,11,17,13,22,16,11,20,20,10,18,19,21,16,14,12,9
N00001119,176,10,6,8,11,8,5,9,4,14,11,10,6,14,15,12,15,11,6,1
N00001120,213,12,7,8,17,16,11,7,10,14,8,12,16,12,21,11,12,11,5,3
N00001121,235,20,18,9,7,15,23,12,12,10,13,16,18,15,12,9,14,8,3,1
N00001122,176,3,7,4,3,17,14,5,9,3,8,7,14,13,17,17,18,8,3,6
N00001123,186,5,10,9,9,7,8,12,9,9,13,17,14,11,13,8,14,11,5,2
N00001124,568,48,37,51,52,52,48,45,26,37,33,34,22,27,19,9,14,11,2,1
N00001125,413,45,37,40,30,37,28,30,34,15,26,21,9,12,11,17,8,5,6,2
N00001126,242,29,17,19,11,26,40,9,16,18,14,17,6,2,6,2,6,1,3,0
N00001127,639,38,34,56,59,37,34,36,33,44,39,49,31,39,41,26,26,7,7,3
N00001128,251,15,13,13,14,20,23,18,13,17,14,19,13,22,15,11,6,4,1,0
N00001129,450,38,35,39,30,26,40,37,26,25,25,23,20,24,5,28,13,13,2,1
N00001130,179,14,8,13,14,23,16,9,15,16,14,6,7,2,7,3,8,1,1,2
N00001131,1073,55,34,18,43,156,206,129,103,79,71,48,41,31,23,13,12,6,2,3
N00001132,251,14,14,13,20,26,9,16,14,28,13,14,10,14,18,12,5,6,3,2
N00001133,643,67,33,38,42,38,71,58,34,39,39,37,28,36,28,21,17,7,6,4
N00001134,212,20,5,3,10,11,34,18,17,16,9,14,11,5,5,9,13,4,5,3
N00001135,188,8,7,9,21,11,16,9,9,13,15,6,11,9,14,11,7,4,4,4
N00001136,261,20,10,7,8,18,25,10,13,16,14,20,9,17,18,15,11,13,10,7
N00001137,292,20,21,25,25,17,27,12,13,18,30,18,16,11,8,8,13,5,3,2
N00001138,195,19,4,6,7,20,11,17,8,10,10,18,5,13,9,10,12,15,0,1
N00001139,546,55,46,33,37,35,46,67,49,42,34,17,15,17,20,15,9,7,2,0
N00001140,309,16,20,18,36,23,15,15,19,28,31,21,16,17,7,11,5,6,5,0
N00001141,189,20,14,14,11,5,15,14,16,7,13,10,12,7,4,11,8,5,1,2
N00001142,190,13,8,6,8,12,12,12,11,17,5,9,9,12,17,12,10,8,7,2
N00001143,140,9,10,13,8,6,8,10,9,6,11,9,9,10,7,7,6,2,0,0
N00001144,233,22,15,21,17,10,23,14,10,13,11,11,15,14,7,10,7,7,5,1
N00001145,311,19,11,19,17,21,29,14,18,21,24,25,11,19,16,14,12,16,3,2
N00001146,291,15,16,20,21,21,20,12,18,22,18,14,20,13,17,11,14,11,5,3
N00001147,258,9,10,15,20,28,18,17,15,20,18,11,21,10,13,12,10,6,5,0
N00001148,260,14,18,22,21,14,18,19,22,19,10,13,17,13,14,11,9,3,3,0
N00001149,377,19,27,30,48,41,33,17,32,24,19,13,22,16,20,9,3,2,2,0
N00001150,334,36,29,23,40,38,37,12,16,24,18,17,7,13,11,6,2,3,2,0
N00001151,390,31,31,24,29,44,27,32,18,16,28,27,13,20,14,11,14,7,3,1
N00001152,419,49,33,40,30,39,28,30,24,30,21,19,18,20,19,5,6,5,2,1
N00001153,316,22,13,24,17,22,20,30,22,23,18,26,22,24,16,5,7,2,2,1
N00001154,293,21,28,14,22,15,17,24,21,23,20,13,14,12,10,8,9,7,10,5
N00001155,636,46,26,10,12,62,119,90,66,42,44,32,16,17,20,12,13,2,5,2
N00001156,1299,95,53,69,113,119,82,73,72,87,98,99,67,67,53,59,46,25,16,6
N00001157,280,23,7,10,15,29,22,12,20,15,20,24,21,7,9,11,8,13,12,2
N00001158,266,11,12,21,11,19,14,18,12,20,21,10,13,10,14,19,20,14,5,2
N00001159,365,24,25,25,25,24,22,24,17,35,37,19,17,23,10,8,12,11,5,2
N00001160,357,28,24,15,28,28,25,21,15,30,23,21,10,16,22,10,16,11,11,3
N00001161,250,21,11,11,19,23,28,16,14,17,25,20,11,6,1,6,11,4,5,1
N00001162,169,1,5,9,12,12,13,9,9,13,15,13,15,9,12,7,4,4,6,1
N00001163,336,7,9,7,5,13,13,8,6,7,27,6,19,34,27,39,34,35,23,17
N00001164,342,31,14,28,35,30,25,20,16,21,41,27,19,11,12,7,2,1,1,1
N00001165,322,16,11,19,28,28,18,20,11,19,27,25,21,16,13,17,12,7,6,8
N00001166,593,31,27,34,41,52,49,29,20,56,52,45,34,21,38,24,10,19,7,4
N00001167,342,14,14,27,27,26,19,7,18,21,26,21,32,19,16,18,10,12,8,7
N00001168,353,21,27,25,33,30,31,18,23,17,19,44,21,12,10,7,5,8,2,0
N00001169,320,23,20,13,27,24,27,16,16,18,26,26,19,12,12,15,14,4,6,2
N00001170,333,21,23,22,17,20,14,19,19,25,29,24,26,28,20,12,7,6,0,1
N00001171,408,21,22,25,22,27,28,16,33,23,29,20,18,26,35,22,22,12,6,1
N00001172,307,14,14,21,17,19,22,21,14,11,26,32,24,15,6,11,11,13,13,3
N00001173,262,12,16,20,15,6,16,21,16,17,23,17,15,14,17,20,10,5,2,0
N00001174,343,26,29,21,24,15,12,15,8,33,24,28,27,26,20,10,13,7,4,1
N00001175,306,18,15,18,19,19,17,8,23,19,25,20,27,28,23,13,11,3,0,0
N00001176,241,11,8,6,8,6,12,13,17,14,8,27,21,15,26,22,13,12,1,1
N00001177,266,17,8,16,14,10,20,11,19,29,16,24,19,19,14,19,8,3,0,0
N00001178,406,17,28,32,26,29,23,18,32,29,27,28,22,27,13,24,6,13,10,2
N00001179,342,13,23,35,32,20,11,11,16,23,28,33,30,22,15,9,12,5,1,3
N00001180,157,4,4,6,10,15,12,7,11,9,11,5,12,7,8,9,9,5,9,4
N00001181,295,13,5,19,17,12,5,13,8,17,17,20,20,10,12,7,25,22,27,26
N00001182,352,11,17,29,37,30,24,6,10,24,20,40,35,25,23,12,5,1,3,0
N00001183,444,17,19,20,25,25,48,35,35,25,39,24,24,21,22,20,17,14,11,3
N00001184,283,16,13,14,20,21,21,14,14,20,20,20,15,20,15,13,9,9,6,3
N00001185,268,9,10,8,10,13,13,19,16,14,15,21,15,19,28,23,21,11,1,2
N00001186,267,27,12,10,12,12,18,14,28,23,14,12,13,17,19,11,12,9,3,1
N00001187,323,29,17,16,16,28,15,23,20,28,23,21,25,20,12,16,7,4,3,0
N00001188,806,35,33,29,35,37,42,23,22,41,59,54,55,59,49,51,61,60,28,33
N00001189,304,15,24,15,23,22,13,20,23,23,21,26,19,17,12,14,4,5,6,2
N00001190,278,22,7,10,14,18,26,29,21,25,21,25,13,6,14,6,9,6,3,3
N00001191,245,11,9,20,16,11,14,18,14,22,20,17,11,12,9,13,20,4,2,2
N00001192,256,15,13,15,9,16,19,24,20,16,20,16,16,10,16,8,8,7,7,1
N00001193,232,12,9,19,13,22,18,18,13,18,16,16,13,5,10,10,5,7,3,5
N00001194,269,14,9,12,22,26,16,12,12,17,24,16,15,21,20,18,9,3,2,1
N00001195,184,15,8,13,7,15,14,21,16,16,12,5,13,12,8,8,0,0,1,0
N00001196,354,19,14,16,23,27,17,15,19,25,31,29,19,16,28,16,22,8,9,1
N00001197,266,29,12,13,11,22,27,22,26,20,9,13,13,12,13,10,6,3,4,1
N00001198,467,41,26,27,22,17,21,28,44,27,32,33,22,25,22,18,6,18,19,19
N00001199,194,12,6,6,7,13,22,12,9,17,16,16,14,5,16,7,8,6,2,0
N00001200,395,36,34,24,31,17,7,18,33,37,29,22,23,24,13,9,12,9,9,8
N00001201,311,20,26,14,17,21,15,13,17,30,27,25,21,18,14,9,11,6,4,3
N00001202,323,41,25,29,37,23,30,27,10,17,18,11,18,14,9,3,6,1,3,1
N00001203,315,21,20,19,25,24,20,12,15,21,26,28,25,14,12,19,10,4,0,0
N00001204,956,39,35,57,67,74,65,45,45,63,91,84,53,37,40,36,50,50,16,9
N00001205,564,35,36,29,37,39,40,26,31,29,32,38,39,45,27,15,20,18,20,8
N00001206,229,12,9,20,24,17,14,16,14,18,20,19,14,5,5,7,4,9,2,0
N00001207,400,13,17,29,47,48,28,7,10,24,46,39,26,15,14,9,15,7,6,0
N00001208,339,20,13,17,38,32,32,8,4,19,26,30,29,21,18,9,4,7,8,4
N00001209,254,14,17,7,18,15,18,16,13,19,25,23,23,12,6,8,6,12,2,0
N00001210,332,15,16,20,27,32,23,21,12,4,37,33,31,9,8,3,11,15,11,4
N00001211,285,16,17,17,30,19,13,15,16,17,22,24,18,12,12,5,5,12,11,4
N00001212,301,18,14,14,27,26,14,13,16,25,29,20,13,15,9,11,11,14,11,1
N00001213,299,19,13,28,23,29,17,20,16,21,29,26,12,14,11,4,8,3,6,0
N00001214,289,30,14,20,28,21,21,23,13,17,18,16,20,3,4,20,10,8,3,0
N00001215,281,22,13,19,28,24,15,24,12,19,17,23,11,8,15,9,4,8,9,1
N00001216,406,38,30,23,46,48,30,26,26,38,38,41,12,3,3,1,0,2,1,0
N00001217,413,43,29,20,16,25,45,29,27,18,18,20,7,15,15,22,27,20,11,6
N00001218,279,19,12,19,19,15,22,22,10,25,21,11,19,18,16,11,9,6,5,0
N00001219,301,23,22,24,25,18,27,24,19,15,20,10,14,14,21,11,6,5,3,0
N00001220,231,23,11,17,17,16,24,17,7,14,11,9,11,18,11,13,7,3,1,1
N00001221,258,20,16,18,19,13,30,21,18,16,14,11,8,18,13,11,7,2,2,1
N00001222,213,12,11,17,21,19,19,10,9,22,20,13,4,8,12,7,6,2,0,1
N00001223,300,18,15,30,22,17,21,22,14,16,23,20,14,14,10,20,10,10,4,0
N00001224,265,15,13,15,15,18,21,22,9,24,21,18,8,14,21,14,9,4,1,3
N00001225,242,20,13,7,16,14,17,15,13,9,15,14,8,20,16,15,12,11,4,3
N00001226,236,13,12,12,18,21,20,14,14,16,20,16,14,9,8,8,10,8,2,1
N00001227,246,15,14,19,14,14,12,14,13,23,19,16,8,8,20,13,11,7,5,1
N00001228,212,14,16,9,11,8,11,11,19,7,7,15,9,12,5,9,22,13,9,5
N00001229,255,16,19,15,11,14,9,17,14,20,16,9,18,16,14,18,11,13,1,4
N00001230,298,21,11,14,28,25,16,7,18,17,26,20,18,20,27,10,13,3,4,0
N00001231,401,21,24,20,24,33,15,22,24,22,30,30,25,23,22,20,9,17,11,9
N00001232,375,25,28,39,44,37,24,16,20,32,36,29,27,4,5,4,3,2,0,0
N00001233,421,33,52,51,51,36,14,30,32,46,35,14,14,11,1,1,0,0,0,0
N00001234,351,33,17,26,32,35,28,28,25,45,27,18,11,2,8,3,7,4,1,1
N00001235,953,71,66,89,102,74,55,73,61,89,82,50,33,40,36,17,11,3,1,0
N00001236,372,35,30,34,40,37,26,13,20,33,30,21,16,11,16,4,4,2,0,0
N00001237,289,12,24,14,20,13,19,25,19,20,13,19,8,20,15,21,11,11,5,0
N00001238,297,15,16,18,16,31,25,24,12,17,12,21,21,26,17,16,3,5,2,0
N00001239,313,11,9,16,27,28,13,11,19,18,17,26,19,15,25,20,27,7,4,1
N00001240,1095,75,65,49,75,91,108,90,92,90,79,69,49,48,48,25,27,9,4,2
N00001241,352,22,15,28,37,31,19,22,19,27,18,15,18,21,23,16,14,7,0,0
N00001242,335,32,22,24,29,25,20,25,20,27,21,14,13,23,12,22,4,1,1,0
N00001243,275,9,15,16,19,23,22,15,20,26,18,18,11,16,13,15,8,7,3,1
N00001244,335,20,17,19,21,20,25,17,13,22,18,16,19,13,21,19,18,17,14,6
N00001245,334,32,28,22,15,30,25,32,15,25,18,19,18,14,8,14,14,4,1,0
N00001246,608,58,38,35,36,24,69,74,63,45,31,18,23,22,22,15,22,8,3,2
N00001247,245,15,13,15,20,18,13,12,14,9,26,13,16,14,14,13,11,4,4,1
N00001248,430,43,29,27,31,29,37,31,37,26,31,35,24,17,12,13,5,1,1,1
N00001249,403,13,31,20,32,27,16,21,25,42,35,30,15,16,13,23,22,18,3,1
N00001250,463,49,37,38,29,27,25,45,39,47,39,28,18,16,11,5,6,2,2,0
N00001251,327,24,26,38,19,25,18,24,21,25,13,24,21,21,8,14,2,1,3,0
N00001252,321,25,14,10,24,19,22,39,26,21,16,21,22,13,8,7,10,13,7,4
N00001253,233,10,7,20,16,11,14,9,12,18,10,20,16,14,14,20,11,8,1,2
N00001254,314,20,18,18,27,17,22,16,20,27,21,27,20,13,14,10,11,7,2,4
N00001255,276,13,17,22,8,18,12,20,8,16,18,24,20,23,11,18,9,12,5,2
N00001256,262,11,12,17,15,10,8,16,20,13,13,26,22,18,19,14,5,10,11,2
N00001257,233,16,21,14,14,15,18,15,12,15,20,14,16,9,12,10,7,5,0,0
N00001258,250,23,14,13,12,27,17,10,13,17,21,20,14,15,14,5,6,6,2,1
N00001259,285,26,24,19,26,19,14,20,15,14,22,21,15,10,12,10,8,5,3,2
N00001260,363,38,32,29,47,29,21,26,28,30,20,8,10,15,10,11,2,4,2,1
N00001261,249,13,8,21,26,16,16,8,23,12,20,19,17,17,12,8,5,6,1,1
N00001262,389,33,23,27,15,21,47,40,16,26,22,22,26,19,13,11,16,5,4,3
N00001263,289,16,12,12,11,21,30,24,28,23,16,28,14,13,13,13,6,6,0,3
N00001264,204,36,15,11,13,14,20,23,21,11,15,7,3,3,2,5,3,2,0,0
N00001265,971,81,74,62,45,66,187,123,68,52,39,31,31,34,25,15,14,18,3,3
N00001266,188,15,17,19,15,4,6,22,11,12,6,17,18,7,6,5,3,4,0,1
N00001267,322,19,23,29,24,17,12,16,20,27,16,26,24,14,17,10,10,7,8,3
N00001268,283,10,8,13,21,20,21,12,14,22,24,17,15,9,20,21,20,10,3,3
N00001269,522,43,11,15,27,43,70,68,38,35,32,26,19,14,22,10,17,19,7,6
N00001270,278,23,7,6,7,17,33,32,15,21,8,13,23,19,19,17,9,4,5,0
N00001271,1514,134,86,99,78,119,212,212,126,93,80,64,43,39,40,25,24,17,21,2
N00001272,222,13,11,12,10,12,16,31,14,17,14,17,4,5,15,11,6,6,4,4
N00001273,221,16,7,11,11,8,37,29,19,23,13,7,10,9,10,4,4,3,0,0
N00001274,238,13,8,9,16,13,8,19,21,13,24,11,12,10,10,6,19,14,11,1
N00001275,210,12,8,8,12,12,9,15,11,19,13,20,13,7,10,14,10,8,4,5
N00001276,218,18,19,15,19,11,12,12,10,15,20,9,8,9,15,1,13,10,1,1
N00001277,266,20,16,12,13,11,12,11,18,21,26,29,15,18,4,11,9,12,6,2
N00001278,291,24,8,16,21,13,20,18,33,29,21,18,13,17,9,16,9,3,2,1
N00001279,168,7,4,10,12,13,10,11,11,17,18,11,7,3,8,5,6,8,5,2
N00001280,213,11,12,11,9,7,15,15,10,13,10,10,16,17,15,12,6,8,13,3
N00001281,334,20,21,21,27,13,13,16,12,33,33,19,18,15,9,12,14,17,18,3
N00001282,330,18,14,26,23,13,26,11,22,20,32,25,22,15,16,18,14,6,5,4
N00001283,338,27,28,24,23,15,6,14,18,39,32,18,19,25,15,13,9,8,5,0
N00001284,352,21,16,19,30,21,10,20,28,29,37,31,22,21,18,13,12,3,1,0
N00001285,331,29,13,14,11,15,21,21,29,19,28,22,19,18,18,28,9,13,4,0
N00001286,348,27,18,15,24,20,23,23,24,24,22,27,14,12,23,18,18,11,5,0
N00001287,295,14,18,20,10,14,18,16,16,28,25,21,13,18,17,12,20,8,4,3
N00001288,289,10,13,12,20,20,20,10,17,21,26,21,18,15,21,15,18,9,2,1
N00001289,288,14,14,15,16,16,23,17,8,19,24,28,16,24,19,10,11,12,1,1
N00001290,318,14,16,12,23,15,19,19,20,21,20,22,27,24,21,26,12,4,1,2
N00001291,344,28,25,25,28,25,23,25,22,29,28,19,17,10,15,18,5,1,0,1
N00001292,878,75,53,96,82,61,79,101,63,84,69,46,20,21,17,7,3,1,0,0
N00001293,358,19,11,11,38,30,22,19,15,16,44,38,23,16,16,17,14,5,2,2
N00001294,335,14,10,22,25,27,15,13,8,21,24,27,19,18,29,33,17,11,1,1
N00001295,312,10,14,13,22,26,29,21,13,16,22,21,23,27,34,12,1,5,2,1
N00001296,273,13,13,22,17,24,18,20,14,14,25,14,8,17,21,19,9,3,1,1
N00001297,384,10,22,35,35,32,25,18,23,24,31,26,27,22,16,20,9,7,2,0
N00001298,394,45,30,36,26,27,37,44,24,27,19,13,21,18,12,8,1,2,4,0
N00001299,319,21,18,16,18,33,23,21,15,14,19,30,19,15,7,19,12,12,4,3
N00001300,287,6,7,20,24,22,11,13,5,22,27,18,18,22,30,24,16,1,1,0
N00001301,375,13,11,21,32,40,29,13,20,17,29,28,25,23,27,29,9,6,3,0
N00001302,745,61,76,108,100,54,49,50,45,57,45,27,16,26,16,9,4,0,0,2
N00001303,333,22,16,18,29,17,23,18,17,21,31,30,18,20,13,22,9,8,1,0
N00001304,322,13,19,19,27,18,20,9,24,14,21,15,16,21,20,25,25,10,4,2
N00001305,325,13,19,24,23,29,17,7,12,20,26,22,19,23,15,19,20,14,2,1
N00001306,214,17,13,9,11,10,22,18,19,13,18,15,15,11,3,8,2,5,3,2
N00001307,321,28,16,24,31,28,21,30,30,18,19,28,24,18,4,0,0,2,0,0
N00001308,486,35,30,30,31,16,33,41,25,31,39,24,27,30,23,28,20,13,9,1
N00001309,368,34,29,28,27,21,35,36,27,19,27,24,10,14,20,3,9,1,3,1
N00001310,981,110,88,85,88,66,82,93,74,62,54,54,37,31,18,21,16,2,0,0
N00001311,326,47,44,29,33,20,27,25,18,18,10,18,13,10,7,3,3,1,0,0
N00001312,654,74,67,56,62,40,71,62,38,44,33,29,22,19,9,10,5,9,4,0
N00001313,417,46,21,20,13,11,64,55,48,28,25,17,13,16,9,12,10,4,3,2
N00001314,401,34,40,34,30,31,24,31,40,25,32,23,19,14,9,6,5,3,1,0
N00001315,246,13,16,6,13,16,11,15,15,17,19,22,12,10,24,18,13,3,2,1
N00001316,352,23,20,22,14,25,24,27,19,15,17,22,9,14,24,30,19,18,3,7
N00001317,267,13,7,10,23,14,24,17,10,11,26,28,10,17,20,11,10,11,4,1
N00001318,287,25,12,10,17,22,29,21,20,12,14,21,26,16,12,7,4,12,5,2
N00001319,285,12,9,18,22,27,13,17,11,14,32,32,16,7,15,6,20,6,5,3
N00001320,253,16,14,7,18,16,19,9,15,14,15,21,18,13,20,11,5,16,5,1
N00001321,274,5,14,23,26,17,11,11,12,24,31,19,11,15,19,14,7,5,8,2
N00001322,274,29,25,6,14,15,41,12,13,15,22,19,9,8,18,13,5,6,4,0
N00001323,295,12,14,11,15,18,18,29,17,26,28,17,13,13,25,10,12,11,4,2
N00001324,243,18,14,5,12,14,11,17,19,8,16,20,13,19,10,12,22,11,2,0
N00001325,1263,51,70,83,98,76,107,87,70,77,82,92,98,85,52,50,36,25,15,9
N00001326,360,14,21,28,22,16,17,17,11,14,31,32,24,35,34,24,16,4,0,0
N00001327,328,10,22,31,20,15,9,7,9,19,29,29,20,22,29,18,11,20,7,1
N00001328,1036,36,67,91,69,75,51,38,40,73,93,71,61,73,42,34,43,31,26,22
N00001329,281,12,9,13,18,28,11,13,18,16,14,34,24,23,11,10,8,13,5,1
N00001330,322,12,18,25,21,18,17,8,10,23,24,30,31,30,13,11,11,10,7,3
