GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
N00001015,416,382,351,28,2,319,2,0,22,0,0,9,9,0,5,21,6,0,0,2,0
N00001016,262,243,201,14,0,187,0,0,15,0,0,27,25,2,7,10,2,0,0,0,0
N00001017,323,297,268,7,3,258,0,0,14,0,0,15,15,0,2,16,7,0,0,1,0
N00001018,288,257,232,18,4,207,3,0,10,0,0,15,14,1,8,15,5,0,2,1,0
N00001019,205,186,177,12,0,164,1,0,6,0,0,3,3,0,2,15,1,0,1,0,0
N00001020,171,156,131,4,1,126,0,0,10,0,0,15,15,0,5,8,1,0,1,0,0
N00001021,239,213,191,21,0,170,0,0,9,0,0,13,13,0,3,21,2,0,0,0,0
N00001022,604,495,425,42,11,370,2,0,20,0,0,50,49,1,21,72,9,0,0,7,0
N00001023,220,199,171,9,1,160,1,0,16,0,0,12,12,0,2,17,1,0,1,0,0
N00001024,346,326,260,11,4,244,1,0,24,0,1,41,38,3,5,8,5,1,0,1,0
N00001025,297,271,237,28,1,207,1,0,8,0,0,26,24,2,3,21,0,0,1,1,0
