GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95JJ14W1,1837,324,1513,1589,243,1346,154,68,86,47,9,38,47,4,43
95JJ15W1,1604,297,1307,1393,238,1155,115,42,73,36,4,32,60,13,47
95JJ16W1,1560,260,1300,1377,198,1179,94,44,50,30,8,22,59,10,49
95JJ17W1,1885,329,1556,1636,252,1384,132,52,80,39,10,29,78,15,63
95JJ18W1,1762,232,1530,1535,181,1354,130,37,93,44,7,37,53,7,46
95JJ19S1,1459,337,1122,1261,262,999,143,60,83,17,7,10,38,8,30
95JJ19S2,1121,312,809,996,272,724,91,36,55,17,3,14,17,1,16
95JJ20S1,1669,257,1412,1453,202,1251,145,41,104,27,4,23,44,10,34
95JJ20S2,1588,225,1363,1400,184,1216,110,31,79,30,7,23,48,3,45
95JJ21W1,2479,504,1975,2185,429,1756,169,58,111,41,7,34,84,10,74
95JJ22W1,2268,494,1774,1979,401,1578,188,69,119,38,9,29,63,15,48
95KK01W1,1968,215,1753,1676,164,1512,146,34,112,51,8,43,95,9,86
95KK02W1,1595,173,1422,1338,126,1212,120,30,90,60,11,49,77,6,71
95KK03W1,1754,213,1541,1542,162,1380,122,34,88,40,11,29,50,6,44
95KK04W1,2126,245,1881,1861,183,1678,157,52,105,42,8,34,66,2,64
95KK05W1,2020,273,1747,1729,203,1526,145,46,99,56,7,49,90,17,73
95KK06W1,1527,168,1359,1297,126,1171,107,32,75,57,8,49,66,2,64
95KK07W1,1583,232,1351,1359,174,1185,150,49,101,30,6,24,44,3,41
95KK08W1,1985,288,1697,1716,218,1498,176,55,121,27,5,22,66,10,56
95KK09W1,1776,238,1538,1557,187,1370,118,35,83,45,7,38,56,9,47
95KK10W1,1654,253,1401,1430,190,1240,130,42,88,44,11,33,50,10,40
95KK11W1,1864,232,1632,1586,172,1414,156,48,108,46,4,42,76,8,68
95KK12W1,1781,277,1504,1554,213,1341,120,45,75,42,11,31,65,8,57
95KK13W1,1468,221,1247,1277,175,1102,112,35,77,31,6,25,48,5,43
95KK14W1,1612,234,1378,1377,175,1202,133,40,93,44,8,36,58,11,47
95KK15W1,2189,314,1875,1861,230,1631,191,49,142,58,13,45,79,22,57
95KK16W1,1817,246,1571,1579,183,1396,115,40,75,63,12,51,60,11,49
95LL01S1,1887,252,1635,1580,184,1396,177,46,131,57,13,44,73,9,64
95LL01S2,1802,253,1549,1555,195,1360,135,47,88,42,4,38,70,7,63
95LL02S1,1244,172,1072,1075,136,939,105,29,76,22,6,16,42,1,41
95LL02S2,1205,103,1102,1081,85,996,68,12,56,25,4,21,31,2,29
95LL03W1,1884,177,1707,1666,137,1529,112,26,86,38,4,34,68,10,58
95LL04W1,2335,278,2057,2020,219,1801,161,45,116,66,6,60,88,8,80
95LL05S1,1820,357,1463,1519,266,1253,220,79,141,33,8,25,48,4,44
95LL05S2,1362,204,1158,1133,154,979,140,36,104,30,5,25,59,9,50
95LL06S1,1286,177,1109,1121,145,976,100,21,79,29,4,25,36,7,29
95LL06S2,1448,158,1290,1236,116,1120,128,30,98,26,4,22,58,8,50
95LL07W1,1727,132,1595,1509,105,1404,91,17,74,52,6,46,75,4,71
95LL08S1,1219,98,1121,1032,73,959,85,14,71,52,6,46,50,5,45
95LL08S2,1334,103,1231,1190,85,1105,67,13,54,36,2,34,41,3,38
95LL09S1,1178,80,1098,1044,69,975,39,5,34,40,2,38,55,4,51
95LL09S2,1379,108,1271,1214,84,1130,78,18,60,37,1,36,50,5,45
95LL10S1,2306,297,2009,1945,211,1734,194,60,134,74,16,58,93,10,83
95LL10S2,1835,286,1549,1550,212,1338,167,48,119,41,10,31,77,16,61
95LL11S1,1226,190,1036,1017,140,877,120,30,90,30,11,19,59,9,50
95LL11S2,1822,284,1538,1560,215,1345,176,60,116,36,4,32,50,5,45
95LL12S1,2080,207,1873,1798,161,1637,123,26,97,63,10,53,96,10,86
95LL12S2,915,67,848,756,53,703,49,4,45,42,5,37,68,5,63
95LL13S1,1066,108,958,922,90,832,55,10,45,37,2,35,52,6,46
95LL13S2,1030,100,930,894,86,808,43,5,38,37,3,34,56,6,50
95LL14S1,1017,71,946,861,51,810,51,10,41,39,2,37,66,8,58
95LL14S2,1123,132,991,937,96,841,97,21,76,34,7,27,55,8,47
95LL15S1,1201,217,984,1019,160,859,113,43,70,29,8,21,40,6,34
95LL15S2,1330,208,1122,1122,156,966,135,42,93,29,5,24,44,5,39
95LL16S1,2158,453,1705,1805,358,1447,233,77,156,45,9,36,75,9,66
95LL16S2,2551,362,2189,2251,293,1958,167,47,120,61,6,55,72,16,56
95LL17W1,2106,341,1765,1796,267,1529,177,55,122,55,9,46,78,10,68
95LL18S1,1574,298,1276,1294,222,1072,166,62,104,41,4,37,73,10,63
95LL18S2,1142,193,949,921,144,777,133,40,93,35,3,32,53,6,47
95LL19S1,1767,292,1475,1470,219,1251,191,58,133,46,9,37,60,6,54
95LL19S2,2208,368,1840,1865,267,1598,226,74,152,46,11,35,71,16,55
95LL20W1,1897,176,1721,1611,146,1465,131,15,116,52,4,48,103,11,92
95LL21W1,3060,348,2712,2615,268,2347,256,63,193,68,6,62,121,11,110
95LL22W1,2827,290,2537,2437,223,2214,199,45,154,65,11,54,126,11,115
95LL23W1,1733,180,1553,1470,129,1341,115,32,83,52,8,44,96,11,85
95LL24S1,1561,274,1287,1312,197,1115,154,54,100,41,11,30,54,12,42
95LL24S2,1332,225,1107,1158,174,984,99,37,62,28,8,20,47,6,41
