GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
95MM27S2,1119,846,46,13,4,102,23,27,58,425,319,15,4,0,45,5,5,32,356,272,12,4,0,38,1,5,24,69,47,3,0,0,7,4,0,8,694,527,31,9,4,57,18,22,26,505,389,21,6,4,32,18,17,18,15,10,1,0,0,2,0,1,1,58,42,6,2,0,4,0,0,4,54,39,2,1,0,6,0,4,2,62,47,1,0,0,13,0,0,1
95MM28W1,1895,1657,78,19,3,66,32,8,32,564,486,27,8,2,25,4,4,8,470,414,19,6,1,20,3,2,5,94,72,8,2,1,5,1,2,3,1331,1171,51,11,1,41,28,4,24,900,799,35,4,1,19,23,2,17,21,16,1,0,0,2,0,1,1,137,124,3,4,0,5,1,0,0,154,133,7,0,0,5,4,1,4,119,99,5,3,0,10,0,0,2
95MM29W1,2653,2240,107,28,2,93,22,96,65,1013,812,37,12,1,44,10,46,51,806,650,27,8,1,39,5,31,45,207,162,10,4,0,5,5,15,6,1640,1428,70,16,1,49,12,50,14,1119,986,50,10,1,28,7,27,10,43,22,0,0,0,2,3,14,2,143,121,10,4,0,5,0,2,1,185,162,8,2,0,6,2,5,0,150,137,2,0,0,8,0,2,1
95MM30W1,1719,1510,45,15,0,98,18,11,22,555,467,23,6,0,38,4,0,17,488,416,19,6,0,32,1,0,14,67,51,4,0,0,6,3,0,3,1164,1043,22,9,0,60,14,11,5,773,692,13,3,0,39,13,9,4,18,15,0,0,0,1,0,1,1,134,127,2,1,0,4,0,0,0,95,87,4,0,0,3,0,1,0,144,122,3,5,0,13,1,0,0
95NN01S1,1153,1019,67,15,3,11,3,21,14,572,488,42,12,2,9,2,8,9,484,417,34,9,2,6,1,6,9,88,71,8,3,0,3,1,2,0,581,531,25,3,1,2,1,13,5,387,363,10,1,0,2,1,7,3,17,15,0,0,0,0,0,2,0,45,41,4,0,0,0,0,0,0,64,54,7,1,0,0,0,1,1,68,58,4,1,1,0,0,3,1
95NN01S2,1308,1197,62,4,3,21,4,1,16,692,621,39,3,3,14,3,0,9,638,579,31,3,2,13,3,0,7,54,42,8,0,1,1,0,0,2,616,576,23,1,0,7,1,1,7,433,414,14,0,0,3,0,0,2,18,15,1,0,0,0,1,0,1,49,45,2,0,0,0,0,1,1,49,43,3,0,0,1,0,0,2,67,59,3,1,0,3,0,0,1
95NN02W1,1784,1646,53,15,0,34,5,5,26,972,887,38,7,0,17,2,5,16,892,819,34,6,0,17,1,2,13,80,68,4,1,0,0,1,3,3,812,759,15,8,0,17,3,0,10,543,517,9,4,0,5,2,0,6,20,16,1,0,0,3,0,0,0,61,53,2,1,0,3,0,0,2,62,57,2,1,0,0,1,0,1,126,116,1,2,0,6,0,0,1
95NN03S1,1064,925,40,11,4,9,4,41,30,586,508,20,6,2,4,1,23,22,502,441,15,5,2,3,0,15,21,84,67,5,1,0,1,1,8,1,478,417,20,5,2,5,3,18,8,283,248,12,2,0,2,3,12,4,7,6,0,0,0,0,0,1,0,30,27,1,0,0,0,0,0,2,60,49,4,3,0,0,0,3,1,98,87,3,0,2,3,0,2,1
95NN03S2,1150,1052,46,11,4,5,7,12,13,680,614,30,9,3,2,4,9,9,622,566,25,8,2,2,3,7,9,58,48,5,1,1,0,1,2,0,470,438,16,2,1,3,3,3,4,297,281,9,1,0,0,3,1,2,14,11,1,0,0,0,0,1,1,34,32,2,0,0,0,0,0,0,59,55,2,0,1,0,0,1,0,66,59,2,1,0,3,0,0,1
95NN04W1,2116,1910,79,14,2,30,5,26,50,860,755,37,9,0,16,3,13,27,674,589,31,8,0,16,2,8,20,186,166,6,1,0,0,1,5,7,1256,1155,42,5,2,14,2,13,23,851,783,29,2,0,7,1,11,18,21,16,1,0,0,1,1,1,1,112,102,5,0,1,1,0,0,3,132,121,5,2,0,2,0,1,1,140,133,2,1,1,3,0,0,0
