ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC6603NI0358,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, All usual residents aged 16 to 74"
DC6603NI0359,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, Part-time hours worked per week: Total"
DC6603NI0360,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0361,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0362,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, Full-time hours worked per week: Total"
DC6603NI0363,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0364,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 41.Administrative occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0365,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, All usual residents aged 16 to 74"
DC6603NI0366,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, Part-time hours worked per week: Total"
DC6603NI0367,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0368,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0369,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, Full-time hours worked per week: Total"
DC6603NI0370,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0371,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 42.Secretarial and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0372,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, All usual residents aged 16 to 74"
DC6603NI0373,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, Part-time hours worked per week: Total"
DC6603NI0374,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0375,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0376,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, Full-time hours worked per week: Total"
DC6603NI0377,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0378,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 5.Skilled trades occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0379,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, All usual residents aged 16 to 74"
DC6603NI0380,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, Part-time hours worked per week: Total"
DC6603NI0381,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0382,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0383,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, Full-time hours worked per week: Total"
DC6603NI0384,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0385,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 51.Skilled agricultural and related trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0386,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, All usual residents aged 16 to 74"
DC6603NI0387,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: Total"
DC6603NI0388,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0389,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0390,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: Total"
DC6603NI0391,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0392,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0393,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, All usual residents aged 16 to 74"
DC6603NI0394,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, Part-time hours worked per week: Total"
DC6603NI0395,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0396,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0397,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, Full-time hours worked per week: Total"
DC6603NI0398,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0399,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 53.Skilled construction and building trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0400,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, All usual residents aged 16 to 74"
DC6603NI0401,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: Total"
DC6603NI0402,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0403,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0404,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: Total"
DC6603NI0405,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0406,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0407,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, All usual residents aged 16 to 74"
DC6603NI0408,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, Part-time hours worked per week: Total"
DC6603NI0409,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0410,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0411,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, Full-time hours worked per week: Total"
DC6603NI0412,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0413,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0414,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, All usual residents aged 16 to 74"
DC6603NI0415,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, Part-time hours worked per week: Total"
DC6603NI0416,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0417,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0418,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, Full-time hours worked per week: Total"
DC6603NI0419,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0420,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 61.Caring personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0421,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, All usual residents aged 16 to 74"
DC6603NI0422,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: Total"
DC6603NI0423,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0424,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0425,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: Total"
DC6603NI0426,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0427,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0428,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, All usual residents aged 16 to 74"
DC6603NI0429,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, Part-time hours worked per week: Total"
DC6603NI0430,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0431,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0432,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, Full-time hours worked per week: Total"
DC6603NI0433,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0434,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 7.Sales and customer service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0435,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, All usual residents aged 16 to 74"
DC6603NI0436,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, Part-time hours worked per week: Total"
DC6603NI0437,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0438,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0439,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, Full-time hours worked per week: Total"
DC6603NI0440,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0441,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 71.Sales occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0442,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, All usual residents aged 16 to 74"
DC6603NI0443,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, Part-time hours worked per week: Total"
DC6603NI0444,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0445,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0446,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, Full-time hours worked per week: Total"
DC6603NI0447,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0448,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 72.Customer service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0449,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, All usual residents aged 16 to 74"
DC6603NI0450,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, Part-time hours worked per week: Total"
DC6603NI0451,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI0452,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0453,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, Full-time hours worked per week: Total"
DC6603NI0454,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0455,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 8.Process, plant and machine operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI0456,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, All usual residents aged 16 to 74"
DC6603NI0457,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, Part-time hours worked per week: Total"
DC6603NI0458,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI0459,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0460,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, Full-time hours worked per week: Total"
DC6603NI0461,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0462,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 81.Process, plant and machine operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI0463,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, All usual residents aged 16 to 74"
DC6603NI0464,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: Total"
DC6603NI0465,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI0466,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0467,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: Total"
DC6603NI0468,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0469,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI0470,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, All usual residents aged 16 to 74"
DC6603NI0471,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: Total"
DC6603NI0472,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0473,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0474,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: Total"
DC6603NI0475,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0476,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0477,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, All usual residents aged 16 to 74"
DC6603NI0478,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: Total"
DC6603NI0479,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0480,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0481,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: Total"
DC6603NI0482,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0483,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0484,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, All usual residents aged 16 to 74"
DC6603NI0485,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: Total"
DC6603NI0486,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0487,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0488,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: Total"
DC6603NI0489,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0490,Count,PERSONS,"All categories: Sex, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0491,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, All usual residents aged 16 to 74"
DC6603NI0492,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: Total"
DC6603NI0493,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: 15 hours or less"
DC6603NI0494,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0495,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: Total"
DC6603NI0496,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0497,Count,PERSONS,"All categories: Sex, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: 49 or more hours"
DC6603NI0498,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, All usual residents aged 16 to 74"
DC6603NI0499,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: Total"
DC6603NI0500,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: 15 hours or less"
DC6603NI0501,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0502,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: Total"
DC6603NI0503,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0504,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: 49 or more hours"
DC6603NI0505,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, All usual residents aged 16 to 74"
DC6603NI0506,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: Total"
DC6603NI0507,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: 15 hours or less"
DC6603NI0508,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0509,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: Total"
DC6603NI0510,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0511,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: 49 or more hours"
DC6603NI0512,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, All usual residents aged 16 to 74"
DC6603NI0513,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: Total"
DC6603NI0514,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: 15 hours or less"
DC6603NI0515,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0516,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: Total"
DC6603NI0517,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0518,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: 49 or more hours"
DC6603NI0519,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, All usual residents aged 16 to 74"
DC6603NI0520,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: Total"
DC6603NI0521,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0522,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0523,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: Total"
DC6603NI0524,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0525,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0526,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, All usual residents aged 16 to 74"
DC6603NI0527,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: Total"
DC6603NI0528,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0529,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0530,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: Total"
DC6603NI0531,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0532,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0533,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, All usual residents aged 16 to 74"
DC6603NI0534,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: Total"
DC6603NI0535,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0536,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0537,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: Total"
DC6603NI0538,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0539,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0540,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, All usual residents aged 16 to 74"
DC6603NI0541,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: Total"
DC6603NI0542,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0543,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0544,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: Total"
DC6603NI0545,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0546,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0547,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, All usual residents aged 16 to 74"
DC6603NI0548,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: Total"
DC6603NI0549,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0550,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0551,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: Total"
DC6603NI0552,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0553,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0554,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 3.Associate professional and technical occupations, All usual residents aged 16 to 74"
DC6603NI0555,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: Total"
DC6603NI0556,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0557,Count,PERSONS,"All categories: Sex, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: 16 to 30 hours"
