ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC3604NI0124,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0125,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Males, Disability: Total"
DC3604NI0126,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0127,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Males, Day-to-day activities limited a little"
DC3604NI0128,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Males, Day-to-day activities not limited"
DC3604NI0129,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Females, Disability: Total"
DC3604NI0130,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0131,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Females, Day-to-day activities limited a little"
DC3604NI0132,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 16 to 30 hours worked, Females, Day-to-day activities not limited"
DC3604NI0133,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, All categories: Sex, Disability: Total"
DC3604NI0134,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0135,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0136,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0137,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Males, Disability: Total"
DC3604NI0138,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0139,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Males, Day-to-day activities limited a little"
DC3604NI0140,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Males, Day-to-day activities not limited"
DC3604NI0141,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Females, Disability: Total"
DC3604NI0142,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0143,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Females, Day-to-day activities limited a little"
DC3604NI0144,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 31 to 48 hours worked, Females, Day-to-day activities not limited"
DC3604NI0145,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, All categories: Sex, Disability: Total"
DC3604NI0146,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0147,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0148,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0149,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Males, Disability: Total"
DC3604NI0150,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0151,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Males, Day-to-day activities limited a little"
DC3604NI0152,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Males, Day-to-day activities not limited"
DC3604NI0153,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Females, Disability: Total"
DC3604NI0154,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0155,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Females, Day-to-day activities limited a little"
DC3604NI0156,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Full-time: 49 or more hours worked, Females, Day-to-day activities not limited"
DC3604NI0157,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, All categories: Sex, Disability: Total"
DC3604NI0158,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0159,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0160,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, All categories: Sex, Day-to-day activities not limited"
DC3604NI0161,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Males, Disability: Total"
DC3604NI0162,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Males, Day-to-day activities limited a lot"
DC3604NI0163,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Males, Day-to-day activities limited a little"
DC3604NI0164,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Males, Day-to-day activities not limited"
DC3604NI0165,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Females, Disability: Total"
DC3604NI0166,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Females, Day-to-day activities limited a lot"
DC3604NI0167,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Females, Day-to-day activities limited a little"
DC3604NI0168,Count,PERSONS,"Economically Active: In employment: Self-employed without employees, Females, Day-to-day activities not limited"
DC3604NI0169,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, All categories: Sex, Disability: Total"
DC3604NI0170,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0171,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0172,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0173,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Males, Disability: Total"
DC3604NI0174,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Males, Day-to-day activities limited a lot"
DC3604NI0175,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Males, Day-to-day activities limited a little"
DC3604NI0176,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Males, Day-to-day activities not limited"
DC3604NI0177,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Females, Disability: Total"
DC3604NI0178,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Females, Day-to-day activities limited a lot"
DC3604NI0179,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Females, Day-to-day activities limited a little"
DC3604NI0180,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 15 hours or less worked, Females, Day-to-day activities not limited"
DC3604NI0181,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, All categories: Sex, Disability: Total"
DC3604NI0182,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0183,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0184,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0185,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Males, Disability: Total"
DC3604NI0186,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0187,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Males, Day-to-day activities limited a little"
DC3604NI0188,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Males, Day-to-day activities not limited"
DC3604NI0189,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Females, Disability: Total"
DC3604NI0190,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Females, Day-to-day activities limited a lot"
